"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"2020-07-01",57,57,55.75,55.779999,2400200,54.408474
"2020-07-02",56.43,57.240002,55.77,56.5,3162900,55.110764
"2020-07-06",57.380001,57.580002,56.43,56.860001,1999100,55.461914
"2020-07-07",56.43,57.310001,56.119999,56.82,2537900,55.422901
"2020-07-08",57.029999,57.150002,56.27,56.919998,6694900,55.520439
"2020-07-09",56.860001,57.939999,56.07,56.110001,2424200,54.73037
"2020-07-10",56.23,57.310001,56.040001,56.98,2137300,55.578968
"2020-07-13",56.560001,57.939999,56.465,56.889999,2882500,55.491177
"2020-07-14",56.220001,57.450001,56.029999,57.369999,2755100,55.959373
"2020-07-15",58.009998,59,57.860001,58.200001,2358400,56.76897
"2020-07-16",58,58.560001,57.658001,58.32,2628800,56.886021
"2020-07-17",58.73,59.029999,58.150002,58.549999,2983100,57.110363
"2020-07-20",58.419998,59.650002,57.990002,58.560001,2407800,57.120121
"2020-07-21",58.380001,58.939999,58.099998,58.439999,2314000,57.003067
"2020-07-22",57.959999,58.93,57.68,58.48,2034300,57.042088
"2020-07-23",58.5,59.467999,58.34,59.060001,2566500,57.607826
"2020-07-24",59.18,59.195,57.630001,58.130001,3142100,56.700691
"2020-07-27",57.860001,58.439999,57.599998,58.32,2670300,56.886021
"2020-07-28",59.82,61.830002,59.700001,60.279999,4473600,58.797825
"2020-07-29",60.959999,64.360001,60.959999,64.300003,4885400,62.718987
"2020-07-30",63.439999,64.519997,63.150002,63.389999,2307000,61.83136
"2020-07-31",63.439999,63.439999,62.18,62.740002,3156100,61.197338
"2020-08-03",63.02,63.82,62.740002,63.209999,3200500,61.655785
"2020-08-04",62.580002,62.900002,61.970001,62.610001,1739400,61.070538
"2020-08-05",62.740002,63.650002,62.34,63.09,2645000,61.538738
"2020-08-06",62.889999,63.52,62.865002,63.48,1557400,61.919144
"2020-08-07",63.16,64.470001,63.16,64.410004,1169100,62.826279
"2020-08-10",64.290001,65.300003,64.290001,65.209999,1572700,63.606609
"2020-08-11",65.519997,65.949997,64.330002,64.370003,2787700,62.787266
"2020-08-12",64.970001,65.470001,64.220001,64.900002,1496600,63.304237
"2020-08-13",64.959999,64.959999,63.830002,64,1436200,62.426361
"2020-08-14",63.709999,64.510002,63.599998,64.07,1633900,62.494637
