"","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2020-07-01",18.32,18.83,17.41,17.41,32856700,17.285517
"2020-07-02",17.92,18.629999,17.610001,17.780001,28133200,17.652872
"2020-07-06",18.209999,18.540001,17.780001,18.18,23933200,18.050009
"2020-07-07",17.9,17.940001,17.139999,17.15,20117700,17.027374
"2020-07-08",17.27,17.469999,16.709999,17.280001,20482300,17.156446
"2020-07-09",17.200001,17.26,16.26,16.280001,22124600,16.163597
"2020-07-10",16.059999,16.75,15.95,16.709999,17584200,16.590519
"2020-07-13",16.76,16.809999,16,16.16,21665700,16.044455
"2020-07-14",15.95,16.76,15.75,16.68,19740500,16.560736
"2020-07-15",17.290001,17.73,16.9,17.18,22801400,17.057158
"2020-07-16",16.9,17.4,16.57,17.01,15463000,16.888378
"2020-07-17",17.040001,17.35,16.16,16.280001,21065900,16.163597
"2020-07-20",16.25,16.450001,15.68,15.69,21260200,15.577813
"2020-07-21",16.120001,18.030001,16.07,17.41,44440800,17.285517
"2020-07-22",17.120001,17.139999,16.65,16.950001,16994300,16.828806
"2020-07-23",16.709999,17.08,16.57,16.82,14044100,16.699734
"2020-07-24",16.82,17.280001,16.629999,16.74,12779100,16.620306
"2020-07-27",16.73,16.9,16.41,16.700001,13963300,16.580591
"2020-07-28",16.48,16.780001,16.309999,16.35,12859500,16.233097
"2020-07-29",16.530001,17.040001,16.450001,17.030001,16384000,16.908234
"2020-07-30",16.549999,16.629999,15.75,15.77,29336400,15.657242
"2020-07-31",16.549999,16.549999,15.41,15.74,15439000,15.627456
"2020-08-03",15.75,15.76,15.1,15.25,22888000,15.140961
"2020-08-04",15.15,16,15.13,15.74,21703200,15.627456
"2020-08-05",16.42,16.49,15.86,15.94,24570500,15.826026
"2020-08-06",15.91,16.01,15.39,15.45,18745100,15.33953
"2020-08-07",15.46,15.56,14.96,15.45,20961300,15.33953
"2020-08-10",15.67,16.48,15.62,16.48,26718500,16.362164
"2020-08-11",16.440001,16.74,15.1,15.16,41894000,15.051603
"2020-08-12",15.5,15.55,14.85,14.92,31774800,14.81332
"2020-08-13",14.95,15.25,14.54,14.6,28459100,14.495607
"2020-08-14",14.5,14.72,14.36,14.64,21267200,14.535321
"2020-08-17",14.47,14.51,13.73,13.91,31108800,13.810541
"2020-08-18",13.93,14.19,13.83,13.95,16758400,13.850255
