"","O.Open","O.High","O.Low","O.Close","O.Volume","O.Adjusted"
"2020-07-01",57.897285,59.486435,57.72287,59.195736,1526431,54.104504
"2020-07-02",60.310078,60.620155,58.624031,59.205425,1872770,54.113354
"2020-07-06",60.358528,60.503876,58.304264,58.391472,1705896,53.369408
"2020-07-07",57.490311,57.829456,56.705425,56.753876,1823750,51.872665
"2020-07-08",56.899223,57.025192,56.056202,56.715115,2062349,51.837227
"2020-07-09",56.656979,56.686047,54.583332,55.348839,2356778,50.588467
"2020-07-10",55.358528,56.30814,54.825581,55.22287,1840366,50.47332
"2020-07-13",55.581394,55.833332,54.583332,55.067829,2081028,50.331619
"2020-07-14",55.232559,55.998062,54.796513,55.765503,1605998,50.969284
"2020-07-15",57.093021,57.21899,55.843021,56.812016,2006208,51.925793
"2020-07-16",56.317829,56.656979,55.678295,55.872093,1689178,51.066708
"2020-07-17",56.20155,57.160854,55.765503,56.773254,1355738,51.890369
"2020-07-20",56.579456,56.831394,55.436047,55.600777,1470187,50.818745
"2020-07-21",55.843021,56.29845,55.242249,55.416668,2273186,50.650455
"2020-07-22",55.135658,56.996124,54.970928,56.686047,1969882,51.810658
"2020-07-23",56.36628,56.889534,54.88372,55.571705,1771738,50.792175
"2020-07-24",55.542637,56.104652,55.232559,55.639534,1470084,50.85416
"2020-07-27",55.639534,56.918606,54.961239,56.821705,2009614,51.934654
"2020-07-28",56.521317,58.304264,56.19186,57.994186,2064722,53.00629
"2020-07-29",58.362404,58.740311,57.45155,58.740311,1749240,53.68824
"2020-07-30",57.761627,58.846897,57.267441,58.672482,1579166,53.626255
"2020-07-31",57.761627,58.294575,57.141472,58.187984,3536664,53.389755
"2020-08-03",57.645348,57.897285,57.054264,57.567829,1882265,52.82074
"2020-08-04",59.011627,60.668606,58.905041,59.94186,3522938,54.998989
"2020-08-05",60.339146,60.562016,59.399223,60.416668,2553994,55.43465
"2020-08-06",60.077518,60.833332,59.612404,60.213177,2003112,55.247952
"2020-08-07",59.932171,60.901161,59.83527,60.775192,1661726,55.763618
"2020-08-10",60.852715,61.288761,60.503876,60.523254,1720757,55.532448
"2020-08-11",61.327518,61.899223,60.668606,60.736435,2718701,55.72805
"2020-08-12",61.153103,61.501938,60.503876,61.046513,1406203,56.012554
"2020-08-13",60.639534,61.240311,59.399223,59.525192,1535719,54.61668
"2020-08-14",59.399223,59.95155,58.905041,59.118217,1510951,54.243279
"2020-08-17",59.195736,60.184109,58.86628,60.05814,1568227,55.105698
"2020-08-18",59.844959,60.16473,59.137596,59.670544,1414356,54.750065
"2020-08-19",59.660854,59.709301,58.052326,58.187984,2063484,53.389755
"2020-08-20",58.139534,59.680233,57.945736,59.118217,1512912,54.243279
