"","PAYC.Open","PAYC.High","PAYC.Low","PAYC.Close","PAYC.Volume","PAYC.Adjusted"
"2020-07-01",311.200012,323.160004,310.087006,320.26001,561800,320.26001
"2020-07-02",327.779999,328.549988,320.359985,321.5,428300,321.5
"2020-07-06",326.170013,329.420013,321.070007,321.410004,554500,321.410004
"2020-07-07",319.700012,326.290009,313.119995,313.730011,519500,313.730011
"2020-07-08",314.98999,320.165009,313.119995,319.140015,387000,319.140015
"2020-07-09",322.600006,324.73999,309.48999,314.01001,666500,314.01001
"2020-07-10",314,315.230011,307.01001,309,421900,309
"2020-07-13",312.209991,312.649994,290.079987,290.25,619500,290.25
"2020-07-14",288.779999,289.570007,276.589996,286.440002,852100,286.440002
"2020-07-15",291.459991,297.619995,289,294.190002,433800,294.190002
"2020-07-16",291.290009,293.23999,285.899994,290.299988,350300,290.299988
"2020-07-17",292.220001,296.929993,286.519989,295.070007,313200,295.070007
"2020-07-20",296.269989,303.540009,292.730011,302.799988,338800,302.799988
"2020-07-21",305.450012,305.850006,292.459991,293.899994,336700,293.899994
"2020-07-22",293.709991,301.929993,293.709991,298.059998,263400,298.059998
"2020-07-23",298.01001,306.936005,287.839996,291.200012,385100,291.200012
"2020-07-24",287.119995,294.380005,282.040009,286.970001,279800,286.970001
"2020-07-27",289.01001,291.799988,285.920013,290.290009,206400,290.290009
"2020-07-28",288.660004,292.390015,286.549988,286.790009,244500,286.790009
"2020-07-29",293,295.059998,290,294.420013,320300,294.420013
"2020-07-30",288.570007,289.079987,278.029999,286.529999,515400,286.529999
"2020-07-31",288.570007,290,277.230011,284.369995,562800,284.369995
"2020-08-03",286.130005,290.320007,283.23999,288.079987,604300,288.079987
"2020-08-04",286.829987,288.730011,281.450012,285.5,748600,285.5
"2020-08-05",284.959991,304.670013,283.190002,302.049988,1244000,302.049988
"2020-08-06",296.670013,302.48999,289.299988,298.660004,663800,298.660004
"2020-08-07",297.609985,301.26001,292.690002,296.660004,741300,296.660004
"2020-08-10",295.170013,295.170013,282,289.440002,669600,289.440002
"2020-08-11",289.209991,294.809998,282.630005,285.48999,464500,285.48999
"2020-08-12",286.940002,290.290009,285.390015,287.700012,341900,287.700012
"2020-08-13",288.059998,305.859985,288.059998,301.880005,497900,301.880005
"2020-08-14",304.170013,309.329987,300.640015,303.070007,717800,303.070007
"2020-08-17",306.299988,307.325012,298.790009,299.049988,416800,299.049988
"2020-08-18",299.820007,301.059998,291.130005,292.309998,401200,292.309998
"2020-08-19",293,295.138,287.309998,293,393600,293
"2020-08-20",290.029999,297.48999,290.029999,293.429993,427500,293.429993
"2020-08-21",292.690002,292.690002,286.440002,287.209991,278200,287.209991
"2020-08-24",289.649994,290,283.079987,284.429993,300800,284.429993
"2020-08-25",284.339996,287.980011,283.369995,287.269989,341700,287.269989
"2020-08-26",289.570007,300.059998,289.290009,295.839996,400300,295.839996
"2020-08-27",295.670013,298.529999,291.079987,293,372800,293
"2020-08-28",294.940002,301.649994,294.75,299.839996,317100,299.839996
"2020-08-31",299.649994,305.716003,299.429993,299.459991,606700,299.459991
"2020-09-01",302.950012,311.890015,300.790009,307.519989,392800,307.519989
"2020-09-02",311.480011,311.480011,301.475006,305.299988,463100,305.299988
"2020-09-03",300.649994,300.649994,280.059998,284,792000,284
"2020-09-04",280.040009,285.630005,265.149994,270.75,638800,270.75
"2020-09-08",259.100006,280.209991,257.869995,272.51001,685600,272.51001
"2020-09-09",279.529999,286.040009,278.329987,280.170013,502100,280.170013
"2020-09-10",282.519989,289,273.769989,275.48999,296600,275.48999
"2020-09-11",278.640015,279,263.350006,265.48999,479900,265.48999
"2020-09-14",269.040009,274.519989,268.725006,272.640015,284100,272.640015
"2020-09-15",275.390015,280.714996,273.73999,280.089996,368600,280.089996
"2020-09-16",285.73999,291.720001,280.428009,280.549988,359800,280.549988
"2020-09-17",271.980011,279.100006,270.76001,278.929993,434800,278.929993
