"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"2020-07-01",75.559998,75.629997,74,74.25,1359900,70.283463
"2020-07-02",75.389999,77.099998,74.75,75.68,1483000,71.637054
"2020-07-06",76.989998,77.410004,76.349998,77.160004,1985900,73.038002
"2020-07-07",76.480003,77.029999,75.599998,75.769997,1316300,71.722252
"2020-07-08",75.769997,76.449997,74.980003,75.459999,1186700,71.42881
"2020-07-09",75.120003,75.68,74.169998,74.43,1389300,70.453842
"2020-07-10",74.360001,75.5,74.290001,75.239998,1406200,71.220566
"2020-07-13",75.410004,76.660004,74.529999,75.639999,1915100,71.599205
"2020-07-14",75.290001,77.18,74.839996,77.050003,2137900,72.933876
"2020-07-15",78.050003,79,77.279999,78.720001,1817100,74.514656
"2020-07-16",78.150002,79.559998,78.029999,79.449997,1770800,75.205673
"2020-07-17",79.730003,79.980003,78.989998,79.43,3638200,75.186729
"2020-07-20",79,79.800003,78.510002,79.68,2290200,75.42337
"2020-07-21",79.120003,83.919998,78.910004,83.660004,3690200,79.190758
"2020-07-22",83.830002,86.400002,83.669998,85.25,2862100,80.695816
"2020-07-23",85.330002,86.489998,85,86.059998,2635300,81.462547
"2020-07-24",86.5,87.239998,85.120003,85.739998,2678700,81.15963
"2020-07-27",85.739998,86.889999,85.269997,85.919998,1586800,81.330025
"2020-07-28",85.970001,86.629997,85.010002,85.449997,1997100,80.885124
"2020-07-29",85.059998,86.199997,85.010002,85.989998,1643800,81.396294
"2020-07-30",85.129997,85.129997,84.029999,84.610001,1238300,80.090012
"2020-07-31",84.230003,85.089996,83.699997,85.080002,1587200,80.534897
"2020-08-03",84.970001,86.18,84.75,85.610001,1309100,81.036591
"2020-08-04",84.709999,85.300003,84.5,84.910004,1415300,80.373978
"2020-08-05",85.599998,86.970001,85,86.900002,1467900,82.257675
"2020-08-06",86.529999,87.389999,86.529999,87.360001,1434900,82.693092
"2020-08-07",87.059998,88.629997,86.809998,88.599998,1361700,83.866859
"2020-08-10",88.580002,90.639999,87.360001,89.849998,2262900,85.35836
"2020-08-11",90.480003,91.300003,89.809998,90.389999,1522800,85.871376
"2020-08-12",90.610001,90.989998,89.870003,90.330002,1575700,85.814377
"2020-08-13",90.019997,90.019997,88.25,88.5,1550100,84.075859
"2020-08-14",88.5,89.459999,88.010002,88.949997,1365600,84.503372
"2020-08-17",89.25,89.529999,88.370003,88.610001,1856700,84.180359
"2020-08-18",88.959999,89.480003,88.379997,88.559998,986500,84.132851
"2020-08-19",88.459999,89.050003,87.760002,88.110001,1402100,83.70536
"2020-08-20",87.669998,88.349998,86.889999,87.18,984400,82.821846
"2020-08-21",87.040001,87.440002,86.459999,87.019997,1300400,82.669846
"2020-08-24",87.25,87.910004,86.699997,86.900002,1695600,82.55584
"2020-08-25",87.459999,87.839996,86.169998,86.410004,1324600,82.090347
"2020-08-26",86.07,87.239998,85.419998,86.870003,1103100,82.527344
"2020-08-27",87.440002,87.550003,85.970001,86.330002,1105700,82.014343
"2020-08-28",86.089996,86.5,85.519997,86.489998,1149900,82.166328
"2020-08-31",85.970001,86.669998,85.690002,85.839996,1435600,81.54882
"2020-09-01",85.980003,87.129997,85.010002,87.050003,1730400,82.698349
"2020-09-02",87.040001,88.199997,87.040001,87.879997,1534700,83.486855
"2020-09-03",88.860001,89.029999,84.790001,85.449997,1610600,81.178322
"2020-09-04",86.389999,86.769997,85.010002,85.620003,1490400,81.339836
"2020-09-08",84.82,85.239998,83.360001,83.489998,1752500,79.316307
"2020-09-09",83.879997,85.510002,83.550003,84.959999,2129300,80.712822
"2020-09-10",84.540001,85.629997,82.360001,82.839996,1415800,78.698799
"2020-09-11",83.050003,84.230003,82.900002,83.889999,2842900,79.696304
"2020-09-14",84.639999,86.589996,84.199997,86.360001,1551500,82.042839
"2020-09-15",86.389999,86.980003,85.660004,85.769997,1743000,81.482338
"2020-09-16",86.769997,87.290001,85.849998,86.419998,1328800,82.099838
"2020-09-17",85.040001,86.900002,84.230003,85.860001,1621700,81.567833
"2020-09-18",85.940002,86.239998,83.980003,84.239998,2237100,80.028809
"2020-09-21",83.410004,83.580002,80.360001,81.860001,1665800,77.767799
"2020-09-22",81.480003,83.169998,80.970001,82.339996,1342500,78.223793
"2020-09-23",82.580002,83.550003,81.169998,81.610001,1465700,77.530289
"2020-09-24",81.25,83.199997,80.410004,82.160004,1093800,78.052803
"2020-09-25",82.540001,84.099998,81.809998,83.529999,1192900,79.354309
"2020-09-28",84.669998,86.650002,84.669998,86.550003,1588300,82.223343
"2020-09-29",86.260002,87.199997,85.779999,86.150002,1120000,81.843346
