"","PEAK.Open","PEAK.High","PEAK.Low","PEAK.Close","PEAK.Volume","PEAK.Adjusted"
"2020-07-01",27.5,28.889999,27.280001,28.82,5044000,26.598927
"2020-07-02",29.110001,29.459999,28.360001,28.469999,3439000,26.2759
"2020-07-06",29.17,29.219999,27.67,27.690001,3250900,25.556013
"2020-07-07",27.27,27.5,27,27.049999,3290300,24.965336
"2020-07-08",27,27.08,26.48,26.85,4644000,24.780746
"2020-07-09",26.65,26.959999,26.15,26.860001,4368700,24.789978
"2020-07-10",26.82,27.139999,26.280001,26.66,4376200,24.605392
"2020-07-13",26.66,26.889999,26.18,26.33,3235700,24.300827
"2020-07-14",26.41,26.620001,26,26.18,3347300,24.162382
"2020-07-15",26.700001,26.860001,26.219999,26.85,3894700,24.780746
"2020-07-16",26.709999,26.889999,26.23,26.24,2242300,24.21776
"2020-07-17",26.57,27.24,26.27,27.110001,4183900,25.020714
"2020-07-20",27.1,27.1,25.620001,25.690001,3873800,23.710146
"2020-07-21",25.889999,26.129999,25.790001,25.870001,3067100,23.876274
"2020-07-22",25.73,26.92,25.559999,26.809999,3038700,24.743832
"2020-07-23",26.65,26.91,26.23,26.58,2664200,24.531559
"2020-07-24",26.6,26.780001,26.18,26.24,2203200,24.21776
"2020-07-27",26.200001,26.48,25.639999,26.459999,4333500,24.420807
"2020-07-28",26.49,27.49,26.4,27.33,2672900,25.223757
"2020-07-29",27.549999,27.91,27.43,27.9,2499000,25.749828
"2020-07-30",27.43,28.049999,27.24,27.780001,2957500,25.639078
"2020-07-31",27.43,27.67,26.67,27.290001,5234200,25.186842
"2020-08-03",27.01,27.07,26.389999,26.889999,3465300,24.817667
"2020-08-04",26.790001,27.459999,26.549999,27.309999,4860500,25.205297
"2020-08-05",27.309999,27.790001,26.82,27.18,4197400,25.08532
"2020-08-06",27.08,28.200001,27,28.049999,3727700,25.888269
"2020-08-07",27.889999,28.700001,27.889999,28.610001,2984100,26.405113
"2020-08-10",28.75,29.32,28.440001,29.030001,2336200,26.792746
"2020-08-11",29.32,29.48,28.139999,28.219999,2578900,26.045166
"2020-08-12",28.309999,28.68,28.1,28.639999,1919100,26.432796
"2020-08-13",28.219999,28.48,27.379999,27.43,2976300,25.647388
"2020-08-14",27.379999,27.610001,26.959999,27.01,4753300,25.254683
"2020-08-17",27.16,27.58,26.870001,27.5,2752200,25.712839
"2020-08-18",27.389999,27.84,27.190001,27.68,3885100,25.881144
"2020-08-19",27.700001,27.74,26.879999,26.99,5924100,25.235985
"2020-08-20",26.9,27.629999,26.690001,27.41,2929800,25.628691
"2020-08-21",27.6,27.719999,26.969999,27.450001,2611000,25.666092
"2020-08-24",27.17,27.99,27,27.940001,2832000,26.124247
"2020-08-25",27.780001,27.98,27.26,27.719999,2697800,25.918543
"2020-08-26",27.6,27.860001,27.16,27.299999,2406800,25.525837
"2020-08-27",27.549999,28.08,27.5,28.049999,2081300,26.227097
"2020-08-28",28.01,28.49,27.530001,28.459999,2429500,26.610451
"2020-08-31",28.450001,28.450001,27.58,27.639999,5507000,25.843742
"2020-09-01",27.360001,27.66,27.1,27.459999,2660300,25.675442
"2020-09-02",27.879999,28.57,27.48,28.559999,3846500,26.703953
"2020-09-03",28.639999,29.42,28.219999,28.41,4530700,26.5637
"2020-09-04",28.48,28.75,27.85,28.35,3619600,26.507601
"2020-09-08",28.129999,28.17,27.59,27.75,5278500,25.946594
"2020-09-09",27.99,28.379999,27.6,28.1,2757600,26.273849
"2020-09-10",27.950001,28.32,27.82,27.93,2717600,26.114895
"2020-09-11",28.120001,28.120001,27.389999,27.889999,2029400,26.077496
"2020-09-14",28.219999,28.959999,28.040001,28.76,2168700,26.890955
"2020-09-15",28.709999,29.299999,28.57,28.790001,2286500,26.919008
"2020-09-16",29.040001,29.09,28.639999,28.68,4169800,26.816156
"2020-09-17",28.370001,28.799999,27.9,28.1,3256200,26.273849
"2020-09-18",27.67,27.879999,26.559999,26.6,6861100,24.87133
"2020-09-21",26.370001,26.92,26.049999,26.290001,6233900,24.581476
"2020-09-22",26.33,26.9,26.219999,26.6,5138200,24.87133
"2020-09-23",26.42,26.709999,25.540001,25.58,3053500,23.917616
"2020-09-24",25.629999,26.27,25.52,25.98,3593100,24.291622
"2020-09-25",25.91,26.76,25.75,26.73,2185300,24.99288
"2020-09-28",27.5,27.6,27.02,27.33,2306000,25.55389
"2020-09-29",27.15,27.27,26.709999,27.049999,2415400,25.292086
"2020-09-30",27.280001,27.6,26.76,27.15,4717500,25.385586
"2020-10-01",27.200001,28.07,27.120001,28.040001,2717100,26.217747
"2020-10-02",27.51,28.68,27.290001,28.5,4076800,26.64785
"2020-10-05",28.59,28.77,27.780001,28.280001,3901400,26.44215
"2020-10-06",28.43,28.82,28.08,28.25,4040900,26.414101
"2020-10-07",28.32,28.540001,27.959999,28.34,3269200,26.498249
"2020-10-08",28.360001,29.049999,28.280001,29.040001,3764500,27.15276
"2020-10-09",29.299999,29.299999,28.57,28.629999,2258700,26.769403
"2020-10-12",28.58,28.719999,28.200001,28.51,2309800,26.657202
"2020-10-13",28.309999,28.389999,27.450001,27.870001,1962500,26.058794
"2020-10-14",27.690001,27.9,27.440001,27.51,1742200,25.722191
"2020-10-15",27.360001,28.139999,27.309999,27.620001,2362700,25.825041
"2020-10-16",27.139999,27.49,26.82,27.030001,3464500,25.273386
"2020-10-19",27.26,27.35,26.32,26.540001,4397200,24.815229
"2020-10-20",26.83,27.219999,26.65,27.09,3025600,25.329487
"2020-10-21",27.040001,27.540001,26.780001,27.41,3579300,25.628691
"2020-10-22",27.389999,28.57,27.34,28.469999,3721100,26.619802
"2020-10-23",28.610001,28.99,28.610001,28.77,3579300,26.900307
"2020-10-26",28.6,28.74,27.719999,27.940001,3762200,26.124247
"2020-10-27",27.98,28.24,27.35,27.35,3740300,25.57259
"2020-10-28",26.82,27.23,26.469999,26.58,6216700,24.852627
"2020-10-29",26.5,27.67,26.41,27.52,4195900,25.731541
"2020-10-30",27.389999,27.58,26.51,26.969999,4627200,25.217283
"2020-11-02",27.32,28.25,27.18,28.25,5672200,26.414101
"2020-11-03",28.25,28.709999,27.450001,28.530001,7188100,26.675903
"2020-11-04",28.549999,28.92,28.15,28.52,5318600,26.666553
"2020-11-05",28.790001,28.82,28.200001,28.66,4298000,26.797457
"2020-11-06",28.73,28.889999,27.93,28.08,4018100,26.255148
"2020-11-09",30.450001,33.119999,29.040001,29.110001,8114000,27.21821
"2020-11-10",29,29.74,28.719999,29.360001,5791200,27.805382
"2020-11-11",29.48,29.48,28.59,29.08,3549300,27.540207
"2020-11-12",28.99,28.99,28.09,28.58,2936800,27.066683
"2020-11-13",28.790001,29.75,28.74,29.709999,4638500,28.136848
"2020-11-16",30.6,30.959999,30.049999,30.73,4666300,29.10284
"2020-11-17",30.43,31.02,30.049999,30.809999,5165000,29.178602
"2020-11-18",30.82,31.32,30.34,30.35,3959700,28.742962
"2020-11-19",30.16,30.629999,29.9,30.6,3510900,28.979723
"2020-11-20",30.68,30.68,29.99,30.57,5723100,28.951311
"2020-11-23",30.6,30.950001,30.389999,30.51,2682000,28.894487
"2020-11-24",31,31.51,30.73,30.77,3293400,29.140722
"2020-11-25",30.639999,30.809999,30.139999,30.51,3905500,28.894487
"2020-11-27",30.57,30.67,29.82,29.879999,2089200,28.297844
"2020-11-30",29.780001,29.93,28.790001,28.860001,7254400,27.331856
"2020-12-01",29.25,29.74,29.24,29.66,4040100,28.089497
"2020-12-02",29.48,29.67,29.16,29.5,3195200,27.937967
"2020-12-03",29.5,30.299999,29.42,30.07,3445900,28.477785
"2020-12-04",30.26,30.690001,29.959999,30.59,3376100,28.970253
"2020-12-07",30.540001,31.129999,30.43,30.74,2883400,29.112312
"2020-12-08",30.690001,31.139999,30.690001,30.879999,3302800,29.244894
"2020-12-09",30.91,30.91,30.15,30.49,4813200,28.875547
"2020-12-10",30.120001,30.459999,29.450001,29.540001,5650900,27.975849
"2020-12-11",29.27,29.75,29.120001,29.33,4408400,27.77697
"2020-12-14",29.219999,29.540001,28.85,28.879999,3270600,27.350794
"2020-12-15",29.200001,29.950001,28.959999,29.950001,2893400,28.364141
"2020-12-16",30,30.440001,29.82,30.379999,4308800,28.771372
"2020-12-17",30.629999,30.629999,29.92,30.49,3611300,28.875547
"2020-12-18",30.549999,30.6,29.52,29.83,6631900,28.250496
"2020-12-21",29.299999,29.629999,29,29.379999,3172000,27.824322
"2020-12-22",29.459999,29.74,29.27,29.67,2492800,28.098967
"2020-12-23",29.799999,29.99,29.49,29.52,2798200,27.956907
"2020-12-24",29.57,29.83,29.35,29.76,498000,28.1842
"2020-12-28",29.82,29.93,29.549999,29.92,1458000,28.335728
"2020-12-29",30.040001,30.139999,29.57,29.76,1643200,28.1842
"2020-12-30",29.85,30.27,29.700001,29.860001,1639600,28.278904
"2020-12-31",29.860001,30.27,29.49,30.23,1754100,28.629313
"2021-01-04",30.17,30.32,28.879999,28.889999,3498400,27.360266
"2021-01-05",29.01,29.34,28.93,29.09,2522100,27.549677
"2021-01-06",29.200001,29.41,28.85,29.200001,4370500,27.653854
"2021-01-07",28.99,29.059999,28.16,28.42,4670100,26.915155
"2021-01-08",28.51,28.610001,28.18,28.59,2600500,27.076155
"2021-01-11",28.59,28.77,28.309999,28.469999,3582400,26.962507
"2021-01-12",28.360001,28.690001,28.15,28.610001,3116900,27.095095
"2021-01-13",28.65,29.450001,28.639999,29.440001,2144500,27.881147
"2021-01-14",29.51,30.110001,29.34,29.85,3700600,28.269434
"2021-01-15",29.76,30,29.48,29.959999,2729100,28.37361
"2021-01-19",29.950001,29.99,28.959999,29.15,3919400,27.606501
"2021-01-20",29.200001,30.309999,29.059999,30.16,3568000,28.563021
"2021-01-21",29.9,29.98,29.559999,29.93,2933000,28.345198
"2021-01-22",29.799999,30.26,29.709999,30.18,2603000,28.581961
"2021-01-25",30.139999,30.860001,29.950001,30.389999,3402000,28.780842
"2021-01-26",30.42,30.700001,29.9,30.129999,2240200,28.534611
"2021-01-27",29.889999,30.200001,29.049999,29.17,3108100,27.625441
"2021-01-28",29.18,30.41,29.129999,30.01,3633300,28.420963
"2021-01-29",29.860001,30.25,29.15,29.65,3618200,28.080027
"2021-02-01",29.82,30.389999,29.42,30.379999,2470700,28.771372
"2021-02-02",30.559999,30.950001,30.280001,30.34,2353900,28.73349
"2021-02-03",30.08,30.65,29.74,30.549999,2649200,28.932369
"2021-02-04",30.65,31.18,30.43,30.690001,4153800,29.064957
"2021-02-05",30.65,30.9,30.389999,30.5,2740000,28.885017
"2021-02-08",30.549999,30.620001,30.16,30.26,2897700,28.657726
"2021-02-09",30.389999,30.48,29.690001,29.92,3743200,28.335728
"2021-02-10",30.120001,31.07,30,30.639999,5794100,29.017603
"2021-02-11",30.83,31.25,30.290001,31.200001,3555300,29.547953
"2021-02-12",31.059999,31.24,30.73,30.940001,2556000,29.30172
"2021-02-16",30.959999,31,30.049999,30.15,4470000,28.553551
"2021-02-17",30.15,30.5,29.83,30.299999,2630200,28.695606
"2021-02-18",30.110001,30.370001,29.9,30.23,2970300,28.629313
"2021-02-19",30.049999,30.17,29.75,29.780001,4437000,28.485834
"2021-02-22",29.700001,30.35,29.6,30.18,5387400,28.86845
"2021-02-23",30.469999,30.780001,30.129999,30.719999,3501600,29.384983
"2021-02-24",30.639999,31.379999,30.59,31.299999,3676900,29.939775
"2021-02-25",31.219999,31.370001,29.610001,29.780001,3615200,28.485834
"2021-02-26",29.959999,30.16,29.040001,29.09,5326800,27.825819
"2021-03-01",29.469999,29.99,29.26,29.58,5272900,28.294525
"2021-03-02",29.530001,30,29.09,29.77,5302200,28.476271
"2021-03-03",29.77,29.83,29.139999,29.26,3473000,27.988432
"2021-03-04",29.280001,29.790001,29.040001,29.49,5499800,28.208437
"2021-03-05",29.59,29.92,28.860001,29.809999,3377700,28.514528
"2021-03-08",29.99,30.690001,29.620001,30.24,3288500,28.925842
"2021-03-09",30.34,30.870001,30.209999,30.23,2957300,28.916277
"2021-03-10",30.41,30.969999,30.18,30.77,3165500,29.43281
"2021-03-11",30.790001,31.51,30.700001,31.129999,4650500,29.777164
"2021-03-12",31.129999,31.82,31.040001,31.76,4961200,30.379787
"2021-03-15",31.870001,32.349998,31.559999,32.07,5069300,30.676315
"2021-03-16",32.150002,32.299999,31.77,32.130001,3157600,30.733707
"2021-03-17",31.870001,32.66,31.700001,32.490002,4673000,31.078062
"2021-03-18",32.299999,32.34,31.9,32.080002,2807700,30.685884
