"","PEP.Open","PEP.High","PEP.Low","PEP.Close","PEP.Volume","PEP.Adjusted"
"2020-07-01",132.529999,133.619995,131.940002,132.360001,3633000,125.082886
"2020-07-02",133.539993,134.169998,132.539993,132.850006,2769200,125.545975
"2020-07-06",133.080002,133.949997,132.309998,133.300003,4221600,125.971214
"2020-07-07",132.270004,134.619995,132.169998,133.570007,4424500,126.226372
"2020-07-08",134.160004,134.690002,133.160004,134.220001,3798200,126.84063
"2020-07-09",132.899994,133.940002,131.729996,132.710007,4005200,125.413681
"2020-07-10",132.369995,134.889999,131.279999,134.460007,5932800,127.067436
"2020-07-13",136.770004,138.070007,134.470001,134.910004,8960000,127.492706
"2020-07-14",134.589996,136.949997,134.25,135.520004,6766800,128.069168
"2020-07-15",135.350006,136.190002,133.25,133.690002,5561300,126.33979
"2020-07-16",134.059998,134.360001,133.050003,133.880005,3788100,126.519333
"2020-07-17",134.649994,135.059998,133.550003,134.660004,3229300,127.25647
"2020-07-20",134.610001,134.610001,132.179993,133.110001,3620300,125.791664
"2020-07-21",134,136.410004,133.789993,134.429993,5435400,127.039093
"2020-07-22",135.559998,136.25,133.679993,136.009995,3522300,128.532227
"2020-07-23",136.589996,137.25,135.490005,137.080002,5011400,129.543396
"2020-07-24",136.990005,138.639999,135.389999,136.059998,3300000,128.579498
"2020-07-27",135.529999,137.759995,134.850006,137.669998,3607700,130.100983
"2020-07-28",137.979996,138.589996,137.089996,137.380005,3787500,129.826904
"2020-07-29",137.380005,139,137.039993,137.929993,3179000,130.346649
"2020-07-30",137.240005,138.220001,136.479996,137.690002,2817600,130.119858
"2020-07-31",137.259995,137.699997,135.199997,137.660004,4304100,130.091522
"2020-08-03",137.110001,137.5,136,136.699997,2819200,129.18428
"2020-08-04",137.520004,137.589996,136.020004,137.470001,2553500,129.911972
"2020-08-05",138.149994,138.149994,135.770004,136.25,2924000,128.759048
"2020-08-06",135.270004,136.289993,135.270004,135.860001,2692900,128.390488
"2020-08-07",135.940002,136.759995,135.369995,136.740005,3692100,129.222107
"2020-08-10",136.320007,136.880005,135.380005,135.979996,3052000,128.503876
"2020-08-11",136.970001,137.449997,134.619995,135.119995,3301200,127.691162
"2020-08-12",135.339996,138.679993,135.25,137.800003,4424600,130.223816
"2020-08-13",137.100006,138.610001,137.100006,138.100006,2393500,130.507324
"2020-08-14",138.110001,138.169998,137.199997,137.559998,2461700,129.997025
"2020-08-17",137.5,138.889999,137.050003,137.919998,2862500,130.33725
"2020-08-18",138.610001,138.610001,137.039993,138.110001,2638600,130.516769
"2020-08-19",138.690002,138.789993,136.100006,136.449997,3682200,128.948044
"2020-08-20",135.660004,137.149994,135.630005,136.720001,2263000,129.203186
"2020-08-21",136.369995,136.660004,135.25,136.460007,4295600,128.957504
"2020-08-24",136.460007,137.679993,136.110001,137.639999,3177800,130.072617
"2020-08-25",138.259995,138.380005,136.699997,137.300003,2597400,129.751312
"2020-08-26",136.580002,138.660004,136.380005,138.470001,6019700,130.856995
"2020-08-27",138.710007,139.929993,137.910004,138.399994,4159300,130.790817
"2020-08-28",138.520004,139.960007,137.240005,139.940002,3355400,132.246185
"2020-08-31",139.320007,141.020004,139,140.059998,3828700,132.359589
"2020-09-01",140.25,140.479996,138.509995,139.190002,3421700,131.537399
"2020-09-02",139.520004,143.820007,139.350006,143.289993,4918200,135.411987
"2020-09-03",142.770004,144.039993,138.119995,139.369995,6642400,132.654572
"2020-09-04",139.660004,140.309998,136.940002,138.759995,4836400,132.073944
"2020-09-08",138.309998,138.630005,134.410004,135.550003,4901500,129.018631
"2020-09-09",135.5,138.460007,135.399994,137.110001,4282300,130.503464
"2020-09-10",136.600006,137.550003,133.880005,134.759995,6050500,128.266693
"2020-09-11",135.220001,136.380005,134.229996,135.809998,3411900,129.266098
"2020-09-14",136.529999,137.5,135.800003,136.669998,2779000,130.084686
"2020-09-15",136.479996,137.240005,135.410004,135.619995,4080800,129.085236
"2020-09-16",136.279999,136.600006,134.779999,134.979996,3353500,128.476105
