"","PFG.Open","PFG.High","PFG.Low","PFG.Close","PFG.Volume","PFG.Adjusted"
"2020-07-01",41.900002,42.310001,39.91,40.16,1643100,37.067406
"2020-07-02",41.48,42.389999,40.66,40.790001,1495300,37.648895
"2020-07-06",42.02,43.27,41.889999,42.259998,2066400,39.005692
"2020-07-07",41.630001,42.009998,40.939999,41.009998,1088400,37.851955
"2020-07-08",41.169998,41.889999,41,41.869999,1406900,38.645725
"2020-07-09",41.880001,41.880001,39.73,39.849998,1727700,36.781277
"2020-07-10",40.049999,41.93,40.049999,41.889999,1354900,38.664188
"2020-07-13",42.400002,42.849998,41.630001,41.860001,1376800,38.636501
"2020-07-14",42.040001,42.68,41.41,42.529999,1088600,39.254902
"2020-07-15",43.599998,44.799999,43.080002,44.560001,1819300,41.128571
"2020-07-16",44.02,45.32,43.509998,44.759998,1265400,41.313175
"2020-07-17",44.73,44.73,43.990002,44.509998,1200000,41.082432
"2020-07-20",43.849998,44.389999,43.560001,43.860001,1073300,40.482483
"2020-07-21",44.110001,45.200001,44.110001,44.799999,1085800,41.350094
"2020-07-22",44.779999,45.25,44.279999,44.98,967100,41.516235
"2020-07-23",44.84,45.380001,44.59,45.02,959600,41.553154
"2020-07-24",44.950001,45.279999,44.459999,44.77,1280900,41.322407
"2020-07-27",44.43,44.880001,43.709999,44.709999,1382300,41.267025
"2020-07-28",46.990002,47,43.299999,43.43,2650800,40.085594
"2020-07-29",43.330002,43.970001,42.77,43.880001,1828500,40.500942
"2020-07-30",42.580002,42.599998,41.630001,42.450001,1889300,39.181061
"2020-07-31",42.43,42.5,41.529999,42.43,4589800,39.162601
"2020-08-03",42.759998,43.700001,42.189999,42.970001,1788000,39.661026
"2020-08-04",42.619999,43.490002,42.509998,43.240002,1587300,39.910233
"2020-08-05",43.700001,44.990002,43.310001,44.650002,1706900,41.211647
"2020-08-06",44.130001,44.349998,42.889999,42.950001,1541500,39.642563
"2020-08-07",42.650002,44.34,42.599998,44.32,1614100,40.907059
"2020-08-10",44.720001,45.810001,44.43,45.560001,1139400,42.051567
"2020-08-11",46.599998,47.400002,46.119999,46.18,1821900,42.623821
"2020-08-12",46.93,47,45.049999,45.43,1183700,41.93158
"2020-08-13",44.810001,45.439999,44.580002,44.889999,801100,41.43317
"2020-08-14",44.599998,45.529999,44.540001,45.220001,1086000,41.737759
"2020-08-17",45.220001,45.299999,44.310001,44.400002,973800,40.980904
"2020-08-18",44.68,44.849998,43.650002,43.759998,671900,40.390182
"2020-08-19",43.57,44.400002,43.459999,43.689999,847900,40.325569
"2020-08-20",43.200001,43.459999,42.880001,43.139999,837800,39.817924
"2020-08-21",43.189999,43.48,42.330002,42.610001,885600,39.328739
"2020-08-24",43.150002,44.669998,42.93,44.619999,855400,41.18396
"2020-08-25",45,45.43,44.169998,44.310001,814300,40.897831
"2020-08-26",44.09,44.150002,43.610001,43.709999,791200,40.344032
"2020-08-27",43.610001,44.900002,43.610001,44.34,989300,40.925514
"2020-08-28",44.709999,44.720001,43.75,44.330002,964300,40.916298
"2020-08-31",43.799999,43.810001,42.07,42.110001,1691100,39.364517
"2020-09-01",41.75,43.279999,41.540001,42.880001,1251900,40.084316
"2020-09-02",42.77,43.459999,42.209999,43.299999,1257200,40.476933
"2020-09-03",43.639999,44.529999,42.119999,42.52,1392900,39.747787
"2020-09-04",43.540001,43.860001,42.599998,43.419998,1351400,40.589108
"2020-09-08",43.040001,43.349998,41.73,42.09,1691400,39.345821
"2020-09-09",42.669998,42.740002,41.68,41.849998,1078700,39.121468
"2020-09-10",41.98,42.799999,40.650002,40.77,1300500,38.111889
"2020-09-11",40.779999,41.59,40.470001,41.07,1204700,38.392319
"2020-09-14",41.439999,41.810001,41,41.32,973700,38.626019
"2020-09-15",41.349998,41.529999,39.93,39.950001,1091700,37.345341
"2020-09-16",40.139999,41.990002,39.98,41.610001,1856700,38.897114
"2020-09-17",41.139999,41.48,40.639999,41.290001,1335600,38.597973
"2020-09-18",41.139999,41.330002,40.139999,40.16,1777000,37.541656
"2020-09-21",38.959999,39.490002,38.279999,39,1596100,36.457283
"2020-09-22",39.09,39.639999,38.330002,38.82,1101600,36.289013
"2020-09-23",39.049999,39.82,37.73,37.790001,1190600,35.326172
"2020-09-24",37.939999,38.689999,37.029999,38.23,1159800,35.737488
"2020-09-25",37.73,38.91,37.48,38.630001,1209000,36.111408
"2020-09-28",39.57,40.369999,39.369999,40.099998,1626900,37.485565
"2020-09-29",39.75,40.139999,39.18,40.060001,1520300,37.448174
"2020-09-30",40.259998,40.869999,39.84,40.27,1541500,37.644482
"2020-10-01",40.369999,40.810001,39.849998,40.360001,1356400,37.728619
"2020-10-02",39.720001,41.34,39.720001,41.049999,810700,38.373627
"2020-10-05",41.52,42.400002,41.5,41.880001,826300,39.149513
"2020-10-06",42.25,43.150002,41.59,41.73,1476400,39.009289
"2020-10-07",42.169998,43.189999,42.169998,43.09,1050100,40.280621
"2020-10-08",43.43,43.75,42.950001,43.450001,897600,40.617153
"2020-10-09",43.709999,43.93,42.41,42.470001,1269300,39.701046
"2020-10-12",42.68,43,42.299999,42.799999,1048500,40.009529
"2020-10-13",42.32,42.59,41.099998,41.25,887300,38.560585
"2020-10-14",41.209999,41.900002,41.209999,41.240002,1148300,38.551239
"2020-10-15",40.73,41.57,40.509998,41.560001,986000,38.850376
"2020-10-16",41.700001,41.869999,40.860001,41.200001,857000,38.513847
"2020-10-19",41.299999,41.93,40.799999,40.869999,787000,38.20536
"2020-10-20",41.5,42.029999,41.119999,41.220001,852200,38.532539
"2020-10-21",41.240002,41.419998,40.959999,41.09,707400,38.411022
"2020-10-22",40.990002,43.119999,40.869999,42.939999,1291200,40.140404
"2020-10-23",43.509998,43.990002,43.130001,43.52,1420600,40.682587
"2020-10-26",42.84,42.919998,41.490002,41.990002,1299700,39.252342
"2020-10-27",40.66,41.200001,39.299999,39.349998,3035000,36.784458
"2020-10-28",38.200001,39.080002,37.799999,38.25,2462600,35.756184
"2020-10-29",37.959999,39.459999,37.5,39.119999,1674400,36.569454
"2020-10-30",38.700001,39.5,38.529999,39.220001,1130400,36.662937
"2020-11-02",40.07,40.099998,39.110001,39.709999,1204900,37.120987
"2020-11-03",40.740002,41.970001,40.580002,41.799999,1584600,39.07473
"2020-11-04",40.84,42.580002,39.849998,41.720001,2680800,38.999947
"2020-11-05",41.73,43.130001,41.599998,43.009998,1813200,40.205841
"2020-11-06",43.380001,43.490002,41.130001,41.369999,1858100,38.672768
"2020-11-09",44.540001,48.959999,44.529999,47.639999,3426900,44.53397
"2020-11-10",47.630001,47.709999,46.41,47.240002,2611000,44.160057
"2020-11-11",47.279999,47.380001,44.91,45.549999,1878600,42.580235
"2020-11-12",44.91,45.049999,43.970001,44.59,2588700,41.682827
"2020-11-13",44.98,46.52,44.720001,46.299999,765000,43.281338
"2020-11-16",48,48.470001,47.259998,48.32,1374200,45.16964
"2020-11-17",47.91,49.049999,47.380001,48.990002,1491600,45.795959
"2020-11-18",49.200001,50.200001,48.889999,48.990002,1425000,45.795959
"2020-11-19",48.509998,49.009998,48,48.93,1556900,45.739868
"2020-11-20",48.779999,49.139999,48.369999,49,1099700,45.805302
"2020-11-23",49.669998,50.830002,49.459999,50.639999,1540300,47.338375
"2020-11-24",51.27,52.669998,51.259998,52.599998,1584100,49.170589
"2020-11-25",51.990002,52.189999,51.09,52,711900,48.609707
"2020-11-27",51.779999,52.189999,51.400002,51.400002,602700,48.048832
"2020-11-30",51.16,51.580002,49.610001,49.790001,2464500,46.543797
"2020-12-01",50.029999,50.150002,49.07,49.619999,2550900,46.912514
"2020-12-02",49.290001,51.09,49.080002,50.860001,1398000,48.084862
"2020-12-03",50.540001,51.84,50.540001,51.360001,1374900,48.557575
"2020-12-04",51.919998,52.700001,51.849998,52.279999,1111400,49.427372
"2020-12-07",51.650002,51.700001,50.34,50.709999,1377600,47.943043
