"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2020-07-01",79.959999,80.800003,79.639999,79.800003,2970000,74.367912
"2020-07-02",80.489998,80.489998,78.800003,79.230003,2493800,73.836716
"2020-07-06",80.190002,80.489998,79.190002,79.419998,2312900,74.1073
"2020-07-07",79.099998,79.25,77.720001,78.019997,2559700,72.800957
"2020-07-08",78.059998,78.5,76.32,77.370003,3326500,72.194458
"2020-07-09",77.379997,77.970001,76.160004,77.790001,2764700,72.586342
"2020-07-10",78.269997,80.959999,78.25,80.760002,2313800,75.357681
"2020-07-13",80.919998,81.32,79.68,80.330002,2266400,74.956436
"2020-07-14",80.629997,84.510002,80.449997,84.5,6820700,78.847488
"2020-07-15",85,86.489998,84.349998,85.889999,3965200,80.144508
"2020-07-16",85.849998,87.589996,85.720001,87.110001,2652400,81.282906
"2020-07-17",87.360001,87.760002,86.389999,87.629997,2659000,81.76812
"2020-07-20",87.699997,88.410004,87.43,88.129997,1825400,82.234657
"2020-07-21",88.050003,89.389999,88.050003,88.849998,1712600,82.906494
"2020-07-22",89.150002,90.220001,88.519997,90.139999,1789100,84.110214
"2020-07-23",89.970001,90.720001,88.339996,88.639999,1999900,82.710548
"2020-07-24",88.860001,89.169998,87.510002,87.860001,2204400,81.982727
"2020-07-27",87.839996,88.300003,86.800003,87.300003,2060100,81.46019
"2020-07-28",87.529999,87.830002,86.660004,87.419998,2470200,81.572159
"2020-07-29",87.010002,89.260002,87.010002,88.919998,1880500,82.971817
"2020-07-30",87.889999,89.330002,87.68,88.519997,2119900,82.598587
"2020-07-31",87.889999,90.410004,87.889999,90.339996,4016500,84.296822
"2020-08-03",90.699997,91.230003,89.650002,89.889999,2134400,83.87693
"2020-08-04",89.580002,90.470001,89.43,90.25,2496900,84.212852
"2020-08-05",91.029999,91.809998,90.559998,90.620003,2073500,84.558105
"2020-08-06",90.699997,91.379997,88.910004,89.610001,2514600,83.615654
"2020-08-07",89.309998,90.769997,89.309998,90.730003,1735400,84.660751
"2020-08-10",90.989998,91.139999,89.709999,90.120003,2410700,84.091553
"2020-08-11",90.93,91.120003,88.870003,89.019997,2468200,83.065125
"2020-08-12",90.029999,90.480003,88.720001,89.010002,2058900,83.055801
"2020-08-13",88.379997,89.050003,87.93,89.040001,1994800,83.083801
"2020-08-14",89,89.559998,88.599998,88.970001,1731200,83.018478
"2020-08-17",88.550003,89.779999,88.470001,88.830002,1709100,82.887856
"2020-08-18",88.959999,89.959999,88.900002,89.739998,1510200,83.736961
"2020-08-19",90.160004,91.019997,89.949997,90.410004,2728000,84.362144
"2020-08-20",90.279999,91.050003,90.089996,90.839996,1663200,84.763382
"2020-08-21",91.220001,91.989998,90.809998,91.82,2085600,85.677841
"2020-08-24",92,92.339996,91.43,92,2535000,85.845787
"2020-08-25",92.449997,93.029999,91.720001,92.769997,2443900,86.564278
"2020-08-26",92.07,92.739998,91.519997,92.169998,1603500,86.00441
"2020-08-27",92.489998,93.900002,92.489998,93.309998,1407300,87.068169
"2020-08-28",93.68,93.82,93.120003,93.68,1425600,87.413399
"2020-08-31",93.709999,95.349998,93.099998,95.040001,2169100,88.682434
"2020-09-01",94.800003,95.290001,93.080002,93.870003,2426200,87.590706
"2020-09-02",94.110001,95.370003,93.25,95,1774100,88.645103
"2020-09-03",95.589996,96.199997,92.660004,93.290001,2378000,87.049507
"2020-09-04",93.989998,95.050003,92.43,92.940002,2059500,86.722916
"2020-09-08",93.089996,93.089996,90.629997,91.809998,2398200,85.668503
"2020-09-09",92.339996,95.410004,92.339996,94.669998,1826900,88.337181
"2020-09-10",94.470001,95.589996,94.150002,94.349998,1912000,88.038589
"2020-09-11",94.300003,95.669998,94.18,94.980003,1494700,88.62645
"2020-09-14",95.68,96.580002,95.370003,96.260002,1838700,89.820824
"2020-09-15",96.370003,96.900002,94.940002,95.080002,1764100,88.719765
"2020-09-16",95.889999,96.25,95.050003,95.080002,1808200,88.719765
"2020-09-17",94.389999,95.989998,93.809998,95.43,2322200,89.046341
"2020-09-18",95.120003,97.519997,94.940002,96.860001,3894600,90.380684
"2020-09-21",95.690002,97.379997,95.360001,97.360001,2740800,90.847244
"2020-09-22",96.709999,97.809998,93.480003,94.419998,2923100,88.103912
"2020-09-23",94.440002,94.699997,91.139999,91.190002,2881300,85.089981
"2020-09-24",91.730003,92.910004,90.889999,92.199997,1810400,86.03241
"2020-09-25",91.32,92.82,91.199997,92.599998,1676800,86.405647
"2020-09-28",93.559998,94.970001,93.25,93.980003,1826900,87.693344
"2020-09-29",94.129997,94.769997,93.589996,94.150002,1744700,87.851967
"2020-09-30",94.379997,94.989998,93.489998,94.669998,3119600,88.337181
"2020-10-01",95.080002,95.440002,92.720001,93.459999,2006300,87.208138
"2020-10-02",92.870003,95.300003,92.400002,94.209999,1586800,87.907959
"2020-10-05",95.18,96.080002,94.279999,95.980003,1325200,89.559563
"2020-10-06",96.099998,96.379997,94.449997,95.120003,1971300,88.849655
"2020-10-07",95.25,97,95.25,96.410004,2305500,90.054626
"2020-10-08",96.790001,98.019997,96.309998,97.970001,1393000,91.511795
"2020-10-09",98.040001,99.900002,97.68,99.879997,1919500,93.295876
"2020-10-12",99.989998,101.510002,99.480003,101.379997,2081200,94.696991
"2020-10-13",101.349998,102.050003,99.959999,100.269997,2206900,93.660156
"2020-10-14",100.57,102,99.559998,99.650002,2107800,93.081017
"2020-10-15",96.139999,99.059998,96.010002,97.510002,2740800,91.082108
"2020-10-16",98.18,98.18,96.169998,96.519997,2815700,90.157356
"2020-10-19",97.449997,97.800003,95.480003,95.779999,1459900,89.466133
"2020-10-20",96.419998,96.730003,94.230003,94.589996,1934700,88.354584
"2020-10-21",94.849998,95.779999,93.330002,93.599998,2098500,87.429855
"2020-10-22",93.349998,95.220001,92.870003,94.389999,1918200,88.16777
"2020-10-23",94.559998,95.169998,94.32,94.620003,1562600,88.382622
"2020-10-26",93.879997,94.510002,92.580002,93.839996,1699900,87.65403
"2020-10-27",93.919998,94.800003,93.550003,93.800003,1505400,87.616669
"2020-10-28",92.5,93.489998,91.139999,91.57,1978500,85.533676
"2020-10-29",91.519997,91.980003,90.080002,91.059998,2176700,85.057289
