"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2020-07-01",119.650002,120.389999,118.900002,119.980003,6501200,113.65937
"2020-07-02",121,122.57,120.529999,120.879997,6150900,114.511963
"2020-07-06",121.769997,122.410004,120.879997,121.629997,6023300,115.22245
"2020-07-07",121.300003,123.25,120.889999,122.220001,6866300,115.781364
"2020-07-08",122.150002,123.239998,122,122.889999,6494100,116.416069
"2020-07-09",122.82,123.980003,121.809998,122.480003,5341000,116.027672
"2020-07-10",122.57,124.5,122.470001,123.889999,6752600,117.363396
"2020-07-13",124,125.589996,123.339996,124.050003,7681500,117.514946
"2020-07-14",123.989998,125.660004,123.5,125.089996,6272100,118.500183
"2020-07-15",125.980003,126.900002,124.260002,124.5,8145000,117.941254
"2020-07-16",125.080002,125.519997,123.910004,124.760002,3959300,118.187553
"2020-07-17",125.089996,126.07,124.830002,125.629997,4868600,119.011711
"2020-07-20",125.470001,125.839996,124.790001,125.239998,4242100,118.642265
"2020-07-21",125.489998,126.639999,124.919998,125.07,5162300,118.481224
"2020-07-22",125.5,126.400002,124.209999,126.139999,5929200,119.494865
"2020-07-23",126.120003,127.18,125.599998,126.160004,6664800,120.267975
"2020-07-24",126.989998,127.769997,125.32,125.959999,6014200,120.077324
"2020-07-27",125.709999,126.639999,125.540001,126.32,6464600,120.420517
"2020-07-28",126.370003,128.460007,126.290001,127.879997,7644400,121.907654
"2020-07-29",127.559998,129.240005,127.360001,128.309998,6702000,122.317566
"2020-07-30",130.660004,132.029999,129.649994,131.419998,10400700,125.282326
"2020-07-31",130.660004,131.210007,129.270004,131.119995,8487000,124.996338
"2020-08-03",130.470001,131.919998,130.470001,131.289993,7769400,125.158386
"2020-08-04",130.770004,133.929993,130.699997,133.789993,7773700,127.541634
"2020-08-05",133.589996,134.649994,133.119995,133.440002,5680000,127.208
"2020-08-06",132.850006,133.369995,132.119995,132.710007,3974100,126.512085
"2020-08-07",132.889999,133.639999,132.449997,133.550003,4934900,127.312874
"2020-08-10",133.699997,134.440002,133.190002,134.100006,5812700,127.837196
"2020-08-11",134.270004,134.740005,132.789993,133.229996,5329900,127.007774
"2020-08-12",133.770004,135.970001,133.699997,135.460007,5920400,129.133682
"2020-08-13",135.080002,135.869995,134.929993,135.779999,4989500,129.438705
"2020-08-14",135.610001,135.639999,134.550003,135.100006,5845200,128.790466
"2020-08-17",134.940002,135.699997,134.660004,135.5,5603800,129.171768
"2020-08-18",135.809998,137.520004,135.419998,136.509995,8670700,130.134613
"2020-08-19",135.539993,136.320007,135.5,135.770004,6827700,129.429153
"2020-08-20",135.240005,136.979996,135.190002,136.850006,4352200,130.45874
"2020-08-21",136.600006,138.100006,135.910004,137.440002,5706600,131.021179
"2020-08-24",137.490005,138.779999,137.199997,138.509995,7420500,132.041199
"2020-08-25",139,139.149994,137.800003,139.059998,4718300,132.565506
"2020-08-26",138.570007,139.320007,138.25,138.389999,4746200,131.926819
"2020-08-27",138.839996,139.690002,138.179993,138.210007,6156100,131.755203
"2020-08-28",138.320007,138.910004,136.949997,138.770004,4166300,132.289078
"2020-08-31",138.190002,138.729996,137.820007,138.330002,5596800,131.869614
"2020-09-01",137.860001,138.220001,137.070007,138.179993,5671800,131.726608
"2020-09-02",138.110001,141.440002,137.610001,140.509995,8384800,133.9478
"2020-09-03",140.740005,141.699997,137.089996,138.259995,7277900,131.802872
"2020-09-04",137.809998,139.190002,136.119995,137.960007,7437700,131.516907
