"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume","PHM.Adjusted"
"2020-07-01",34.169998,34.259998,32.959999,32.98,3022800,32.20945
"2020-07-02",33.73,34.130001,32.720001,32.880001,2497600,32.111794
"2020-07-06",33.700001,34.32,33.43,34.099998,2749000,33.303284
"2020-07-07",33.630001,34.509998,33.580002,33.919998,4111000,33.127495
"2020-07-08",34.18,35.52,34.029999,35.27,3366800,34.44595
"2020-07-09",35.529999,35.599998,33.630001,33.880001,3110900,33.088425
"2020-07-10",34.07,35.060001,33.990002,35.009998,2602700,34.192028
"2020-07-13",35.150002,35.48,33.860001,33.889999,3319900,33.098194
"2020-07-14",33.740002,35.490002,33.709999,35.450001,2869100,34.621746
"2020-07-15",36.48,36.529999,35.240002,36.18,2809100,35.33469
"2020-07-16",35.98,37,35.639999,36.75,3297300,35.891373
"2020-07-17",37.48,37.939999,36.970001,37.299999,4351600,36.428524
"2020-07-20",37.16,37.810001,36.73,37.580002,3881200,36.701981
"2020-07-21",37.049999,37.880001,36.77,37.700001,3043300,36.819172
"2020-07-22",37.959999,39.740002,37.709999,39.439999,4099300,38.518517
"2020-07-23",41.919998,43.990002,40.740002,41.290001,9080800,40.325294
"2020-07-24",41.779999,42.91,40.700001,42.619999,5236100,41.624226
"2020-07-27",43.380001,44.400002,42.57,44.240002,4976400,43.206383
"2020-07-28",44.549999,44.98,43.43,43.490002,4662200,42.4739
"2020-07-29",43.66,44.740002,43.619999,44.700001,2752900,43.655628
"2020-07-30",43.869999,44.389999,43.470001,43.869999,2245000,42.845016
"2020-07-31",43.869999,43.869999,42.509998,43.599998,2696400,42.581326
"2020-08-03",43.869999,44.639999,43.59,44.029999,2261900,43.001278
"2020-08-04",43.849998,44.369999,43.619999,44.139999,2358400,43.108711
"2020-08-05",44.290001,44.759998,43.84,44.509998,1895700,43.470062
"2020-08-06",44.450001,44.950001,44.259998,44.720001,1830000,43.675159
"2020-08-07",44.220001,44.619999,43.57,44.259998,2446400,43.22591
"2020-08-10",44.48,46.16,44.209999,45.16,3426400,44.104877
"2020-08-11",45.639999,46.060001,44.150002,44.369999,3295000,43.333336
"2020-08-12",44.740002,45.75,44.349998,45.439999,2288500,44.378334
"2020-08-13",45.23,45.84,44.59,45.52,2281800,44.45647
"2020-08-14",45.16,45.25,44.799999,45.07,2200800,44.016987
"2020-08-17",45.349998,46.66,45.200001,46.43,3461500,45.345211
"2020-08-18",47.43,47.43,46.470001,46.610001,3209900,45.521004
"2020-08-19",46.34,46.599998,45.75,46.169998,2003500,45.091282
"2020-08-20",45.709999,46.880001,45.549999,46.34,2132500,45.257309
"2020-08-21",46.369999,47.639999,46.18,47.48,2006300,46.370678
"2020-08-24",47.59,47.900002,46.889999,47.619999,2095100,46.507404
"2020-08-25",48,48,46.540001,47.18,2174500,46.077682
"2020-08-26",47.240002,47.389999,46.25,46.290001,2369500,45.208481
"2020-08-27",46.59,47,45.73,45.75,2794300,44.681099
"2020-08-28",46.02,46.419998,45.189999,45.32,2356600,44.261143
"2020-08-31",45.470001,45.470001,44.209999,44.59,2451300,43.548195
"2020-09-01",44.529999,46.060001,44.27,46.049999,2325300,44.974087
"2020-09-02",46.290001,46.419998,44.759998,46.139999,1854600,45.061981
"2020-09-03",46.16,46.27,43.669998,44.189999,2416800,43.157539
"2020-09-04",44.450001,44.93,42.18,43.209999,2922900,42.200439
"2020-09-08",42.59,44.310001,42.310001,43.189999,3022300,42.180908
"2020-09-09",43.740002,45,43.459999,44.599998,2769500,43.557961
"2020-09-10",44.860001,45.48,44.209999,44.5,1921700,43.4603
