"","PKG.Open","PKG.High","PKG.Low","PKG.Close","PKG.Volume","PKG.Adjusted"
"2020-07-01",99.860001,100.169998,97.720001,99.370003,661800,93.710274
"2020-07-02",100.5,101.019997,98.540001,99.650002,906000,93.974327
"2020-07-06",100.910004,101.980003,98.510002,100,742400,94.304405
"2020-07-07",99.010002,99.650002,98.010002,98.669998,577600,93.050148
"2020-07-08",98.339996,98.879997,95.330002,96.309998,607400,90.824554
"2020-07-09",96.529999,96.529999,94.849998,95.370003,606400,89.938103
"2020-07-10",95.959999,98.970001,95.959999,98.889999,484400,93.257614
"2020-07-13",99.25,100.300003,98.230003,98.779999,479100,93.153862
"2020-07-14",98.889999,102.230003,98.860001,102.120003,715200,96.303658
"2020-07-15",104.209999,104.209999,101.610001,102.839996,659800,96.982635
"2020-07-16",102.860001,108.360001,102.720001,107.050003,1011900,100.95285
"2020-07-17",107.32,107.32,104.620003,104.709999,879900,98.746132
"2020-07-20",105.139999,105.150002,103.339996,103.720001,370200,97.812515
"2020-07-21",103.68,105.150002,103.580002,104.120003,455000,98.189735
"2020-07-22",104.050003,104.949997,103.25,104.269997,445800,98.3312
"2020-07-23",103.870003,105.309998,103.139999,103.459999,510300,97.567314
"2020-07-24",103.860001,104.389999,102.410004,102.790001,393800,96.935486
"2020-07-27",102.43,104.129997,101.360001,103.529999,688400,97.633339
"2020-07-28",103.07,103.790001,101.099998,101.980003,964300,96.171623
"2020-07-29",102.010002,103.089996,99.519997,101.970001,940700,96.162201
"2020-07-30",100.580002,101.650002,97.709999,98.279999,828400,92.682358
"2020-07-31",100.580002,100.580002,94.610001,96.120003,824900,90.645386
"2020-08-03",96.790001,97.110001,95.470001,95.949997,728300,90.485069
"2020-08-04",94.760002,95.980003,93.959999,95.370003,1750500,89.938103
"2020-08-05",96.290001,97.410004,95.790001,95.860001,758400,90.4002
"2020-08-06",95.959999,96.43,94.919998,95.010002,696800,89.59861
"2020-08-07",92.169998,95.529999,92.019997,95.470001,2132500,90.03241
"2020-08-10",95.690002,97.559998,95.169998,97.559998,1882100,92.003365
"2020-08-11",98.720001,101.760002,98.57,100,946300,94.304405
"2020-08-12",100.620003,101.43,98.449997,99.400002,494100,93.738564
"2020-08-13",98.739998,99.830002,98.389999,99.220001,375100,93.568817
"2020-08-14",98.489998,100.470001,98.199997,99.669998,348200,93.993187
"2020-08-17",99.900002,100.669998,98.970001,99.230003,406800,93.578255
"2020-08-18",99.309998,99.779999,97.989998,98.029999,349800,92.446594
"2020-08-19",98.68,99.889999,97.690002,98.110001,647400,92.522041
"2020-08-20",96.849998,97.68,95.730003,96.720001,306800,91.211212
"2020-08-21",96.720001,97.349998,95.550003,95.959999,422100,90.494499
"2020-08-24",96.75,100.029999,96.75,99.720001,571500,94.040337
"2020-08-25",100.18,100.400002,97.760002,99.190002,518000,93.54052
"2020-08-26",98.870003,100,98.389999,99.860001,614200,94.172371
"2020-08-27",99.980003,102.410004,99.959999,102.099998,932800,96.284798
"2020-08-28",102.169998,102.940002,101.720001,102.269997,604900,96.445091
"2020-08-31",103.07,103.269997,100.32,101.239998,770600,95.473763
"2020-09-01",101.129997,104.239998,100.639999,104.220001,680200,98.284042
"2020-09-02",104.349998,107.199997,103.720001,107.139999,800100,101.037735
"2020-09-03",107.139999,108.040001,104.089996,105.949997,1175200,99.915504
"2020-09-04",106.970001,107.660004,105.120003,106.550003,732800,100.481346
"2020-09-08",105.849998,106.360001,103.449997,103.480003,743800,97.586197
"2020-09-09",104.550003,106.07,103.860001,104.510002,638900,98.557518
"2020-09-10",104.599998,105.419998,102.68,103.510002,916500,97.614471
"2020-09-11",103.639999,105.099998,103.059998,104.610001,675600,98.651833
"2020-09-14",104.760002,106.519997,104.230003,105.93,521100,100.656784
"2020-09-15",106.790001,107.889999,106.790001,107.529999,735500,102.177139
"2020-09-16",108.910004,111.610001,107.839996,111.010002,905900,105.48391
"2020-09-17",109.480003,113.459999,108.110001,112.959999,952100,107.336838
"2020-09-18",112.959999,114.32,112.610001,113.139999,1177300,107.507881
"2020-09-21",110.519997,111.459999,106.949997,108.029999,736200,102.652245
"2020-09-22",107.800003,109.010002,105.699997,107.150002,644800,101.816063
