"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2020-07-01",98,98.519997,96.540001,97.089996,737200,96.665092
"2020-07-02",97.699997,99.419998,97.669998,97.940002,748800,97.511383
"2020-07-06",98.779999,100.690002,98.739998,100.089996,735800,99.651955
"2020-07-07",99.349998,100.440002,99.019997,99.650002,574700,99.213898
"2020-07-08",100.209999,102.510002,100.110001,102.410004,1007100,101.961823
"2020-07-09",102.349998,104,102.169998,103.080002,1009600,102.628876
"2020-07-10",103.459999,103.459999,100.989998,101.470001,538800,101.025917
"2020-07-13",102.93,106.519997,102.809998,104.5,1768000,104.042664
"2020-07-14",104.419998,107.089996,103.959999,106.760002,1796200,106.292778
"2020-07-15",108.32,109.43,107.110001,108.970001,1579300,108.493103
"2020-07-16",109.410004,109.410004,107.900002,108.940002,1281500,108.532944
"2020-07-17",109.290001,110.580002,108.980003,108.980003,866800,108.572807
"2020-07-20",109.349998,110.900002,108.93,109.809998,702700,109.399696
"2020-07-21",110.470001,112.959999,110,111.589996,1027100,111.173042
"2020-07-22",111.470001,113.139999,111.230003,112.019997,955200,111.60144
"2020-07-23",112.209999,113.489998,111.559998,112.029999,432200,111.611397
"2020-07-24",111.370003,111.43,109.540001,110.370003,673400,109.957611
"2020-07-27",111.029999,115.419998,110.989998,114.970001,1295700,114.540421
"2020-07-28",114.470001,115.809998,112.709999,112.989998,1281100,112.56781
"2020-07-29",118.800003,121.440002,117.220001,119.639999,3076300,119.192955
"2020-07-30",118.839996,119.93,118.290001,118.809998,771800,118.366074
"2020-07-31",118.839996,119.010002,117.029999,118.910004,901800,118.465706
"2020-08-03",119.660004,121.919998,119.5,121.769997,1329200,121.315002
"2020-08-04",121.269997,122.330002,119.940002,120.82,869700,120.368568
"2020-08-05",121.779999,123.209999,121.190002,122.089996,935200,121.63382
"2020-08-06",122.07,122.580002,118.209999,119.050003,1140700,118.605186
"2020-08-07",119.029999,119.879997,118.660004,119.330002,769000,118.884132
"2020-08-10",119.190002,119.75,118.459999,118.599998,713100,118.156845
"2020-08-11",118.459999,119.209999,117.489998,117.709999,593100,117.270172
"2020-08-12",118.220001,120.550003,117.75,119.870003,537300,119.422119
"2020-08-13",119.870003,120.550003,119,120,760900,119.55162
"2020-08-14",119.760002,120.059998,117.660004,118.25,370700,117.808167
"2020-08-17",118.839996,120.269997,118.589996,119.669998,993500,119.222855
"2020-08-18",119.760002,120,117.760002,118.040001,1115200,117.598953
"2020-08-19",118.620003,118.910004,117.279999,117.690002,888600,117.250267
"2020-08-20",117,117.300003,116.279999,116.769997,534200,116.333687
"2020-08-21",116.779999,117.339996,116.610001,116.900002,811200,116.463196
"2020-08-24",117.730003,118.260002,114.75,115.220001,703700,114.78949
"2020-08-25",115.339996,116.629997,115.220001,116.220001,662800,115.785751
"2020-08-26",116.199997,119.800003,116.059998,119.440002,1064700,118.993713
"2020-08-27",115.489998,115.870003,111.459999,114.5,1546600,114.072182
"2020-08-28",114.82,116.940002,114.690002,116.910004,683000,116.473175
"2020-08-31",117.07,118.389999,116.82,117.720001,873000,117.280151
"2020-09-01",118.730003,119.529999,117.730003,119.389999,841200,118.943901
"2020-09-02",120.300003,122.290001,119.449997,122.059998,653200,121.603928
"2020-09-03",121.330002,121.330002,114.720001,116.040001,943700,115.606422
"2020-09-04",116.639999,116.639999,111.57,114.300003,804900,113.872925
"2020-09-08",112.800003,113.400002,111.5,112.010002,593400,111.591484
"2020-09-09",112.690002,115.139999,112.379997,114.25,434900,113.82312
"2020-09-10",114.849998,116.480003,113.139999,113.459999,601600,113.036072
"2020-09-11",116.139999,119.57,115.540001,117.690002,1144000,117.250267
"2020-09-14",118.57,118.93,117.07,117.730003,678700,117.290108
"2020-09-15",118.339996,119.269997,118.160004,118.510002,454800,118.067192
"2020-09-16",119.540001,120.629997,119,120.309998,762200,119.860458
