"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2020-07-01",93.519997,95.400002,92.889999,95.150002,2624800,91.083534
"2020-07-02",96.629997,97.190002,95.050003,95.550003,2717900,91.466431
"2020-07-06",97,97.940002,95.150002,95.559998,2510700,91.47599
"2020-07-07",94,95.769997,93.910004,94.830002,2555100,90.777191
"2020-07-08",94.93,95.82,94.779999,95.760002,3082900,91.66745
"2020-07-09",96,96.849998,94.379997,96.57,2583200,92.442841
"2020-07-10",95.940002,96.43,94.449997,94.82,3033200,90.767632
"2020-07-13",95.480003,96.440002,93.550003,93.57,4693900,89.571045
"2020-07-14",93.669998,94.230003,92.480003,93.379997,4206300,89.389153
"2020-07-15",94.610001,94.720001,92.669998,93.739998,3859600,89.733788
"2020-07-16",93.510002,94.510002,92.059998,92.099998,2902900,88.163864
"2020-07-17",92.830002,95.970001,92.5,95.339996,3325100,91.265396
"2020-07-20",94.93,95.830002,94.599998,94.730003,2385200,90.681473
"2020-07-21",98.629997,99.510002,97.07,97.93,3539900,93.744705
"2020-07-22",97.160004,98.75,96.440002,98.379997,3412900,94.175476
"2020-07-23",97.940002,100.610001,97.910004,98.900002,3099300,94.673256
"2020-07-24",98.610001,100.139999,97.970001,99.910004,3020600,95.640083
"2020-07-27",99.559998,101.889999,98.419998,101.760002,3130000,97.411026
"2020-07-28",101.599998,103.169998,101.160004,102.540001,3263300,98.157692
"2020-07-29",102.599998,106.230003,102.599998,106.169998,3888400,101.632545
"2020-07-30",104.980003,106.730003,104.330002,105.190002,2758300,100.694443
"2020-07-31",104.980003,105.580002,103.099998,105.419998,3832100,100.914612
"2020-08-03",105.480003,105.919998,104,104.980003,2062800,100.493416
"2020-08-04",104.690002,105.940002,104.080002,105.589996,2988300,101.077332
"2020-08-05",106.120003,106.5,104.629997,104.900002,1550500,100.416832
"2020-08-06",104.580002,105.82,104.57,104.879997,1743200,100.397682
"2020-08-07",104.370003,105.150002,104.099998,105.07,2014700,100.579559
"2020-08-10",105.309998,105.639999,103.730003,103.730003,2653600,99.296837
"2020-08-11",104.68,104.709999,100.080002,100.510002,3576100,96.214455
"2020-08-12",102.199997,103.080002,100.970001,102.879997,2751400,98.483154
"2020-08-13",102.5,103.730003,102.330002,102.639999,2104400,98.253418
"2020-08-14",102.339996,103.849998,102.029999,102.32,2689800,97.947098
"2020-08-17",102.300003,104.220001,102,104.209999,2087200,99.756317
"2020-08-18",104.080002,104.32,102.989998,103.650002,1490600,99.220245
"2020-08-19",103.75,104.050003,101.470001,101.739998,2827300,97.391876
"2020-08-20",101.529999,103.440002,101.25,102.690002,1794500,98.301285
"2020-08-21",103.540001,103.620003,101.849998,103.040001,1411000,98.636307
"2020-08-24",102.529999,102.68,100.419998,102,2015900,97.64077
"2020-08-25",102.510002,102.599998,100.949997,101.980003,3120900,97.62162
"2020-08-26",101.709999,101.959999,100.300003,101.029999,2780100,96.712219
"2020-08-27",101.669998,102.68,101.400002,101.900002,2035200,97.545036
"2020-08-28",102.629997,102.629997,101.220001,102.489998,1941800,98.109833
"2020-08-31",102.440002,102.68,100.879997,101.860001,2630400,97.506744
"2020-09-01",101.739998,101.889999,100.760002,101.5,1735600,97.16214
"2020-09-02",101.510002,104.660004,100.910004,104.580002,3236600,100.110512
"2020-09-03",104.349998,104.660004,100.610001,101.610001,2367900,97.267433
