"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"2020-07-01",70.129997,71,69.879997,69.989998,3565900,62.876965
"2020-07-02",71,71.209999,70.190002,70.459999,3493700,63.299198
"2020-07-06",71.18,71.379997,70,70.599998,3562800,63.424961
"2020-07-07",70,73.209999,69.370003,72.940002,8160600,65.527176
"2020-07-08",73,73.760002,71.559998,72.300003,7498900,64.952194
"2020-07-09",71.690002,72.199997,69.870003,70.139999,4345400,63.011719
"2020-07-10",70.699997,73.089996,70.510002,72.959999,5429100,65.54512
"2020-07-13",72.760002,73.879997,72.440002,73.5,5269400,66.030243
"2020-07-14",73.120003,74.440002,72.410004,74.309998,4781000,66.757912
"2020-07-15",74.779999,75.349998,74.529999,75,3909600,67.3778
"2020-07-16",74.769997,75.550003,74.339996,75.349998,3691800,67.69223
"2020-07-17",75.800003,75.800003,74.709999,75.029999,3299400,67.404755
"2020-07-20",74.599998,74.790001,72.470001,72.889999,5448500,65.482246
"2020-07-21",75.230003,76.919998,74.900002,75.919998,6862900,68.2043
"2020-07-22",76.25,76.32,74.040001,76,4904900,68.276169
"2020-07-23",75.879997,76.389999,75.230003,76.300003,5116900,68.5457
"2020-07-24",77,77.879997,76.269997,76.849998,5695000,69.03978
"2020-07-27",76.800003,78.699997,76.610001,78.540001,7595800,70.558044
"2020-07-28",78.540001,79.349998,77.889999,77.970001,4312300,70.045952
"2020-07-29",77.849998,78.690002,77.160004,78.389999,4635800,70.423271
"2020-07-30",77.760002,78.169998,77.190002,77.449997,3422600,69.578804
"2020-07-31",77.760002,77.760002,76.110001,76.809998,4995100,69.00386
"2020-08-03",76.529999,76.849998,75.93,76.529999,3171600,68.752312
"2020-08-04",76.040001,77.379997,76,77.099998,3399100,69.264381
"2020-08-05",77.199997,77.510002,76.459999,76.959999,4204000,69.138603
"2020-08-06",76.400002,77.199997,76.25,77.120003,2440100,69.282356
"2020-08-07",76.580002,77.510002,76.279999,77.5,2912300,69.623734
"2020-08-10",77.360001,78.459999,77.260002,78.370003,4291400,70.405312
"2020-08-11",79.400002,79.910004,78.419998,78.720001,4574400,70.719734
"2020-08-12",79.309998,80.059998,79,79.690002,4922200,71.591164
"2020-08-13",78.860001,78.989998,77.849998,78.139999,3925900,70.198685
"2020-08-14",77.769997,78.300003,77.370003,77.709999,2829700,69.812386
"2020-08-17",77.459999,78.540001,77.059998,78.260002,2542800,70.306488
"2020-08-18",78.650002,79.419998,78.25,79.18,2590700,71.132996
"2020-08-19",79.330002,79.769997,78.589996,78.699997,4483900,70.701759
"2020-08-20",78.360001,78.779999,78.010002,78.220001,2690700,70.270561
"2020-08-21",78.309998,78.589996,77.389999,78.059998,2790000,70.126808
"2020-08-24",78.290001,79.900002,78.040001,79.629997,2484400,71.537262
"2020-08-25",80.309998,80.459999,79.260002,79.620003,3365500,71.528267
"2020-08-26",78.769997,80.089996,78.239998,79.980003,3648600,71.851685
"2020-08-27",80.080002,81.220001,79.550003,80,3502000,71.869659
"2020-08-28",79.730003,80.800003,79.160004,80.739998,3119200,72.534447
"2020-08-31",80.510002,80.730003,79.75,79.790001,3582800,71.681
"2020-09-01",79.139999,79.5,78.639999,79.040001,3285500,71.007225
"2020-09-02",78.879997,80.410004,78.839996,79.980003,3321800,71.851685
"2020-09-03",80.57,81.610001,78.739998,79.32,4024000,71.258766
"2020-09-04",79.970001,80.419998,78.349998,79.150002,4107100,71.106041
"2020-09-08",79.43,79.589996,77.889999,79.029999,4235200,70.998238
"2020-09-09",79.75,81.470001,79.559998,80.470001,4483800,72.291885
"2020-09-10",80.400002,81.230003,79.769997,80.410004,3402800,72.237991
"2020-09-11",80.760002,81.5,80.32,81.230003,3007800,72.97464
"2020-09-14",81.620003,82.589996,81.309998,81.940002,3989600,73.612503
"2020-09-15",82.32,82.519997,81.370003,81.400002,3199200,73.12738
"2020-09-16",81.760002,82.239998,80.540001,80.599998,4103700,72.408676
"2020-09-17",80.389999,80.669998,79.160004,79.470001,5257000,71.393524
"2020-09-18",78.75,79.57,77.989998,78.080002,8811100,70.144783
"2020-09-21",78.099998,78.300003,76.360001,77.830002,5570000,69.920189
"2020-09-22",78.050003,78.790001,76.879997,77.010002,4908500,69.183525
"2020-09-23",76.540001,77.349998,75.290001,75.5,5012500,68.900627
"2020-09-24",75.57,77.080002,74.919998,76.349998,3597200,69.676323
"2020-09-25",75.68,76.010002,75.120003,75.400002,3836600,68.809364
"2020-09-28",76.300003,77.660004,76.169998,76.309998,3832600,69.639824
"2020-09-29",75.779999,76.120003,74.300003,74.339996,4060200,67.842003
"2020-09-30",74.540001,75.290001,74.349998,74.989998,5410400,68.435204
"2020-10-01",74.699997,74.970001,73.510002,74.139999,3934400,67.6595
"2020-10-02",73.580002,75.129997,73.449997,74.459999,2974500,67.95153
"2020-10-05",74.779999,76.059998,74.519997,75.910004,3703400,69.274796
"2020-10-06",76.230003,76.739998,75.309998,75.5,3323800,68.900627
"2020-10-07",76.849998,79.699997,76.559998,79.050003,6691300,72.140327
"2020-10-08",78.93,79.379997,77.849998,78.330002,6433400,71.483261
"2020-10-09",79.059998,79.75,78.68,78.879997,3120800,71.985168
"2020-10-12",79.089996,79.620003,78.519997,79.32,2842800,72.386719
"2020-10-13",79.290001,79.580002,78.07,79.209999,4414300,72.286331
"2020-10-14",78.559998,79.889999,77.830002,78.910004,3488200,72.012566
"2020-10-15",77.870003,79.32,77.849998,79.139999,2406000,72.222458
"2020-10-16",79.349998,79.870003,79.029999,79.269997,3033600,72.341087
"2020-10-19",78.980003,79.360001,77.690002,77.839996,4671600,71.036079
"2020-10-20",77.75,77.849998,73.300003,73.330002,9405900,66.920303
"2020-10-21",73.93,75.209999,73.68,73.82,7273500,67.36747
"2020-10-22",74.760002,75.080002,73.919998,74.860001,4733500,68.316559
"2020-10-23",75.260002,75.370003,74.309998,74.449997,3823000,67.942398
"2020-10-26",73.860001,73.919998,72.809998,73.650002,5055900,67.212326
"2020-10-27",73.349998,73.529999,71.190002,71.330002,5377700,65.095123
"2020-10-28",70.040001,71.120003,69.540001,70.040001,5709000,63.917881
"2020-10-29",69.660004,71.110001,68.93,70.639999,6457600,64.465424
"2020-10-30",70.120003,71.150002,69.940002,71.019997,6155900,64.812202
"2020-11-02",71.940002,72.25,70.919998,71.629997,4315600,65.368889
"2020-11-03",71.980003,73.059998,71.68,71.82,5043800,65.542297
"2020-11-04",72.239998,73.190002,71.449997,71.540001,4771200,65.286766
"2020-11-05",72.120003,72.480003,70.809998,70.900002,5811000,64.702705
"2020-11-06",71.019997,71.43,70.129997,70.449997,5465400,64.29203
"2020-11-09",72.800003,73.309998,71.580002,71.629997,8327700,65.368889
"2020-11-10",72.639999,74.970001,72.129997,74.75,7138400,68.216179
"2020-11-11",74.860001,75.18,73.550003,75.110001,4586400,68.544701
"2020-11-12",74.470001,74.699997,73.169998,74.5,4866200,67.988029
"2020-11-13",75,76.040001,74.75,75.889999,4887000,69.256538
"2020-11-16",77.370003,78.720001,76.629997,78.629997,5408400,71.757027
"2020-11-17",78.089996,78.970001,77.5,78.379997,3942100,71.528885
"2020-11-18",78.730003,79.209999,77.290001,77.470001,3703500,70.698425
"2020-11-19",76.760002,77.830002,76.389999,77.510002,3730300,70.734932
"2020-11-20",77.080002,77.510002,76.519997,76.730003,4877000,70.023117
"2020-11-23",76.040001,76.82,75.709999,76.629997,3975000,69.931862
"2020-11-24",77.040001,78.300003,76.93,78.019997,4430200,71.200348
"2020-11-25",77.809998,78.209999,76.870003,76.889999,3498400,70.169121
"2020-11-27",76.589996,77,75.75,75.900002,2523800,69.265656
"2020-11-30",75.699997,76.089996,75.419998,75.75,5539100,69.128777
"2020-12-01",76.019997,77.129997,75.690002,77.029999,6791700,70.29689
"2020-12-02",77.290001,78.110001,77.019997,78.07,5415000,71.245979
"2020-12-03",78.25,78.669998,77.699997,78.5,4313400,71.638397
"2020-12-04",78.529999,80.830002,78.529999,80.75,4678200,73.691727
"2020-12-07",81.010002,82.139999,80.550003,81.68,5224200,74.540428
"2020-12-08",81.279999,83.120003,80.879997,82.639999,5712800,75.416519
"2020-12-09",83.18,84.980003,82.839996,84.610001,6900000,77.214325
"2020-12-10",84.040001,85.410004,83.949997,84.970001,8787800,77.542862
"2020-12-11",84,85.199997,83.110001,85,4869000,77.570236
"2020-12-14",85.720001,85.779999,84.360001,84.400002,12877400,77.022682
"2020-12-15",84.82,85.199997,84.150002,84.290001,8624900,76.922295
"2020-12-16",84.290001,86.269997,84.209999,85.629997,9049500,78.145164
"2020-12-17",85.82,86,85.139999,85.669998,5799900,78.181671
"2020-12-18",85.379997,86.610001,85.099998,86.089996,12918200,78.564957
"2020-12-21",84.769997,84.769997,83.059998,84.169998,7672100,76.812775
"2020-12-22",82.669998,82.739998,81.269997,82.190002,5109300,76.090668
"2020-12-23",82.449997,82.720001,82.029999,82.199997,3702800,76.09993
"2020-12-24",82.160004,82.599998,82.029999,82.510002,1128500,76.386925
"2020-12-28",82.940002,83.57,82.07,82.489998,4528900,76.368393
"2020-12-29",83.110001,83.230003,81.660004,81.870003,2417300,75.794418
"2020-12-30",81.970001,82.199997,81.309998,81.480003,2886400,75.433357
"2020-12-31",81.459999,82.919998,81.290001,82.790001,2892300,76.646141
"2021-01-04",82.82,82.849998,79.860001,81.5,5389400,75.451874
"2021-01-05",82.18,83.089996,81.830002,82.389999,5282700,76.275826
"2021-01-06",82.709999,83.25,82.010002,82.5,6376600,76.37767
"2021-01-07",82.690002,83.360001,82.32,82.980003,4824300,76.822037
"2021-01-08",83.290001,83.75,82.470001,83.089996,4035600,76.923882
"2021-01-11",83.099998,83.690002,82.040001,82.309998,4698000,76.201759
"2021-01-12",82,82.349998,80.129997,81.07,5300300,75.05378
"2021-01-13",80.889999,81.419998,80.519997,81.209999,5280200,75.183403
"2021-01-14",81.230003,81.57,80.550003,81.18,5504700,75.155624
"2021-01-15",80.919998,81.370003,79.839996,80.940002,4492200,74.933434
"2021-01-19",81.440002,82.290001,80.809998,81.900002,7685100,75.822189
"2021-01-20",81.43,82.029999,81.010002,81.699997,4733500,75.637016
"2021-01-21",81.949997,82.080002,81.099998,81.330002,4166300,75.294487
"2021-01-22",81.120003,81.389999,80.519997,80.68,3156300,74.692726
"2021-01-25",80.5,81.360001,80.040001,81.339996,4156000,75.303741
"2021-01-26",81.5,82.290001,81.150002,81.989998,3713400,75.90551
"2021-01-27",81.099998,82.050003,79.440002,79.800003,5295400,73.878029
"2021-01-28",79.800003,82.07,79.720001,81.279999,3304800,75.248199
"2021-01-29",81.089996,81.449997,79.540001,79.650002,5107300,73.739159
"2021-02-01",79,79.730003,78.339996,79.059998,6209500,73.192932
"2021-02-02",79.660004,80.190002,79.209999,79.269997,4790700,73.38736
"2021-02-03",79.209999,80.839996,78.910004,80.230003,4275000,74.276123
"2021-02-04",80.029999,83.690002,80.019997,83.629997,5391300,77.423805
"2021-02-05",84.389999,84.790001,83.480003,84.279999,5048900,78.025566
"2021-02-08",84.400002,86.040001,84.150002,85.989998,4843300,79.608681
"2021-02-09",86.190002,86.699997,85.57,85.629997,4205400,79.275383
"2021-02-10",87,87.730003,85.040001,85.940002,5260600,79.562378
"2021-02-11",86.129997,86.43,84.970001,85.360001,3570300,79.025414
"2021-02-12",85.400002,86.18,85.059998,86.120003,3597400,79.729027
"2021-02-16",85.879997,86.220001,85.32,86,4323000,79.61792
"2021-02-17",85.699997,87.07,85.620003,86.610001,4908800,80.182655
"2021-02-18",86.110001,86.93,86,86.330002,6859800,79.923439
"2021-02-19",86.330002,86.669998,85.370003,85.449997,4289500,79.108734
"2021-02-22",85.160004,86.620003,84.739998,86.5,3525700,80.080818
"2021-02-23",87.639999,87.75,86.160004,86.440002,4090300,80.025276
"2021-02-24",86.019997,88.190002,86,87.559998,4560800,81.062149
"2021-02-25",87,87.93,86.389999,86.519997,3680000,80.099342
"2021-02-26",86.519997,86.910004,83.980003,84.019997,5651700,77.784866
"2021-03-01",84.730003,86.160004,84.470001,84.949997,3101200,78.645836
"2021-03-02",84.68,85.849998,84.68,85.07,3563600,78.756943
"2021-03-03",85.220001,86.050003,84.720001,85.150002,3147000,78.831001
"2021-03-04",85.220001,86.739998,84.300003,84.610001,4078000,78.331085
"2021-03-05",85.150002,86.480003,84.599998,86.160004,4470100,79.76606
"2021-03-08",86.139999,87.510002,85.889999,86.360001,3841500,79.951218
"2021-03-09",86.690002,87.720001,86.230003,87.07,7211700,80.608521
"2021-03-10",87.07,87.5,85.879997,86.760002,4644300,80.321526
"2021-03-11",86.489998,87.510002,86.059998,86.629997,3540300,80.201172
"2021-03-12",87.419998,87.790001,86.849998,87.720001,3070300,81.210297
"2021-03-15",88,88.360001,87.160004,87.68,5626500,81.173256
"2021-03-16",87.080002,88.239998,87.059998,88.199997,6356400,81.654655
"2021-03-17",88.470001,89.209999,88.110001,89.199997,4938300,82.580452
"2021-03-18",89,91.25,88.849998,90.559998,10661100,83.839531
"2021-03-19",89.139999,90.019997,88.57,89.25,10234700,83.736328
"2021-03-22",88.809998,90,88.18,89.980003,5804300,84.421227
"2021-03-23",89.489998,89.589996,87.779999,88.050003,4468600,82.610458
"2021-03-24",87.900002,89.360001,87.730003,88.550003,4296000,83.079575
"2021-03-25",88.510002,88.910004,87.760002,88.690002,3528800,83.210915
"2021-03-26",89.290001,90.720001,88.389999,90.580002,5045500,84.984154
"2021-03-29",90.339996,91.099998,89.769997,90.989998,4433600,85.368828
"2021-03-30",91,91.120003,89.029999,89.349998,3659800,83.830147
"2021-03-31",88.889999,89.209999,88.559998,88.739998,4916000,83.257828
"2021-04-01",88.419998,88.900002,87.330002,88.059998,4647100,82.619835
"2021-04-05",88.519997,89.419998,88.519997,88.599998,3593300,83.126488
"2021-04-06",88.410004,89.040001,87.669998,88.629997,3780100,83.154617
"2021-04-07",88.75,89.040001,87.739998,88.279999,3354600,82.826241
"2021-04-08",88.519997,89.660004,88.300003,89.440002,5045000,83.914589
"2021-04-09",89.699997,91.110001,89.57,91.07,5181100,85.443886
"2021-04-12",91.150002,91.75,90.830002,91.389999,4366500,85.744125
"2021-04-13",90.110001,91,89.989998,90.779999,5639700,85.171806
"2021-04-14",90.730003,91.290001,90.43,91.07,4058600,85.443886
"2021-04-15",91.690002,92.540001,91.400002,91.830002,4333200,86.156944
"2021-04-16",92.440002,93.089996,91.949997,92.910004,4948500,87.170219
"2021-04-19",93.349998,93.43,91.459999,91.669998,7362900,86.006821
"2021-04-20",91.089996,94.639999,90.209999,94,8163900,88.192886
"2021-04-21",94,95.599998,93.970001,94.190002,5418300,88.371147
"2021-04-22",94,94.730003,93.760002,94.010002,4861000,88.202263
"2021-04-23",93.470001,94.709999,93.379997,94.610001,3747100,88.76519
"2021-04-26",94.589996,94.830002,94.010002,94.389999,3157000,88.558784
"2021-04-27",94.470001,94.800003,94.150002,94.510002,4044300,88.671371
"2021-04-28",95,95.269997,94.059998,94.150002,3069500,88.333618
"2021-04-29",94.279999,95.18,93.809998,95.089996,4701800,89.215546
"2021-04-30",95.379997,95.400002,94.400002,95,5031600,89.131104
"2021-05-03",95.510002,96.540001,95.150002,95.849998,3755000,89.928589
"2021-05-04",95.830002,96.230003,94.599998,94.910004,5339700,89.046661
"2021-05-05",94.809998,95.540001,94.599998,95.440002,4029800,89.543922
"2021-05-06",95.989998,96.980003,95.68,96.82,6201100,90.838669
"2021-05-07",96.629997,97.620003,96.379997,97.410004,2718600,91.39222
"2021-05-10",97.629997,98.620003,97.580002,98.059998,4465800,92.00206
"2021-05-11",98.339996,98.459999,96.57,97.290001,3544000,91.279633
"2021-05-12",97.57,97.830002,96.089996,96.199997,3828000,90.256966
"2021-05-13",95.93,97.980003,95.830002,97.550003,4091200,91.523567
"2021-05-14",97.949997,98.559998,97.639999,97.699997,2375100,91.664299
"2021-05-17",97.510002,98.269997,97.510002,97.550003,2251500,91.523567
"2021-05-18",97.510002,97.919998,97.080002,97.690002,3240100,91.654922
"2021-05-19",97.360001,97.360001,95.839996,96.309998,5339000,90.360168
"2021-05-20",96.209999,97.779999,96.110001,97.419998,2582600,91.401596
"2021-05-21",97.650002,97.989998,96.699997,97.419998,3489000,91.401596
"2021-05-24",97.760002,98.489998,97.260002,98.160004,3044000,92.095886
"2021-05-25",98.040001,98.300003,96.699997,97.519997,3371600,91.495422
"2021-05-26",97.43,97.699997,96.849998,97.309998,2788700,91.298386
"2021-05-27",97.470001,97.790001,96.309998,96.68,3342700,90.707314
"2021-05-28",96.5,97.209999,96.379997,96.43,3746600,90.472763
"2021-06-01",97.010002,97.589996,96.540001,96.779999,2717200,90.80114
"2021-06-02",97.209999,97.370003,96.410004,96.809998,4373000,90.829277
"2021-06-03",96.269997,97.510002,96.080002,97.370003,3367300,91.354691
"2021-06-04",98,98.129997,97.470001,97.900002,4471600,91.851952
"2021-06-07",98.089996,98.68,97.800003,98.559998,4370500,92.471169
"2021-06-08",98.699997,98.949997,96.209999,96.400002,5455500,90.444611
"2021-06-09",96.410004,97.309998,96.239998,96.75,2555000,90.772987
"2021-06-10",96.809998,97.599998,96.809998,97.550003,3065900,91.523567
"2021-06-11",98.099998,98.860001,97.809998,98.839996,5530600,92.733864
"2021-06-14",99.199997,100.620003,98.779999,100.5,9309500,94.291321
"2021-06-15",100.410004,100.870003,100.050003,100.459999,4252900,94.253799
"2021-06-16",100.870003,100.949997,99.510002,99.919998,7440000,93.747154
"2021-06-17",100,100.660004,99.669998,100,6795600,93.82222
"2021-06-18",99.18,99.870003,98.209999,99.5,15687000,93.353096
"2021-06-21",100,100.559998,99.730003,100.160004,11527100,93.972328
"2021-06-22",100,100.790001,99.839996,100,3750600,93.82222
"2021-06-23",100.019997,100.68,99.940002,100.050003,10206100,93.869133
"2021-06-24",97.919998,99.18,97.919998,99.029999,5180300,94.040054
"2021-06-25",99.029999,99.150002,98.709999,99.040001,5920500,94.049553
"2021-06-28",99.349998,99.449997,98.470001,98.669998,3933600,93.698189
"2021-06-29",98.949997,98.949997,97.510002,97.940002,3237500,93.004982
"2021-06-30",98.199997,99.300003,98.029999,99.110001,3846700,94.11602
"2021-07-01",99.209999,100.480003,99.160004,99.889999,3614100,94.856728
"2021-07-02",100,100.529999,99.720001,100.300003,2763200,95.246071
"2021-07-06",99.889999,100.059998,98.199997,98.650002,3486800,93.679199
"2021-07-07",98.650002,99.099998,98.239998,98.790001,3567000,93.812157
"2021-07-08",98.169998,98.989998,98.089996,98.370003,3498000,93.413315
"2021-07-09",99.370003,100.199997,98.93,99.400002,5059100,94.391411
"2021-07-12",98.889999,99.370003,98.199997,98.550003,4984500,93.584244
"2021-07-13",98.309998,98.550003,97.370003,97.709999,5129100,92.786568
"2021-07-14",98,99.620003,97.82,99.559998,2875900,94.54335
"2021-07-15",98.790001,99.529999,98.790001,99.309998,2915900,94.305939
"2021-07-16",99.529999,99.760002,98.830002,98.900002,3122600,93.916603
"2021-07-19",98.68,98.82,96.68,97.93,4669100,92.995483
"2021-07-20",96.010002,96.959999,93.940002,94.93,6816200,90.146645
"2021-07-21",95.650002,96.779999,95.209999,96.540001,4108000,91.675522
"2021-07-22",96.190002,97.279999,95.699997,97.239998,3949000,92.34024
"2021-07-23",97.760002,98.730003,97.339996,98.400002,2204800,93.441795
"2021-07-26",98.080002,99.230003,98.050003,99.040001,3593600,94.049553
"2021-07-27",99.190002,100.309998,98.879997,99.839996,2889300,94.809242
"2021-07-28",99.879997,99.970001,98.849998,98.940002,3022100,93.95459
"2021-07-29",99.300003,100.629997,99.099998,100.290001,3273900,95.236565
"2021-07-30",100.089996,100.449997,99.519997,100.089996,3523100,95.046631
"2021-08-02",100.639999,101.519997,99.809998,100.029999,3327400,94.98967
"2021-08-03",100.239998,100.849998,99.629997,100.440002,3052600,95.379013
"2021-08-04",100.440002,100.660004,99.089996,99.489998,2591700,94.476868
"2021-08-05",99.870003,100.129997,99.199997,99.589996,1945100,94.571838
"2021-08-06",99.879997,100.019997,98.980003,99.209999,2515800,94.210991
"2021-08-09",99.050003,99.43,98.580002,99.199997,2029900,94.201492
"2021-08-10",99.519997,100.510002,99.150002,99.959999,2147000,94.923187
"2021-08-11",100.410004,100.550003,99.720001,99.760002,2915200,94.733276
"2021-08-12",99.730003,100.150002,99.279999,100.010002,2899800,94.970673
"2021-08-13",100.330002,101.830002,100.029999,101.589996,2215000,96.471062
"2021-08-16",101.830002,102.43,101.410004,102.389999,3047600,97.230751
"2021-08-17",102.300003,103,101.75,102.5,3911400,97.33522
"2021-08-18",101.830002,102.239998,100.849998,100.949997,2559700,95.863304
"2021-08-19",100.300003,101.650002,100.010002,101.419998,2996900,96.309624
"2021-08-20",101.209999,101.949997,100.860001,101.419998,2114600,96.309624
"2021-08-23",101.720001,102.080002,100.769997,100.849998,2782500,95.768349
"2021-08-24",100.610001,100.760002,99.650002,100.629997,2627700,95.559433
"2021-08-25",100.790001,101.730003,100.260002,101.239998,2213600,96.138695
"2021-08-26",101.269997,101.639999,100.809998,101.25,1723800,96.148193
"2021-08-27",101.809998,102.410004,101.349998,102.099998,2994400,96.95536
"2021-08-30",102.099998,103.18,101.800003,103.07,2371300,97.876488
"2021-08-31",103.029999,103.629997,102.690002,103,3876900,97.810005
"2021-09-01",103.150002,103.610001,102.279999,103.559998,3051500,98.341797
"2021-09-02",104,105.650002,103.900002,105.639999,4366400,100.316986
"2021-09-03",105.440002,106.25,104.980003,106.099998,2961300,100.753807
"2021-09-07",105.300003,106.510002,105.089996,106.059998,6390600,100.71582
"2021-09-08",104.980003,105.279999,102.349998,103.68,6060200,98.45575
"2021-09-09",103.279999,103.669998,102.230003,102.580002,4824600,97.411179
"2021-09-10",103.150002,104.959999,103.010002,103.57,3944000,98.351295
"2021-09-13",103.800003,104.339996,102.080002,102.589996,3780700,97.420662
"2021-09-14",102.589996,103,101.769997,101.959999,3155000,96.822411
"2021-09-15",102.110001,104.050003,101.949997,104,5166000,98.759628
"2021-09-16",103.620003,104,102.040001,102.830002,4113700,97.648582
"2021-09-17",102.120003,102.699997,101.75,101.860001,8748200,96.727463
"2021-09-20",100.669998,101.300003,99.830002,100.989998,6580100,95.901299
"2021-09-21",101.470001,102.18,100.290001,100.510002,3893900,95.44548
"2021-09-22",101.360001,101.389999,100.309998,100.510002,3768100,95.44548
"2021-09-23",100.970001,102.029999,100.5,101.449997,4029000,96.338112
"2021-09-24",101.349998,102.080002,101.099998,101.82,3523800,96.689468
"2021-09-27",101.620003,103.040001,101.620003,102.510002,4414900,97.344711
"2021-09-28",101.300003,101.300003,98.120003,98.419998,6281700,94.61451
"2021-09-29",98.529999,99.75,98.32,99.489998,3172600,95.643135
"2021-09-30",99.169998,99.279999,94.370003,94.790001,7261300,91.12487
"2021-10-01",95.169998,96.300003,94.830002,96.080002,4585000,92.36499
"2021-10-04",96.199997,96.949997,95.410004,96.190002,4091500,92.470741
"2021-10-05",96.610001,96.949997,95.769997,96.389999,4250200,92.663002
"2021-10-06",95.519997,96.889999,95.110001,96.639999,3309000,92.903343
"2021-10-07",97.419998,97.910004,95.440002,95.650002,4343700,91.951614
"2021-10-08",95.910004,96.25,95.18,95.349998,3976300,91.663216
"2021-10-11",95.300003,95.699997,94.849998,95.120003,2840200,91.442116
"2021-10-12",95.489998,96.269997,95.349998,95.580002,3168700,91.884315
"2021-10-13",95.580002,97.660004,95.199997,97.470001,4996100,93.701248
"2021-10-14",98.32,99.360001,97.790001,98.849998,4477800,95.027878
"2021-10-15",99.400002,99.730003,98.059998,98.370003,3971000,94.566452
"2021-10-18",97.339996,97.75,96.550003,97.449997,3826600,93.682014
"2021-10-19",96.199997,97.529999,95.709999,95.790001,4223900,92.086205
"2021-10-20",95.910004,97.550003,95.699997,97.019997,3778600,93.268646
"2021-10-21",96.620003,96.910004,96.169998,96.519997,3601900,92.787971
"2021-10-22",96.540001,97.290001,96.220001,96.879997,3310200,93.134048
"2021-10-25",97.470001,97.470001,96.199997,96.540001,3934900,92.807205
"2021-10-26",96.300003,96.669998,95.629997,96.199997,3150900,92.480354
"2021-10-27",96.68,96.75,94.730003,94.870003,3537100,91.201782
"2021-10-28",94.449997,96.019997,94.449997,95.970001,4754500,92.259247
"2021-10-29",95.790001,96.07,94.309998,94.540001,5260500,90.884537
"2021-11-01",94.639999,94.639999,93.400002,93.419998,3513400,89.807838
"2021-11-02",93.620003,94.220001,92.900002,94.019997,3480000,90.384636
