"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2020-07-01",105.769997,105.790001,102.489998,102.830002,2120800,95.761276
"2020-07-02",105.349998,106.290001,101.809998,102.150002,3087200,95.128021
"2020-07-06",104.25,105.699997,102.669998,103.349998,2327100,96.245537
"2020-07-07",102.230003,102.620003,99.209999,99.709999,2515900,92.855751
"2020-07-08",99.57,100.849998,98.260002,100.139999,2911100,93.25621
"2020-07-09",99.470001,99.989998,97.089996,98.849998,3432000,92.054863
"2020-07-10",98.620003,102.010002,98.620003,101.599998,2925200,94.615837
"2020-07-13",102.5,104.260002,101.519997,102.68,3573100,95.621597
"2020-07-14",102.660004,103.360001,100.400002,101.260002,3445800,94.299217
"2020-07-15",103.870003,105.330002,101.699997,104.07,3991000,96.916031
"2020-07-16",101.849998,106.669998,101.339996,104.989998,4029200,98.86528
"2020-07-17",104.290001,105.129997,102.989998,103.019997,2953300,97.010201
"2020-07-20",102,103.629997,101.550003,102.940002,2401000,96.934875
"2020-07-21",103.690002,108.279999,103.690002,107.699997,3502400,101.417183
"2020-07-22",106.639999,107.790001,106.050003,106.629997,2529900,100.409615
"2020-07-23",106.010002,108.279999,105.849998,107.339996,2062500,101.078186
"2020-07-24",108.07,108.870003,106.730003,106.839996,1991200,100.607361
"2020-07-27",105.75,105.75,103.839996,104.919998,1884300,98.799362
"2020-07-28",104.410004,105.629997,104.410004,104.830002,1335800,98.714615
"2020-07-29",104.32,109.300003,104.050003,108.949997,2604900,102.594261
"2020-07-30",106.449997,106.620003,104.339996,106.269997,1736700,100.07061
"2020-07-31",106.449997,106.779999,104.059998,106.669998,2082300,100.447273
"2020-08-03",106.540001,107.599998,105.300003,105.93,1913200,99.750443
"2020-08-04",106.139999,106.139999,104.830002,105.290001,1645300,99.147781
"2020-08-05",106.190002,106.779999,105.360001,106.559998,2290700,100.343689
"2020-08-06",105.790001,107.379997,105.650002,107.029999,1632600,100.786285
"2020-08-07",105.830002,110.029999,105.809998,109.699997,2797800,103.300514
"2020-08-10",110.150002,111.610001,109.379997,109.660004,2066900,103.262856
"2020-08-11",112.739998,115.290001,111.93,112.470001,2910700,105.908928
"2020-08-12",114.730003,114.849998,110.400002,112,2005600,105.466354
"2020-08-13",110.459999,111.790001,109.830002,111.010002,1271000,104.534103
"2020-08-14",109.800003,112.489998,109.5,111.75,1831000,105.230934
"2020-08-17",110.400002,111.050003,109.540001,110.330002,2513600,103.893768
"2020-08-18",109.940002,110.330002,106.809998,107.080002,2431300,100.833359
"2020-08-19",106.870003,108.75,106.169998,106.389999,1989200,100.183609
"2020-08-20",105.080002,106.43,104.410004,106.080002,2003900,99.891708
"2020-08-21",105.800003,106.989998,105.5,106.449997,2208300,100.240112
"2020-08-24",106.889999,109.879997,106.5,109.800003,1704700,103.394684
"2020-08-25",111.449997,112,109.57,110.769997,2044200,104.308098
"2020-08-26",110.510002,111.32,109.519997,110.309998,2058200,103.874947
"2020-08-27",110.040001,113.480003,109.550003,112.5,1857200,105.937187
"2020-08-28",113.199997,113.199997,111.410004,112.349998,1311800,105.795921
"2020-08-31",112.040001,112.260002,111.099998,111.199997,2158300,104.713013
"2020-09-01",109.809998,112.389999,109.540001,111.599998,1705800,105.089668
"2020-09-02",111,113,110.620003,112.400002,1624900,105.843018
"2020-09-03",113.760002,116.669998,110.940002,111.669998,1869700,105.155602
"2020-09-04",113.970001,115.559998,111.339996,113.099998,1466800,106.502174
"2020-09-08",111.610001,112.110001,108.839996,110.300003,2045300,103.865517
