"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"2020-07-01",38.119999,38.279999,36.799999,36.91,985900,35.757912
"2020-07-02",37.470001,38.200001,37,37.419998,771100,36.251987
"2020-07-06",38.150002,38.32,37.23,37.759998,983500,36.581379
"2020-07-07",37.450001,37.450001,36.380001,36.470001,1135000,35.331642
"2020-07-08",36.389999,36.77,35.900002,36.619999,735100,35.476959
"2020-07-09",40.209999,40.209999,37.900002,38.299999,3049500,37.104527
"2020-07-10",38.369999,38.970001,38.220001,38.450001,1466000,37.249844
"2020-07-13",38.799999,39.700001,38.759998,39.209999,1634400,37.986115
"2020-07-14",39.259998,40.810001,39.049999,40.759998,1436700,39.487743
"2020-07-15",41.52,42.639999,41.34,42.259998,1496800,40.940918
"2020-07-16",42.150002,42.950001,41.560001,41.75,1513700,40.446835
"2020-07-17",42.099998,42.099998,41.279999,41.689999,880400,40.388706
"2020-07-20",41.509998,41.82,40.98,41.41,748900,40.117447
"2020-07-21",41.48,42.419998,41.48,42.07,1095100,40.756851
"2020-07-22",41.830002,42.959999,41.759998,42.810001,1394000,41.473751
"2020-07-23",42.66,43.18,41.48,42.439999,1993800,41.298588
"2020-07-24",42.599998,43.009998,42.130001,42.380001,1359700,41.240204
"2020-07-27",42.5,43.009998,42.349998,42.990002,1557200,41.833805
"2020-07-28",42.560001,42.91,42.189999,42.25,1514200,41.113705
"2020-07-29",42.57,43.810001,42.57,43.68,1267200,42.505245
"2020-07-30",43.169998,43.169998,42.509998,42.740002,1259400,41.590527
"2020-07-31",43.169998,43.169998,42.02,42.849998,3166900,41.697563
"2020-08-03",43.18,43.75,43,43.490002,1056300,42.320354
"2020-08-04",43.18,43.400002,42.830002,43.099998,645400,41.940838
"2020-08-05",43.43,43.830002,43.310001,43.610001,800500,42.437122
"2020-08-06",43.529999,43.700001,43.189999,43.360001,890000,42.193848
"2020-08-07",43.27,44.02,43.27,44.02,830600,42.836102
"2020-08-10",44.150002,44.540001,43.959999,44.529999,973900,43.332378
"2020-08-11",45.18,45.830002,44.790001,44.849998,993900,43.643772
"2020-08-12",45.330002,45.330002,44.740002,45.189999,1131600,43.974632
"2020-08-13",44.880001,45.389999,44.860001,45.23,1073600,44.013557
"2020-08-14",44.860001,45.52,44.790001,45.080002,542800,43.867588
"2020-08-17",45.099998,45.439999,44.98,45.310001,637000,44.091408
"2020-08-18",45.259998,45.73,45.259998,45.540001,711000,44.315216
"2020-08-19",45.669998,46.029999,45.330002,45.5,755000,44.276295
"2020-08-20",45.040001,46.09,44.900002,45.990002,1017000,44.75312
"2020-08-21",46,46.32,45.75,46.02,841400,44.78231
"2020-08-24",46.150002,46.700001,46.009998,46.450001,578600,45.200741
"2020-08-25",46.77,46.77,45.5,46.060001,913400,44.821228
"2020-08-26",46.150002,46.18,45.68,45.970001,710600,44.733654
"2020-08-27",46.330002,46.330002,45.330002,45.599998,657900,44.373604
"2020-08-28",45.599998,45.860001,45.130001,45.84,914800,44.607155
"2020-08-31",45.73,45.73,44.939999,45.139999,1026100,43.925976
"2020-09-01",45.189999,45.880001,44.970001,45.580002,843200,44.354145
"2020-09-02",45.639999,46.279999,45.16,46.209999,700900,44.967197
"2020-09-03",46.299999,46.369999,44.52,44.900002,879100,43.692429
"2020-09-04",45.43,45.52,44.610001,44.869999,877200,43.663235
"2020-09-08",44.580002,44.66,43.599998,43.68,965500,42.505245
"2020-09-09",44,45.09,43.849998,44.860001,656500,43.653511
"2020-09-10",44.549999,44.689999,43.200001,43.450001,1149900,42.281429
"2020-09-11",43.84,44.43,43.459999,43.709999,801000,42.534435
"2020-09-14",44.73,45.080002,44.049999,44.799999,857200,43.595123
"2020-09-15",44.939999,45.639999,44.869999,45.110001,766800,43.896786
"2020-09-16",46.16,46.209999,45.23,45.880001,1623900,44.646076
"2020-09-17",45.189999,46.639999,44.869999,46.419998,1627100,45.171547
