"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"2020-07-01",73.519997,75.720001,73.43,75.389999,1026500,68.335014
"2020-07-02",75.889999,77.110001,75.510002,76.029999,1001100,68.915115
"2020-07-06",76.730003,77.540001,75.910004,76.800003,921700,69.613068
"2020-07-07",75.879997,76.690002,75.529999,76,1347900,68.887932
"2020-07-08",76,76.910004,75.699997,76.720001,715300,69.540535
"2020-07-09",76.480003,76.709999,75.110001,76.25,698000,69.114517
"2020-07-10",76.080002,78.400002,76.080002,78.260002,627700,70.93644
"2020-07-13",78.32,79.599998,78.139999,78.910004,749500,71.525612
"2020-07-14",78.870003,79.989998,78.82,79.620003,837700,72.169167
"2020-07-15",80.730003,80.900002,79.400002,79.879997,808100,72.404831
"2020-07-16",80,80.760002,79.830002,80.559998,696700,73.021202
"2020-07-17",81.25,82.599998,81.089996,82.529999,641200,74.806854
"2020-07-20",82.32,82.519997,80.610001,80.779999,904000,73.220612
"2020-07-21",80.849998,81.660004,80.529999,80.919998,764000,73.347504
"2020-07-22",80.449997,83.089996,79.860001,82.980003,1020500,75.214737
"2020-07-23",82.900002,83.330002,81.919998,82.309998,811400,74.607437
"2020-07-24",82.650002,83.230003,81.029999,81.379997,849000,73.764458
"2020-07-27",81.300003,81.330002,79.07,80.279999,638700,72.767403
"2020-07-28",79.959999,81.599998,79.959999,81.230003,710300,73.628502
"2020-07-29",81.239998,82.360001,80.730003,82.089996,833900,74.408035
"2020-07-30",81.449997,83.400002,80.43,82.699997,1145300,74.960938
"2020-07-31",81.120003,83.279999,80.589996,83.080002,1549300,76.025177
"2020-08-03",82.989998,83.040001,80.629997,81.989998,817000,75.027725
"2020-08-04",81.540001,81.860001,80.709999,81.589996,1320800,74.661697
"2020-08-05",81.699997,81.830002,79.25,79.739998,1028700,72.968796
"2020-08-06",80,81.650002,78.879997,80.790001,1113000,73.929642
"2020-08-07",80.5,82.529999,80.5,82.160004,968000,75.183311
"2020-08-10",82.610001,82.93,81.949997,82.580002,787200,75.567642
"2020-08-11",82.900002,83.43,80.68,80.769997,1447200,73.911346
"2020-08-12",81.160004,81.419998,80.309998,80.43,780600,73.60022
"2020-08-13",80.080002,80.080002,77.410004,78.489998,1420000,71.824951
"2020-08-14",78.480003,78.720001,77.75,78,662100,71.376556
"2020-08-17",77.870003,78.190002,76.239998,76.400002,1436800,69.912415
"2020-08-18",76.519997,76.839996,74.919998,75.75,1525700,69.317627
"2020-08-19",76.059998,76.300003,75.080002,76.019997,945300,69.56469
"2020-08-20",75.75,75.879997,74.720001,74.970001,516100,68.603859
"2020-08-21",75.059998,75.150002,73.75,74.260002,727600,67.954147
"2020-08-24",74.389999,75.389999,73.480003,75.150002,655700,68.768562
"2020-08-25",75.330002,75.330002,74.050003,74.470001,492600,68.146309
"2020-08-26",74.120003,74.169998,72.349998,72.82,780000,66.636421
"2020-08-27",73.010002,73.540001,72.290001,73.230003,602900,67.011604
"2020-08-28",73.589996,73.919998,72.730003,73.480003,528800,67.240379
"2020-08-31",73.230003,73.980003,72.980003,73.349998,852300,67.121414
"2020-09-01",73,73.059998,71.269997,71.540001,1026200,65.465111
"2020-09-02",71.540001,74.440002,71.5,73.919998,889600,67.642998
"2020-09-03",74.400002,74.779999,72.290001,72.970001,839000,66.773682
"2020-09-04",73.120003,73.389999,71.43,72.400002,906700,66.252075
"2020-09-08",72.5,73.57,71.459999,73.18,987100,66.965851
"2020-09-09",72.989998,74.07,72.510002,72.629997,570500,66.462555
"2020-09-10",72.57,72.690002,71.129997,71.389999,1005500,65.32785
"2020-09-11",71.690002,71.690002,70.5,70.900002,514200,64.879456
"2020-09-14",71.099998,72.57,71.029999,72.089996,807300,65.968399
"2020-09-15",72.349998,73.25,71.660004,72.019997,773200,65.904358
"2020-09-16",72,73.029999,71.900002,72.300003,805900,66.160576
"2020-09-17",72.050003,72.489998,71.32,72.160004,901400,66.032471
"2020-09-18",71.699997,72.410004,70.410004,70.43,1575600,64.449371
"2020-09-21",70,71.559998,69.290001,70.809998,943700,64.797104
"2020-09-22",70.610001,72.43,70.519997,71.830002,767700,65.730484
"2020-09-23",71.860001,72.5,70.910004,70.93,675200,64.906914
"2020-09-24",71,73.040001,70.400002,72.760002,978600,66.581528
"2020-09-25",72.290001,73.900002,72,73.769997,747100,67.505745
"2020-09-28",74.169998,74.849998,73.629997,73.889999,781300,67.615562
"2020-09-29",73.82,74.650002,73.379997,73.449997,659000,67.212921
"2020-09-30",74.160004,75.199997,73.760002,74.550003,1266000,68.219521
"2020-10-01",74.970001,75.860001,74.349998,75.32,843700,68.924126
"2020-10-02",74.370003,78.099998,74.18,77.860001,1039500,71.248444
"2020-10-05",77.919998,80.339996,77.529999,79.639999,1166300,72.877289
"2020-10-06",80.010002,82.540001,79.389999,81.120003,1251300,74.231621
"2020-10-07",81.669998,83.400002,81.18,82.949997,1056500,75.906204
"2020-10-08",82.879997,84.110001,82.849998,83.540001,762000,76.446121
"2020-10-09",84.07,84.239998,82.120003,82.559998,670800,75.549332
"2020-10-12",81.650002,82.129997,81.07,81.559998,732000,74.634262
"2020-10-13",81.32,81.32,79.440002,80.730003,1060800,73.874748
"2020-10-14",80.959999,81.32,80.120003,80.260002,783200,73.444641
"2020-10-15",79.550003,81.480003,79.440002,80.879997,686000,74.011993
"2020-10-16",80.93,81.870003,80.400002,81.07,600600,74.185852
"2020-10-19",81.410004,82.260002,81.379997,81.809998,762600,74.863022
"2020-10-20",82.269997,82.650002,81.580002,82.330002,445000,75.338867
"2020-10-21",82.290001,84.199997,81.940002,83.690002,1025500,76.583389
"2020-10-22",83.660004,85.910004,82.779999,85.730003,1137500,78.450157
"2020-10-23",86.669998,87.050003,85.730003,86.730003,1161100,79.365242
"2020-10-26",86.260002,86.870003,85.290001,86.510002,963900,79.163933
"2020-10-27",86.32,87.129997,85.839996,85.860001,921000,78.569115
"2020-10-28",84.809998,85.739998,82.440002,82.769997,1441100,75.741501
"2020-10-29",82.209999,83.989998,80.970001,83.260002,1147300,76.189896
"2020-10-30",82.349998,83.330002,80,81.57,1420700,75.395004
"2020-11-02",82.080002,82.860001,80.190002,81.07,982200,74.932846
"2020-11-03",82.120003,82.82,80.949997,81.760002,867400,75.570618
"2020-11-04",81.18,85.019997,81.18,82.199997,1135900,75.977318
"2020-11-05",82.949997,85.760002,82.669998,84.480003,985000,78.084709
"2020-11-06",84.25,85.599998,83.589996,83.790001,926100,77.446945
"2020-11-09",86.669998,89.849998,86.669998,87.940002,1408600,81.282776
"2020-11-10",88.260002,91.059998,88.050003,90.900002,1191600,84.018715
"2020-11-11",90.75,91.879997,89.5,89.589996,818000,82.807869
"2020-11-12",89.379997,89.699997,86.720001,87.839996,889600,81.190346
"2020-11-13",88.330002,89.980003,88.260002,89.459999,682200,82.687721
"2020-11-16",91.010002,91.400002,89.720001,90.440002,704400,83.593536
"2020-11-17",89.599998,90.139999,86.720001,86.779999,1154000,80.210587
"2020-11-18",87.43,88.139999,84.519997,84.720001,1033600,78.306549
"2020-11-19",84.949997,85.010002,83.25,83.550003,773600,77.225113
"2020-11-20",83.339996,84.540001,83.150002,83.25,744700,76.94783
"2020-11-23",83.389999,84.730003,83.330002,84.480003,661600,78.084709
"2020-11-24",85.010002,86.209999,84.760002,85.779999,779600,79.286293
"2020-11-25",85.550003,86.709999,84.879997,86.519997,986600,79.970268
"2020-11-27",86.339996,86.339996,83.610001,83.940002,289200,77.585594
"2020-11-30",84,84.260002,81.360001,81.849998,1460400,75.653801
"2020-12-01",82.699997,83.169998,82.209999,82.349998,610300,76.115952
"2020-12-02",81.949997,83.120003,81.080002,82.889999,657900,76.615082
"2020-12-03",82.889999,82.949997,81.25,81.400002,818300,75.237877
"2020-12-04",81.5,82.709999,81.300003,82.410004,1231300,76.171417
"2020-12-07",81.790001,83.379997,81.599998,82.580002,576900,76.328545
"2020-12-08",82.029999,82.82,81.580002,81.82,690300,75.626076
"2020-12-09",81.830002,82.32,80.57,81.330002,1133700,75.173172
"2020-12-10",81.489998,81.830002,80.550003,80.739998,895800,74.627823
"2020-12-11",80.580002,81.129997,79.690002,79.720001,879800,73.685059
"2020-12-14",80.620003,81.18,78.900002,79.139999,1505800,73.148956
"2020-12-15",79.449997,80.480003,78.75,80.029999,1215500,73.971581
"2020-12-16",80.379997,80.800003,78.610001,78.650002,766000,72.696053
"2020-12-17",78.800003,80.209999,78.720001,79.32,870800,73.315331
"2020-12-18",79.239998,79.75,78.209999,78.650002,1319300,72.696053
"2020-12-21",78,78.459999,76.400002,77.290001,823300,71.439003
"2020-12-22",77.139999,78.169998,76.150002,77.779999,894000,71.891907
"2020-12-23",78.389999,79.370003,77.349998,77.400002,635300,71.54068
"2020-12-24",77.419998,78.059998,76.720001,77.870003,239300,71.975098
"2020-12-28",78.18,79.209999,77.839996,78.43,386700,72.492699
"2020-12-29",78.43,79.349998,78.43,79.07,641300,73.084251
"2020-12-30",78.849998,79.610001,78.510002,79.110001,561900,73.121231
"2020-12-31",79.050003,80.029999,78.839996,79.949997,539300,73.897644
"2021-01-04",80,80.75,78.699997,79.089996,963500,73.102737
"2021-01-05",79.089996,79.32,77.330002,77.730003,1020300,71.845703
"2021-01-06",78.080002,80.639999,78,80.480003,852700,74.38752
"2021-01-07",80.480003,80.519997,77.57,77.940002,816400,72.039803
"2021-01-08",77.970001,78.089996,76.959999,77.769997,513200,71.882652
"2021-01-11",77.410004,78.110001,76.18,76.690002,637100,70.884438
"2021-01-12",76.75,77.220001,75.849998,76.419998,1083500,70.634865
"2021-01-13",76.459999,78.129997,76.190002,77.93,847900,72.030563
"2021-01-14",78.099998,78.209999,76.910004,77.050003,584600,71.217178
"2021-01-15",76.940002,78.75,76.150002,78.550003,789700,72.60363
"2021-01-19",78.709999,78.800003,77.650002,78,1131200,72.095261
"2021-01-20",77.589996,78.150002,76.769997,77.940002,1188900,72.039803
"2021-01-21",77.730003,77.900002,76.370003,77.529999,956300,71.660835
"2021-01-22",77.239998,77.510002,76.459999,77.089996,504700,71.25415
"2021-01-25",76.690002,78.459999,76.620003,78.360001,855600,72.428009
"2021-01-26",78.480003,78.690002,77.019997,77.5,770500,71.63311
"2021-01-27",76.879997,77.379997,75.050003,76.309998,1166900,70.533188
"2021-01-28",76.639999,77.889999,76.169998,76.68,1062900,70.875183
"2021-01-29",75.239998,76.059998,74.730003,75.25,1756900,70.314529
"2021-02-01",75.580002,76.739998,75.050003,76.199997,782200,71.202225
"2021-02-02",76.480003,78.25,76.190002,76.699997,920100,71.669434
"2021-02-03",76.400002,77.190002,75.910004,76.730003,614600,71.697456
"2021-02-04",76.620003,77.269997,76.25,77.059998,773200,72.005829
"2021-02-05",77.610001,78.040001,76.860001,77.779999,728600,72.678589
"2021-02-08",77.809998,77.940002,76.300003,76.940002,806600,71.8937
"2021-02-09",77.059998,77.919998,76.029999,76.660004,516500,71.632065
"2021-02-10",77,77.5,76.410004,77.120003,644500,72.06189
"2021-02-11",77.230003,77.43,76.32,76.660004,522300,71.632065
"2021-02-12",76.440002,77.059998,75.870003,76.190002,610900,71.192886
"2021-02-16",76.129997,76.379997,75.370003,76.019997,663100,71.034035
"2021-02-17",76.139999,77.209999,75.879997,77.150002,580400,72.089928
"2021-02-18",77.089996,77.919998,77.010002,77.169998,741800,72.108612
"2021-02-19",77.150002,77.25,76.150002,76.260002,508100,71.258286
"2021-02-22",76.040001,76.18,73.110001,74.589996,1207900,69.697815
"2021-02-23",75.300003,76.080002,74.25,75.5,998700,70.548134
"2021-02-24",75.25,75.419998,72.529999,73.059998,1779500,68.268173
"2021-02-25",72.5,73.760002,72.099998,73.040001,1290200,68.249496
"2021-02-26",72.980003,73.699997,69.889999,69.93,1309300,65.343468
"2021-03-01",71.480003,73.5,70.860001,72.300003,1436200,67.558014
"2021-03-02",72.309998,74.370003,72.050003,73.720001,954500,68.884888
"2021-03-03",73.589996,73.620003,72.07,72.989998,770800,68.202766
"2021-03-04",73.360001,75.529999,72.949997,74.650002,1106500,69.753899
"2021-03-05",74.879997,76.690002,74.839996,76.300003,1022300,71.29567
"2021-03-08",77,78.870003,76.300003,78.25,1293100,73.117767
"2021-03-09",78.400002,78.839996,77.120003,77.580002,873500,72.49173
"2021-03-10",77.370003,78.650002,76.900002,78.459999,855000,73.313995
"2021-03-11",78.059998,78.599998,76.769997,76.779999,732800,71.744179
"2021-03-12",77.300003,78.540001,76.760002,78.330002,721800,73.19252
"2021-03-15",78.529999,80.419998,78.349998,80.410004,851800,75.136108
"2021-03-16",78.650002,79.690002,78.650002,79.580002,712400,74.36055
"2021-03-17",79.900002,80.529999,79.080002,79.199997,681800,74.005463
"2021-03-18",79.150002,79.690002,78.239998,79.580002,1278400,74.36055
"2021-03-19",79.800003,81.339996,78.669998,80.790001,1771700,75.49118
"2021-03-22",80.160004,80.650002,79.18,79.730003,764600,74.500702
"2021-03-23",79.940002,80.830002,79.290001,79.900002,634900,74.659554
"2021-03-24",79.809998,80.379997,79.410004,79.599998,799600,74.379227
"2021-03-25",80.050003,80.599998,78.860001,80.269997,954200,75.005287
"2021-03-26",80.260002,80.629997,79.510002,80.220001,490500,74.958565
"2021-03-29",80.120003,81.900002,80.040001,81.43,676200,76.089203
"2021-03-30",81.040001,81.120003,79.580002,80.720001,657900,75.425774
"2021-03-31",80.709999,81.5,80.400002,81.349998,716400,76.014442
"2021-04-01",81.239998,81.830002,80.610001,81.809998,697100,76.444283
"2021-04-05",81.849998,83.050003,81.800003,83.050003,533000,77.602959
"2021-04-06",82.75,83.400002,82.150002,83.330002,508200,77.864594
"2021-04-07",83.5,83.790001,82.040001,82.260002,735600,76.864761
"2021-04-08",82.07,82.540001,81.730003,81.82,905300,76.453621
"2021-04-09",82.230003,82.580002,81.519997,81.769997,562000,76.406891
"2021-04-12",81.949997,82.779999,81.699997,82.550003,556200,77.13575
"2021-04-13",82,83.339996,81.989998,83.050003,580700,77.602959
"2021-04-14",82.650002,83.550003,82.620003,83.519997,426800,78.04213
"2021-04-15",83.519997,84.550003,83.389999,84.470001,458600,78.92981
"2021-04-16",84.720001,85.440002,84.489998,84.900002,600900,79.331619
"2021-04-19",85.400002,85.529999,83.900002,84.239998,864000,78.714897
"2021-04-20",84.25,86.199997,84.220001,85.970001,626400,80.331436
"2021-04-21",86.269997,86.800003,84.629997,85.160004,686300,79.574562
"2021-04-22",85.169998,85.199997,84.349998,84.459999,444300,78.920479
"2021-04-23",84.849998,84.970001,83.699997,83.809998,505500,78.313103
"2021-04-26",83.989998,84.059998,83.099998,83.330002,610100,77.864594
"2021-04-27",83.010002,83.5,81.860001,82.110001,625300,76.724602
"2021-04-28",82.290001,82.529999,81.099998,81.629997,649700,76.276085
"2021-04-29",81.75,83.779999,81.730003,83.57,991300,78.088852
"2021-04-30",82.970001,84.720001,82.790001,84.650002,1348600,79.891479
"2021-05-03",84.629997,85.040001,83.489998,84.529999,1126100,79.778214
"2021-05-04",84.540001,85.129997,83.839996,84.629997,992700,79.872604
"2021-05-05",84.730003,84.730003,82.5,84.5,1565900,79.749908
"2021-05-06",84.82,86.360001,84.019997,85.610001,759100,80.797508
"2021-05-07",85.199997,86.870003,85.199997,86.120003,1042400,81.278839
"2021-05-10",86.760002,88.540001,86.230003,87.760002,1429200,82.82666
"2021-05-11",87.919998,88.010002,85.650002,86.830002,3349600,81.948936
"2021-05-12",86.870003,87,83.540001,83.650002,1275700,78.947701
"2021-05-13",83.43,86.220001,83.43,85.449997,929500,80.646515
