"","POOL.Open","POOL.High","POOL.Low","POOL.Close","POOL.Volume","POOL.Adjusted"
"2020-07-01",271.850006,274.459991,267.76001,272.910004,244500,268.92572
"2020-07-02",274.450012,276,268.5,270.220001,203900,266.274994
"2020-07-06",274.040009,274.640015,268.630005,269.26001,166100,265.329041
"2020-07-07",270.220001,274.519989,268.5,271.890015,152500,267.920654
"2020-07-08",271.329987,273.5,268.529999,270.799988,392500,266.846527
"2020-07-09",271.029999,280.549988,269.899994,279.130005,302700,275.054901
"2020-07-10",273.369995,279.850006,273.369995,278.48999,191700,274.424286
"2020-07-13",281.019989,285.73999,276.070007,276.279999,321900,272.246552
"2020-07-14",275.100006,283.329987,275.059998,281.380005,245000,277.272095
"2020-07-15",286.359985,288.529999,282.359985,287.549988,255300,283.35199
"2020-07-16",287.480011,289.470001,280.450012,283.600006,318700,279.459686
"2020-07-17",286.089996,294.940002,283.73999,294.390015,311600,290.092194
"2020-07-20",295.839996,302.579987,292.149994,301.350006,340300,296.950531
"2020-07-21",304.630005,304.660004,295.690002,296.420013,320200,292.09259
"2020-07-22",297.070007,303.959991,297.019989,301.899994,426700,297.492523
"2020-07-23",312,318.709991,297.170013,300.579987,826500,296.191772
"2020-07-24",298,306.690002,295.089996,304.269989,468200,299.827911
"2020-07-27",306.670013,311.480011,305.089996,310.329987,286100,305.799438
"2020-07-28",311,311,305.230011,306.630005,240600,302.153473
"2020-07-29",307.549988,314.589996,307.549988,313.950012,317700,309.366577
"2020-07-30",310.850006,316.720001,310.23999,314.940002,371900,310.342194
"2020-07-31",315.730011,316.769989,312.170013,316.700012,284100,312.076416
"2020-08-03",317.869995,327.609985,317.869995,322.220001,307200,317.515869
"2020-08-04",321.48999,326.190002,320.209991,324.809998,230800,320.068024
"2020-08-05",324.029999,328,321.559998,327.98999,166400,323.201599
"2020-08-06",327.730011,329.160004,324.329987,328.549988,130500,323.753418
"2020-08-07",327.23999,331.119995,326.040009,328.600006,156800,323.802673
"2020-08-10",329.779999,329.779999,321.609985,325.48999,197400,320.738068
"2020-08-11",324.899994,324.899994,314.899994,316.179993,475500,311.564026
"2020-08-12",317.73999,325.859985,314.779999,324.359985,337100,320.211975
"2020-08-13",322.769989,329.529999,319.850006,320.109985,203300,316.016357
"2020-08-14",319.869995,322.75,317.01001,319.320007,130100,315.23642
"2020-08-17",321.179993,329.950012,319.799988,326.029999,213900,321.860657
"2020-08-18",328.130005,332.170013,324.410004,328.049988,255200,323.854797
"2020-08-19",329.170013,329.700012,324.309998,325.529999,152000,321.367035
"2020-08-20",325.399994,328.630005,323.700012,325.5,229000,321.337433
"2020-08-21",325,333.589996,324.329987,333.369995,259400,329.106781
"2020-08-24",335.709991,336.549988,332.980011,334.720001,265700,330.439484
"2020-08-25",333.75,336.410004,332.429993,335.399994,177000,331.11084
"2020-08-26",335.959991,337.880005,333.790009,335.850006,177400,331.555054
"2020-08-27",337.799988,342.149994,334.670013,336.670013,233600,332.364624
"2020-08-28",337.350006,338.75,329.230011,330.899994,185900,326.668365
"2020-08-31",330.73999,334.320007,326.649994,327.839996,233900,323.647491
"2020-09-01",329.709991,331.910004,328.549988,329.920013,314600,325.700897
"2020-09-02",332.209991,334.299988,325.220001,329.880005,252000,325.661438
"2020-09-03",328.070007,328.899994,307.880005,309.679993,316700,305.719757
"2020-09-04",308.269989,313.829987,291.369995,295,667500,291.227417
"2020-09-08",289.720001,298.089996,285.929993,293.119995,350900,289.37149
"2020-09-09",297.459991,304.549988,296.869995,302.420013,271100,298.552551
"2020-09-10",303.940002,305.220001,298.23999,300.179993,253800,296.341217
"2020-09-11",302.829987,305.5,299.350006,300.320007,206000,296.479401
"2020-09-14",303.51001,309.73999,300.890015,308.380005,361600,304.43631
"2020-09-15",312.73999,313.549988,307.25,308.480011,237400,304.535095
"2020-09-16",309.790009,311.709991,300.089996,300.220001,262900,296.380676
"2020-09-17",297.350006,304.5,293.380005,304.290009,258600,300.398651
"2020-09-18",303.390015,305.709991,297.369995,301.26001,534600,297.40741
"2020-09-21",295.119995,301.230011,294.559998,300.48999,258200,296.647278
"2020-09-22",303.290009,309.589996,301.809998,307.899994,286200,303.962494
"2020-09-23",306.980011,310.059998,305.01001,307.279999,244900,303.350464
"2020-09-24",306.220001,313.73999,304.429993,310.100006,231600,306.134399
"2020-09-25",308.790009,316.570007,306.579987,315.100006,204000,311.070435
"2020-09-28",320.670013,325.959991,315.48999,325.200012,308400,321.04126
"2020-09-29",325.609985,330.450012,324.76001,328.540009,319200,324.338531
"2020-09-30",328.559998,338.880005,328.559998,334.540009,336800,330.26181
"2020-10-01",338.279999,338.570007,325.929993,328.279999,380600,324.081848
"2020-10-02",319.880005,327.290009,319.079987,322.790009,729800,318.662109
"2020-10-05",323.01001,329.429993,321.299988,327.75,670600,323.558685
"2020-10-06",327.630005,331.609985,321.119995,328.01001,8139000,323.815369
"2020-10-07",329.049988,334,327.75,331.640015,547600,327.398926
"2020-10-08",333.01001,342.880005,333.01001,340.850006,410400,336.491119
"2020-10-09",347.470001,350.040009,343.570007,346.549988,454100,342.118225
"2020-10-12",349.98999,353.470001,347,352.690002,281300,348.179749
"2020-10-13",353.910004,355.5,348.98999,351.98999,389000,347.488647
"2020-10-14",353.149994,363.440002,352.450012,360.309998,382300,355.70224
"2020-10-15",355.269989,363.359985,353.179993,360.380005,330500,355.771362
"2020-10-16",361.049988,363.980011,356.709991,359.440002,291000,354.843414
"2020-10-19",360.209991,361.769989,351.660004,353.549988,281500,349.028656
"2020-10-20",353.640015,360.25,353.26001,355.630005,267300,351.082123
"2020-10-21",358.890015,360,353.910004,355.970001,411300,351.417786
"2020-10-22",365.98999,371.170013,346.950012,350.26001,511500,345.780792
"2020-10-23",353.519989,362.959991,353.01001,361.709991,314500,357.08432
"2020-10-26",358.570007,362.75,356.959991,362.549988,357800,357.913635
"2020-10-27",367,370.119995,361.98999,366.98999,333500,362.296844
"2020-10-28",363.029999,366.600006,357.609985,362.850006,306800,358.209808
"2020-10-29",361.109985,367.380005,359.75,360.640015,350500,356.028076
"2020-10-30",357.619995,359.5,344.73999,349.829987,326500,345.356262
"2020-11-02",353.48999,360.470001,349.630005,357.290009,337300,352.720886
"2020-11-03",360.179993,367.709991,357.920013,364.179993,256000,359.522766
"2020-11-04",368.529999,381.149994,365,377.170013,433000,372.346649
"2020-11-05",380.950012,391.109985,379.399994,383.920013,326600,379.010376
"2020-11-06",386.269989,391.5,380.890015,382.890015,440100,377.9935
"2020-11-09",373.170013,376.5,320.920013,322.299988,975500,318.178345
"2020-11-10",322.679993,340.799988,322.48999,339.709991,566100,335.970306
"2020-11-11",340.579987,349.720001,336.029999,346.070007,496600,342.260315
"2020-11-12",349.359985,350.73999,336.970001,339.529999,272500,335.792267
"2020-11-13",340.410004,344.790009,338.23999,340.630005,265200,336.880219
"2020-11-16",338.160004,341.26001,333.540009,340.799988,381100,337.048309
"2020-11-17",341.720001,344.619995,327.149994,329.450012,420800,325.823212
"2020-11-18",330.160004,332.179993,321.570007,322.440002,552300,318.890411
"2020-11-19",326.429993,340.359985,326.429993,338.649994,546000,334.921997
"2020-11-20",336.519989,341.179993,330.880005,339.869995,431900,336.12854
"2020-11-23",339.220001,343.820007,333.209991,334.130005,541300,330.451782
"2020-11-24",332.649994,337.709991,325.380005,328.279999,417600,324.666107
"2020-11-25",330.369995,337.679993,329.5,333.589996,449100,329.917664
"2020-11-27",336.549988,344.220001,333.75,343.119995,310800,339.342773
"2020-11-30",343.98999,346.820007,337.570007,346.109985,3029300,342.299805
"2020-12-01",346.109985,353.769989,342.130005,353.100006,744300,349.212921
"2020-12-02",350.700012,352.5,335.600006,339.130005,413100,335.396729
"2020-12-03",337.070007,340.420013,328.549988,330.23999,486300,326.604553
"2020-12-04",329.519989,329.519989,318.890015,324.269989,467800,320.700256
"2020-12-07",325.279999,335.019989,324.420013,332.589996,344000,328.92868
"2020-12-08",334.589996,339.48999,330.040009,339.119995,355000,335.38678
"2020-12-09",337.970001,342.290009,334.179993,334.899994,307100,331.213287
"2020-12-10",333.980011,336.5,330.109985,331.399994,324000,327.751801
"2020-12-11",331.369995,339.519989,330.279999,337.790009,292200,334.071442
"2020-12-14",339.459991,348.220001,338.309998,346.579987,354100,342.764648
