"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2020-07-01",106.169998,107.019997,105.099998,106.349998,1382400,103.057228
"2020-07-02",108.110001,110.120003,107.809998,109.07,1395400,105.693016
"2020-07-06",110.849998,111.849998,107.849998,109.879997,1606100,106.477928
"2020-07-07",108.889999,109.269997,107.470001,108.419998,1641800,105.063126
"2020-07-08",108.18,109.110001,105.190002,106.470001,1314700,103.173515
"2020-07-09",106.5,106.5,103.580002,105.080002,1326000,101.826561
"2020-07-10",105.519997,107.099998,104.870003,107.040001,738500,103.725876
"2020-07-13",108.32,110.82,107.760002,109.379997,1926900,105.993423
"2020-07-14",108.989998,112.239998,108.139999,111.720001,1602300,108.260963
"2020-07-15",113.57,116.18,112.940002,115.620003,1532100,112.040222
"2020-07-16",115.230003,115.910004,113.349998,115.260002,1919400,111.691368
"2020-07-17",118.809998,119.029999,110.559998,111.879997,5558100,108.416016
"2020-07-20",112.839996,112.910004,109.139999,109.389999,2061200,106.003105
"2020-07-21",109.919998,111.410004,109.75,110.160004,1545200,106.749275
"2020-07-22",109.760002,112.010002,109.480003,111.68,1935600,108.222198
"2020-07-23",111.480003,112.330002,110.199997,110.830002,1187100,107.398521
"2020-07-24",110.650002,111.669998,110.07,110.559998,957000,107.136871
"2020-07-27",110.589996,111.580002,109.650002,110.230003,1428900,106.817116
"2020-07-28",109.849998,110.580002,108.349998,108.580002,1237300,105.218185
"2020-07-29",109.790001,110.559998,108.389999,110.410004,1364200,106.991531
"2020-07-30",108.550003,108.940002,107.580002,108.199997,1112100,104.849945
"2020-07-31",108.550003,108.550003,105.940002,107.650002,1293500,104.316978
"2020-08-03",107.839996,108.779999,107.059998,107.379997,1185400,104.055344
"2020-08-04",107.110001,108.449997,106.93,107.790001,1210900,104.452644
"2020-08-05",108.410004,112.559998,108.410004,111.660004,2123800,108.202827
"2020-08-06",111.75,112.43,110.400002,111.440002,1516300,107.989632
"2020-08-07",110.559998,113.730003,110.440002,113.709999,1548500,110.725891
"2020-08-10",113.540001,115.919998,113.5,115.739998,841000,112.702614
"2020-08-11",119.550003,123.599998,119.459999,120.889999,3354300,117.717468
"2020-08-12",122.110001,122.470001,119.150002,120.989998,1581100,117.814835
"2020-08-13",120.010002,120.68,118.650002,118.809998,1084700,115.692039
"2020-08-14",118.330002,119.949997,117.660004,118.980003,871900,115.857597
"2020-08-17",119.860001,120.129997,118.57,118.919998,841700,115.799171
"2020-08-18",119.160004,119.43,118.260002,118.690002,957400,115.575211
"2020-08-19",119.230003,119.699997,118.18,118.639999,1104000,115.526512
"2020-08-20",117.68,118.650002,117.349998,118.239998,736300,115.137009
"2020-08-21",117.980003,118.660004,117.300003,118.230003,940800,115.127281
"2020-08-24",119.160004,121.160004,118.779999,121.080002,736200,117.902489
"2020-08-25",121.529999,121.709999,119.269997,119.82,850200,116.675545
"2020-08-26",119.580002,120.879997,119.370003,119.949997,619900,116.802139
"2020-08-27",120.940002,121.540001,120.050003,120.790001,941500,117.620094
"2020-08-28",120.949997,122.300003,120.120003,122.120003,877000,118.915199
"2020-08-31",122.099998,122.300003,119.959999,120.400002,938100,117.240341
"2020-09-01",119.940002,124,119.5,124,1539700,120.74585
"2020-09-02",123.650002,126.300003,123.519997,125.980003,1475400,122.673889
"2020-09-03",125.769997,126.050003,121.230003,122.790001,1486500,119.567596
"2020-09-04",123.779999,124.809998,121.900002,122.610001,1230100,119.392334
"2020-09-08",121.699997,121.980003,119.389999,120.989998,1329400,117.814835
"2020-09-09",122.639999,126.07,122.529999,125.339996,1789700,122.050682
"2020-09-10",125.75,127.410004,125.370003,125.739998,1723200,122.440178
"2020-09-11",125.940002,127.599998,125.089996,127.099998,1263200,123.764503
"2020-09-14",128,131.050003,127.639999,130.210007,1779900,126.792877
"2020-09-15",130.610001,131.089996,128.880005,129.919998,1411000,126.510475
"2020-09-16",130.059998,131,129,129.039993,1325100,125.65358
"2020-09-17",127.980003,130,127.110001,129.25,1115800,125.85807
"2020-09-18",128.619995,129.270004,125.370003,125.769997,1916800,122.469406
"2020-09-21",123.57,123.889999,118.800003,120.080002,1441500,116.928726
"2020-09-22",119.779999,121.190002,119.339996,120.82,1362100,117.6493
"2020-09-23",120.360001,121.150002,117.760002,118.32,1795900,115.21492
"2020-09-24",118.650002,120.089996,116.949997,118.949997,1066600,115.828377
"2020-09-25",118.25,120.720001,118.029999,120.25,789600,117.094254
"2020-09-28",122.379997,123.629997,121.629997,121.739998,1094300,118.545158
"2020-09-29",122.199997,122.769997,120.290001,120.330002,687800,117.172173
"2020-09-30",121.120003,123.599998,120.190002,122.080002,1477400,118.876244
"2020-10-01",122.410004,124.010002,121.199997,121.779999,1409100,118.584114
"2020-10-02",120.190002,123.879997,120,123.269997,1356200,120.035011
"2020-10-05",124.199997,126.489998,124.199997,125.919998,1459600,122.615456
"2020-10-06",127,129.039993,124.370003,124.550003,1714800,121.281418
"2020-10-07",126.559998,129.679993,126.449997,128.940002,1383400,125.556206
"2020-10-08",132.229996,136.509995,131.300003,134.990005,3161300,131.447449
"2020-10-09",135.460007,137,133.449997,135.880005,2083700,132.314072
"2020-10-12",136.350006,137.080002,134.509995,136.050003,1312100,132.479645
"2020-10-13",135.220001,135.990005,133.119995,133.570007,1322200,130.064728
"2020-10-14",133.800003,135.720001,133.800003,134.589996,946300,131.057938
"2020-10-15",132.559998,137.289993,132.5,136.740005,1261800,133.151505
"2020-10-16",137.339996,138.389999,136.080002,137.160004,1281300,133.560501
"2020-10-19",137.190002,138.399994,134.320007,134.320007,1490400,130.795029
"2020-10-20",135.559998,137.690002,133.610001,134.630005,1684300,131.096909
"2020-10-21",134.970001,137.479996,133.960007,134.029999,1208000,130.51265
"2020-10-22",134.649994,135.110001,132.809998,133.699997,1128100,130.191269
"2020-10-23",135.110001,135.990005,133.910004,134.270004,980600,130.746323
"2020-10-26",132.5,132.820007,129.460007,131.330002,1203700,127.883492
"2020-10-27",131.130005,131.699997,127.300003,127.389999,1193600,124.046883
"2020-10-28",124.620003,127.580002,124.5,125.209999,1464500,121.924103
"2020-10-29",124.709999,129.380005,123.519997,128.100006,1238800,124.738266
"2020-10-30",127.480003,130.009995,126.800003,129.720001,2202400,126.315765
"2020-11-02",131.839996,135.899994,130.809998,135.179993,1938900,131.632431
"2020-11-03",136.460007,138.029999,134.639999,136.860001,1479500,133.268356
"2020-11-04",135.190002,136.070007,131.149994,132.809998,1866100,129.324646
"2020-11-05",135.5,139.630005,135.380005,138.259995,1176500,134.631638
"2020-11-06",138.460007,139.600006,137.039993,138.759995,809800,135.1185
