"","PPL.Open","PPL.High","PPL.Low","PPL.Close","PPL.Volume","PPL.Adjusted"
"2020-07-01",25.85,26.389999,25.700001,26.200001,4034700,23.638241
"2020-07-02",26.530001,26.73,26.07,26.18,3536800,23.620199
"2020-07-06",26.469999,26.66,25.74,25.879999,4126000,23.349531
"2020-07-07",25.58,25.66,25.26,25.43,4530300,22.943533
"2020-07-08",25.42,25.84,25.309999,25.719999,3579400,23.205173
"2020-07-09",25.280001,25.360001,24.200001,24.4,8025700,22.01424
"2020-07-10",24.48,25.34,24.48,25.25,4173100,22.78113
"2020-07-13",25.280001,25.469999,25.059999,25.25,3818200,22.78113
"2020-07-14",25.32,25.85,25.27,25.540001,4801000,23.042774
"2020-07-15",25.92,26.15,25.66,25.690001,3817000,23.178106
"2020-07-16",25.76,26.1,25.629999,25.85,5182700,23.322464
"2020-07-17",26.059999,26.24,25.860001,26,3771100,23.457796
"2020-07-20",25.82,25.879999,25.25,25.360001,3881600,22.880377
"2020-07-21",25.43,25.76,25.24,25.360001,4365000,22.880377
"2020-07-22",25.200001,26.200001,24.950001,26.16,5110000,23.602152
"2020-07-23",26,26.280001,25.74,25.91,3848500,23.376598
"2020-07-24",26.040001,26.290001,25.5,25.709999,3350200,23.196152
"2020-07-27",25.639999,25.700001,25.110001,25.25,4141600,22.78113
"2020-07-28",25.110001,26.07,25.110001,25.92,4699500,23.385622
"2020-07-29",26.059999,26.219999,25.58,26.209999,5001700,23.647264
"2020-07-30",25.83,26.549999,25.67,26.5,5192400,23.908911
"2020-07-31",25.83,26.66,25.83,26.620001,5851400,24.017178
"2020-08-03",26.67,26.76,26.34,26.52,3289400,23.926954
"2020-08-04",26.43,27.049999,26.4,26.85,3806200,24.224689
"2020-08-05",27.02,27.059999,26.48,26.610001,3197200,24.008154
"2020-08-06",26.41,26.559999,26.27,26.5,6572000,23.908911
"2020-08-07",26.42,27.309999,26.42,27.139999,4940700,24.48633
"2020-08-10",27.6,29.030001,27.5,28.65,8966900,25.848688
"2020-08-11",29,29.26,28.23,28.43,7984100,25.6502
"2020-08-12",28.6,29.07,28.25,28.85,5107200,26.029135
"2020-08-13",28.620001,29.200001,28.52,29.120001,7152700,26.272736
"2020-08-14",29,29.219999,28.889999,29.049999,4047000,26.209578
"2020-08-17",29.030001,29.379999,28.700001,28.799999,7927300,25.984022
"2020-08-18",28.73,28.780001,28.190001,28.34,4538800,25.569002
"2020-08-19",28.1,28.51,27.91,28.34,4253700,25.569002
"2020-08-20",28.190001,28.43,28.01,28.02,3633400,25.280287
"2020-08-21",28.07,28.309999,27.889999,28.040001,3869400,25.298332
