"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"2020-07-01",61.02,61.330002,58.849998,58.93,2157900,53.301365
"2020-07-02",60.709999,61.779999,59.150002,59.299999,2467300,53.636024
"2020-07-06",61.330002,62.119999,60.27,61.310001,2422900,55.454048
"2020-07-07",60.259998,60.810001,59.240002,59.389999,2437300,53.717426
"2020-07-08",59.630001,60.950001,59.540001,60.77,1904500,54.965626
"2020-07-09",60.560001,60.59,57.830002,58.029999,2962100,52.487328
"2020-07-10",58.150002,60.720001,58,60.540001,2476000,54.757595
"2020-07-13",61.529999,62.139999,60.32,60.970001,2409200,55.146519
"2020-07-14",60.880001,61.970001,60.16,61.91,2731700,55.996738
"2020-07-15",63.400002,64.239998,62.48,63.93,2894600,57.823795
"2020-07-16",63.23,65.449997,62.669998,64.25,1964800,58.113235
"2020-07-17",64.239998,64.43,63.380001,64.139999,2219900,58.013741
"2020-07-20",63.73,63.860001,62.68,63.02,1755400,57.000717
"2020-07-21",63.639999,65.970001,63.560001,64.989998,2471700,58.782551
"2020-07-22",64.25,65.589996,64.160004,65.470001,2100600,59.216705
"2020-07-23",65.269997,66.120003,65.099998,65.629997,1932200,59.361427
"2020-07-24",66.010002,66.25,64.739998,64.910004,1673200,58.710194
"2020-07-27",64.489998,64.489998,63.049999,64.220001,2055100,58.086102
"2020-07-28",64.019997,64.879997,63.66,64.080002,1958300,57.959473
"2020-07-29",64.07,65.769997,63.759998,65.480003,2820300,59.225758
"2020-07-30",63.619999,63.91,61.75,63.66,2736400,57.579586
"2020-07-31",63.619999,63.709999,62.310001,63.369999,4421100,57.317284
"2020-08-03",63.689999,64.959999,63.279999,64.43,2271000,58.276043
"2020-08-04",63.950001,64.550003,63.16,63.279999,2907400,57.235882
"2020-08-05",65,67.32,64.809998,67.199997,3574400,60.781467
"2020-08-06",66.349998,67.080002,64.349998,64.650002,2981600,58.475033
"2020-08-07",64.25,67.989998,64.139999,67.959999,2269400,61.46888
"2020-08-10",68.150002,69.730003,68.050003,69.540001,2410900,62.897964
"2020-08-11",71.32,72.589996,70.550003,70.739998,3285600,63.983353
"2020-08-12",72.5,72.650002,68.709999,69.910004,2540700,63.232639
"2020-08-13",69,70.190002,68.510002,69.540001,1970000,62.897964
"2020-08-14",69,71.029999,68.889999,70.589996,1598700,63.847675
"2020-08-17",70.330002,70.690002,69.139999,69.449997,1942700,62.816566
"2020-08-18",69.639999,70.160004,68.5,68.57,1680300,62.020615
"2020-08-19",68.43,69.830002,68.309998,69.07,1871400,62.472855
"2020-08-20",68.25,68.730003,67.779999,68.129997,1342400,61.622639
"2020-08-21",68.040001,68.650002,67.199997,67.410004,1697600,60.971413
"2020-08-24",67.129997,69.099998,66.709999,69.089996,2076900,63.527592
"2020-08-25",69.800003,70.330002,68.559998,69.099998,1605500,63.536777
"2020-08-26",69.019997,69.190002,68.169998,68.290001,1442800,62.792007
"2020-08-27",68.32,69.980003,68.32,69.360001,1398200,63.775852
"2020-08-28",70,70.110001,68.849998,69.639999,1251700,64.033318
"2020-08-31",69.330002,69.389999,67.470001,67.769997,2230800,62.313862
"2020-09-01",67.290001,68.910004,66.760002,68,2124900,62.525349
"2020-09-02",68,69.260002,67.589996,69.010002,2129900,63.454037
"2020-09-03",69.5,71.190002,67.410004,68.010002,2212500,62.534546
"2020-09-04",69.5,70.339996,67.949997,69.709999,2188600,64.097672
"2020-09-08",69.139999,69.389999,67.169998,67.82,2775200,62.359844
"2020-09-09",68.849998,69,67.669998,68.279999,1601600,62.782806
"2020-09-10",68.639999,69.580002,67.190002,67.260002,2340600,61.844933
"2020-09-11",67.419998,68.5,66.940002,68.120003,1751100,62.6357
"2020-09-14",68.93,70.300003,68.410004,69.760002,2080800,64.143654
