"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"2020-07-01",191.669998,200.119995,191.220001,199.160004,678500,180.697617
"2020-07-02",201.009995,202.029999,197.529999,199.360001,895900,180.879059
"2020-07-06",202.240005,203.589996,195.690002,196.529999,871800,178.311386
"2020-07-07",194.669998,196.130005,194.080002,194.460007,635000,176.433289
"2020-07-08",194.210007,195.070007,193.029999,193.360001,869400,175.435272
"2020-07-09",192.75,196.309998,192.050003,195.369995,555800,177.258942
"2020-07-10",195.399994,196.880005,193.970001,194.429993,630400,176.406067
"2020-07-13",194.679993,195.339996,192.600006,192.889999,525800,175.008835
"2020-07-14",193.059998,196.919998,192.949997,193.839996,588700,175.870789
"2020-07-15",195.630005,195.630005,191.149994,192.800003,982400,174.927185
"2020-07-16",192.389999,194.740005,188.279999,188.380005,621300,170.916946
"2020-07-17",188.699997,192.979996,187.350006,192.300003,837900,174.473526
"2020-07-20",192.300003,192.520004,187.759995,187.789993,479500,170.381607
"2020-07-21",189.179993,189.479996,186.710007,186.839996,581400,169.519684
"2020-07-22",185.449997,189.199997,184.199997,188.309998,698900,170.853394
"2020-07-23",188.899994,190,185.419998,187.020004,534200,169.682999
"2020-07-24",187.699997,188.240005,185.059998,185.360001,518700,168.176865
"2020-07-27",185.259995,186.699997,183.220001,185.570007,472500,168.367416
"2020-07-28",185.960007,193.910004,185.960007,193.869995,800500,175.897995
"2020-07-29",194.169998,197.880005,192.669998,196.839996,806500,178.592636
"2020-07-30",194.720001,198.320007,193.75,197.710007,1001800,179.382034
"2020-07-31",197.029999,200,193.559998,199.880005,1761600,181.350845
"2020-08-03",198.839996,199,195.490005,195.839996,658400,177.685349
"2020-08-04",196.559998,202,196.050003,201.380005,1018900,182.711823
"2020-08-05",201.779999,201.979996,195.889999,196.970001,905500,178.710632
"2020-08-06",192.979996,196.449997,186.229996,196.080002,1593700,177.903137
"2020-08-07",194.610001,201.860001,194.610001,199.25,966500,180.779266
"2020-08-10",200.100006,203.800003,199.660004,202.490005,645100,183.718903
"2020-08-11",204.179993,204.460007,197.619995,198.990005,653500,180.543365
"2020-08-12",199.529999,200.089996,195.259995,198.380005,509700,179.989899
"2020-08-13",197.449997,199.779999,196.410004,197.300003,554500,179.01004
"2020-08-14",197.559998,202.880005,197.559998,200.240005,642000,181.67746
"2020-08-17",199.070007,200.160004,197.449997,200.020004,816600,181.477875
"2020-08-18",200.029999,202.25,198.279999,200.940002,594000,182.312592
"2020-08-19",201.759995,201.759995,196.429993,197.429993,769900,179.12796
"2020-08-20",197.160004,203.419998,197.059998,203.259995,584400,184.417496
"2020-08-21",204.350006,206.710007,202.960007,206.550003,752600,187.402542
"2020-08-24",205.380005,206.570007,203.490005,206.559998,483800,187.411606
"2020-08-25",206.589996,206.809998,204.580002,206.759995,469900,187.593063
"2020-08-26",205.970001,208.690002,204.199997,208.509995,645400,189.180832
"2020-08-27",209.199997,212.429993,208.809998,211.270004,499900,191.684982
