"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2020-07-01",71.769997,73.349998,68.830002,69.110001,2251700,62.733849
"2020-07-02",70.269997,70.980003,68.279999,68.419998,2624100,62.107502
"2020-07-06",69.610001,69.949997,66.279999,68.089996,3592400,61.807953
"2020-07-07",67.190002,67.25,64.480003,64.610001,3120400,58.649029
"2020-07-08",64.68,65.559998,63.639999,63.98,3798000,58.077141
"2020-07-09",64,64.330002,58.919998,58.98,6096200,53.538448
"2020-07-10",58.73,61.119999,58.720001,61.060001,4247900,55.426556
"2020-07-13",61.34,61.77,59.5,60.27,3481400,54.709435
"2020-07-14",59.630001,62.209999,59.400002,61.959999,3423300,56.243511
"2020-07-15",63.970001,65.720001,62.700001,65.459999,3635500,59.420597
"2020-07-16",65.07,66.120003,63.869999,64.870003,1857300,58.885033
"2020-07-17",65.309998,66.160004,63.59,63.84,2122100,57.950066
"2020-07-20",63.849998,64.559998,62.27,62.330002,2079600,56.57938
"2020-07-21",63.73,66.900002,63.5,66.419998,3241200,60.29203
"2020-07-22",65.160004,65.529999,63.91,65.25,2585400,59.229973
"2020-07-23",64.82,65.699997,63.970001,65.18,2104700,59.166435
"2020-07-24",65.449997,66.480003,64.75,65.059998,2040600,59.057507
"2020-07-27",64.75,65.029999,63.599998,64.589996,1826600,58.630863
"2020-07-28",64.139999,64.959999,63.400002,63.580002,2428300,57.71405
"2020-07-29",64.160004,65.589996,63.709999,65.580002,2449100,59.529526
"2020-07-30",64.010002,64.209999,61.299999,63.09,3118400,57.269257
"2020-07-31",61.369999,63.099998,60.59,62.02,5838600,56.297981
"2020-08-03",61.310001,62,60.040001,61.119999,4331600,55.481007
"2020-08-04",60.75,62.330002,60.119999,61.849998,3412600,56.143658
"2020-08-05",63.119999,63.119999,60.529999,61.959999,4538200,56.243511
"2020-08-06",61.099998,62.950001,60.68,60.970001,3187800,55.344856
"2020-08-07",60.599998,62.990002,60.139999,62.869999,2914000,57.069553
"2020-08-10",63.369999,64.919998,62.900002,64.870003,3387100,58.885033
"2020-08-11",66.389999,67.470001,63.75,64.110001,3544200,58.195152
"2020-08-12",65.339996,65.510002,63.810001,64.410004,3442200,58.467472
"2020-08-13",63.849998,64.290001,62.619999,62.630001,2875500,56.851696
"2020-08-14",62.099998,63.759998,61.860001,63.66,2638100,57.786667
"2020-08-17",62.700001,63.139999,62.130001,62.360001,2816100,57.418365
"2020-08-18",62.259998,62.5,61.09,61.310001,2658800,56.451576
"2020-08-19",61.5,62.09,60.369999,61.419998,3100800,56.552856
"2020-08-20",60.759998,61.59,60.619999,60.970001,2598700,56.138523
"2020-08-21",61,61.779999,60.57,60.970001,3124900,56.138523
"2020-08-24",61.25,63.68,60.68,63.650002,3011200,58.606144
"2020-08-25",63.700001,63.950001,61.419998,61.630001,2303900,56.746216
"2020-08-26",61.419998,61.84,60.009998,60.029999,3003400,55.273003
"2020-08-27",60.18,60.43,59.07,60.259998,3160200,55.484783
"2020-08-28",60.349998,62.07,60.349998,61.790001,2469100,56.893539
"2020-08-31",61.849998,61.919998,58.459999,58.470001,3657000,53.83662
"2020-09-01",58.380001,59.41,57.709999,58.790001,3194900,54.131264
"2020-09-02",58.59,60.380001,57.830002,60.049999,4491700,55.29142
"2020-09-03",60.130001,61.73,59.200001,59.689999,3365700,54.959949
"2020-09-04",60,60.639999,58.560001,58.98,3420100,54.30621
"2020-09-08",58.32,59.630001,57.869999,57.959999,4119800,53.367043
"2020-09-09",58.040001,58.630001,57.16,57.869999,3057100,53.284172
"2020-09-10",58.16,58.259998,55.349998,55.360001,3100900,50.973076
"2020-09-11",55.689999,57.419998,54.880001,57.07,3002100,52.547573
"2020-09-14",57.52,58.919998,57.43,58.369999,2889700,53.744549
"2020-09-15",58.25,59.540001,57.709999,58.049999,3397700,53.449905
"2020-09-16",58.75,61.73,58.110001,60.509998,5347700,55.71497
"2020-09-17",58.82,60.419998,58.759998,60.349998,4187000,55.567642
"2020-09-18",59.25,60.720001,58.93,59.82,7292400,55.079647
"2020-09-21",57.919998,58.23,55.580002,55.919998,6187500,51.488693
"2020-09-22",55.709999,56.82,54.869999,55.360001,4135900,50.973076
"2020-09-23",55.470001,55.82,52.560001,52.630001,3725300,48.459412
"2020-09-24",52.299999,53.849998,51.049999,52.849998,2981000,48.661968
"2020-09-25",52.07,53.279999,51.700001,52.880001,2824300,48.689602
"2020-09-28",53.939999,54.639999,53.43,53.98,2126600,49.702431
"2020-09-29",53.759998,53.82,51.759998,52.189999,2464600,48.054279
"2020-09-30",52.470001,53.049999,51.59,51.84,2670300,47.732014
"2020-10-01",51.189999,51.599998,49.75,50.279999,4047100,46.295635
"2020-10-02",48.959999,51.759998,48.82,51.060001,3453200,47.013828
"2020-10-05",51.830002,53.130001,51.720001,52.549999,2711600,48.385746
"2020-10-06",53.490002,53.490002,50.939999,51.060001,2926500,47.013828
"2020-10-07",51.450001,52.18,50.650002,51.93,2621200,47.81488
