"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2020-07-01",174.625,178.235001,172.559998,177.429993,6869600,177.429993
"2020-07-02",179.690002,179.800003,176.720001,177.210007,5943600,177.210007
"2020-07-06",180.289993,181.240005,174.460007,176.179993,8348300,176.179993
"2020-07-07",177.690002,179.949997,176.309998,177.279999,5529400,177.279999
"2020-07-08",178.889999,182.639999,178.5,181.570007,7233500,181.570007
"2020-07-09",183.399994,183.990005,179.149994,183.229996,6340000,183.229996
"2020-07-10",181.630005,182.520004,177.130005,178.399994,7583200,178.399994
"2020-07-13",180.419998,180.660004,170.740005,171.509995,10234800,171.509995
"2020-07-14",168.75,172.600006,164.330002,172.300003,10624500,172.300003
"2020-07-15",172.990005,173.360001,169.009995,172.059998,6659700,172.059998
"2020-07-16",169.899994,171.339996,166.5,169.809998,6630600,169.809998
"2020-07-17",171.5,174.559998,169.539993,173.919998,7354000,173.919998
"2020-07-20",174.649994,179.639999,172.679993,178.820007,6025000,178.820007
"2020-07-21",179.25,179.460007,174.320007,175.580002,5698400,175.580002
"2020-07-22",176.160004,179.490005,175.729996,178.419998,4669000,178.419998
"2020-07-23",178.149994,180.75,171.940002,173.860001,6999600,173.860001
"2020-07-24",171.080002,173.600006,169.080002,172.559998,6256100,172.559998
"2020-07-27",173.919998,178.460007,172.389999,177.979996,6868800,177.979996
"2020-07-28",178.009995,179.580002,176.009995,176.270004,6125700,176.270004
"2020-07-29",178.449997,185.440002,178.270004,184.600006,15436600,184.600006
"2020-07-30",191.809998,198.660004,189.130997,192.509995,16803600,192.509995
"2020-07-31",193.050003,196.350006,191.690002,196.070007,10863400,196.070007
"2020-08-03",198.25,199.399994,195.220001,197.070007,7958700,197.070007
"2020-08-04",196.350006,199.100006,195.520996,197.330002,5771600,197.330002
"2020-08-05",199,204.229996,198.089996,202.910004,7565800,202.910004
"2020-08-06",202,204.160004,198.880005,204.089996,5821400,204.089996
"2020-08-07",203.710007,203.951004,196.699997,198.630005,6525300,198.630005
"2020-08-10",198.699997,199.850006,191.690002,193.320007,8792200,193.320007
"2020-08-11",192,193.535004,186.520004,189.029999,9155300,189.029999
"2020-08-12",190,192.509995,189.399994,191.320007,7936600,191.320007
"2020-08-13",192.100006,195.130005,191.479996,193.070007,10082400,193.070007
"2020-08-14",195.190002,195.468994,190.509995,191.460007,4848000,191.460007
"2020-08-17",193.919998,197.419998,193.25,196.289993,6279300,196.289993
"2020-08-18",197.729996,198.75,194,194.570007,5362500,194.570007
"2020-08-19",195.059998,196.839996,191.919998,192.440002,6865300,192.440002
"2020-08-20",192.059998,198.699997,191.509995,198.179993,6773000,198.179993
"2020-08-21",197.929993,199.100006,196.220001,196.789993,6092500,196.789993
"2020-08-24",200,201.098999,196.570007,198.880005,5404100,198.880005
"2020-08-25",198.490005,201.960007,196.240005,201.669998,5108200,201.669998
"2020-08-26",202.529999,205.350006,200.25,203.479996,6072200,203.479996
"2020-08-27",206.809998,207,202.300003,204.339996,6051900,204.339996
"2020-08-28",205.416,205.416,202.419998,204.479996,4580300,204.479996
"2020-08-31",203.699997,205.251999,202.298004,204.139999,5628700,204.139999
"2020-09-01",205.589996,209.880005,205.145004,208.929993,6234600,208.929993
"2020-09-02",211.621994,212.449997,204.600006,210.820007,7219500,210.820007
"2020-09-03",205.690002,206.589996,194.949997,204.990005,16006900,204.990005
"2020-09-04",200.985001,201.839996,182.850006,191.839996,17034100,191.839996
"2020-09-08",184.699997,191.75,184.699997,185.949997,9282400,185.949997
"2020-09-09",191,195.75,187.300003,194.600006,8542000,194.600006
"2020-09-10",196.089996,198.220001,187.839996,190.089996,6580700,190.089996
"2020-09-11",191.462006,192.100006,180.929993,184,8110400,184
"2020-09-14",186,188.600006,184.380005,186.960007,7053100,186.960007
"2020-09-15",190.050003,190.449997,184.179993,186.020004,7763400,186.020004
"2020-09-16",187.095001,189.339996,180.669998,180.910004,8170100,180.910004
"2020-09-17",176.630005,178.740005,173.789993,175.789993,11840100,175.789993
"2020-09-18",176.699997,178.25,171.630005,176.070007,13557200,176.070007
"2020-09-21",174.839996,183.449997,174.080002,183.210007,13765600,183.210007
"2020-09-22",186.789993,188.059998,182.184998,187.779999,8939300,187.779999
"2020-09-23",188.389999,188.470001,181.100006,181.610001,6782400,181.610001
"2020-09-24",180.169998,184.899994,179.600006,182.190002,7374500,182.190002
"2020-09-25",182.399994,187.919998,180.130005,187.25,7606500,187.25
"2020-09-28",191,192.470001,188.089996,192.020004,7590600,192.020004
"2020-09-29",192.639999,195.779999,191.110001,194.5,6732600,194.5
"2020-09-30",194.059998,198.720001,193.311005,197.029999,7939600,197.029999
"2020-10-01",199.259995,201.270004,196.220993,196.940002,7268900,196.940002
"2020-10-02",192.729996,196.210007,189.25,191.910004,6546400,191.910004
"2020-10-05",193.550003,196.910004,192.160004,196.850006,5024100,196.850006
"2020-10-06",196.130005,197.369995,190.880005,191.660004,5921800,191.660004
"2020-10-07",193.910004,195.710007,193.330002,194.610001,4228700,194.610001
"2020-10-08",196.75,196.869995,192.669998,193.059998,5582600,193.059998
"2020-10-09",194.360001,197.350006,192.600006,197.270004,7082400,197.270004
"2020-10-12",199.869995,204.080002,196.632004,201.509995,10603200,201.509995
"2020-10-13",202.440002,209.020004,200.110001,207.740005,8145300,207.740005
"2020-10-14",208.203995,208.947998,200.5,203.600006,8588100,203.600006
"2020-10-15",199.990005,203.479996,198.128006,203.139999,7626700,203.139999
"2020-10-16",204.440002,207.470001,202.220001,204.449997,9662200,204.449997
"2020-10-19",205.520004,207.229996,199.100006,200.059998,6566700,200.059998
"2020-10-20",201.139999,205.470001,200.309998,201.960007,4867700,201.960007
"2020-10-21",208.300003,215.830002,206.020004,213.070007,17247200,213.070007
"2020-10-22",211.899994,212.339996,202.139999,203.929993,12398300,203.929993
"2020-10-23",206.240005,206.240005,201.210007,203.039993,6644700,203.039993
"2020-10-26",200.660004,203.889999,195.050003,197.220001,7716000,197.220001
"2020-10-27",198.789993,201.320007,197.720001,200.429993,4754400,200.429993
"2020-10-28",196.960007,198.389999,191.5,192.309998,8050000,192.309998
"2020-10-29",194.080002,197.589996,192.309998,195.039993,7627100,195.039993
"2020-10-30",193.289993,195.330002,182.919998,186.130005,12029700,186.130005
"2020-11-02",189.009995,192.705002,185.050003,187.759995,14386000,187.759995
"2020-11-03",177.940002,188.75,174.809998,179.809998,31656000,179.809998
"2020-11-04",186.759995,195,184.110001,194.289993,16107000,194.289993
"2020-11-05",202.300003,204.919998,199.369995,204.559998,15188500,204.559998
"2020-11-06",204.600006,204.919998,198.550003,202.729996,8075100,202.729996
"2020-11-09",195.740005,196.070007,184.440002,184.720001,18986400,184.720001
"2020-11-10",184.979996,186.710007,178.600006,183.360001,13144300,183.360001
"2020-11-11",187.498001,193.100006,186.399994,192.339996,9151700,192.339996
"2020-11-12",193.949997,194.899994,188.429993,189.100006,7096100,189.100006
"2020-11-13",191.106995,191.729996,186.850006,188.619995,6017200,188.619995
"2020-11-16",185.190002,192.380005,183.539993,191.940002,10127800,191.940002
"2020-11-17",192.130005,194.630005,190.630005,192.300003,6448800,192.300003
"2020-11-18",192.589996,192.949997,189.539993,190.119995,8095400,190.119995
"2020-11-19",190.820007,192.75,189.570007,190.899994,9391500,190.899994
"2020-11-20",192.470001,194.729996,190.960007,192.669998,11514100,192.669998
"2020-11-23",194.529999,202.160004,193.919998,200.820007,12020000,200.820007
"2020-11-24",204,207.078995,198.860001,206,14781600,206
"2020-11-25",206.289993,216.070007,206.229996,214.460007,13817500,214.460007
"2020-11-27",213.199997,213.839996,208.619995,211.389999,5363200,211.389999
"2020-11-30",212.509995,215.830002,207.089996,214.119995,12976100,214.119995
"2020-12-01",217.149994,220.570007,214.339996,216.539993,10137400,216.539993
"2020-12-02",215.600006,215.75,210.5,212.559998,7537400,212.559998
"2020-12-03",213.330002,216.929993,213.110001,214.539993,7645200,214.539993
"2020-12-04",214.880005,218.552994,213.009995,217.770004,6214600,217.770004
"2020-12-07",217.389999,219.320007,216.309998,217.929993,5363400,217.929993
"2020-12-08",216.324997,218.720001,215.570007,216.940002,5419600,216.940002
"2020-12-09",217,218.940002,209.25,210.800003,7807500,210.800003
"2020-12-10",208.360001,216.229996,206.649994,215.339996,6556800,215.339996
"2020-12-11",213.389999,215,210.419998,214.059998,4283400,214.059998
"2020-12-14",215.949997,223.160004,215,220.789993,9759400,220.789993
"2020-12-15",221.929993,222.309998,217.119995,221.600006,6508100,221.600006
"2020-12-16",224.800003,231.149994,224.610001,230.199997,10110000,230.199997
"2020-12-17",234.509995,238.100006,232.399994,235.509995,8914100,235.509995
"2020-12-18",236.660004,237.169998,232.279999,236.449997,11534700,236.449997
"2020-12-21",232.619995,239.751007,232.201004,237.720001,8156000,237.720001
"2020-12-22",240.164993,243.679993,238.089996,243.490005,6331700,243.490005
"2020-12-23",243.600006,244.25,238.330002,239.440002,6421300,239.440002
"2020-12-24",240.360001,242.119995,238.089996,238.639999,3053800,238.639999
