"","REG.Open","REG.High","REG.Low","REG.Close","REG.Volume","REG.Adjusted"
"2020-07-01",46.389999,47.27,45.91,46.169998,824900,42.48064
"2020-07-02",47.450001,47.810001,45.389999,45.73,685800,42.075802
"2020-07-06",46.950001,47.830002,45.48,45.98,1058200,42.305824
"2020-07-07",45.330002,45.330002,43.799999,44.09,734300,40.566856
"2020-07-08",43.91,44.139999,42.77,43.400002,1198600,39.931988
"2020-07-09",43.169998,43.279999,41.18,42.119999,889500,38.754269
"2020-07-10",42.099998,43.709999,42.049999,42.939999,940100,39.508743
"2020-07-13",43.380001,43.75,42.189999,42.59,908500,39.186718
"2020-07-14",43.169998,43.189999,41.720001,42.07,1067600,38.708263
"2020-07-15",43.110001,43.77,42.380001,42.970001,1356100,39.536354
"2020-07-16",42.529999,42.939999,41.91,42.099998,790800,38.735867
"2020-07-17",42.439999,42.439999,41.639999,41.700001,693700,38.367828
"2020-07-20",41.650002,41.889999,40.669998,41.169998,1266900,37.88018
"2020-07-21",40.889999,41.689999,40.360001,40.580002,1454000,37.337334
"2020-07-22",40.459999,41.549999,40.049999,41.369999,1171100,38.064201
"2020-07-23",41.049999,41.459999,39.849998,40.43,930400,37.199318
"2020-07-24",40.48,40.790001,39.849998,39.959999,1157100,36.766869
"2020-07-27",39.16,40.029999,38.48,39.91,1246400,36.72086
"2020-07-28",39.650002,42.310001,39.490002,41.75,1384600,38.413834
"2020-07-29",42.240002,42.470001,41.080002,42.110001,1123000,38.745075
"2020-07-30",41.139999,42.060001,40.330002,41.810001,896400,38.46904
"2020-07-31",41.68,41.68,40.099998,41.029999,3933200,37.751366
"2020-08-03",40.57,40.91,39.740002,40.59,1182600,37.346527
"2020-08-04",40.77,41.27,39.43,41.060001,1457300,37.778976
"2020-08-05",41.650002,41.98,40.810001,40.98,757800,37.70536
"2020-08-06",40.360001,41.75,40.220001,40.959999,781900,37.686962
"2020-08-07",40.43,41.700001,40.18,41.650002,678600,38.321831
"2020-08-10",41.549999,43.740002,41.509998,42.869999,1249300,39.444336
"2020-08-11",43.66,44.82,43.310001,43.5,1281400,40.023998
"2020-08-12",43.959999,44.240002,42.779999,43.669998,975600,40.180416
"2020-08-13",42.919998,43.34,42.209999,42.490002,1049200,39.634727
"2020-08-14",42.400002,43.48,42.029999,42.880001,921900,39.99852
"2020-08-17",42.419998,43.02,42.139999,42.720001,488300,39.84927
"2020-08-18",42.900002,42.900002,41.279999,41.82,583000,39.009747
"2020-08-19",41.25,41.700001,40.150002,40.200001,753300,37.498611
"2020-08-20",40.200001,41.48,40,41.150002,1158700,38.384769
"2020-08-21",41.259998,41.310001,40.139999,40.459999,616400,37.741142
"2020-08-24",40.470001,41.310001,39.900002,41.049999,826500,38.291485
"2020-08-25",41.400002,41.59,40.220001,40.950001,685700,38.198215
