"","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2020-07-01",206.630005,207.889999,203.809998,203.889999,266200,194.10051
"2020-07-02",208.110001,208.199997,200.440002,200.949997,258100,191.301651
"2020-07-06",206.080002,208.520004,204.110001,205.990005,302600,196.099686
"2020-07-07",204.960007,205.309998,202.470001,203.720001,405100,193.93866
"2020-07-08",203.490005,205.860001,201.279999,204.410004,317900,194.595551
"2020-07-09",204.119995,204.119995,195.690002,198.059998,285900,188.5504
"2020-07-10",197.949997,207.020004,197.369995,206.789993,326400,196.861252
"2020-07-13",207.899994,211.070007,203.490005,207.679993,328000,197.708527
"2020-07-14",207.600006,211.869995,207.199997,211.440002,209200,201.288025
"2020-07-15",215.699997,219.300003,213.509995,218.289993,240300,207.809113
"2020-07-16",217.520004,226.509995,216.419998,223.100006,305200,212.388168
"2020-07-17",223.820007,223.820007,219.270004,222.619995,203100,211.931213
"2020-07-20",222,222.190002,218.089996,219.850006,173700,209.294205
"2020-07-21",219.110001,223.039993,219.110001,220.580002,272300,209.989166
"2020-07-22",219.860001,224.220001,219.860001,223.809998,206500,213.064072
"2020-07-23",222.610001,224.949997,221.410004,223.059998,192900,212.350082
"2020-07-24",231.419998,231.419998,221.050003,224.009995,294900,213.254456
"2020-07-27",222.979996,223.470001,218.649994,220.800003,214800,210.198593
"2020-07-28",220.490005,220.919998,216.119995,216.320007,229100,205.933716
"2020-07-29",217.679993,220.509995,217.130005,219.940002,176700,209.379898
"2020-07-30",215.889999,218.690002,214.119995,216.089996,180500,205.714737
"2020-07-31",216.429993,218.979996,214.699997,218.789993,240100,208.285095
"2020-08-03",219.029999,223.080002,218.350006,220.960007,326900,210.350906
"2020-08-04",222.169998,222.169998,216.860001,217.160004,276600,206.733383
"2020-08-05",220.330002,222.789993,218.119995,219.119995,368700,208.599274
"2020-08-06",218.509995,226.779999,216.520004,223.660004,439100,212.92128
"2020-08-07",221.490005,232.550003,221.490005,232.190002,318600,221.041718
"2020-08-10",231.869995,235,231.220001,231.880005,210100,220.746643
"2020-08-11",236.050003,237.039993,228,228.270004,252100,217.309952
"2020-08-12",231.75,232.350006,227.279999,227.720001,140500,216.786346
"2020-08-13",226.449997,227.839996,224.860001,225.259995,176600,214.444443
"2020-08-14",224.190002,228.490005,223.479996,225.279999,237300,214.463516
"2020-08-17",224.990005,225.759995,221.770004,221.929993,207500,211.274338
"2020-08-18",221.75,222.880005,220.279999,220.720001,231800,210.122437
"2020-08-19",220.759995,221.779999,216.789993,217.309998,234500,206.876175
"2020-08-20",214.429993,217,213.899994,216.360001,211900,205.971771
"2020-08-21",216.259995,217.279999,213.210007,213.809998,388100,203.544205
"2020-08-24",213.789993,219.020004,213.5,218.630005,140400,208.132797
"2020-08-25",221.25,221.839996,218.600006,218.839996,216100,208.332703
"2020-08-26",218.039993,218.339996,215.910004,216.970001,181300,206.552505
"2020-08-27",216.850006,225.720001,216.850006,221.880005,211600,211.226746
"2020-08-28",224.309998,224.309998,219.179993,221.669998,190700,211.02681
"2020-08-31",221,221.679993,217.910004,220.080002,288200,209.513168
"2020-09-01",217.009995,218.940002,216.210007,217.869995,184500,208.880386
"2020-09-02",216.350006,219.300003,214.940002,217.910004,294900,208.918747
