"","RF.Open","RF.High","RF.Low","RF.Close","RF.Volume","RF.Adjusted"
"2020-07-01",11.1,11.2,10.54,10.63,12519300,9.924723
"2020-07-02",10.92,11.15,10.53,10.6,13439800,9.896715
"2020-07-06",10.85,11.09,10.59,10.8,9382800,10.083445
"2020-07-07",10.64,10.68,10.31,10.33,9078700,9.644628
"2020-07-08",10.3,10.49,10.11,10.34,9510300,9.653963
"2020-07-09",10.29,10.36,9.79,9.83,10371200,9.177801
"2020-07-10",9.83,10.31,9.8,10.29,10660900,9.607283
"2020-07-13",10.51,10.63,10.15,10.48,9936600,9.784674
"2020-07-14",10.41,10.47,10.07,10.21,10079800,9.532589
"2020-07-15",10.56,10.77,10.41,10.73,9049800,10.018088
"2020-07-16",10.59,10.99,10.5,10.8,9137100,10.083445
"2020-07-17",10.65,10.69,10.27,10.32,17500000,9.635289
"2020-07-20",10.2,10.43,10.17,10.23,8707400,9.551262
"2020-07-21",10.34,10.87,10.34,10.8,10967500,10.083445
"2020-07-22",10.68,10.89,10.64,10.8,9561900,10.083445
"2020-07-23",10.73,11.12,10.72,11.04,6922700,10.307521
"2020-07-24",11.1,11.21,10.86,10.92,6263400,10.195481
"2020-07-27",10.81,10.82,10.56,10.61,9275100,9.90605
"2020-07-28",10.54,10.67,10.49,10.54,9091200,9.840694
"2020-07-29",10.53,11.04,10.45,11.04,9914100,10.307521
"2020-07-30",10.64,10.76,10.45,10.75,5713900,10.036761
"2020-07-31",10.7,10.86,10.57,10.86,11041700,10.139462
"2020-08-03",10.87,10.94,10.69,10.76,6465600,10.046098
"2020-08-04",10.76,10.84,10.66,10.7,6312900,9.990079
"2020-08-05",10.86,10.98,10.8,10.93,5624900,10.20482
"2020-08-06",10.85,10.97,10.74,10.84,6168500,10.12079
"2020-08-07",10.71,11.27,10.68,11.26,7677400,10.512924
"2020-08-10",11.28,11.67,11.27,11.5,6380000,10.737
"2020-08-11",11.85,12.31,11.85,11.93,10987100,11.138473
"2020-08-12",12.18,12.31,11.5,11.92,11644900,11.129135
"2020-08-13",11.69,11.74,11.55,11.62,6540500,10.849039
"2020-08-14",11.5,11.9,11.47,11.77,5124500,10.989088
"2020-08-17",11.62,11.76,11.5,11.67,9335600,10.895721
"2020-08-18",11.67,11.67,11.33,11.37,5079600,10.615624
"2020-08-19",11.35,11.58,11.27,11.42,5046900,10.662308
"2020-08-20",11.25,11.3,11.07,11.08,5384600,10.344866
"2020-08-21",11.03,11.15,10.9,10.97,5334400,10.242164
"2020-08-24",11.09,11.54,11,11.54,5806100,10.774346
"2020-08-25",11.74,11.9,11.51,11.68,8049800,10.905059
"2020-08-26",11.63,11.68,11.37,11.38,5936500,10.624964
"2020-08-27",11.4,11.76,11.37,11.7,6175600,10.923731
"2020-08-28",11.75,11.79,11.63,11.71,4964800,10.933066
"2020-08-31",11.72,11.73,11.53,11.56,7327600,10.793019
"2020-09-01",11.45,11.72,11.37,11.63,5897400,10.858377
"2020-09-02",11.57,11.84,11.5,11.79,6862800,11.007761
"2020-09-03",11.77,12.11,11.47,11.53,7846700,10.908421
"2020-09-04",11.84,11.99,11.52,11.8,6025100,11.163864
"2020-09-08",11.58,11.64,11.28,11.37,7351300,10.757046
"2020-09-09",11.48,11.55,11.33,11.46,6218900,10.842195
"2020-09-10",11.56,11.79,11.23,11.24,6968100,10.634055
"2020-09-11",11.27,11.57,11.2,11.52,6161100,10.898958
"2020-09-14",11.64,12.08,11.59,12.06,6420700,11.409848
"2020-09-15",12.12,12.14,11.76,11.98,7992800,11.334162
"2020-09-16",11.98,12.32,11.9,12.09,8277100,11.438231
"2020-09-17",11.9,12.12,11.84,12.03,8007100,11.381465
"2020-09-18",11.92,12.06,11.81,11.91,12367600,11.267935
"2020-09-21",11.52,11.75,11.18,11.31,8490600,10.700281
"2020-09-22",11.3,11.47,10.98,11.04,8993700,10.444836
"2020-09-23",11.1,11.36,10.74,10.75,7301300,10.17047
"2020-09-24",10.81,11.04,10.61,10.76,6390500,10.179931
"2020-09-25",10.66,11.05,10.6,11,6619100,10.406993
"2020-09-28",11.3,11.53,11.23,11.51,9044400,10.8895
"2020-09-29",11.41,11.57,11.19,11.37,7784100,10.757046
"2020-09-30",11.47,11.71,11.35,11.53,9507000,10.908421
"2020-10-01",11.54,11.66,11.38,11.53,7672700,10.908421
"2020-10-02",11.34,12.03,11.3,11.95,8072300,11.305779
"2020-10-05",12.12,12.58,12.1,12.57,8103500,11.892355
"2020-10-06",12.77,13,12.32,12.39,9982500,11.722058
"2020-10-07",12.61,12.93,12.54,12.71,7868600,12.024806
"2020-10-08",12.83,13.05,12.67,13.04,10066200,12.337017
"2020-10-09",13.06,13.13,12.7,12.79,6694500,12.100494
"2020-10-12",12.78,12.98,12.72,12.95,5145200,12.251869
"2020-10-13",12.89,12.9,12.45,12.49,6629100,11.816667
"2020-10-14",12.49,12.59,12.25,12.25,7819800,11.589605
"2020-10-15",12.14,12.6,12.1,12.54,7103800,11.86397
"2020-10-16",12.54,12.62,12.27,12.47,6503400,11.797745
"2020-10-19",12.6,12.64,12.32,12.34,6513300,11.674754
"2020-10-20",12.75,13.37,12.68,12.94,16365500,12.242407
"2020-10-21",12.95,13.13,12.73,12.79,9093300,12.100494
"2020-10-22",12.82,13.82,12.74,13.8,15865600,13.056046
"2020-10-23",13.93,14.04,13.61,13.78,9295300,13.037123
"2020-10-26",13.59,13.62,13.27,13.35,9455600,12.630305
"2020-10-27",13.31,13.32,12.9,12.9,8385100,12.204563
"2020-10-28",12.63,12.94,12.59,12.73,9612100,12.043728
"2020-10-29",12.64,13.32,12.52,13.2,8177400,12.488391
"2020-10-30",13.15,13.35,13,13.3,7247900,12.583
"2020-11-02",13.54,13.8,13.22,13.76,7507400,13.018202
"2020-11-03",14.06,14.15,13.86,14.03,8472900,13.273645
"2020-11-04",13.62,13.62,12.89,13.13,10892800,12.422164
"2020-11-05",13.17,13.98,13.17,13.68,10522900,12.942513
"2020-11-06",13.65,13.72,12.98,13.05,10748100,12.346478
"2020-11-09",14.24,15.6,14.23,15.22,22576700,14.399494
"2020-11-10",15.39,15.45,15,15.23,10973000,14.408953
"2020-11-11",15.26,15.29,14.64,14.87,8738700,14.068361
"2020-11-12",14.55,14.73,14.19,14.42,8837100,13.642622
"2020-11-13",14.6,14.97,14.57,14.9,6048300,14.096744
"2020-11-16",15.57,15.79,15.37,15.61,9783800,14.768468
"2020-11-17",15.32,15.65,15.18,15.62,9589100,14.77793
"2020-11-18",15.68,15.88,15.38,15.41,7031300,14.57925
"2020-11-19",15.27,15.48,15.03,15.46,5775800,14.626554
"2020-11-20",15.3,15.32,14.98,15.11,6150000,14.295423
"2020-11-23",15.36,15.54,15.28,15.39,5890300,14.560328
"2020-11-24",15.9,16.23,15.67,16.09,12374000,15.222591
"2020-11-25",15.88,15.89,15.61,15.75,6104400,14.900922
"2020-11-27",15.75,15.95,15.5,15.62,3711100,14.77793
"2020-11-30",15.95,15.96,15.24,15.27,12087700,14.446799
"2020-12-01",15.69,16.049999,15.6,15.87,8931100,15.014453
"2020-12-02",15.73,16.209999,15.61,16.17,9168800,15.29828
"2020-12-03",16.040001,16.139999,15.8,16.030001,14249700,15.31261
"2020-12-04",16.18,16.35,16,16.17,16112100,15.446342
"2020-12-07",16.110001,16.129999,15.85,15.97,7397600,15.255293
"2020-12-08",15.87,16.1,15.77,15.95,8927000,15.236189
"2020-12-09",16.08,16.110001,15.72,15.87,9757800,15.159769
"2020-12-10",15.73,15.89,15.6,15.85,10552500,15.140664
"2020-12-11",15.59,15.65,15.36,15.54,8628300,14.844537
"2020-12-14",15.82,15.82,15.07,15.15,8948800,14.471991
"2020-12-15",15.29,15.41,15.08,15.38,8566800,14.691697
"2020-12-16",15.4,15.63,15.33,15.6,9109200,14.901853
"2020-12-17",15.61,15.63,15.29,15.56,10842000,14.863642
"2020-12-18",15.54,15.62,15.1,15.26,15145100,14.577068
"2020-12-21",15.37,15.72,15.16,15.54,10235700,14.844537
"2020-12-22",15.61,15.66,15.42,15.43,6277600,14.739461
"2020-12-23",15.56,16.08,15.52,15.94,5870900,15.226637
"2020-12-24",16.01,16.02,15.69,15.95,2588200,15.236189
"2020-12-28",16.09,16.200001,15.91,15.96,4884100,15.245741
"2020-12-29",16,16,15.7,15.75,4173000,15.045139
"2020-12-30",15.8,16,15.79,15.93,3726300,15.217084
"2020-12-31",15.9,16.139999,15.77,16.120001,4764700,15.398582
"2021-01-04",16.27,16.290001,15.72,15.95,7872800,15.236189
"2021-01-05",15.97,16.43,15.92,16.25,7444800,15.522763
"2021-01-06",16.700001,17.49,16.700001,17.25,13449500,16.478012
"2021-01-07",17.459999,17.93,17.440001,17.66,9326900,16.869661
"2021-01-08",17.73,17.74,17.209999,17.57,7526900,16.783689
"2021-01-11",17.35,17.93,17.16,17.879999,9390700,17.079815
"2021-01-12",18,18.33,17.780001,18.26,7801600,17.442808
