"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2020-07-01",72.75,75.080002,70.550003,70.669998,974800,68.443398
"2020-07-02",72.669998,73.669998,70.610001,70.75,723400,68.520882
"2020-07-06",72.449997,73.019997,69.599998,71.389999,657800,69.140732
"2020-07-07",70.230003,70.470001,68.669998,68.900002,700200,66.729179
"2020-07-08",68.720001,69.57,67.910004,69.550003,998300,67.358696
"2020-07-09",69.18,69.18,66.82,67.470001,987300,65.344231
"2020-07-10",67,69.029999,66.660004,68.980003,536800,66.806656
"2020-07-13",68.860001,70.790001,66.550003,69.68,1115500,67.484596
"2020-07-14",69,70.639999,67.82,69.959999,588800,67.755768
"2020-07-15",72.349998,74.620003,71.739998,74.190002,1294100,71.852509
"2020-07-16",73.18,75.209999,72.660004,74.599998,813800,72.24958
"2020-07-17",74.989998,75,72.830002,73.309998,887100,71.000221
"2020-07-20",72.279999,73.760002,70.669998,71.300003,892700,69.053558
"2020-07-21",72,73.440002,71.309998,71.559998,758700,69.305367
"2020-07-22",71,72.230003,70.279999,71.360001,696100,69.111671
"2020-07-23",70.860001,73.07,70.860001,71.650002,604200,69.39254
"2020-07-24",72,73.129997,71.389999,71.449997,652300,69.19883
"2020-07-27",71.050003,71.779999,69.900002,71.610001,719800,69.35379
"2020-07-28",71.360001,72.57,71.150002,71.400002,540000,69.150406
"2020-07-29",71.18,72.860001,71.129997,72.730003,615300,70.438507
"2020-07-30",71.230003,71.540001,69.379997,71.080002,765900,68.840492
"2020-07-31",70.849998,71.849998,69.739998,71.300003,1086100,69.053558
"2020-08-03",71.300003,71.300003,68.650002,69.720001,1199800,67.523331
"2020-08-04",65.43,67.25,63.900002,66.68,4426200,64.579117
"2020-08-05",67.279999,69.629997,66.720001,68.510002,1693200,66.351463
"2020-08-06",68.349998,68.849998,64.699997,64.889999,2740100,62.84552
"2020-08-07",65.050003,66.389999,64.080002,65.959999,1920000,63.881809
"2020-08-10",66.699997,69.410004,66.599998,68.68,1608900,66.516106
"2020-08-11",70.470001,72.220001,70.080002,70.209999,1581900,67.997902
"2020-08-12",71.099998,71.480003,67.93,69.809998,1107100,67.610497
"2020-08-13",69.989998,70.370003,69.089996,70.129997,920700,67.920418
"2020-08-14",69.440002,71.269997,68.050003,70.660004,1038900,68.433731
"2020-08-17",70.540001,70.959999,68.529999,70.900002,809400,68.666161
"2020-08-18",70.699997,70.699997,68.419998,68.5,1098400,66.341782
"2020-08-19",67.82,69.519997,67.419998,67.550003,766900,65.421707
"2020-08-20",67.239998,68,66.529999,67.269997,788000,65.15052
"2020-08-21",67.440002,67.790001,66.260002,67.050003,765100,64.937462
"2020-08-24",67.199997,70.419998,66.739998,70.25,824700,68.036644
"2020-08-25",70.870003,70.900002,68.75,69.120003,986700,66.942245
"2020-08-26",69.120003,69.349998,67.57,67.650002,1167600,65.518562
"2020-08-27",68.099998,69.75,67.699997,68.239998,1060800,66.089966
"2020-08-28",68.629997,71.279999,68.349998,71.190002,968800,68.947021
"2020-08-31",70.790001,70.879997,68.400002,68.830002,1064900,66.661385
"2020-09-01",68.309998,69.290001,67.690002,69.169998,957300,66.990662
"2020-09-02",69.989998,71.75,69.610001,71.589996,1289400,69.334419
"2020-09-03",72.360001,74.620003,71.93,74.150002,2189400,71.813766
"2020-09-04",74.510002,75.080002,72.690002,74.050003,1511600,71.716919
"2020-09-08",73.220001,76.080002,72.610001,75.059998,1212700,72.695084
"2020-09-09",74.550003,74.650002,72.690002,73.510002,1069400,71.193932
"2020-09-10",74.089996,76.5,73.779999,75.510002,1053300,73.130913
"2020-09-11",76.07,76.239998,74.82,76.160004,1007500,73.760437
"2020-09-14",76.870003,80.879997,76.629997,80.589996,1750700,78.05085
"2020-09-15",80.220001,81.550003,79.239998,80.620003,1530000,78.07991
"2020-09-16",81.5,82.830002,81.239998,81.269997,976000,78.709427
"2020-09-17",80.370003,81.389999,77.919998,78.760002,1038500,76.278511
"2020-09-18",77.690002,78.889999,74.139999,75.830002,2481300,73.440842
"2020-09-21",73.830002,74.019997,70.919998,71.169998,1727200,68.92765
"2020-09-22",72,75.139999,70.760002,75.040001,2107600,72.67572
"2020-09-23",76.410004,77.120003,71.800003,72.010002,1159900,69.741196
"2020-09-24",71.910004,72.419998,69.5,71.660004,1532100,69.402214
"2020-09-25",71.620003,72,70.519997,71.07,1168700,68.830803
"2020-09-28",72.589996,72.720001,70.290001,70.440002,1271500,68.220665
"2020-09-29",70.059998,70.059998,67.300003,67.339996,1249700,65.218323
"2020-09-30",67.650002,68.720001,67.110001,67.970001,1787100,65.828468
"2020-10-01",68.75,69.82,67.760002,69.120003,1272200,66.942245
"2020-10-02",67,70.169998,66.849998,69.93,1570300,67.726715
"2020-10-05",70.879997,72.580002,70.849998,71.800003,1195800,69.537811
"2020-10-06",72.860001,72.970001,69.120003,69.279999,1302700,67.097198
"2020-10-07",70,72.190002,70,71.779999,1423800,69.51844
"2020-10-08",72.529999,74.379997,72,74.330002,1321900,71.988091
"2020-10-09",75,75.18,71.540001,73.889999,1433500,71.561958
