"","RMD.Open","RMD.High","RMD.Low","RMD.Close","RMD.Volume","RMD.Adjusted"
"2020-07-01",190.149994,191.550003,186.309998,190.860001,963800,188.046585
"2020-07-02",192.289993,193.910004,191.619995,192.479996,623100,189.642715
"2020-07-06",195.139999,197.380005,192.610001,193.619995,619000,190.765915
"2020-07-07",193.330002,195.770004,191.300003,191.470001,545400,188.647598
"2020-07-08",192.339996,193.679993,190.089996,192.720001,478000,189.879181
"2020-07-09",193.460007,195.089996,189.559998,193.690002,424600,190.834885
"2020-07-10",193.839996,195.360001,190.830002,192.089996,391200,189.258469
"2020-07-13",192.929993,194.979996,187.220001,188.089996,559000,185.317413
"2020-07-14",187.910004,195.5,187.449997,195.039993,544300,192.164963
"2020-07-15",196.979996,198.440002,194.860001,197.550003,523400,194.63797
"2020-07-16",196.839996,196.889999,192.990005,195.820007,375700,192.933472
"2020-07-17",197.220001,200.270004,196.770004,199,517100,196.066589
"2020-07-20",199.429993,203.589996,198.649994,203.009995,379800,200.017487
"2020-07-21",203.729996,204.990005,201.779999,204.399994,525100,201.386993
"2020-07-22",205,205.899994,203.360001,205.330002,511800,202.303299
"2020-07-23",205.979996,209,203.059998,204.059998,430500,201.052017
"2020-07-24",203.429993,203.429993,199.5,202.440002,358900,199.455902
"2020-07-27",203.690002,207.039993,203.520004,205.630005,368100,202.598877
"2020-07-28",205.039993,205.5,202.100006,202.229996,345600,199.248993
"2020-07-29",203.649994,205.399994,202.649994,204.100006,578700,201.091431
"2020-07-30",201.539993,204.789993,201.339996,204.460007,537500,201.446121
"2020-07-31",205.529999,206.169998,200.809998,202.509995,659500,199.524857
"2020-08-03",200,203.300003,200,202,745400,199.0224
"2020-08-04",201.960007,203.839996,200.729996,202.770004,802400,199.781052
"2020-08-05",203.470001,205.279999,202.649994,202.960007,961800,199.968246
"2020-08-06",190,190.229996,173.339996,175.520004,2215000,172.932724
"2020-08-07",176.600006,178.210007,172.75,173.240005,1257300,170.68631
"2020-08-10",175,176.740005,173.360001,175.149994,1004500,172.568146
"2020-08-11",174.869995,175.639999,171.690002,172.979996,789100,170.430145
"2020-08-12",174,177.369995,173.75,175.839996,829700,173.247986
"2020-08-13",175.729996,178.070007,173.940002,177.509995,425400,174.893372
"2020-08-14",177.300003,178.220001,176.509995,176.779999,468700,174.174149
"2020-08-17",177.550003,183.25,177.550003,183.199997,986700,180.499496
"2020-08-18",183.199997,183.720001,179.789993,183.029999,606500,180.332031
"2020-08-19",183.639999,185.169998,182.100006,183.429993,674300,181.112015
"2020-08-20",182.130005,183.5,180.600006,180.970001,505000,178.683136
"2020-08-21",180.889999,180.910004,177.679993,179.369995,608600,177.103317
"2020-08-24",180.860001,181.309998,174.639999,176.419998,717900,174.190613
"2020-08-25",177.490005,179.160004,176.259995,179.089996,556500,176.826874
"2020-08-26",178.130005,180.460007,175.960007,180.080002,366100,177.804352
"2020-08-27",180.179993,181.190002,177.809998,180.679993,372500,178.396774
"2020-08-28",180.600006,180.619995,178.380005,180.229996,290500,177.952454
"2020-08-31",179.389999,181.300003,177.410004,180.779999,587500,178.495499
"2020-09-01",181,181.759995,177.240005,178.910004,436900,176.649155
"2020-09-02",180.399994,184.300003,179.029999,183,628800,180.687469
"2020-09-03",183.399994,183.399994,175.270004,177.860001,608800,175.612411
"2020-09-04",176.050003,177,169.770004,173.559998,476600,171.36676
"2020-09-08",171.020004,173.580002,168.949997,171.419998,548700,169.253799
"2020-09-09",173.919998,176.860001,173.039993,174.679993,445800,172.47261
"2020-09-10",174.710007,176.009995,171.449997,172.059998,430400,169.885696
"2020-09-11",173.759995,174.839996,170.860001,172,365200,169.826477
"2020-09-14",174.100006,175.520004,172.910004,174.429993,364600,172.225754
"2020-09-15",175.490005,177.690002,175.059998,175.550003,396000,173.331619
"2020-09-16",176.960007,177.690002,173.130005,174.059998,590700,171.860458
"2020-09-17",172.440002,173.699997,171.009995,172.889999,476100,170.705215
"2020-09-18",171.75,173.270004,167.710007,170.009995,965500,167.861618
