"","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2020-07-01",28.4,28.733334,28.273333,28.513332,1577550,27.87829
"2020-07-02",28.673332,28.9,28.52,28.706667,924900,28.067316
"2020-07-06",28.953333,29.133333,28.406668,28.5,1642950,27.865253
"2020-07-07",29.333332,30.913334,28.813334,30.413334,3475950,29.735973
"2020-07-08",30.266666,30.433332,29.906668,29.973333,2010150,29.305773
"2020-07-09",29.98,30.940001,29.98,30.526667,1886700,29.846781
"2020-07-10",30.526667,30.546667,29.92,29.933332,1595550,29.266661
"2020-07-13",29.973333,30.393333,29.586666,29.639999,1209150,28.979864
"2020-07-14",29.633333,30.246668,29.486668,30.233334,1494150,29.559982
"2020-07-15",30.506666,31.52,30.393333,31.406668,1714350,30.707186
"2020-07-16",31.440001,31.540001,31.166668,31.333332,868950,30.635481
"2020-07-17",31.52,31.973333,31.453333,31.853333,2038950,31.1439
"2020-07-20",31.753332,32.220001,31.693333,31.853333,1091250,31.1439
"2020-07-21",31.966667,32.080002,31.58,31.713333,1668600,31.007019
"2020-07-22",31.946667,32.553333,31.780001,32.446667,1006950,31.72402
"2020-07-23",32.52,33.033333,32.433334,32.506668,1009950,31.782688
"2020-07-24",32.493332,32.633331,32.32,32.453335,1245150,31.730541
"2020-07-27",32.773335,32.959999,32.646667,32.853333,1379250,32.121632
"2020-07-28",32.713333,32.880001,32.553333,32.566666,1303200,31.841349
"2020-07-29",32.720001,34.613335,32.720001,34.166668,2597250,33.405712
"2020-07-30",34.060001,34.466667,33.720001,34.419998,1239750,33.653408
"2020-07-31",34.419998,34.966667,34.306667,34.933334,1755750,34.155304
"2020-08-03",35.200001,35.779999,35.146667,35.293331,1735950,34.507286
"2020-08-04",35.18,35.766666,35.166668,35.666668,1333200,34.872307
"2020-08-05",35.880001,36.220001,35.593334,35.933334,1201350,35.133038
"2020-08-06",35.880001,35.939999,35.48,35.753334,1709250,34.957039
"2020-08-07",35.786667,36.573334,35.700001,36.573334,1574250,35.812202
"2020-08-10",36.419998,36.740002,35.959999,36.52,1217400,35.759979
"2020-08-11",36.5,36.753334,36.080002,36.166668,1789200,35.413994
"2020-08-12",36.213333,36.599998,36.18,36.360001,1280700,35.60331
"2020-08-13",36.306667,36.953335,36.033333,36.666668,910500,35.903591
"2020-08-14",36.653332,36.720001,36.313332,36.486668,795300,35.727337
"2020-08-17",36.573334,36.959999,36.486668,36.580002,1260900,35.818726
"2020-08-18",36.546665,36.68,36.246666,36.346668,1157400,35.590248
"2020-08-19",36.506668,36.580002,36.086666,36.240002,734100,35.485806
"2020-08-20",36.166668,36.646667,36.093334,36.560001,875400,35.799145
"2020-08-21",36.593334,36.759998,36.393333,36.626667,1332300,35.864422
"2020-08-24",36.786667,36.966667,36.566666,36.860001,780000,36.092903
"2020-08-25",36.939999,36.939999,36.366669,36.486668,1017300,35.727337
"2020-08-26",36.48,37.426666,36.326668,37.273335,912750,36.497635
"2020-08-27",37.433334,37.673332,36.786667,36.786667,1034700,36.021091
"2020-08-28",36.799999,36.993332,36.580002,36.68,1214100,35.916649
"2020-08-31",36.753334,36.959999,36.633331,36.759998,1834200,35.99498
"2020-09-01",36.773335,37.346668,36.633331,37.146667,1717650,36.3736
"2020-09-02",37.306667,38.106667,37.053333,37.986668,1565250,37.196117
"2020-09-03",37.786667,37.793331,36.106667,36.353333,1422450,35.596779
"2020-09-04",36.346668,36.713333,35.866669,36.393333,1707900,35.635944
"2020-09-08",36.240002,36.34,35.720001,35.900002,2602500,35.152878
"2020-09-09",36.299999,37.119999,36.299999,37.006668,2061150,36.236519
"2020-09-10",37.066666,37.259998,36.040001,36.060001,1893150,35.309555
"2020-09-11",36.333332,36.466667,35.880001,36.080002,1400700,35.32914
"2020-09-14",36.253334,36.526669,36.013332,36.193333,1668600,35.440109
"2020-09-15",36.240002,36.846668,36.226665,36.52,1631700,35.759979
"2020-09-16",36.573334,36.706669,35.633331,35.733334,1390500,34.989685
"2020-09-17",35.446667,35.893333,35.133331,35.746666,1503150,35.002731
"2020-09-18",35.666668,36.226665,34.866669,34.946667,4317450,34.219383
"2020-09-21",34.84,35.006668,34.386665,34.893333,1655550,34.167168
"2020-09-22",34.880001,35.373333,34.813332,35.266666,1133400,34.532726
"2020-09-23",35.240002,35.613335,34.746666,34.866669,1282950,34.141048
"2020-09-24",35.060001,35.533333,34.753334,35.299999,895650,34.565365
"2020-09-25",35.093334,35.893333,35.093334,35.766666,1273950,35.02232
"2020-09-28",36.113335,36.779999,36.113335,36.439999,1075800,35.681641
"2020-09-29",36.433334,36.666668,36.32,36.333332,981900,35.57719
"2020-09-30",36.5,36.593334,35.913334,36.126667,2076150,35.374828
"2020-10-01",36.419998,36.5,35.68,35.873333,1363350,35.126766
"2020-10-02",35.606667,36.700001,35.546665,36.313332,1012800,35.557606
"2020-10-05",36.380001,37.193333,36.360001,37.119999,2379750,36.347488
"2020-10-06",37.106667,37.98,36.673332,37.333332,1684350,36.556377
"2020-10-07",37.619999,38.233334,37.546665,38.073334,1596300,37.280987
"2020-10-08",38.153332,38.213333,37.700001,38.013332,733500,37.222225
"2020-10-09",38.233334,38.353333,37.793331,38.313332,898650,37.515984
"2020-10-12",38.453335,38.986668,38.34,38.946667,1252800,38.136143
"2020-10-13",38.866669,39.299999,38.746666,39.16,925200,38.345032
"2020-10-14",39.113335,39.446667,38.873333,39.193333,801750,38.37767
"2020-10-15",38.966667,39.953335,38.720001,39.646667,2472750,38.821575
"2020-10-16",39.813332,40.48,39.700001,39.846668,1500000,39.017414
"2020-10-19",39.799999,40.240002,39.153332,39.48,1716000,38.658371
"2020-10-20",39.626667,40.32,39.599998,39.833332,1170750,39.004353
"2020-10-21",39.933334,40.066666,39.413334,39.473331,981600,38.651852
"2020-10-22",39.580002,39.806667,39.200001,39.633331,1317900,38.808514
"2020-10-23",39.66,40.353333,39.48,40.133331,1137900,39.298111
"2020-10-26",39.939999,39.939999,39.353333,39.666668,1679100,38.841156
"2020-10-27",39.773335,39.893333,39.293331,39.526669,1466250,38.704071
"2020-10-28",38.880001,41.619999,38.119999,40.906666,3656100,40.055347
"2020-10-29",41.146667,41.146667,39.466667,39.466667,3349950,38.645317
"2020-10-30",39.259998,39.426666,38.206669,38.566666,2415750,37.76405
"2020-11-02",38.786667,39.293331,38.586666,38.766666,2150100,37.959888
"2020-11-03",39.113335,39.700001,39.006668,39.613335,1962150,38.788933
"2020-11-04",39.786667,41.240002,39.573334,40.886665,1592400,40.035767
"2020-11-05",41.353333,42.560001,41.333332,42.193333,1665600,41.315239
"2020-11-06",42.240002,42.586666,41.933334,42.106667,939450,41.230377
"2020-11-09",42.633331,43,37.959999,37.959999,2544450,37.294003
"2020-11-10",37.973331,38.580002,37.459999,37.873333,1852500,37.208858
"2020-11-11",38.066666,39.753334,37.926666,39.593334,1527900,38.898682
"2020-11-12",39.68,39.959999,38.853333,39.026669,807750,38.341957
"2020-11-13",39.193333,39.566666,38.766666,39.220001,876900,38.531906
"2020-11-16",39.080002,39.439999,37.906666,39.286667,1276050,38.597393
"2020-11-17",39.166668,39.700001,38.459999,38.666668,1157250,37.988274
"2020-11-18",38.686668,39.106667,38.34,38.426666,1243050,37.752483
"2020-11-19",38.673332,39.306667,38.220001,39.133331,1449150,38.446747
"2020-11-20",39.266666,39.279999,38.326668,38.413334,1353600,37.739384
"2020-11-23",38.633331,38.766666,37.813332,38.053333,1491600,37.3857
"2020-11-24",38.126667,38.166668,37.593334,37.686668,2351850,37.025475
"2020-11-25",37.686668,38.006668,37.153332,37.293331,1687650,36.639038
"2020-11-27",37.406666,38.033333,37.099998,38.02,738000,37.352951
