"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2020-07-01",391.619995,393.350006,386.899994,389.690002,497400,385.067596
"2020-07-02",394.279999,396.75,390.450012,391.170013,483400,386.53009
"2020-07-06",395.869995,396.369995,391.850006,393.190002,440000,388.526184
"2020-07-07",391.410004,394.230011,390.220001,390.480011,435000,386.352386
"2020-07-08",390.369995,397.600006,390.369995,397.410004,387200,393.209106
"2020-07-09",396.609985,400.640015,391.910004,394.929993,598500,390.755371
"2020-07-10",394.440002,396.149994,388.450012,391.929993,399500,387.787018
"2020-07-13",393.980011,395.26001,386.170013,386.25,439300,382.167084
"2020-07-14",386.480011,397.390015,386.480011,396.679993,322100,392.486847
"2020-07-15",403.079987,404.119995,398.309998,399.690002,479400,395.464996
"2020-07-16",400.829987,405.910004,399.25,405.440002,490300,401.154205
"2020-07-17",407.769989,411.690002,406.339996,409.059998,362200,404.735931
"2020-07-20",409.23999,416.23999,408.98999,415.230011,474800,410.84079
"2020-07-21",416,420.230011,411.940002,415.609985,316400,411.216736
"2020-07-22",416.820007,422.290009,415.630005,418.230011,337200,413.809021
"2020-07-23",418.429993,425.519989,418.429993,420.279999,561100,415.837402
"2020-07-24",418.350006,419.059998,412.630005,415.269989,426300,410.88031
"2020-07-27",416.480011,424.730011,414.980011,420.700012,466700,416.252991
"2020-07-28",425.399994,441.029999,423.049988,423.089996,697600,418.617645
"2020-07-29",423.769989,438.769989,423.709991,437.160004,639900,432.53894
"2020-07-30",433,434.549988,424.25,432.799988,382800,428.225006
"2020-07-31",431.390015,433.579987,426.230011,432.450012,440900,427.878723
"2020-08-03",434.540009,441.380005,431.299988,435.200012,360300,430.59964
"2020-08-04",432.040009,435.329987,431.200012,433.410004,360000,428.828583
"2020-08-05",436.410004,438.799988,434.01001,435.220001,296300,430.619446
"2020-08-06",434.700012,437.799988,431.769989,436.980011,258400,432.36087
"2020-08-07",437.76001,441.549988,435.48999,440.899994,246200,436.23941
"2020-08-10",441.359985,444.059998,439.01001,441.320007,456800,436.654968
"2020-08-11",442.640015,445.730011,433.959991,434.709991,578100,430.114807
"2020-08-12",436.910004,449.790009,436.350006,446.700012,418400,441.978088
"2020-08-13",444.73999,455.720001,444.73999,453.179993,645400,448.389648
"2020-08-14",452.299988,453.720001,443.529999,444.950012,473600,440.246613
"2020-08-17",446.75,449.98999,439.519989,440.970001,613600,436.308685
"2020-08-18",443.5,444,437.380005,439,529700,434.359436
"2020-08-19",440.440002,441.209991,434.359985,434.429993,473800,429.837769
"2020-08-20",433.200012,437.200012,432,434.799988,451300,430.203888
"2020-08-21",434.529999,434.899994,429.25,431.98999,640800,427.423584
"2020-08-24",433.649994,436.929993,429.390015,432.170013,301800,427.601715
"2020-08-25",433.820007,437.26001,431.269989,431.269989,333600,426.711212
"2020-08-26",429.350006,433.019989,427.579987,432.440002,387600,427.868835
"2020-08-27",433.450012,433.549988,427.459991,428.059998,361100,423.535095
"2020-08-28",428.540009,430.5,425.980011,430.179993,257300,425.63269
"2020-08-31",428.149994,429.440002,425.369995,427.190002,373900,422.674316
"2020-09-01",429.299988,437.679993,427.420013,436.410004,316200,431.796875
"2020-09-02",436.880005,445.850006,434.589996,443.869995,518100,439.17804
"2020-09-03",443.980011,444.480011,426.980011,429.970001,404300,425.424927
"2020-09-04",433.579987,434.019989,416.799988,422.529999,446200,418.063568
"2020-09-08",401.540009,406.339996,390.01001,393.950012,1227000,389.785736
"2020-09-09",399.279999,404.079987,394.380005,399.899994,517100,395.672791
"2020-09-10",401.579987,406.209991,394.470001,395.799988,444200,391.616119
"2020-09-11",400,403.700012,393.209991,399.600006,561200,395.375977
"2020-09-14",403.519989,406.100006,395.779999,396.26001,587100,392.071259
"2020-09-15",399.190002,407.859985,397.029999,403.890015,626100,399.620605
"2020-09-16",408.089996,409.790009,398.769989,400.429993,471000,396.197174
