"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"2020-07-01",85.290001,88.599998,85.220001,87.190002,3703700,85.717033
"2020-07-02",88.739998,91.120003,88.309998,88.580002,3516300,87.083542
"2020-07-06",89.760002,91.059998,89.540001,90.139999,1907500,88.617195
"2020-07-07",89.199997,89.199997,86.169998,86.379997,2300300,84.920715
"2020-07-08",86.209999,87.050003,84.809998,86.019997,2350800,84.566803
"2020-07-09",85.739998,86.220001,83.25,84.720001,2700800,83.288757
"2020-07-10",84.849998,87.75,84.489998,86.790001,2767100,85.323792
"2020-07-13",86.970001,87.779999,84.449997,84.82,3584900,83.387077
"2020-07-14",83.980003,83.980003,79.650002,80.169998,7567700,78.815628
"2020-07-15",81.769997,84.639999,81.629997,83.660004,5743700,82.246666
"2020-07-16",83.010002,84.940002,82.400002,84.559998,3207100,83.131454
"2020-07-17",85.25,86.080002,84.129997,85.790001,3217200,84.340691
"2020-07-20",85.580002,86.080002,83.510002,84.790001,3074600,83.357582
"2020-07-21",85.07,88,84.120003,86.510002,2263300,85.048523
"2020-07-22",86.349998,88.809998,85.620003,88.779999,2587700,87.280174
"2020-07-23",88.540001,88.779999,86.849998,87.739998,2890100,86.257736
"2020-07-24",87.669998,88.099998,85.949997,86.160004,2167600,84.70443
"2020-07-27",85.919998,86.25,84.120003,85.120003,2380700,83.682014
"2020-07-28",84.940002,86.540001,84.760002,85.879997,1814800,84.429161
"2020-07-29",86.150002,88.959999,86,88.43,2371500,86.936089
"2020-07-30",87.629997,89.300003,87.059998,88.949997,2524000,87.447289
"2020-07-31",88.620003,89.779999,87.93,89.669998,3166100,88.155136
"2020-08-03",89.199997,89.709999,87.400002,87.879997,2784100,86.39537
"2020-08-04",87.830002,88.790001,87.199997,88.379997,2043700,86.886917
"2020-08-05",88.839996,89.599998,88.230003,88.68,1894300,87.181854
"2020-08-06",88.849998,88.849998,86.860001,86.970001,3282100,85.50074
"2020-08-07",86.949997,89.440002,86.370003,89.440002,3321400,87.929016
"2020-08-10",90,93.239998,89.809998,92.510002,2557800,90.947151
"2020-08-11",93.470001,94.980003,92.379997,93.599998,1846200,92.018738
"2020-08-12",93.620003,94.459999,92.349998,94.07,1780900,92.480804
"2020-08-13",93.949997,93.959999,93.019997,93.07,1583500,91.497704
"2020-08-14",93.199997,94.760002,92.629997,94.059998,1838900,92.470955
"2020-08-17",96.120003,97.559998,95.120003,97.129997,3101800,95.489105
"2020-08-18",96.779999,96.970001,93.279999,94.300003,2933900,92.706917
"2020-08-19",90.5,91.199997,88.57,90.260002,4579100,88.735168
"2020-08-20",88.879997,89.709999,87.230003,87.459999,3703200,85.98246
