"","RSG.Open","RSG.High","RSG.Low","RSG.Close","RSG.Volume","RSG.Adjusted"
"2020-07-01",82.32,82.510002,81.199997,81.389999,1295000,78.893272
"2020-07-02",82.089996,82.379997,80.730003,81.230003,1714500,78.73819
"2020-07-06",82.099998,82.440002,81.059998,81.57,1354200,79.067757
"2020-07-07",81.349998,81.849998,80.760002,80.870003,1156800,78.389221
"2020-07-08",80.599998,80.779999,79.82,80,1091700,77.545906
"2020-07-09",79.690002,80.760002,78.800003,80.5,1716000,78.030579
"2020-07-10",80.300003,82.050003,80.290001,81.779999,1188100,79.271309
"2020-07-13",82.220001,82.849998,81.440002,81.730003,1063100,79.222847
"2020-07-14",81.730003,83.080002,81.580002,83.040001,915300,80.492661
"2020-07-15",83.910004,84.650002,83.68,84.300003,1545400,81.714012
"2020-07-16",84.099998,85.010002,84.029999,84.599998,949000,82.004799
"2020-07-17",85.099998,87.07,84.669998,86.980003,1409900,84.311806
"2020-07-20",86.510002,86.919998,84.839996,85,833300,82.39254
"2020-07-21",85.220001,85.889999,84.790001,85.029999,831200,82.421616
"2020-07-22",84.75,85.949997,84.440002,85.660004,897500,83.032303
"2020-07-23",85.910004,86.870003,85.400002,85.849998,700300,83.216454
"2020-07-24",86.300003,86.529999,84.860001,85.029999,822800,82.421616
"2020-07-27",85.239998,85.459999,84.610001,85.050003,656600,82.44101
"2020-07-28",84.870003,85.889999,84.849998,85.339996,580900,82.722107
"2020-07-29",85.860001,87.040001,85.690002,86.870003,738800,84.205177
"2020-07-30",86.839996,87.379997,85.629997,87.059998,810000,84.389336
"2020-07-31",86.400002,87.269997,85.970001,87.25,836500,84.573509
"2020-08-03",87.419998,87.709999,86.919998,87.43,1030500,84.747986
"2020-08-04",87.059998,87.459999,86,86.610001,956100,83.953156
"2020-08-05",87.010002,87.400002,86.089996,86.5,1083000,83.846519
"2020-08-06",86.379997,87.900002,86.309998,87.900002,1049500,85.203568
"2020-08-07",88.709999,93.510002,88.709999,90.589996,1719800,87.81105
"2020-08-10",90.440002,91.449997,90.139999,90.889999,1213100,88.101852
"2020-08-11",91.480003,91.730003,90.510002,90.879997,1282000,88.092148
"2020-08-12",91.160004,92.080002,90.889999,91.239998,1028200,88.441109
"2020-08-13",90.690002,91.080002,90.010002,90.709999,798400,87.927376
"2020-08-14",90.389999,91.059998,89.940002,90.370003,485100,87.597794
"2020-08-17",90.339996,90.75,89.68,89.800003,619300,87.04528
"2020-08-18",89.620003,89.830002,88.940002,89.120003,799600,86.386147
"2020-08-19",89.32,89.690002,88.779999,89.150002,910600,86.41523
"2020-08-20",88.790001,89.230003,88.599998,88.989998,698100,86.260124
"2020-08-21",89.190002,89.870003,88.760002,89.809998,871900,87.054977
"2020-08-24",90.220001,91.080002,89.879997,91.080002,805800,88.286026
"2020-08-25",91.379997,91.730003,90.889999,91.5,809000,88.69313
"2020-08-26",91.300003,92.330002,91,92.040001,971700,89.216576
"2020-08-27",92.639999,93.370003,92.169998,92.68,713300,89.836937
"2020-08-28",92.739998,92.93,92.050003,92.919998,833300,90.06958
"2020-08-31",92.800003,93.379997,92.400002,92.720001,950900,89.875717
"2020-09-01",92.330002,93.360001,91.980003,93.290001,1139400,90.428238
"2020-09-02",93.830002,95.25,93.360001,94.709999,1734100,91.804665
"2020-09-03",95.07,95.449997,92.610001,93.470001,2673700,90.602715
"2020-09-04",93.989998,94.419998,92.800003,93.5,1436600,90.631783
"2020-09-08",93.139999,94.440002,92.800003,93.290001,1560000,90.428238
"2020-09-09",93.669998,95.849998,93.449997,95.160004,1194400,92.240868
"2020-09-10",95.199997,95.489998,94.510002,94.980003,1296500,92.066399
"2020-09-11",95.209999,96.080002,94.949997,95.739998,870800,92.80307
"2020-09-14",96.279999,97.32,96.199997,96.760002,1062400,93.791786
"2020-09-15",97.010002,97.839996,96.769997,96.82,962500,93.849945
"2020-09-16",97.110001,98.110001,96.279999,96.389999,1117400,93.433136
"2020-09-17",95.919998,97.019997,95.010002,96.440002,773500,93.481613
"2020-09-18",96.160004,96.970001,95.760002,95.779999,1429800,92.841843
"2020-09-21",94.910004,95.029999,93.169998,94.040001,1035500,91.155228
"2020-09-22",93.900002,95.260002,93.669998,95.080002,700900,92.163322
"2020-09-23",92.379997,94.419998,92.099998,92.139999,1156800,89.313515
"2020-09-24",92.480003,93,91.129997,92.389999,1177900,89.55584
"2020-09-25",92.25,94.360001,92.040001,94.07,747200,91.184288
"2020-09-28",94.910004,95.580002,94.190002,94.459999,852000,91.562332
"2020-09-29",94.559998,94.959999,93.779999,93.919998,966500,91.03891
"2020-09-30",93.699997,94.110001,92.790001,93.349998,1302900,90.897713
"2020-10-01",93.669998,93.669998,92.18,92.970001,1261200,90.527702
"2020-10-02",91.349998,93.879997,91.349998,93.32,2064300,90.868492
