"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"2020-07-01",297.720001,303.299988,291.040009,301.350006,623300,296.817596
"2020-07-02",304.130005,307.700012,300.089996,300.579987,594400,296.059113
"2020-07-06",304.5,309.98999,301.209991,302.390015,728600,297.841949
"2020-07-07",300.230011,310.859985,298.910004,305.48999,549200,300.895264
"2020-07-08",307.730011,308.329987,301.980011,303.179993,489700,298.620026
"2020-07-09",302.26001,308.160004,300.130005,307.779999,380600,303.150848
"2020-07-10",308.920013,309.829987,301.709991,304.420013,521500,299.84137
"2020-07-13",300.98999,304.220001,289.029999,291.730011,741300,287.342255
"2020-07-14",297.019989,298.26001,291.429993,297.119995,712600,292.651123
"2020-07-15",297.910004,298.25,288.970001,292.910004,745400,288.504486
"2020-07-16",292.589996,293.23999,289.040009,291.559998,393300,287.174774
"2020-07-17",296.190002,300.230011,291.040009,297.640015,397500,293.163391
"2020-07-20",296.779999,304.980011,296.779999,300.779999,472800,296.256104
"2020-07-21",301.76001,303.480011,295.579987,296.850006,480500,292.385284
"2020-07-22",297.170013,299.579987,295.209991,298.200012,319200,293.714935
"2020-07-23",298.679993,302.329987,294.190002,298.679993,537500,294.187683
"2020-07-24",298.48999,301.279999,295.220001,298.679993,520200,294.187683
"2020-07-27",298.929993,308.209991,298.070007,304.48999,671300,299.910339
"2020-07-28",305.820007,312.959991,305.019989,312.23999,774900,307.543732
"2020-07-29",312.200012,321.190002,312.200012,317.570007,665600,312.79361
"2020-07-30",310,315,309.040009,311.410004,707900,306.726288
"2020-07-31",313.720001,314.339996,307.950012,311.540009,530800,306.854309
"2020-08-03",310.619995,312.820007,304.070007,305.390015,441400,300.796783
"2020-08-04",311.559998,319.920013,307.140015,310.309998,896500,305.642822
"2020-08-05",315.209991,315.209991,303.230011,306.480011,412300,301.870422
"2020-08-06",304.350006,308.059998,300.679993,307.329987,514500,302.707611
"2020-08-07",307.130005,313,306.929993,311.279999,324200,306.598206
"2020-08-10",310.579987,311.109985,298.779999,300.829987,808100,296.305359
"2020-08-11",305.959991,305.959991,294.570007,295.640015,663500,291.193451
"2020-08-12",296.73999,305.399994,295.929993,304.390015,484000,299.811859
"2020-08-13",302.720001,308.920013,302.720001,304.630005,316700,300.048218
"2020-08-14",303.01001,307.459991,301.130005,303.170013,271200,298.610199
"2020-08-17",303.029999,308.100006,302.299988,307.73999,357700,303.11142
"2020-08-18",309.01001,310.720001,306.51001,307.470001,359000,302.845551
"2020-08-19",308.269989,308.269989,296.359985,298.220001,587800,293.73465
"2020-08-20",297.470001,303.820007,297.170013,299.809998,249300,295.30069
"2020-08-21",308.769989,308.769989,299.839996,305.440002,423600,300.846039
"2020-08-24",303.670013,303.869995,296.5,301.519989,406700,297.437836
"2020-08-25",300.179993,305.100006,298.079987,304.470001,359700,300.3479
"2020-08-26",300.619995,303.790009,299.160004,303.459991,373400,299.351532
"2020-08-27",306.679993,307.459991,303.179993,305.929993,419600,301.788086
"2020-08-28",305.959991,306.230011,302.049988,306.190002,313000,302.044556
"2020-08-31",305.670013,307.320007,304.100006,306.070007,483100,301.926239
"2020-09-01",305.619995,309.910004,303.220001,306.619995,308400,302.46875
"2020-09-02",309.929993,315.369995,304.880005,314.170013,548400,309.916595
"2020-09-03",312.820007,314.959991,303.01001,306.769989,509300,302.61673
"2020-09-04",305.480011,308.170013,296.149994,300.290009,480400,296.224487
"2020-09-08",299.790009,308.25,294.350006,305.790009,729800,301.650024
"2020-09-09",307.380005,319.320007,307.380005,313.359985,908800,309.117523
"2020-09-10",312.579987,312.579987,303.26001,303.380005,562400,299.272644
"2020-09-11",304.170013,307.26001,302.890015,304.570007,344900,300.446533
"2020-09-14",305.940002,311.579987,305.940002,309.690002,389400,305.497162
"2020-09-15",312.660004,324.640015,312.320007,323.350006,558900,318.97229
"2020-09-16",320.839996,328.369995,320.839996,322.140015,577900,317.778656
"2020-09-17",321.450012,322.649994,308.399994,312.350006,483800,308.121216
"2020-09-18",309.380005,313.73999,306.48999,308.700012,703700,304.52063
"2020-09-21",306.5,309.850006,302.369995,305.059998,655000,300.929901
"2020-09-22",303.359985,314.420013,303.01001,313.200012,506700,308.959717
"2020-09-23",313.040009,313.040009,304.350006,305.130005,537000,300.998932
"2020-09-24",304.980011,311.380005,304.660004,306.269989,633200,302.123505
"2020-09-25",303.940002,315.329987,303.940002,314.019989,650800,309.768585
"2020-09-28",316.940002,317.829987,309.290009,310.480011,649200,306.27652
"2020-09-29",312,314.880005,309.619995,313.869995,403600,309.620605
"2020-09-30",314.920013,319.220001,313.049988,318.480011,627900,314.168213
"2020-10-01",320.450012,322.089996,313.320007,315.179993,873800,310.912872
"2020-10-02",314.049988,320.589996,311.140015,318.119995,661300,313.813049
"2020-10-05",317.709991,322.01001,312.869995,321.929993,573800,317.571472
"2020-10-06",322.570007,322.570007,313.679993,315.040009,469100,310.774811
"2020-10-07",315.980011,315.980011,309.709991,313.309998,360600,309.068207
"2020-10-08",320.579987,320.579987,313.140015,315.320007,499800,311.050995
"2020-10-09",315.480011,316.290009,312.230011,314.630005,420600,310.370331
"2020-10-12",313.890015,315.790009,311.100006,313.929993,556600,309.679779
"2020-10-13",313.970001,316.75,306.579987,308.820007,730300,304.639008
"2020-10-14",310.079987,312.200012,306.209991,306.600006,323100,302.449036
"2020-10-15",304.609985,311.799988,304.609985,310.540009,402700,306.335693
"2020-10-16",311.730011,313.880005,308.600006,310.25,300700,306.049652
"2020-10-19",311.929993,313.970001,305.369995,307.779999,364800,303.613068
"2020-10-20",309.01001,310.190002,305.700012,306.609985,318000,302.458862
"2020-10-21",304.350006,309.279999,304.329987,307.269989,324000,303.109985
"2020-10-22",308.190002,308.190002,293.679993,294.01001,951500,290.02948
"2020-10-23",294.089996,302.5,292.700012,302.109985,632200,298.019806
"2020-10-26",300.869995,305.420013,299.109985,303.329987,435600,299.223358
"2020-10-27",303.440002,306.200012,299.769989,301.829987,448500,297.743591
"2020-10-28",298.720001,302.359985,294.690002,295.420013,648600,291.420441
"2020-10-29",295.589996,299.940002,293.649994,295.019989,591000,291.025818
"2020-10-30",292.829987,295.339996,286.48999,290.369995,518300,286.438782
"2020-11-02",295.600006,296.950012,288.369995,293.519989,548700,289.546082
"2020-11-03",297,298.040009,288.079987,291.01001,1102300,287.070099
"2020-11-04",293.170013,307.26001,292.559998,302.019989,545100,297.931061
"2020-11-05",303.269989,306.98999,302.100006,305.820007,437100,301.679596
"2020-11-06",308.279999,308.679993,302.019989,306.619995,503900,302.46875
"2020-11-09",309.589996,312.130005,296.450012,297.470001,940400,293.442657
"2020-11-10",297.540009,297.540009,286.420013,290.640015,793100,286.70517
"2020-11-11",293.279999,305.25,290.970001,298.589996,767300,294.547485
"2020-11-12",298.970001,304.950012,293.730011,296.970001,547400,292.949432
"2020-11-13",298.769989,304.820007,297.269989,304,408500,299.884247
"2020-11-16",303.589996,307.070007,294.790009,295.410004,571000,291.410553
"2020-11-17",294.5,301.140015,294.179993,298.779999,418500,294.734924
"2020-11-18",296.899994,302.75,295.450012,298.519989,503500,294.9375
"2020-11-19",297.579987,300.380005,293.480011,297.76001,460000,294.186615
"2020-11-20",298.820007,298.820007,289.089996,290.100006,662500,286.61853
"2020-11-23",290.179993,291.070007,285.519989,286.269989,608100,282.834473
"2020-11-24",286.269989,290,279,279.890015,1184100,276.531067
"2020-11-25",281.170013,285.26001,280.029999,282.609985,986600,279.218353
"2020-11-27",289.98999,289.98999,283.910004,285.730011,400800,282.300934
"2020-11-30",285.589996,287.410004,282.649994,287.179993,1164000,283.733521
"2020-12-01",289.140015,289.640015,285.809998,288.779999,913000,285.314301
"2020-12-02",287.690002,289.459991,281.220001,284.480011,571300,281.065979
"2020-12-03",284.640015,287.899994,283.059998,286.399994,526300,282.962891
"2020-12-04",286.720001,289.309998,284.209991,286.450012,447500,283.012299
"2020-12-07",283.709991,289.679993,281.929993,283.790009,560300,280.384277
"2020-12-08",282.790009,284.369995,278.350006,280.850006,484000,277.479523
"2020-12-09",278.920013,280.019989,274.570007,275.880005,648300,272.569183
"2020-12-10",276.089996,278.850006,274.079987,275.600006,594100,272.292511
"2020-12-11",276.019989,276.589996,272.359985,275.619995,653300,272.312286
"2020-12-14",277.679993,279.48999,273.619995,274.170013,588200,270.879669
"2020-12-15",276.109985,277.160004,273.959991,276.290009,495900,272.974274
"2020-12-16",277.959991,279.459991,274.959991,275.76001,586600,272.450623
"2020-12-17",276.799988,283.160004,276.76001,282.040009,694400,278.655243
"2020-12-18",283.170013,283.23999,275.359985,276.929993,1621300,273.606537
"2020-12-21",273.549988,278.5,273.549988,274.920013,566600,271.620697
"2020-12-22",272.130005,276.230011,272.01001,275.920013,510300,272.608673
"2020-12-23",276.019989,279.450012,272.459991,272.980011,527800,269.70401
"2020-12-24",272.540009,275.48999,272.540009,275.019989,182800,271.719513
"2020-12-28",275.76001,276.549988,273,276.25,450700,272.934723
"2020-12-29",278.700012,279.690002,275.769989,276,443500,272.687744
"2020-12-30",276.98999,278.309998,273.049988,274.559998,365200,271.265015
"2020-12-31",275.359985,282.359985,273.899994,282.130005,709500,278.744171
"2021-01-04",283.100006,284.450012,274.690002,275.630005,868000,272.322174
"2021-01-05",275.670013,277.769989,272.160004,272.579987,780700,269.308777
"2021-01-06",271.040009,271.670013,262.540009,264.640015,852600,261.46405
"2021-01-07",263.279999,266.329987,261.839996,265.25,840200,262.066711
"2021-01-08",266.630005,270.070007,266.089996,267.820007,552500,264.605835
"2021-01-11",268.070007,268.779999,259.5,260.359985,957600,257.235382
"2021-01-12",259.970001,262.809998,256.26001,261.209991,691900,258.075226
"2021-01-13",260.399994,266.160004,260.029999,265.420013,729700,262.234711
"2021-01-14",265.720001,268.049988,263.720001,264.119995,531800,260.950317
"2021-01-15",267.059998,270.429993,264.970001,269.100006,538800,265.870544
"2021-01-19",269.809998,271.01001,267.01001,269.140015,424100,265.910065
"2021-01-20",270.859985,275.440002,267.690002,272.540009,766300,269.269257
"2021-01-21",270.540009,273.790009,267.799988,272.690002,435900,269.41745
"2021-01-22",273.5,274.600006,270.529999,272.709991,641500,269.437195
"2021-01-25",274.779999,279.230011,271.549988,276.529999,782700,273.211395
"2021-01-26",275.339996,278.519989,271.660004,277.480011,642600,274.149963
"2021-01-27",277,279.570007,270.140015,271.700012,564700,268.439331
"2021-01-28",271.119995,274.790009,268.970001,269.859985,483500,266.621368
"2021-01-29",268.109985,270.459991,265.700012,268.670013,806100,265.445709
"2021-02-01",269.76001,278.820007,268.540009,278.269989,816800,274.93045
"2021-02-02",280.320007,285.190002,279.200012,281.899994,1106100,278.516937
"2021-02-03",276.910004,280.079987,270.420013,272.119995,1308200,268.854279
"2021-02-04",271.670013,276.559998,269.899994,274.23999,962200,270.948853
"2021-02-05",274.649994,278.950012,273.540009,273.859985,526200,270.573395
"2021-02-08",272.769989,272.769989,264.23999,267.01001,824900,263.805634
"2021-02-09",267.029999,269.019989,264.350006,266.660004,477800,263.459808
"2021-02-10",268.299988,270.190002,264.809998,266.019989,568100,262.827484
"2021-02-11",264.209991,266.51001,262.890015,265.019989,572000,261.839478
"2021-02-12",264.209991,265.019989,261.299988,263.940002,564400,260.772461
"2021-02-16",264.649994,265.940002,256.829987,259.5,960700,256.385742
"2021-02-17",259.339996,263,257.350006,259.559998,772700,256.445007
"2021-02-18",258.890015,262.920013,258.299988,262.799988,609400,259.646118
"2021-02-19",264.720001,264.720001,261.369995,261.769989,873300,258.62851
"2021-02-22",260.769989,264.25,256.450012,259.700012,861800,256.583344
"2021-02-23",256.420013,258.209991,247.169998,248.789993,1395600,245.804276
"2021-02-24",247.440002,251,243.360001,250.509995,1345300,247.503616
"2021-02-25",250.369995,257.799988,249.679993,256.519989,1350500,253.441513
"2021-02-26",257.570007,259.920013,254.660004,255.130005,1676800,252.068192
"2021-03-01",258.100006,260.309998,247.520004,247.940002,795600,244.964493
"2021-03-02",248.729996,249,242.880005,246.330002,924600,243.37381
"2021-03-03",244.979996,244.979996,235.479996,239.160004,1062400,236.289856
"2021-03-04",239.759995,242.25,235.240005,235.919998,1376900,233.088715
"2021-03-05",237.100006,244.009995,232.880005,242.190002,1214700,239.283478
"2021-03-08",246.660004,249.429993,239.320007,242.820007,1061100,239.905945
"2021-03-09",244.050003,250.970001,244.050003,247.970001,763600,245.580704
"2021-03-10",248.339996,251.369995,245.210007,249.839996,541000,247.432678
"2021-03-11",251.529999,261.529999,250.520004,258.630005,1081000,256.13797
"2021-03-12",258.73999,262.959991,256.820007,261.019989,956000,258.504913
"2021-03-15",260.320007,266.470001,259.459991,265.480011,664300,262.922028
"2021-03-16",268.01001,271.640015,265,269.929993,706800,267.329102
"2021-03-17",270.679993,271.5,264.630005,267.720001,698600,265.140411
"2021-03-18",265.149994,268.049988,261.209991,267.670013,707900,265.090912
"2021-03-19",268.040009,271.339996,265.75,266.070007,1261100,263.506317
"2021-03-22",264.73999,275.079987,264.73999,274.100006,649700,271.458923
"2021-03-23",274.019989,279.410004,273.309998,274.140015,764300,271.498566
"2021-03-24",272.959991,274.410004,267.040009,272.459991,816200,269.834747
"2021-03-25",272.950012,273.51001,268.910004,272.359985,472000,269.735687
"2021-03-26",274.720001,282.769989,273.049988,282.570007,521600,279.847321
"2021-03-29",281.019989,283.390015,278.470001,281.399994,598800,278.688568
"2021-03-30",278.839996,279.649994,273.799988,276.23999,453900,273.578278
"2021-03-31",272.329987,279.25,272.140015,277.549988,734000,274.875671
"2021-04-01",281.600006,281.600006,276.350006,281.179993,798900,278.470734
"2021-04-05",281,285.51001,280.25,285.109985,469500,282.362823
"2021-04-06",284.01001,285.769989,281.179993,285.459991,466200,282.709473
"2021-04-07",286.160004,287.179993,283.149994,284.190002,382600,281.451691
"2021-04-08",283.890015,287.019989,279.230011,279.640015,638000,276.945587
"2021-04-09",281.269989,281.589996,274.600006,275.690002,815800,273.0336
"2021-04-12",277.5,280.98999,274.929993,280.48999,777700,277.787354
"2021-04-13",282.230011,285.839996,280.329987,282.130005,627400,279.41156
"2021-04-14",282,285.079987,280.299988,281.029999,378800,278.322144
"2021-04-15",282.140015,288.959991,282.130005,288.440002,872600,285.660767
"2021-04-16",290.109985,290.390015,285.920013,288.329987,495300,285.551788
"2021-04-19",290.269989,290.269989,286.369995,288.089996,675900,285.314117
"2021-04-20",286.359985,297.570007,286.359985,292.019989,608800,289.206238
"2021-04-21",294.579987,295.929993,289.220001,291.350006,857000,288.542725
"2021-04-22",290.23999,297.089996,285.970001,294.570007,458900,291.731689
"2021-04-23",295,301.559998,294.459991,296.48999,667400,293.633148
"2021-04-26",295.920013,298.399994,294.709991,296.779999,560400,293.92041
"2021-04-27",297.670013,300.279999,293.630005,294.779999,1037300,291.939697
"2021-04-28",295.579987,300.089996,293.01001,297.880005,474400,295.009796
"2021-04-29",297.26001,298.700012,293.309998,298.079987,513300,295.207855
"2021-04-30",300.809998,301.619995,297.670013,299.720001,549700,296.832062
"2021-05-03",300.130005,300.640015,297.910004,298.660004,498700,295.782288
"2021-05-04",298.100006,300.149994,294.649994,296.899994,583200,294.039215
"2021-05-05",295.100006,296.899994,291.48999,294.209991,581700,291.375153
"2021-05-06",294,294,289.040009,291.549988,533500,288.740784
"2021-05-07",292,294.450012,289.230011,290.910004,790200,288.106964
"2021-05-10",292.829987,293.709991,289.75,292.059998,614000,289.24588
"2021-05-11",290.019989,291.959991,286.579987,291.450012,527700,288.641785
"2021-05-12",291.709991,291.899994,283.799988,284.25,456100,281.511139
"2021-05-13",282.570007,284.980011,281.450012,283.170013,604300,280.441528
"2021-05-14",285.140015,290.73999,283.540009,288.619995,461200,285.83902
"2021-05-17",287.829987,288.980011,285.700012,288.5,434000,285.720154
"2021-05-18",288.190002,293.959991,283.519989,291.329987,657400,288.522888
"2021-05-19",290.019989,292.660004,285.299988,288.390015,488400,286.180969
"2021-05-20",288.230011,296.26001,288.049988,293.109985,408400,290.864807
"2021-05-21",290.910004,293.190002,289.829987,290.929993,613300,288.701538
"2021-05-24",292.420013,297.850006,289.190002,296.540009,945200,294.268585
"2021-05-25",295.820007,300.660004,292.429993,298.73999,525500,296.451691
"2021-05-26",298.230011,301.640015,295.670013,298.480011,618600,296.193726
"2021-05-27",297.519989,299.579987,295.359985,297.140015,1307800,294.863983
"2021-05-28",299.019989,301.399994,297.529999,298.119995,582000,295.836426
"2021-06-01",297.859985,303.040009,296.630005,302.269989,560200,299.954651
"2021-06-02",305.839996,309.950012,303.790009,309.609985,755000,307.238434
"2021-06-03",309.799988,313.320007,307.049988,309.429993,606500,307.059845
"2021-06-04",310.730011,313.25,308.070007,312.730011,414300,310.334534
"2021-06-07",316.470001,317.200012,312.48999,315.200012,540300,312.785645
"2021-06-08",316.769989,318.5,312.720001,317.420013,727200,314.988617
"2021-06-09",319.200012,320,316.420013,316.709991,397700,314.284027
"2021-06-10",316.730011,320.809998,315.290009,318.649994,955800,316.209167
"2021-06-11",319.670013,319.670013,315.75,317.339996,478000,314.90921
"2021-06-14",317.070007,320.049988,317.070007,320.01001,769200,317.558807
"2021-06-15",320.220001,322.309998,319.059998,319.730011,549100,317.280945
"2021-06-16",321.160004,323.049988,314.799988,317.290009,642300,314.859619
"2021-06-17",315.820007,322.170013,314.559998,321.880005,723900,319.414459
