"","SBNY.Open","SBNY.High","SBNY.Low","SBNY.Close","SBNY.Volume","SBNY.Adjusted"
"2020-07-01",107.940002,107.940002,104.550003,105.300003,483100,102.224251
"2020-07-02",108.25,109.360001,103.720001,104.510002,208600,101.457314
"2020-07-06",107.400002,108.730003,103.989998,104.940002,249000,101.874771
"2020-07-07",104.870003,104.870003,102.480003,102.809998,285300,99.806969
"2020-07-08",103.349998,105.480003,102.129997,104.690002,525600,101.632057
"2020-07-09",103.959999,104.699997,100.279999,100.519997,453800,97.583855
"2020-07-10",100.660004,104.300003,100.660004,104.099998,222600,101.059288
"2020-07-13",105.589996,107.849998,103.129997,105.739998,278200,102.651398
"2020-07-14",105.459999,105.459999,101.040001,102.959999,393400,99.952606
"2020-07-15",105.239998,109.599998,104.610001,109.07,322300,105.884125
"2020-07-16",107.410004,109.849998,106.370003,107.5,279900,104.359978
"2020-07-17",107.940002,108.129997,104.099998,104.309998,259700,101.263145
"2020-07-20",104.010002,104.220001,101.019997,101.93,657700,98.952682
"2020-07-21",101.389999,110.199997,101.389999,109.559998,759200,106.359802
"2020-07-22",110.150002,110.150002,106.82,109.18,530600,105.990921
"2020-07-23",109.580002,112.959999,109.349998,111.580002,397300,108.320816
"2020-07-24",111.580002,112.449997,108.870003,109.589996,340600,106.388931
"2020-07-27",108.739998,108.739998,106.220001,106.639999,285500,103.525101
"2020-07-28",106.790001,107.559998,104.370003,104.400002,370800,101.350533
"2020-07-29",104.849998,105.610001,102.260002,105.050003,518800,101.981552
"2020-07-30",101.980003,104.110001,99.82,102.57,337900,100.107635
"2020-07-31",102.660004,102.849998,100.449997,102.529999,425600,100.068596
"2020-08-03",102.610001,102.610001,100.620003,101.150002,420100,98.721741
"2020-08-04",101.470001,103.260002,99.660004,100.620003,277500,98.20446
"2020-08-05",101.949997,104.790001,101.519997,104.529999,339500,102.020592
"2020-08-06",104.220001,104.93,102.650002,103.25,210400,100.771317
"2020-08-07",102.760002,108.239998,101.720001,108.160004,364400,105.563438
"2020-08-10",108.629997,112.18,107.699997,108.18,343900,105.58297
"2020-08-11",110.129997,113,108.910004,109.919998,406600,107.281189
"2020-08-12",112.510002,113.360001,108.82,110.970001,270400,108.305984
"2020-08-13",110.040001,110.529999,107.32,107.410004,352000,104.831451
"2020-08-14",106.839996,108.519997,106.209999,107.43,447400,104.850967
"2020-08-17",107.269997,107.269997,105,106.169998,356600,103.621216
"2020-08-18",106.459999,106.459999,102.419998,102.639999,274400,100.175957
"2020-08-19",102.720001,103.660004,101.489998,102.029999,285800,99.580597
"2020-08-20",100.260002,100.809998,97.010002,97.190002,505700,94.856804
"2020-08-21",96.239998,97.730003,95.940002,96.669998,295500,94.349274
"2020-08-24",97.209999,99.129997,96.339996,98.449997,397100,96.086548
"2020-08-25",99.269997,100.25,96.949997,99.580002,354700,97.18943
"2020-08-26",99.480003,99.480003,95.57,95.760002,395000,93.461121
"2020-08-27",95.459999,99.550003,95.459999,99.470001,400800,97.082062
"2020-08-28",100.559998,100.690002,98.790001,100.32,296800,97.911659
"2020-08-31",99.699997,100.07,97.029999,97.029999,411500,94.70063
"2020-09-01",96.410004,97.459999,95.440002,96.190002,393100,93.880806
"2020-09-02",95.980003,96.849998,94.709999,95.900002,471200,93.597763
"2020-09-03",96.400002,100.019997,96.400002,98.260002,651300,95.901123
"2020-09-04",102.480003,104.580002,100.080002,101.230003,518400,98.799812
"2020-09-08",100.5,100.589996,96.480003,96.559998,422700,94.241913
"2020-09-09",97.029999,97.029999,93.660004,95.410004,443100,93.11953
"2020-09-10",95.800003,96.419998,92.059998,92.150002,534100,89.937798
"2020-09-11",92.190002,93.550003,91.25,93.239998,523100,91.00161
"2020-09-14",94.010002,95.949997,93.120003,93.510002,316600,91.265144
"2020-09-15",93.879997,93.980003,90.300003,90.489998,497100,88.31765
"2020-09-16",90.629997,92.43,89.150002,91.010002,584400,88.825157
"2020-09-17",89.309998,91.419998,88.25,90.709999,436000,88.532349
"2020-09-18",91.07,91.660004,89.32,90.25,685800,88.083405
"2020-09-21",86.82,88.860001,84.690002,85.010002,557100,82.9692
"2020-09-22",85.440002,86.459999,83.5,84.43,383700,82.403122
"2020-09-23",84.690002,87.459999,82.809998,83.220001,492900,81.222168
"2020-09-24",82.290001,85.379997,82,84.089996,425300,82.071281
"2020-09-25",84.010002,84.620003,82.470001,84,363500,81.983444
"2020-09-28",86.190002,87.010002,85.370003,85.540001,336700,83.486473
"2020-09-29",84.389999,84.550003,81.150002,82.489998,739200,80.509697
"2020-09-30",82.870003,84.610001,82.25,82.989998,408400,80.997688
"2020-10-01",82.970001,83.830002,81.260002,81.910004,406300,79.943626
"2020-10-02",80.470001,84,80.110001,83.019997,458500,81.02697
"2020-10-05",84.099998,86.199997,83.75,85.800003,637900,83.740234
"2020-10-06",87.199997,88.239998,84.629997,85.099998,538300,83.057037
"2020-10-07",85.589996,87.260002,85.239998,86.050003,458900,83.984245
"2020-10-08",88.489998,88.510002,85.93,86.900002,571800,84.813835
"2020-10-09",88.580002,88.720001,84.519997,84.660004,436400,82.627602
"2020-10-12",84.239998,85.970001,84.18,85.949997,299800,83.886627
"2020-10-13",85.169998,86.190002,84.150002,84.599998,491900,82.569038
"2020-10-14",84.610001,85.800003,83.900002,84.709999,358600,82.676399
"2020-10-15",84.099998,87.220001,84.080002,86.949997,492000,84.862625
"2020-10-16",87.080002,87.879997,85.57,86.790001,418100,84.706467
"2020-10-19",87.190002,88.07,85.68,85.919998,693800,83.857338
"2020-10-20",85.160004,89.400002,80.82,83.120003,1789000,81.124573
"2020-10-21",83.139999,85.129997,81.559998,82.230003,907100,80.255936
"2020-10-22",82.260002,86.050003,82.260002,85.989998,766800,83.925674
"2020-10-23",86.809998,87.279999,83.580002,84.57,675600,82.539757
"2020-10-26",83.809998,85.239998,82.639999,83.510002,474900,81.505219
"2020-10-27",83.129997,83.419998,79.550003,79.620003,856200,77.708595
"2020-10-28",77.660004,79.25,76.669998,77.599998,613500,75.737091
"2020-10-29",76.790001,79.230003,76.019997,78.370003,665000,76.488594
"2020-10-30",77.599998,82.220001,77.599998,80.739998,971000,79.368851
"2020-11-02",81.940002,82.290001,79.769997,80.769997,506600,79.398323
"2020-11-03",82.339996,82.739998,80.080002,80.459999,650600,79.093597
"2020-11-04",79.459999,79.459999,71.440002,76.209999,1357200,74.915771
"2020-11-05",76.260002,78.910004,76.260002,78.440002,681500,77.10791
"2020-11-06",79.010002,79.410004,75.970001,76.010002,594000,74.719177
"2020-11-09",83.989998,99.529999,83.989998,97.959999,2799400,96.296402
"2020-11-10",98.980003,104.809998,97.970001,101.510002,1475300,99.786118
"2020-11-11",102.330002,102.339996,96.480003,99.419998,1022800,97.731621
"2020-11-12",98.68,103.639999,97.75,100.290001,1161100,98.586838
"2020-11-13",101.510002,104.25,101.510002,102.650002,718300,100.906761
"2020-11-16",108.360001,111.220001,106.830002,111.129997,711900,109.242752
"2020-11-17",108.370003,110.589996,106.029999,109.900002,658300,108.033638
"2020-11-18",110.699997,111.209999,105.5,105.599998,620700,103.806648
"2020-11-19",104.459999,106.5,103.790001,106.019997,436500,104.219521
"2020-11-20",105.580002,106.290001,104.269997,106.050003,278200,104.249023
"2020-11-23",107,109.949997,106.32,109.18,602800,107.325874
"2020-11-24",111.379997,116.639999,111.160004,116.459999,787800,114.482231
"2020-11-25",115.120003,115.720001,111.360001,115.279999,718300,113.322273
"2020-11-27",114.860001,117.059998,112.610001,115.199997,510300,113.243629
"2020-11-30",113.660004,117.040001,112.029999,112.190002,3522700,110.284752
"2020-12-01",114.790001,116.839996,113.290001,115.980003,696900,114.010391
"2020-12-02",115.209999,122.970001,115,121.620003,878500,119.554604
"2020-12-03",122.529999,125.169998,120.5,123.300003,775900,121.20607
"2020-12-04",124.650002,127.059998,121.599998,124.449997,632300,122.33654
"2020-12-07",124.459999,124.459999,121.699997,123.339996,603800,121.245377
"2020-12-08",123.25,124.209999,120.510002,120.879997,385000,118.827164
"2020-12-09",122.279999,127.230003,120.550003,127,986400,124.843231
"2020-12-10",125,130.479996,125,130,962200,127.792274
"2020-12-11",127.160004,130.619995,127.150002,128.229996,661500,126.052345
"2020-12-14",131.199997,131.979996,127.809998,128.149994,638300,125.973709
"2020-12-15",130.190002,131.259995,127.580002,131.080002,562300,128.853943
"2020-12-16",132,132.929993,129.25,132.130005,667700,129.886124
"2020-12-17",132.639999,132.639999,130.490005,131.029999,392400,128.804794
"2020-12-18",131,131.520004,129.289993,131.100006,1210900,128.873627
"2020-12-21",133.089996,134.169998,130.600006,132.570007,782300,130.318665
"2020-12-22",132.889999,133.259995,131.149994,132.160004,558900,129.915604
"2020-12-23",133.070007,136.160004,132.979996,135.020004,313000,132.727036
"2020-12-24",135.100006,135.100006,132.710007,134.199997,119900,131.920944
"2020-12-28",133.929993,136.889999,133.929993,136.75,333500,134.427658
"2020-12-29",136.979996,136.979996,132.759995,133.759995,325700,131.488434
"2020-12-30",134.279999,136,133.339996,134.229996,230400,131.950455
"2020-12-31",134.360001,136.320007,133.130005,135.289993,258900,132.992447
"2021-01-04",136.589996,136.679993,132.050003,135.940002,387500,133.631424
"2021-01-05",136.639999,138,134.130005,135.429993,439500,133.130081
"2021-01-06",139.820007,144.860001,138.869995,142.860001,705800,140.433914
"2021-01-07",145,146.779999,143.660004,145.970001,463200,143.491104
"2021-01-08",147.279999,147.279999,142.330002,144.960007,394500,142.498245
"2021-01-11",143.369995,146.399994,142.320007,145.279999,388900,142.81279
"2021-01-12",147.389999,151,145.639999,150.470001,488100,147.914673
"2021-01-13",150,154.589996,149.429993,153.720001,677400,151.109467
"2021-01-14",155,160.529999,153.860001,159.820007,758900,157.105896
"2021-01-15",157.410004,158.5,152.839996,154.330002,605800,151.709122
"2021-01-19",154.669998,156.699997,152.570007,155.320007,628500,152.682312
"2021-01-20",154.759995,155.600006,152.990005,153.720001,636100,151.109467
"2021-01-21",153,153.580002,146.100006,151.759995,747200,149.182755
"2021-01-22",153.539993,160.630005,152.139999,160.270004,719200,157.548218
"2021-01-25",162.029999,164.25,156.660004,164.119995,634900,161.332855
"2021-01-26",165.800003,166.720001,162.949997,164.199997,526400,161.411484
"2021-01-27",163.330002,163.919998,157.759995,159.350006,669300,156.64386
"2021-01-28",160.029999,165.75,158.369995,164.789993,679000,161.991486
"2021-01-29",164.110001,167.529999,162.75,165.190002,1231600,162.9384
"2021-02-01",165.210007,166.889999,161.539993,166.559998,476100,164.289719
"2021-02-02",170.139999,178.309998,167.5,177.160004,861700,174.745239
"2021-02-03",176.820007,179.320007,174.630005,177.669998,606800,175.248276
"2021-02-04",179.5,184.550003,178.380005,183.309998,651100,180.811386
"2021-02-05",178.720001,188.660004,176.5,182.899994,2545800,180.406982
"2021-02-08",186,196.179993,185.149994,195.429993,2261700,192.766174
"2021-02-09",207.229996,211.720001,200.410004,210.600006,2415800,207.729416
"2021-02-10",213.830002,217.440002,206.910004,211.899994,1870400,209.011703
"2021-02-11",212,217.080002,208.410004,212.759995,1161600,209.85997
"2021-02-12",213.690002,215.820007,211.699997,214.039993,995900,211.122528
"2021-02-16",223.119995,223.119995,214.279999,215.020004,1136800,212.089188
"2021-02-17",213.389999,217.110001,208.050003,214.919998,876000,211.99054
"2021-02-18",215,215,206.899994,210.309998,677600,207.443375
"2021-02-19",212.369995,221.809998,211.580002,220.839996,793800,217.829865
"2021-02-22",217.039993,220.679993,214.5,217.149994,974000,214.19014
"2021-02-23",215,216.320007,205,213.470001,1043600,210.560318
"2021-02-24",220.520004,228,214.789993,226.050003,1104900,222.968826
"2021-02-25",226.509995,231.149994,220.160004,221.630005,905000,218.609085
"2021-02-26",220,222.75,212.009995,218.339996,643200,215.363937
"2021-03-01",223.429993,227.139999,222.100006,223.729996,865300,220.68045
"2021-03-02",223,223.429993,219.229996,220.320007,462200,217.31694
"2021-03-03",226.360001,230.880005,221.720001,222.229996,834800,219.200897
"2021-03-04",220.020004,224.919998,212.130005,216.660004,851100,213.706833
"2021-03-05",222.039993,224.960007,206,222.619995,957800,219.585587
"2021-03-08",228.240005,234.369995,225.360001,226.660004,909000,223.570526
"2021-03-09",220.809998,227.789993,218.139999,222.820007,540900,219.782867
"2021-03-10",224.470001,228.990005,222.199997,228.139999,780600,225.030319
"2021-03-11",230.619995,237.899994,227.600006,237.050003,597000,233.818924
"2021-03-12",242.440002,244.910004,237.5,241.630005,636300,238.336472
"2021-03-15",240,247.839996,239.600006,245.949997,742900,242.597595
"2021-03-16",243.089996,244.869995,239.710007,241.570007,571900,238.277283
"2021-03-17",242.539993,243,232.809998,239.289993,717300,236.028366
"2021-03-18",242.199997,249.940002,231.720001,233.929993,1077400,230.741409
"2021-03-19",232,240.339996,228.570007,238.339996,2035000,235.091309
"2021-03-22",235.509995,236.839996,228.029999,229.720001,537200,226.588791
"2021-03-23",225.75,230.470001,215.080002,217.550003,1474200,214.584686
"2021-03-24",220.809998,223.330002,211.520004,212.259995,1005000,209.366791
"2021-03-25",210.229996,217.649994,206.070007,215.820007,732400,212.878281
"2021-03-26",219.949997,225.990005,215.639999,220.020004,552100,217.021042
"2021-03-29",216.610001,219.240005,207.860001,214.699997,973900,211.773529
"2021-03-30",216.899994,224.210007,216.039993,223.520004,528300,220.473328
"2021-03-31",223.619995,229.580002,222.990005,226.100006,710400,223.018143
"2021-04-01",224.669998,228.5,223.509995,225,300900,221.933151
"2021-04-05",229.949997,230.449997,225.100006,228.190002,503700,225.079651
"2021-04-06",228.179993,230.539993,222.860001,223.610001,457300,220.562088
"2021-04-07",224.949997,227.949997,223.399994,223.699997,435300,220.650848
"2021-04-08",222.679993,225.029999,220.119995,224.720001,424600,221.656982
"2021-04-09",226.160004,229.130005,224.850006,228.259995,270600,225.148712
"2021-04-12",229.139999,233.520004,228.110001,231.460007,433700,228.305099
"2021-04-13",231.259995,231.470001,228.059998,229.440002,372100,226.312622
"2021-04-14",228.899994,235.300003,228.899994,229.820007,375200,226.687454
"2021-04-15",233.509995,233.509995,225.309998,231.970001,430500,228.808151
"2021-04-16",235.529999,235.529999,225.75,227.559998,634000,224.458252
"2021-04-19",228.619995,232.820007,225.130005,227.839996,507100,224.734436
"2021-04-20",225.660004,227.410004,216,219.229996,663100,216.241806
"2021-04-21",218.210007,246.970001,218.210007,239.270004,1205000,236.008636
"2021-04-22",240.309998,248.270004,238.5,240.889999,832700,237.606552
"2021-04-23",241.550003,245.130005,238.419998,238.839996,905900,235.584488
"2021-04-26",240.679993,253.619995,239.770004,252.830002,818400,249.38382
"2021-04-27",254.470001,256.600006,247.979996,251.850006,676500,248.41716
"2021-04-28",252.360001,255.050003,249.669998,252.779999,415900,249.334503
"2021-04-29",255.380005,260.369995,250.320007,255.089996,533500,251.612991
"2021-04-30",251.5,256.329987,250.190002,251.509995,508000,248.627625
"2021-05-03",256,256.290009,247.399994,248.509995,455800,245.662003
"2021-05-04",247.300003,253.850006,241.919998,253.800003,503800,250.891373
"2021-05-05",255.529999,258.959991,252.960007,256.76001,457600,253.817459
"2021-05-06",258.700012,258.700012,249.429993,253.539993,346900,250.634323
"2021-05-07",247.970001,255.080002,247.550003,255.059998,280100,252.136932
"2021-05-10",257.26001,258.440002,252.25,252.889999,495300,249.991806
"2021-05-11",248.740005,256.26001,245.399994,250,555100,247.134918
"2021-05-12",256.269989,256.970001,240.220001,241.479996,457600,238.71257
"2021-05-13",239.160004,244.820007,232,239.169998,652900,236.429031
"2021-05-14",241.830002,248,238.240005,246.710007,489200,243.882645
"2021-05-17",244.75,248.110001,243.419998,246.449997,254700,243.625626
