"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume","SCHW.Adjusted"
"2020-07-01",33.68,34.119999,32.810001,33.02,21721400,32.209354
"2020-07-02",33.799999,34.189999,33.279999,33.389999,7862700,32.570271
"2020-07-06",34.099998,34.889999,34.009998,34.209999,13573500,33.370136
"2020-07-07",33.799999,34.18,33.529999,33.889999,7198500,33.057995
"2020-07-08",34.02,34.529999,33.759998,34.43,6916000,33.584736
"2020-07-09",34.310001,34.459999,33.419998,33.880001,8475800,33.048241
"2020-07-10",33.810001,34.91,33.810001,34.799999,6258800,33.945652
"2020-07-13",35.209999,35.439999,34.310001,34.43,8679900,33.584736
"2020-07-14",34.279999,34.880001,33.970001,34.549999,7862300,33.70179
"2020-07-15",35.110001,35.810001,34.790001,35.66,9873300,34.784538
"2020-07-16",34.889999,36.080002,34.450001,34.919998,12191300,34.062706
"2020-07-17",34.919998,35.09,33.43,33.439999,11840000,32.619038
"2020-07-20",33.419998,33.939999,33.040001,33.84,9564100,33.009224
"2020-07-21",34.049999,35.360001,34.02,35.240002,11384700,34.374847
"2020-07-22",35.049999,35.169998,34.470001,34.860001,7585000,34.004177
"2020-07-23",34.799999,35.849998,34.509998,35.209999,7457300,34.345581
"2020-07-24",35.209999,35.509998,34.720001,34.939999,6577600,34.082218
"2020-07-27",34.549999,34.68,33.650002,33.84,10588000,33.009224
"2020-07-28",33.599998,34.02,33.549999,33.66,8882800,32.833641
"2020-07-29",33.709999,34.110001,33.43,34.080002,6592700,33.243332
"2020-07-30",33.439999,33.73,32.889999,33.580002,7323500,32.755608
"2020-07-31",33.43,33.470001,32.66,33.150002,10384800,32.336166
"2020-08-03",33.279999,33.619999,32.790001,33.34,7285600,32.521496
"2020-08-04",33.110001,33.950001,33.110001,33.950001,14859100,33.116524
"2020-08-05",34.209999,34.349998,33.880001,34.200001,8142100,33.360382
"2020-08-06",33.580002,33.98,33.02,33.139999,8077700,32.497444
"2020-08-07",33.02,34.060001,32.84,34.040001,7823100,33.379993
