"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"2020-07-01",32.93,33.200001,32.130001,32.400002,1825500,31.522493
"2020-07-02",33.02,33.939999,32.84,33.5,1241200,32.592705
"2020-07-06",34.139999,34.139999,33.470001,33.950001,1174000,33.03051
"2020-07-07",33.470001,33.630001,33.240002,33.459999,1411600,32.55378
"2020-07-08",33.369999,33.650002,32.529999,32.919998,1169300,32.028408
"2020-07-09",32.830002,32.990002,31.98,32.459999,981100,31.58087
"2020-07-10",32.509998,33.830002,32.400002,33.830002,891000,32.913765
"2020-07-13",34.060001,34.619999,33.529999,34.02,869600,33.098621
"2020-07-14",34.040001,34.889999,33.830002,34.889999,937200,33.945049
"2020-07-15",35.439999,36.509998,35.130001,36.150002,1423200,35.170933
"2020-07-16",36.18,37.369999,36.07,37,1266000,35.99791
"2020-07-17",37.169998,37.349998,36.630001,36.84,744600,35.842239
"2020-07-20",36.57,37.029999,36.470001,36.709999,704500,35.715767
"2020-07-21",36.779999,37.509998,36.689999,37.119999,746000,36.114658
"2020-07-22",37.049999,37.650002,36.950001,37.279999,761700,36.270321
"2020-07-23",37.25,37.959999,37.130001,37.580002,1287000,36.562199
"2020-07-24",37.650002,37.700001,36.950001,37.25,1041600,36.241138
"2020-07-27",37.189999,37.5,36.59,36.959999,1811800,35.958988
"2020-07-28",36.990002,37.279999,36.59,36.740002,665200,35.744949
"2020-07-29",36.77,36.970001,36.16,36.610001,1134700,35.618473
"2020-07-30",36.290001,36.290001,35.529999,35.849998,1385300,34.879051
"2020-07-31",35.540001,35.75,34.59,35.68,1359400,34.713657
"2020-08-03",35.689999,36.560001,35.619999,36.18,1624400,35.200115
"2020-08-04",36.049999,36.77,36.049999,36.52,970800,35.530907
"2020-08-05",36.779999,37.380001,36.48,36.639999,1366700,35.647652
"2020-08-06",38.299999,40.779999,37.84,39.849998,3362400,38.770718
"2020-08-07",39.669998,40.91,39.52,40.77,1708000,39.665806
"2020-08-10",40.93,41.27,40.509998,40.599998,1776200,39.500408
"2020-08-11",41.209999,41.869999,40.68,40.889999,1006200,39.782555
"2020-08-12",41.150002,41.23,40.689999,40.970001,958300,39.86039
"2020-08-13",40.650002,41.380001,40.5,41.09,792800,39.977139
"2020-08-14",40.810001,41.709999,40.810001,41.16,768200,40.045242
"2020-08-17",41.669998,41.75,41.040001,41.310001,801700,40.191185
"2020-08-18",41.18,41.790001,40.900002,41.759998,1023900,40.628986
"2020-08-19",41.950001,42.34,41.529999,41.580002,877900,40.453873
"2020-08-20",41.189999,41.720001,41.009998,41.07,673900,39.957676
"2020-08-21",41.09,41.25,40.639999,40.869999,794100,39.763096
"2020-08-24",41.119999,41.529999,41.099998,41.490002,626700,40.366306
"2020-08-25",41.759998,41.759998,40.639999,40.939999,625000,39.8312
"2020-08-26",41.09,41.16,40.57,40.68,1380000,39.578243
"2020-08-27",40.77,41.130001,40.509998,40.66,822100,39.558781
"2020-08-28",40.98,41.09,40.599998,40.880001,766800,39.772823
"2020-08-31",40.880001,40.880001,39.200001,39.299999,1622700,38.235611
"2020-09-01",39.23,40.48,38.939999,40.259998,1248900,39.169609
"2020-09-02",40.16,40.93,39.68,40.830002,1130700,39.724182
