"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"2020-07-01",192.589996,193.979996,190.496674,192.520004,1906800,189.391174
"2020-07-02",194.28334,195.523331,193.396667,194.323334,1351500,191.165192
"2020-07-06",196.666672,197.57666,194.58667,197.386673,1644600,194.178726
"2020-07-07",195.16333,197.193329,194.699997,196.246674,1329900,193.057281
"2020-07-08",196.666672,198.546661,191.800003,195.373337,1419000,192.198135
"2020-07-09",195.699997,195.91333,190.666672,193.229996,1049400,190.089645
"2020-07-10",194.08667,195.539993,190.876663,194.600006,820800,191.437363
"2020-07-13",196.246674,196.880005,191.866669,192.013336,1142100,188.892746
"2020-07-14",191.75,195.710007,191.75,195.566666,1150500,192.388321
"2020-07-15",196.666672,199.346664,195.639999,199.146667,1210200,195.910126
"2020-07-16",198.276672,201.169998,197.770004,199.589996,1049700,196.346268
"2020-07-17",200,204.376663,199.649994,203.363327,1822200,200.058273
"2020-07-20",202.903336,204.243332,202.17334,202.693329,970800,199.39917
"2020-07-21",205,205.006668,202.666672,204.46666,1511100,201.143661
"2020-07-22",203.766663,208.639999,203.766663,208.633331,1146900,205.242615
"2020-07-23",207.616669,209.479996,204.289993,206.166672,1140600,202.816071
"2020-07-24",205.839996,207.279999,204.636673,206.67334,1344600,203.314484
"2020-07-27",208.740005,210.626663,207.843338,208.506668,2471700,205.118027
"2020-07-28",216.666672,219.956665,207.190002,211.183334,3127500,207.751205
"2020-07-29",211.676666,216.993332,211.506668,215.876663,2015400,212.368225
"2020-07-30",213.776672,216.729996,213.089996,215.876663,1373100,212.368225
"2020-07-31",215.360001,216.5,213.416672,215.973328,1772100,212.463348
"2020-08-03",216.229996,217.550003,213.630005,213.713333,1411500,210.240051
"2020-08-04",213.626663,219.28334,213.626663,216.970001,1848600,213.443802
"2020-08-05",217.699997,219.633331,216.910004,216.910004,1410600,213.384781
"2020-08-06",216.759995,219.633331,216.456665,218.190002,1289100,214.643967
"2020-08-07",218.020004,219.186661,217.53334,218.906662,1127700,215.348999
"2020-08-10",218.666672,219.729996,216.416672,217.083328,1049100,213.555298
"2020-08-11",218.333328,220.410004,216.686661,217.46666,1179300,213.932388
"2020-08-12",218.740005,225.246674,218.17334,223.963333,1722300,220.323502
"2020-08-13",222.553329,224.850006,221.770004,223.07666,834600,219.451218
"2020-08-14",223.393326,224.656662,221.103333,222.186661,678900,218.575684
"2020-08-17",223.580002,224.723328,221.889999,223.666672,1032900,220.031616
"2020-08-18",225,225.343338,222.889999,223.32666,887400,219.697174
"2020-08-19",224.130005,224.270004,221.28334,221.696671,949800,218.093643
"2020-08-20",221.110001,223.46666,221.110001,222.516663,957900,219.342255
"2020-08-21",222.623337,225.979996,221.5,225.273331,1068600,222.05957
"2020-08-24",226.666672,227.199997,222.723328,223.803329,786300,220.610535
"2020-08-25",224.899994,226.203339,222.119995,223.429993,810000,220.242554
"2020-08-26",223.309998,226.300003,222.373337,225.570007,917100,222.35202
"2020-08-27",226.75,226.75,223.686661,223.933334,800400,220.738708
"2020-08-28",224.656662,225.460007,223.226669,225.303329,1015200,222.089142
"2020-08-31",225.453339,225.453339,223.220001,223.683334,1129800,220.492279
"2020-09-01",223.166672,228.679993,222.646667,228.679993,1512600,225.417648
"2020-09-02",228.183334,233.270004,227.833328,233.053329,1393500,229.728607
"2020-09-03",232.333328,232.333328,223.746674,226.279999,1576800,223.051895
"2020-09-04",226.919998,228.176666,220.360001,226.539993,1858500,223.308182
"2020-09-08",223.610001,224.433334,220.566666,223.100006,1951800,219.917267
"2020-09-09",228.933334,232.503326,227.376663,231.476669,1585200,228.174423
"2020-09-10",232.303329,236.446671,231,234.220001,2507400,230.878616
"2020-09-11",235.103333,237.656662,233.463333,236.246674,1420800,232.876373
"2020-09-14",238,240.33667,237,239.199997,1336200,235.787567
"2020-09-15",240.253326,241.970001,237.949997,238.75,1062000,235.343994
"2020-09-16",239.57666,240.563339,237.67334,238.373337,1212300,234.972702
"2020-09-17",236.666672,237.866669,234.256668,237.516663,1413300,234.128265
"2020-09-18",236.073334,237.820007,230.676666,231.830002,2295900,228.52272
"2020-09-21",229.296661,229.940002,224.726669,227.610001,1043700,224.362915
"2020-09-22",228.093338,232.886673,227.803329,232.106674,1332900,228.795441
"2020-09-23",230.660004,231.139999,225.276672,225.773331,1137600,222.55246
"2020-09-24",227.110001,230.316666,226.429993,228.633331,902400,225.371674
"2020-09-25",228.270004,232.743332,227.256668,232.483337,856500,229.166733
"2020-09-28",235.240005,237.389999,233.963333,235.686661,1284600,232.324356
"2020-09-29",236.823334,238.446671,235.210007,235.223328,871200,231.86763
"2020-09-30",236.666672,238.333328,230.636673,232.246674,2412900,228.933456
"2020-10-01",234.993332,236.509995,229.556671,230.266663,1557000,226.981689
"2020-10-02",228.903336,232.300003,226.92334,229.660004,1234500,226.383682
"2020-10-05",231.17334,233.816666,228.919998,229.866669,1940100,226.587402
"2020-10-06",230.626663,232.190002,226.990005,227.460007,1562400,224.215073
"2020-10-07",229.246674,231.220001,228.436661,230.600006,1350900,227.310287
"2020-10-08",231.539993,232.653336,228.490005,229.426666,1477200,226.153671
"2020-10-09",230.449997,232.979996,230,232.800003,1356600,229.478867
"2020-10-12",234,236.246674,233.063339,234.126663,943200,230.786621
"2020-10-13",234.203339,235.449997,231.71666,232.393326,1303800,229.078003
"2020-10-14",232.929993,232.929993,230.193329,231.330002,1297500,228.029861
"2020-10-15",229.446671,230.933334,227.66333,229.333328,1275300,226.061661
"2020-10-16",230.546661,233.919998,230.220001,231.773331,1140600,228.466858
"2020-10-19",232.119995,233.026672,226.506668,227.276672,1038600,224.034363
"2020-10-20",229.166672,229.556671,224.53334,224.976669,1578900,221.767151
"2020-10-21",225,228.166672,224.373337,224.690002,1533000,221.484573
"2020-10-22",225.41333,226.876663,222.990005,226,859800,222.775879
"2020-10-23",227.046661,228.350006,224.573334,227.770004,1108800,224.52063
"2020-10-26",225.703339,226.613327,221.406662,223.460007,1461300,220.272141
