"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2020-07-01",105.5,106.480003,105.160004,105.220001,732300,99.156403
"2020-07-02",106.040001,106.040001,104.150002,105.019997,927700,98.967934
"2020-07-06",105.82,106.690002,105.290001,105.870003,726200,99.768959
"2020-07-07",105.389999,106.639999,104.559998,106.050003,653000,99.938583
"2020-07-08",105.93,105.93,104.010002,104.709999,688500,98.675797
"2020-07-09",104.199997,104.889999,102.870003,103.389999,642500,97.43187
"2020-07-10",103.790001,105.400002,103.790001,105.18,762800,99.118713
"2020-07-13",105.209999,105.709999,104.290001,104.68,620100,98.64753
"2020-07-14",104.699997,107.589996,104.5,107.190002,677000,101.012886
"2020-07-15",108,108.239998,105.739998,105.879997,596900,99.778374
"2020-07-16",105.779999,107.040001,105.720001,106.080002,381900,99.966858
"2020-07-17",106.610001,107.349998,106.339996,106.709999,542900,100.560547
"2020-07-20",106.089996,106.339996,104.300003,105.309998,857000,99.241219
"2020-07-21",105.379997,107.620003,105.32,106.559998,616800,100.419182
"2020-07-22",107.410004,107.739998,105.190002,107.589996,508200,101.389832
"2020-07-23",107.360001,108.949997,107.360001,108.419998,576000,102.171997
"2020-07-24",108.830002,110.25,107.449997,108.139999,551300,101.908142
"2020-07-27",107.989998,108.919998,107.43,108.870003,485200,102.596077
"2020-07-28",108.580002,109.860001,108.580002,109.269997,491300,102.973015
"2020-07-29",109.730003,110.629997,109.110001,110.489998,565300,104.122711
"2020-07-30",110.019997,110.440002,108.519997,109.349998,588600,103.048409
"2020-07-31",109.209999,109.510002,107.849998,109.349998,1773200,103.048409
"2020-08-03",109.720001,111.360001,109.110001,110.970001,578100,104.57505
"2020-08-04",110.669998,114.019997,110.410004,113.260002,888200,106.733086
"2020-08-05",113.129997,113.129997,110.790001,111.139999,849100,104.73526
"2020-08-06",111.110001,111.910004,110.139999,110.290001,554100,103.934235
"2020-08-07",109.940002,111.43,109.760002,111.050003,751200,104.650444
"2020-08-10",111.43,113.129997,111.25,112.839996,816300,106.33728
"2020-08-11",113.110001,114.07,112.169998,112.709999,746100,106.214783
"2020-08-12",113.43,115.720001,113.18,114.959999,680700,108.335129
"2020-08-13",114.07,115.160004,113.559998,114.629997,650200,108.876511
"2020-08-14",114.25,115.349998,113.669998,113.970001,666300,108.249634
"2020-08-17",113.830002,114.370003,113.480003,113.5,1370800,107.803223
"2020-08-18",113.599998,114.779999,112.610001,113.919998,644900,108.202148
