"","SNA.Open","SNA.High","SNA.Low","SNA.Close","SNA.Volume","SNA.Adjusted"
"2020-07-01",139.869995,140.309998,133.100006,134.119995,722700,127.455048
"2020-07-02",136.039993,138.759995,135.110001,135.990005,519600,129.232117
"2020-07-06",138.470001,139,135.869995,137.009995,437600,130.201431
"2020-07-07",135.509995,136.25,133.979996,134.160004,624200,127.493073
"2020-07-08",133.350006,133.970001,130.710007,132.839996,520700,126.23867
"2020-07-09",132.589996,132.589996,128.660004,128.889999,4e+05,122.484962
"2020-07-10",129.660004,131.949997,129.419998,131.899994,295500,125.345383
"2020-07-13",133.179993,135.509995,131.949997,133.380005,408300,126.751823
"2020-07-14",132.990005,136.529999,132.210007,136.440002,327600,129.659775
"2020-07-15",139.520004,141.910004,138.039993,141.440002,410300,134.411301
"2020-07-16",140.610001,144.320007,140.100006,142.820007,408100,135.722748
"2020-07-17",143.369995,143.550003,139.330002,139.949997,466200,132.995346
"2020-07-20",138.970001,139.320007,136.220001,137.160004,258300,130.343994
"2020-07-21",137.880005,140.490005,137.880005,139.690002,259400,132.748276
"2020-07-22",139.490005,140.479996,138.369995,139.389999,192100,132.463181
"2020-07-23",139.139999,143.119995,139.139999,142.330002,314500,135.25708
"2020-07-24",142.75,143.490005,139.75,141.75,419300,134.705872
"2020-07-27",141.229996,146.039993,139.020004,145.610001,437900,138.374069
"2020-07-28",144.419998,145.210007,142.710007,143,346000,135.893784
"2020-07-29",144,146.369995,143.610001,146.020004,304900,138.763718
"2020-07-30",144.020004,146.850006,142.360001,145.300003,630600,138.079483
"2020-07-31",145.5,146.889999,141.550003,145.869995,1034200,138.62114
"2020-08-03",146.460007,146.460007,141.25,143.619995,518200,136.482941
"2020-08-04",142.929993,144.759995,142.229996,143.759995,491200,136.615982
"2020-08-05",145.529999,148.529999,145.529999,148.160004,446400,140.797379
"2020-08-06",146.600006,148.419998,145.630005,146.229996,311700,138.963257
"2020-08-07",146.470001,147.389999,145.630005,147.300003,459200,139.980087
"2020-08-10",147.720001,151.850006,147.720001,150.089996,329000,142.631424
"2020-08-11",151.889999,155.399994,151.809998,153.880005,466300,146.233093
"2020-08-12",155.440002,155.440002,152.100006,153.380005,262200,145.757935
"2020-08-13",152.309998,153.979996,151.809998,153.100006,250200,145.491867
"2020-08-14",151.979996,155.210007,151.539993,153.639999,162000,146.00502
"2020-08-17",153.789993,154.449997,151.509995,153.139999,411800,145.529877
"2020-08-18",152.880005,154.070007,151.589996,151.770004,355800,144.227982
