"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"2020-07-01",51.860001,53.060001,51.66,52.869999,3873300,48.683544
"2020-07-02",53.290001,53.43,52.669998,52.790001,3413100,48.609875
"2020-07-06",52.990002,53.490002,52.060001,52.610001,3318800,48.444134
"2020-07-07",52,52.880001,51.650002,52.720001,3520800,48.545414
"2020-07-08",52.52,53.32,52.450001,53.060001,3346100,48.858494
"2020-07-09",52.73,52.77,51.419998,51.939999,3700500,47.827179
"2020-07-10",52,53.41,52,53.23,4034500,49.015034
"2020-07-13",53.310001,53.880001,52.869999,53.18,3562200,48.968994
"2020-07-14",53.060001,54.18,53.049999,53.68,6023600,49.429405
"2020-07-15",54.419998,54.580002,52.91,53.02,4380200,48.821667
"2020-07-16",53.16,53.91,53.049999,53.740002,3201100,49.484653
"2020-07-17",54.099998,54.75,53.93,54.580002,3806100,50.258144
"2020-07-20",54.34,54.650002,54.060001,54.259998,3044100,49.963474
"2020-07-21",54.23,55.389999,54.220001,54.869999,3954700,50.525173
"2020-07-22",54.720001,56.27,53.959999,55.779999,3870400,51.363113
"2020-07-23",55.59,56.049999,55.169998,55.560001,3690900,51.160538
"2020-07-24",55.84,56.299999,54.650002,54.849998,2741800,50.506752
"2020-07-27",54.77,54.84,53.950001,54.259998,3341400,49.963474
"2020-07-28",54.099998,55.639999,54.099998,55.279999,2702900,50.90271
"2020-07-29",55.5,55.619999,54.73,55.389999,3248400,51.003998
"2020-07-30",55.310001,55.529999,54.27,55.240002,4483900,50.865871
"2020-07-31",54.869999,54.98,53.77,54.610001,5643600,50.285759
"2020-08-03",54.57,54.610001,53.880001,54.009998,3927600,49.733269
"2020-08-04",53.880001,54.73,53.799999,54.439999,3803600,50.129219
"2020-08-05",54.599998,54.639999,53.279999,53.400002,4043300,49.171574
"2020-08-06",53.299999,54.07,53.07,53.889999,2713500,49.622776
"2020-08-07",53.560001,54.93,53.560001,54.689999,3145000,50.359428
"2020-08-10",54.84,55.369999,54.580002,55.07,2255500,50.709335
"2020-08-11",55.27,55.380001,54.029999,54.189999,5215700,49.899025
"2020-08-12",54.52,55.389999,54.25,54.860001,4673200,50.515972
"2020-08-13",54.619999,55.049999,54.450001,55.009998,3926100,50.654083
"2020-08-14",54.150002,54.25,53.419998,53.560001,3122000,49.899445
"2020-08-17",53.560001,54.029999,53.25,53.59,2725500,49.927399
"2020-08-18",53.580002,53.73,52.830002,53.049999,6647500,49.424301
"2020-08-19",53.369999,53.48,52.939999,53.189999,2594200,49.554737
"2020-08-20",52.849998,53.119999,52.080002,52.25,3309500,48.678978
"2020-08-21",52.459999,52.549999,51.860001,52.369999,3536900,48.790779
"2020-08-24",52.389999,52.950001,51.970001,52.860001,3386100,49.247288
"2020-08-25",53.029999,53.060001,52.189999,52.41,2409100,48.828041
"2020-08-26",52.009998,52.220001,51.459999,51.720001,3015300,48.185204
"2020-08-27",51.75,52.360001,51.650002,52.200001,3543000,48.632397
"2020-08-28",52.299999,52.509998,51.860001,52.419998,2867000,48.837357
"2020-08-31",52.110001,52.650002,52.040001,52.18,3863500,48.61377
"2020-09-01",52.02,52.32,51.59,51.810001,3214200,48.269051
"2020-09-02",51.77,53.490002,51.610001,53.209999,4046900,49.573364
"2020-09-03",53.41,53.939999,52.189999,52.599998,4326000,49.005054
"2020-09-04",52.709999,52.869999,51.52,52.290001,3475700,48.716244
"2020-09-08",52.43,53.32,51.869999,52.849998,6763200,49.237972
"2020-09-09",53.16,53.810001,52.669998,52.849998,4665400,49.237972
"2020-09-10",52.060001,52.110001,51.400002,51.560001,6263300,48.036137
"2020-09-11",51.529999,51.959999,51.220001,51.759998,3803000,48.222466
"2020-09-14",51.990002,53.189999,51.990002,52.860001,3705700,49.247288
"2020-09-15",53.119999,53.799999,52.740002,53.009998,3519000,49.387035
"2020-09-16",52.799999,53.82,52.799999,53.290001,2842000,49.647903
"2020-09-17",52.98,53.549999,52.560001,53.52,3841900,49.862183
"2020-09-18",53.150002,53.490002,52.709999,52.810001,6289200,49.200706
"2020-09-21",52.720001,53.150002,52.209999,53.029999,4813100,49.40567
"2020-09-22",52.939999,53.669998,52.700001,53.119999,4047500,49.489517
"2020-09-23",53.299999,53.299999,52.48,52.529999,2786700,48.939842
"2020-09-24",52.529999,53.189999,52.009998,53.049999,3146300,49.424301
"2020-09-25",52.700001,53.849998,52.529999,53.810001,3061900,50.132362
"2020-09-28",54,54.700001,53.610001,53.709999,4436000,50.039196
"2020-09-29",53.950001,54.18,53.220001,53.700001,2951300,50.029877
"2020-09-30",53.98,54.5,53.880001,54.220001,4659900,50.514336
"2020-10-01",54.299999,54.740002,53.98,54.619999,5565800,50.886997
"2020-10-02",54.310001,56.57,54.09,56.259998,6696900,52.414917
"2020-10-05",56.32,57.360001,56.27,57.169998,5229100,53.262722
"2020-10-06",57.040001,58.830002,56.919998,57.830002,4779300,53.877621
"2020-10-07",58.18,58.610001,57.68,57.799999,3224300,53.849663
"2020-10-08",58,58.959999,57.900002,58.709999,3003000,54.697472
"2020-10-09",59,59.200001,58.380001,58.740002,3920600,54.725422
"2020-10-12",58.689999,59.189999,58.439999,58.860001,3807100,54.837215
"2020-10-13",58.450001,58.700001,57.450001,58.34,3590500,54.352757
"2020-10-14",58.150002,58.450001,57.810001,58,2596600,54.035999
"2020-10-15",57.610001,58.209999,57.380001,58.02,3356700,54.05463
"2020-10-16",58.279999,58.549999,57.82,58.349998,3241600,54.362072
"2020-10-19",58.43,59.049999,58.009998,58.040001,3989500,54.073265
"2020-10-20",58.259998,58.790001,57.990002,58.599998,3384500,54.594986
"2020-10-21",58.220001,59.169998,58.16,58.869999,3900500,54.846535
"2020-10-22",58.849998,60.619999,58.700001,60.560001,4964000,56.421032
"2020-10-23",60.759998,61.259998,60.490002,60.849998,4395200,56.691212
"2020-10-26",60.27,60.84,59.82,60.610001,3949400,56.467613
"2020-10-27",60.77,61.099998,60.209999,60.209999,3484200,56.094955
"2020-10-28",59.5,60.049999,58.18,58.360001,4240300,54.371391
"2020-10-29",57.93,59.220001,57,58.209999,3758900,54.23164
"2020-10-30",58.18,58.59,56.919998,57.450001,4145200,53.523586
"2020-11-02",58.02,59.25,57.779999,59.009998,3659400,54.976971
"2020-11-03",59.630001,60.619999,59.52,59.860001,3121200,55.768875
"2020-11-04",59.52,60.959999,59.299999,59.759998,4100000,55.675709
"2020-11-05",59.93,61.380001,59.93,60.169998,2758600,56.057682
"2020-11-06",60.27,60.790001,59.630001,59.959999,2971200,55.862038
"2020-11-09",62.189999,64.489998,61.5,62.32,6353000,58.060745
"2020-11-10",62.619999,64.669998,62.529999,64.169998,5515400,59.784309
"2020-11-11",64.239998,64.580002,63.73,63.919998,3459900,59.551388
"2020-11-12",63.549999,64.510002,62.970001,63.52,4189700,59.178734
"2020-11-13",63,64.150002,62.950001,63.900002,3654500,60.138691
"2020-11-16",64.800003,64.93,63.689999,64.120003,4014000,60.345749
"2020-11-17",63.650002,63.790001,62.240002,62.360001,3770800,58.689339
"2020-11-18",62.720001,63.080002,61.720001,61.779999,3990500,58.143475
"2020-11-19",61.73,61.73,60.419998,61.07,3394000,57.475269
"2020-11-20",60.98,61.470001,60.639999,60.880001,3967300,57.296459
"2020-11-23",60.950001,61.009998,60.369999,60.450001,3324400,56.891766
"2020-11-24",60.990002,61.470001,60.5,61.189999,3353100,57.588211
"2020-11-25",61.07,61.450001,60.400002,60.889999,2849800,57.305866
"2020-11-27",60.790001,60.799999,60.220001,60.650002,1694800,57.079994
"2020-11-30",60.259998,60.470001,59.459999,59.849998,6823000,56.327084
"2020-12-01",60.580002,61.849998,60.040001,60.57,5216800,57.004707
"2020-12-02",60.509998,61.93,60.189999,61.880001,3892400,58.237587
"2020-12-03",61.66,62.209999,61.380001,61.880001,4171400,58.237587
"2020-12-04",61.939999,62.200001,61.049999,61.52,2928600,57.898788
"2020-12-07",61.290001,62.139999,61.169998,61.73,4111000,58.09642
"2020-12-08",61.369999,61.5,60.619999,61,3677400,57.409393
"2020-12-09",61,61.27,60.470001,60.77,2691400,57.192936
"2020-12-10",60.93,61.189999,60.439999,60.5,3206000,56.938824
"2020-12-11",60.27,60.619999,60.189999,60.419998,2139800,56.863529
"2020-12-14",61.080002,61.220001,59.630001,59.66,3017500,56.148266
"2020-12-15",60.369999,61.23,59.790001,60.860001,3116300,57.277634
"2020-12-16",61.049999,61.549999,60.25,60.43,2670800,56.872944
"2020-12-17",60.810001,61.439999,60.75,61.07,2991500,57.475269
"2020-12-18",61.07,61.259998,59.810001,60.139999,7612100,56.60001
"2020-12-21",59.720001,60.07,59.049999,60,4059200,56.468254
"2020-12-22",59.93,60.049999,59.619999,59.720001,2714800,56.204739
"2020-12-23",60.009998,60.369999,59.360001,59.380001,2462400,55.884754
"2020-12-24",59.580002,59.849998,59.299999,59.799999,858000,56.280022
"2020-12-28",60.02,60.52,59.709999,59.990002,2293800,56.458847
"2020-12-29",60.009998,60.5,59.919998,60.07,1746700,56.534134
"2020-12-30",60.07,60.869999,60.029999,60.610001,1963800,57.042347
"2020-12-31",60.580002,61.48,60.450001,61.43,2417300,57.814079
"2021-01-04",61.380001,61.490002,58.950001,59.360001,4774300,55.865929
"2021-01-05",59.529999,59.970001,59.27,59.75,3905200,56.232967
"2021-01-06",60.060001,61.599998,59.849998,61.209999,4102500,57.607029
"2021-01-07",61.380001,61.549999,60.810001,61.139999,4690300,57.541157
"2021-01-08",61.07,61.709999,60.77,61.57,3965800,57.945839
"2021-01-11",61.189999,61.720001,60.75,61.209999,2873300,57.607029
"2021-01-12",61.049999,61.150002,58.5,58.82,7012200,55.357712
"2021-01-13",58.860001,59.98,58.849998,59.709999,3949500,56.195324
"2021-01-14",59.580002,59.689999,58.98,59.040001,3776700,55.564762
"2021-01-15",58.75,59.849998,58.459999,59.66,4107900,56.148266
"2021-01-19",60.310001,61.139999,59.889999,61.060001,6270300,57.465862
"2021-01-20",60.779999,61.130001,60.16,60.650002,5151000,57.079994
"2021-01-21",60,60.59,59.610001,59.880001,3530400,56.35532
"2021-01-22",59.720001,60.540001,59.630001,60.139999,3079400,56.60001
"2021-01-25",59.869999,61.040001,59.580002,61.02,4013100,57.428219
"2021-01-26",60.889999,60.939999,59.689999,59.689999,3222800,56.176502
"2021-01-27",59.5,59.68,58.130001,58.540001,5062700,55.094196
"2021-01-28",58.75,60.27,58.650002,59.040001,2764400,55.564762
"2021-01-29",58.759998,59.27,58.209999,58.919998,3464500,55.45182
"2021-02-01",59.290001,59.77,58.630001,59.110001,3257200,55.630646
"2021-02-02",59.299999,60.700001,58.939999,59.639999,3391700,56.12944
"2021-02-03",59.599998,59.889999,59.310001,59.450001,3165000,55.95063
"2021-02-04",59.549999,60.470001,59.450001,60.34,3223600,56.788239
"2021-02-05",60.630001,61.240002,60.34,60.880001,3087200,57.296459
"2021-02-08",60.939999,61.279999,60.630001,60.73,3550200,57.155285
"2021-02-09",60.830002,60.889999,60.41,60.639999,2077400,57.07058
"2021-02-10",60.919998,61.220001,60.580002,60.93,3022400,57.343513
"2021-02-11",60.98,61.52,60.599998,61.290001,4502600,57.68232
"2021-02-12",60.450001,60.700001,59.509998,60.099998,4867000,57.159237
"2021-02-16",60.009998,60.099998,59.290001,59.299999,3039600,56.398376
"2021-02-17",59.369999,59.43,58.93,59.27,2933200,56.36985
"2021-02-18",59.32,60.34,59.25,59.849998,4530700,56.921463
"2021-02-19",59.759998,59.869999,59.080002,59.310001,3194800,56.40789
"2021-02-22",59.32,59.57,58.439999,59.290001,4076100,56.38887
"2021-02-23",59.220001,60.290001,58.91,58.919998,3990600,56.036964
"2021-02-24",58.77,58.93,58.139999,58.380001,5076900,55.523396
"2021-02-25",58.279999,58.650002,57.619999,57.759998,4064300,54.933731
"2021-02-26",58.049999,58.34,56.689999,56.720001,6092400,53.944626
"2021-03-01",57.27,58.580002,57.27,57.779999,3210700,54.952751
"2021-03-02",57.810001,58.330002,57.110001,57.830002,3574200,55.000309
"2021-03-03",57.5,57.779999,57.060001,57.59,3859400,54.772053
