"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"2020-07-01",154.699997,155.199997,152.470001,154.279999,678400,151.730652
"2020-07-02",155.679993,157.130005,153.570007,154.009995,585700,151.465103
"2020-07-06",155.509995,156.210007,153.240005,153.649994,646200,151.111023
"2020-07-07",151.960007,154.020004,150.830002,151.779999,482200,149.271942
"2020-07-08",152.399994,152.539993,149.339996,150.820007,510400,148.327805
"2020-07-09",150.779999,151.830002,147.320007,150.440002,881200,147.954102
"2020-07-10",150.529999,150.809998,148.910004,150.509995,296100,148.022919
"2020-07-13",151.619995,153.880005,149.830002,150.160004,402200,147.678711
"2020-07-14",150.160004,153.529999,149.820007,153.320007,458300,150.786484
"2020-07-15",155.820007,158.410004,155.130005,157.589996,378700,154.985962
"2020-07-16",157.630005,157.949997,156.210007,157.100006,276600,154.504028
"2020-07-17",158.020004,160.809998,157.179993,159.960007,464500,157.316788
"2020-07-20",159.940002,160.5,156.869995,157.449997,284500,154.848251
"2020-07-21",157.509995,158.509995,156.169998,157.160004,455000,154.563049
"2020-07-22",157.080002,158.050003,156.220001,157.839996,307300,155.231812
"2020-07-23",158.229996,159.139999,156.979996,158.029999,358100,155.418671
"2020-07-24",158.139999,158.139999,154.860001,156.350006,312400,153.766434
"2020-07-27",156.350006,158.820007,156.339996,157.690002,441700,155.08429
"2020-07-28",157.270004,158.660004,155.850006,157.110001,548100,154.51387
"2020-07-29",157.800003,163.339996,157.800003,161.729996,593500,159.05751
"2020-07-30",159.080002,161.460007,158.130005,161.130005,344600,158.467468
"2020-07-31",160.220001,160.649994,157.279999,159.630005,416500,156.992218
"2020-08-03",159.940002,162.899994,159.940002,161.070007,478400,158.408432
"2020-08-04",161.580002,164.119995,157.300003,158,612100,155.38916
"2020-08-05",159.699997,159.910004,157.119995,157.669998,355400,155.064621
"2020-08-06",157.649994,157.649994,154.649994,155.979996,421000,153.402542
"2020-08-07",155.899994,157.139999,152.369995,154.220001,498700,151.671631
"2020-08-10",154.100006,156.899994,153.520004,155.880005,568500,153.304214
"2020-08-11",156.710007,160.259995,156.240005,158.720001,566600,156.09726
"2020-08-12",159.330002,160.970001,158.779999,160.509995,346500,157.857681
