"","STT.Open","STT.High","STT.Low","STT.Close","STT.Volume","STT.Adjusted"
"2020-07-01",63.650002,64.040001,61.360001,62.130001,1870500,58.73468
"2020-07-02",63.84,65.18,62.759998,63.130001,2147500,59.680031
"2020-07-06",64.32,65.5,64.279999,64.480003,1521100,60.956253
"2020-07-07",63.669998,63.900002,62.939999,63.169998,2246800,59.717838
"2020-07-08",63.400002,65.230003,63.189999,64.949997,2207500,61.400566
"2020-07-09",64.18,64.410004,61.02,61.66,1980300,58.290359
"2020-07-10",61.68,64.239998,61.650002,64.120003,1435800,60.615932
"2020-07-13",65.059998,65.739998,63.310001,64.589996,1860300,61.060238
"2020-07-14",64.620003,65.169998,63.34,64.989998,1834200,61.438377
"2020-07-15",64.300003,64.980003,62.939999,64.639999,2841800,61.10751
"2020-07-16",64.019997,65.540001,63.630001,64.519997,1985900,60.994061
"2020-07-17",63.880001,64.43,61.139999,61.709999,3480900,58.337627
"2020-07-20",61.330002,61.689999,60.02,60.360001,3074300,57.061409
"2020-07-21",60.75,62.099998,60.75,61.799999,2025500,58.42271
"2020-07-22",61.279999,61.759998,60.209999,61.400002,1919700,58.044575
"2020-07-23",61.02,62.77,60.560001,62.41,2136800,58.999371
"2020-07-24",62.560001,63.299999,61.759998,62.349998,1701800,58.942654
"2020-07-27",61.810001,62.919998,60.75,62.849998,2145700,59.415325
"2020-07-28",62.369999,63.450001,62.330002,63.09,2390300,59.642216
"2020-07-29",63.02,64.519997,62.360001,64.389999,1532100,60.871174
"2020-07-30",63.09,63.509998,62.169998,63.5,2007400,60.029808
"2020-07-31",63.330002,63.91,62.939999,63.790001,2304300,60.303967
"2020-08-03",64.010002,64.699997,63.110001,64.32,1646800,60.804996
"2020-08-04",64.349998,64.940002,64.129997,64.910004,1356300,61.362755
"2020-08-05",65.419998,66.889999,65.300003,66.739998,3316200,63.092747
"2020-08-06",66.709999,67.230003,65.860001,66.540001,1815100,62.903667
"2020-08-07",66.050003,69.589996,66.050003,69.57,2290800,65.768089
"2020-08-10",69.720001,70.07,68.690002,69.870003,1825800,66.051689
"2020-08-11",71.089996,72.129997,70.150002,70.349998,2105800,66.505463
"2020-08-12",71.529999,71.959999,69.82,71.18,1628800,67.290108
"2020-08-13",70.449997,71.150002,69.739998,70.349998,1718100,66.505463
"2020-08-14",69.949997,71.019997,69.949997,70.529999,874100,66.675621
"2020-08-17",70.349998,70.389999,68.800003,69.209999,1668700,65.427757
"2020-08-18",68.949997,69.739998,68.599998,69.669998,1512000,65.862617
"2020-08-19",69.730003,70.68,69.510002,70.449997,2026000,66.599998
"2020-08-20",69.330002,69.440002,67.730003,67.93,1877100,64.21772
"2020-08-21",67.730003,68.190002,67.269997,67.550003,1615900,63.858482
"2020-08-24",67.900002,69.199997,67.650002,68.940002,1887200,65.172523
"2020-08-25",69.57,70.059998,68.870003,69.07,1456200,65.295418
"2020-08-26",69,69.040001,67.910004,67.980003,1504300,64.264984
"2020-08-27",68.089996,69.709999,68.089996,69.25,1215500,65.465584
"2020-08-28",69.690002,70.239998,68.989998,70.110001,1257000,66.278572
"2020-08-31",69.93,69.93,68.07,68.089996,1415500,64.368965
"2020-09-01",67.720001,69.040001,67.309998,68.580002,1656100,64.832191
"2020-09-02",68.519997,70.230003,68.269997,69.879997,3334900,66.06115
"2020-09-03",70.510002,71.139999,66.839996,67.400002,2656500,63.716671
"2020-09-04",68.739998,69.769997,67.010002,68.349998,3194600,64.614754
"2020-09-08",67.25,67.629997,65.400002,65.550003,2112700,61.967777
"2020-09-09",66.169998,66.489998,65.760002,65.790001,3130400,62.19466
"2020-09-10",66.139999,66.199997,64.050003,64.230003,2635500,60.719925
"2020-09-11",64.129997,66.209999,63.869999,64.910004,2435300,61.362755
"2020-09-14",65.529999,66.790001,63.900002,64.43,2920800,60.908985
"2020-09-15",64.769997,64.769997,62.52,63.200001,1707100,59.746201
"2020-09-16",63.279999,64.68,63.049999,63.32,3820800,59.859646
"2020-09-17",62.220001,63.16,62.099998,62.369999,3152200,58.961563
"2020-09-18",61.91,63.610001,61.77,61.950001,4285300,58.564518
"2020-09-21",60.509998,61.369999,58.790001,59.919998,3291200,56.645454
"2020-09-22",59.43,59.98,57.860001,58.880001,3397000,55.662281
"2020-09-23",59.119999,59.799999,57.650002,57.77,1632700,54.612946
"2020-09-24",57.849998,58.470001,56.630001,57.68,1279600,54.527866
"2020-09-25",57.02,58.610001,56.75,58.5,1458600,55.303051
"2020-09-28",59.68,61.200001,59.5,60.490002,2130200,57.184303
"2020-09-29",60.279999,60.59,59.259998,59.889999,1291000,56.617092
"2020-09-30",59.529999,60.34,58.73,59.330002,2789900,56.578949
"2020-10-01",59.759998,60.060001,58.049999,58.75,2420100,56.025841
"2020-10-02",57.84,59.880001,57.599998,59.68,1847200,56.91272
"2020-10-05",60.099998,61.669998,60.099998,61.389999,1337100,58.543427
"2020-10-06",61.990002,62.959999,60.720001,61.02,1587800,58.190582
"2020-10-07",61.459999,63.720001,61.459999,63.41,1877700,60.469761
"2020-10-08",63.830002,65.050003,63.470001,65,1714200,61.986038
"2020-10-09",66.050003,67.309998,65.639999,66.43,2859300,63.349735
"2020-10-12",66.290001,67.639999,65.730003,67.220001,1729100,64.103104
"2020-10-13",67.190002,67.349998,65.769997,66.089996,2127800,63.025497
"2020-10-14",66.529999,67.290001,65.959999,66.029999,1611300,62.968273
"2020-10-15",65.059998,67.080002,65.040001,66.949997,2169700,63.845608
"2020-10-16",67.019997,67.75,64.720001,66.580002,3625100,63.492775
"2020-10-19",66.75,66.919998,64.169998,64.349998,2145800,61.36618
"2020-10-20",65,65.959999,64.459999,64.580002,1723900,61.585514
"2020-10-21",64.25,65.040001,63.93,64,1831400,61.032402
"2020-10-22",64.239998,65.629997,63.82,65.599998,1696500,62.558216
"2020-10-23",66.220001,66.510002,65,65.309998,981000,62.281654
"2020-10-26",64.440002,64.440002,62.48,63.509998,1371100,60.565125
"2020-10-27",63.139999,63.529999,61.619999,61.650002,1754600,58.791374
"2020-10-28",60.540001,61.029999,58.32,58.48,2515600,55.76836
"2020-10-29",58.25,59.549999,57.16,58.799999,2409400,56.073521
"2020-10-30",58.560001,58.98,57.419998,58.900002,2706100,56.16888
"2020-11-02",59.970001,60.360001,58.98,59.68,2218300,56.91272
"2020-11-03",61,62.860001,60.889999,62.380001,1969100,59.487522
"2020-11-04",60.810001,62.209999,59.470001,60.419998,1920700,57.618401
"2020-11-05",61,63.84,60.950001,62.830002,1625400,59.916656
"2020-11-06",62.869999,62.939999,62,62.23,1255800,59.344479
"2020-11-09",67.489998,71.18,67.410004,70.099998,3046500,66.849564
"2020-11-10",70.550003,70.639999,69.199997,70.050003,1845000,66.80188
"2020-11-11",71.080002,71.419998,67.82,68.480003,2064800,65.30468
"2020-11-12",67.510002,68.830002,66.07,66.900002,1853500,63.797935
"2020-11-13",67.790001,69.010002,67.440002,68.519997,1317400,65.342812
"2020-11-16",70.5,70.5,68.779999,69.809998,1935000,66.573006
"2020-11-17",68.449997,70.580002,68.230003,70.559998,1318300,67.288216
"2020-11-18",70.519997,71.620003,69.169998,69.18,1567300,65.972221
"2020-11-19",69.260002,69.980003,68.480003,69.269997,1225000,66.058044
"2020-11-20",68.5,68.970001,67.800003,67.949997,1324500,64.799255
"2020-11-23",68.720001,70.699997,68.440002,70.559998,1221000,67.288216
"2020-11-24",72.019997,74.529999,71.400002,73.419998,1574100,70.015617
"2020-11-25",72.730003,72.730003,71.32,72.239998,1108900,68.89032
"2020-11-27",72.010002,72.599998,71.519997,71.589996,591000,68.27047
"2020-11-30",72.019997,72.510002,70.150002,70.480003,2625000,67.211945
"2020-12-01",72.099998,72.949997,71.169998,72.260002,1756000,68.909409
"2020-12-02",72.239998,74.120003,72,74.059998,2011800,70.625931
"2020-12-03",74.300003,74.709999,73.68,73.879997,2073300,70.454285
"2020-12-04",74.129997,76.43,74.129997,76.379997,2130200,72.838348
"2020-12-07",75.75,76.349998,75.080002,75.959999,2279000,72.437836
"2020-12-08",75.230003,76.830002,75.160004,75.839996,1852000,72.323387
"2020-12-09",76.519997,77.309998,72.279999,72.760002,4151500,69.386215
"2020-12-10",72.18,72.18,70.099998,71.730003,4203900,68.403992
"2020-12-11",70.599998,75.110001,69.370003,72.800003,5707800,69.424362
"2020-12-14",73.669998,73.739998,70.580002,70.699997,2215900,67.421722
"2020-12-15",71.82,72.489998,70.589996,71.790001,1573200,68.461182
"2020-12-16",71.650002,71.910004,70.879997,71.199997,3391200,67.898552
"2020-12-17",71.580002,71.589996,70.5,70.739998,3558700,67.459885
"2020-12-18",70.260002,71.25,70.019997,70.660004,4201700,67.383591
"2020-12-21",70.699997,72.269997,68.800003,70.339996,5216400,67.07843
"2020-12-22",70.339996,70.940002,69.839996,70.190002,5568400,66.935394
"2020-12-23",70.519997,72.470001,70.519997,71.580002,2694400,68.260925
"2020-12-24",72.019997,72.019997,70.800003,71.779999,665800,68.45166
"2020-12-28",72.370003,72.889999,71.449997,72.120003,1738900,68.775902
"2020-12-29",72.519997,72.809998,71.730003,71.940002,1168700,68.604233
"2020-12-30",71.760002,72.919998,71.760002,72.419998,909900,69.061974
"2020-12-31",71.93,72.910004,71.470001,72.779999,951000,69.907242
"2021-01-04",73.339996,73.540001,71.019997,72.25,1441000,69.398163
"2021-01-05",69.769997,72.910004,69.629997,72.68,1730500,69.811188
"2021-01-06",74.870003,78.580002,74.610001,77.629997,3674600,74.565804
"2021-01-07",78.449997,79.300003,77.620003,77.730003,1810400,74.661858
"2021-01-08",77.730003,78.290001,76.120003,77.129997,1773600,74.085548
"2021-01-11",76.120003,78.349998,75.529999,78.139999,1999900,75.055672
"2021-01-12",78.699997,80.709999,78.190002,80.419998,2391400,77.245674
"2021-01-13",80.199997,81.080002,78.529999,78.660004,2039300,75.555161
"2021-01-14",79.379997,79.980003,78.669998,79.580002,2111500,76.438828
"2021-01-15",78.279999,78.739998,76.43,77.18,2502400,74.133568
"2021-01-19",75.150002,79.360001,74.07,78.400002,5215200,75.30542
"2021-01-20",78.660004,78.790001,76.110001,76.639999,3542800,73.614891
"2021-01-21",76.739998,77.029999,74.519997,74.580002,2562600,71.6362
"2021-01-22",73.459999,74.75,73.220001,74.169998,3920300,71.242378
"2021-01-25",73.18,73.529999,72.18,72.550003,2066900,69.686333
"2021-01-26",73.160004,73.540001,72.260002,72.629997,1727000,69.763168
"2021-01-27",71.239998,71.489998,69.860001,70.139999,2445900,67.371452
"2021-01-28",71.269997,72.459999,70.660004,71.629997,2485100,68.802628
"2021-01-29",71.199997,71.970001,69.019997,70,2490800,67.236984
"2021-02-01",70.559998,70.959999,69.839996,70.25,2300800,67.477104
"2021-02-02",71.190002,71.720001,70.760002,70.800003,2928600,68.005402
"2021-02-03",70.849998,72.580002,70.699997,71.599998,3217700,68.773811
"2021-02-04",72.099998,73.910004,72.010002,73.790001,2478500,70.87738
"2021-02-05",74.419998,75.190002,74.160004,74.769997,1844600,71.818695
"2021-02-08",75.260002,76.169998,74.809998,76.07,1893700,73.067383
"2021-02-09",76.040001,76.339996,75.349998,75.839996,1942900,72.846451
"2021-02-10",76.220001,76.349998,73.980003,74.089996,2051800,71.165527
"2021-02-11",74.379997,74.440002,72.120003,72.919998,4342700,70.041718
"2021-02-12",72.620003,73.690002,72.400002,73.5,4365800,70.598824
"2021-02-16",73.989998,76.370003,73.5,75.459999,6137800,72.481453
"2021-02-17",75.459999,76,74.5,75.160004,3030700,72.193306
"2021-02-18",74.610001,75.050003,73.709999,74.699997,1534100,71.751457
"2021-02-19",75.290001,76.089996,71.760002,71.93,5675300,69.090797
"2021-02-22",71.440002,74.699997,71.370003,73.540001,3820800,70.637253
"2021-02-23",74.389999,75.57,73.769997,74.059998,3465800,71.136719
"2021-02-24",74.129997,77.440002,74.110001,76.82,4874900,73.787788
"2021-02-25",77.769997,78.25,74.019997,74.260002,3724700,71.328835
"2021-02-26",73.43,73.800003,72.129997,72.769997,3589100,69.897636
"2021-03-01",74.610001,77.610001,74.300003,76.739998,3397900,73.71093
"2021-03-02",76.949997,77.980003,76.360001,77.029999,2823700,73.989487
"2021-03-03",77.5,81.050003,77.25,79.309998,3635900,76.179497
"2021-03-04",79.379997,80.150002,77.5,78.199997,5685900,75.113312
"2021-03-05",79.690002,80.75,77.940002,79.419998,4087400,76.285141
"2021-03-08",80.389999,81.82,79.489998,80.5,2346400,77.32251
"2021-03-09",79.550003,83.940002,78.5,81.839996,4520300,78.609627
"2021-03-10",82.419998,83.980003,82.419998,83.239998,3179500,79.954369
"2021-03-11",82.550003,84.629997,82.220001,83.580002,3566000,80.280945
"2021-03-12",84.839996,85.779999,83.760002,83.800003,3450000,80.492271
"2021-03-15",83.93,84.220001,82.910004,83.669998,2387900,80.367401
"2021-03-16",83.400002,84.019997,82.720001,83.650002,3060000,80.348183
"2021-03-17",84.639999,85.150002,83.470001,84.760002,2157200,81.414375
"2021-03-18",85.82,87.889999,85.089996,85.25,2906700,81.885033
"2021-03-19",84.489998,84.93,82.730003,84.160004,5457000,80.838058
"2021-03-22",82.970001,83.269997,81.580002,81.620003,2232600,78.398323
"2021-03-23",80.879997,81.400002,79.07,79.379997,1923900,76.246735
"2021-03-24",80.370003,81.550003,79.849998,79.860001,1646100,76.707779
"2021-03-25",79.860001,82.610001,78.879997,82.370003,2320700,79.118706
"2021-03-26",83.510002,86.029999,82.989998,85.889999,2806600,82.499779
"2021-03-29",84.540001,86.059998,83.720001,85.330002,1915000,81.961884
"2021-03-30",85.870003,86.849998,85.5,86.309998,2782500,82.903183
"2021-03-31",85.43,85.959999,84,84.010002,2598800,81.18309
"2021-04-01",84.239998,85.239998,83.559998,84.949997,2567500,82.091461
"2021-04-05",85.82,86.480003,85.099998,85.400002,3491900,82.526306
"2021-04-06",85.540001,85.540001,83.910004,84.980003,1729700,82.120445
"2021-04-07",85.660004,85.760002,84.5,84.739998,1861200,81.888519
"2021-04-08",84.370003,84.639999,83.790001,84.410004,2568800,81.569626
"2021-04-09",85.110001,86.5,85.110001,86.470001,1797400,83.56031
"2021-04-12",86.139999,87.150002,86.139999,86.93,1115900,84.004829
"2021-04-13",86.410004,86.529999,85.330002,85.75,1038300,82.864532
"2021-04-14",85.510002,87.519997,85.400002,86.68,1219200,83.763245
"2021-04-15",86.809998,87.059998,85.730003,86.510002,2724600,83.598961
"2021-04-16",86.980003,87.760002,80.230003,80.43,5681300,77.723549
"2021-04-19",80.169998,81,78.529999,80.889999,3686200,78.168076
"2021-04-20",80.260002,80.279999,78.480003,78.599998,3539500,75.955132
"2021-04-21",77.82,80.190002,76.919998,80.139999,2593700,77.443306
"2021-04-22",79.919998,80.669998,78.540001,78.699997,3217700,76.051773
"2021-04-23",78.879997,81.470001,78.449997,81.110001,2223800,78.380676
"2021-04-26",81.43,82.699997,81.239998,81.300003,1796500,78.564278
"2021-04-27",81.080002,82.309998,80.949997,82.239998,1775500,79.472649
"2021-04-28",82.279999,83.620003,82.07,83.25,2006900,80.448654
"2021-04-29",83.910004,84.449997,82.860001,83.480003,3958700,80.670929
"2021-04-30",83.389999,84.279999,83.059998,83.949997,2087700,81.125107
"2021-05-03",84.550003,85.290001,83.489998,84.68,1433300,81.830536
"2021-05-04",84.440002,85.050003,83.25,84.849998,2638900,81.99482
"2021-05-05",85.199997,86.489998,84.099998,86.209999,1616100,83.309052
"2021-05-06",86.620003,87.550003,85.669998,87.330002,2230700,84.391373
"2021-05-07",86.160004,87.57,85.5,87.230003,1731300,84.294731
"2021-05-10",87.790001,89.279999,87.589996,87.830002,2372200,84.87455
"2021-05-11",87.25,89.019997,85.760002,86.099998,2684400,83.202766
"2021-05-12",87.029999,87.730003,84.75,84.870003,2535900,82.014153
"2021-05-13",84.330002,86.209999,84.330002,85.709999,2015700,82.825882
"2021-05-14",85.889999,87.190002,85.82,86.75,1538100,83.830879
"2021-05-17",86.110001,86.779999,85.050003,86.379997,1508700,83.473335
"2021-05-18",86.220001,86.669998,84.550003,84.639999,2266000,81.791885
"2021-05-19",83.410004,84.239998,82.57,84.089996,2356100,81.260399
"2021-05-20",84.07,84.809998,83.480003,84.209999,1481100,81.37635
"2021-05-21",84.709999,86.459999,84.650002,86.25,1620800,83.347717
"2021-05-24",86.489998,86.860001,85.889999,86.410004,1363600,83.502327
"2021-05-25",86.779999,87.760002,85.139999,85.360001,1562700,82.487663
"2021-05-26",85.849998,87.010002,85.089996,86.290001,2190100,83.38636
"2021-05-27",87.260002,88.150002,86.760002,86.989998,2726900,84.062798
"2021-05-28",87,87.260002,86.120003,86.980003,1846600,84.053146
"2021-06-01",88.300003,88.720001,87.480003,87.980003,1330600,85.019501
"2021-06-02",87.720001,88.010002,86.610001,87.07,1753100,84.140121
"2021-06-03",86.940002,87.739998,86.550003,87.089996,1013800,84.159439
"2021-06-04",86.900002,87.120003,85.660004,86.900002,1402400,83.975853
"2021-06-07",87.25,87.260002,86.379997,86.410004,1569800,83.502327
"2021-06-08",85.889999,86.629997,84.870003,86.059998,2224500,83.164101
"2021-06-09",85.5,85.650002,84.5,84.57,1887200,81.724251
"2021-06-10",85.709999,85.910004,83.599998,83.639999,1765100,80.825539
"2021-06-11",83.779999,84.470001,83.5,83.739998,1829700,80.922173
"2021-06-14",83.5,85.559998,83.040001,84.790001,3192900,81.936836
"2021-06-15",85.080002,86.050003,84.809998,85.790001,2226500,82.903198
"2021-06-16",85.519997,88.699997,84.93,87.209999,4069100,84.275414
"2021-06-17",87.980003,88.190002,82.419998,82.779999,3718000,79.994476
"2021-06-18",80.970001,81.730003,78.629997,78.849998,6110400,76.196716
"2021-06-21",79.739998,81.669998,79.57,81.610001,2088800,78.863853
"2021-06-22",81.699997,81.809998,80.199997,80.690002,1638700,77.974815
"2021-06-23",81.010002,81.699997,80.839996,80.980003,1391300,78.255051
"2021-06-24",81.300003,82.230003,80.699997,81.860001,1978000,79.105438
"2021-06-25",82.080002,83.870003,81.779999,83.230003,2350600,80.429337
"2021-06-28",82.800003,83.349998,81.610001,82.099998,1815900,79.337364
"2021-06-29",83.150002,83.349998,81.900002,82.199997,1655800,79.43399
"2021-06-30",81.169998,82.419998,80.949997,82.279999,1588700,80.017494
"2021-07-01",83.040001,84.110001,82.389999,83.82,1591000,81.515144
"2021-07-02",83.82,84.459999,83.629997,84.300003,2046300,81.981949
"2021-07-06",84.260002,84.32,81.650002,81.900002,2336500,79.647949
"2021-07-07",81.389999,81.959999,80.43,81.400002,1179000,79.16169
"2021-07-08",80.25,80.769997,79.190002,79.589996,1563300,77.401459
"2021-07-09",81.57,84.290001,81.470001,84.110001,2239300,81.79718
"2021-07-12",83.68,84.879997,83,84.32,1313100,82.001396
"2021-07-13",84.300003,84.830002,83.099998,83.599998,1308100,81.301193
"2021-07-14",83.309998,84.480003,81.82,82.470001,1776300,80.202271
"2021-07-15",81.410004,82.989998,81.040001,81.970001,2278400,79.716026
"2021-07-16",83.730003,85.290001,82.419998,84.339996,3925100,82.020844
"2021-07-19",82.230003,82.809998,79.400002,79.629997,2711500,77.440361
"2021-07-20",79.589996,83.260002,79.190002,82.809998,2044900,80.532913
"2021-07-21",83.889999,85.459999,83.699997,85.129997,1639800,82.789116
