"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"2020-07-01",48.369999,48.459999,47.25,47.299999,2478200,43.999966
"2020-07-02",47.959999,48.220001,47.25,47.34,2548100,44.037182
"2020-07-06",48,48.349998,47.779999,48.029999,1871600,44.679035
"2020-07-07",47.810001,48.029999,47.060001,47.110001,2117800,43.823219
"2020-07-08",47.119999,47.209999,46.09,46.560001,2607900,43.311588
"2020-07-09",46.650002,47.02,45.93,46.779999,2313800,43.516247
"2020-07-10",46.98,47.580002,46.66,47.380001,2159700,44.074387
"2020-07-13",47.82,48.049999,47.169998,47.330002,2757600,44.027878
"2020-07-14",46.830002,47.48,46.630001,47.380001,3373400,44.074387
"2020-07-15",48,48.400002,47.52,48.240002,2516700,44.874386
"2020-07-16",48.369999,48.790001,47.93,48.5,2933900,45.116253
"2020-07-17",48.68,48.799999,47.900002,48.27,1962800,44.90229
"2020-07-20",47.919998,48.709999,47.400002,48.59,2294500,45.19997
"2020-07-21",48.950001,49.529999,48.830002,49.419998,4468000,45.972054
"2020-07-22",49.549999,49.720001,49.150002,49.470001,3152600,46.01857
"2020-07-23",49.48,50.82,49.419998,50,3574100,46.511593
"2020-07-24",49.5,49.669998,47.73,48.040001,4082000,44.688339
"2020-07-27",48.099998,49.59,47.860001,49.580002,3403900,46.120892
"2020-07-28",49.57,50.07,48.32,48.57,4440300,45.181358
"2020-07-29",45.040001,45.73,43.529999,44.310001,14154300,41.218578
"2020-07-30",44.029999,44.459999,43.68,44.400002,3771400,41.302299
"2020-07-31",44.650002,45.41,44.16,45.220001,7369400,42.065079
"2020-08-03",45.419998,45.580002,44.66,44.759998,3674800,41.63718
"2020-08-04",45.099998,45.810001,44.790001,45.389999,3177400,42.223225
"2020-08-05",45.66,45.799999,44.720001,45.130001,3402600,41.981361
"2020-08-06",44.5,45.009998,44.169998,44.959999,3215400,41.823223
"2020-08-07",44.950001,45.529999,44.459999,45.310001,2781300,42.148815
"2020-08-10",45.400002,46.560001,45.400002,46.07,3625200,42.855785
"2020-08-11",46.380001,46.799999,45.68,45.779999,3529500,42.586014
"2020-08-12",45.709999,45.91,45.25,45.639999,2515600,42.455776
"2020-08-13",45.650002,45.650002,44.549999,44.900002,2910300,41.76741
"2020-08-14",45.07,45.349998,44.869999,45.07,1948700,41.925545
"2020-08-17",45.200001,45.439999,44.830002,44.900002,1749800,41.76741
"2020-08-18",45,45.209999,44.540001,45.060001,2218800,41.916248
"2020-08-19",45.18,46,45.110001,45.400002,2540100,42.232529
"2020-08-20",45.189999,45.259998,44.66,45.040001,2159500,41.897644
"2020-08-21",44.810001,44.93,44.5,44.84,3163500,41.711597
"2020-08-24",44.98,45.619999,44.759998,45.610001,2051600,42.427876
"2020-08-25",45.52,46.209999,45.150002,45.439999,1950500,42.269741
"2020-08-26",45.43,45.790001,45.150002,45.73,2073300,42.539505
"2020-08-27",46.049999,46.16,45.310001,45.549999,2112800,42.372059
"2020-08-28",45.849998,46.889999,45.5,46.599998,2181700,43.348801
"2020-08-31",47.240002,48.200001,46.639999,47.990002,4854300,44.641827
"2020-09-01",48.009998,48.040001,46.27,47.07,3031000,43.786015
"2020-09-02",47.099998,48.849998,47.07,48.59,3135800,45.19997
"2020-09-03",48.310001,48.5,46.759998,47.09,3026700,43.804619
"2020-09-04",46.950001,47.73,46.150002,47.009998,3193200,43.730202
"2020-09-08",45.709999,46.209999,45.25,45.689999,4418800,42.502289
"2020-09-09",46.610001,46.73,46.060001,46.23,2512700,43.004623
"2020-09-10",46.73,47.060001,45.790001,45.93,2639700,42.725552
"2020-09-11",46.029999,46.700001,45.810001,46.540001,2835700,43.292992
"2020-09-14",46.959999,47.830002,46.869999,47.650002,3107800,44.325546
"2020-09-15",48.09,48.189999,47.189999,47.34,2591500,44.037182
"2020-09-16",47.799999,49.27,47.630001,48.669998,3208300,45.274384
"2020-09-17",47.669998,49.169998,47.560001,49.139999,2672500,45.711594
"2020-09-18",49.32,49.52,48.25,48.82,4722900,45.413925
"2020-09-21",48,48.330002,47.34,48.23,3362900,44.865082
"2020-09-22",47.73,47.860001,47.130001,47.709999,2304900,44.987667
"2020-09-23",47.400002,49.18,47.400002,47.619999,3520800,44.902805
