"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume","STZ.Adjusted"
"2020-07-01",182.929993,189.919998,182.039993,185.880005,3465200,180.677979
"2020-07-02",189.179993,190.740005,185.389999,185.800003,1895100,180.60022
"2020-07-06",188.119995,189.380005,185.210007,186.490005,1004800,181.270905
"2020-07-07",184.179993,186.589996,182.270004,182.460007,904900,177.353683
"2020-07-08",183.279999,184.110001,181.300003,183.479996,800200,178.345154
"2020-07-09",184.240005,185.5,181.710007,182.389999,1202100,177.285645
"2020-07-10",182.929993,184.990005,182.110001,184.929993,567600,179.754547
"2020-07-13",185.5,185.729996,179.240005,179.690002,1136100,174.661224
"2020-07-14",179,179.899994,176.240005,179.179993,1538000,174.165466
"2020-07-15",181.050003,182.660004,179.690002,182.630005,1365400,177.518936
"2020-07-16",181.889999,183.729996,180.610001,181.240005,1154900,176.167847
"2020-07-17",182.289993,183.130005,180.399994,180.610001,1093500,175.555466
"2020-07-20",179.649994,180.320007,175.399994,177.600006,1221100,172.629715
"2020-07-21",178.559998,184.070007,178.410004,180.770004,1225300,175.710999
"2020-07-22",180.399994,181,178.830002,179.490005,1011600,174.466797
"2020-07-23",180.380005,182.919998,178.789993,179,1536700,173.990524
"2020-07-24",179.199997,180.220001,177.710007,179.850006,803900,174.816742
"2020-07-27",179.300003,179.880005,177.259995,178.889999,886600,173.883606
"2020-07-28",178.589996,182.110001,178.169998,179.520004,961800,174.495972
"2020-07-29",180.550003,182.300003,179.5,181.610001,556100,176.527481
"2020-07-30",180.210007,181.880005,178.820007,180.830002,622600,175.769302
"2020-07-31",180.300003,180.910004,175.740005,178.199997,1095800,173.212921
"2020-08-03",178.199997,178.199997,172.740005,173.289993,1233900,168.440323
"2020-08-04",173,174.490005,171.570007,171.690002,1208500,166.885101
"2020-08-05",172.110001,173.570007,172.110001,173.429993,736100,168.576385
"2020-08-06",171.009995,173,170.25,171.089996,1426300,166.301865
"2020-08-07",170.389999,173.009995,170.050003,172.270004,1456100,167.448883
"2020-08-10",171.710007,172.940002,170.940002,171.449997,757400,167.380524
"2020-08-11",173.770004,174.509995,171.889999,172.869995,926500,168.76683
"2020-08-12",174.380005,177.100006,173.889999,175.5,1185300,171.334412
"2020-08-13",174.429993,177.139999,174.119995,176.619995,587300,172.427811
"2020-08-14",176.110001,178.080002,175.770004,176.029999,574000,171.851837
"2020-08-17",176.360001,177.149994,173.389999,173.690002,833400,169.567398
"2020-08-18",174.059998,178.619995,173.729996,178.179993,1515700,173.950775
"2020-08-19",178.190002,180.399994,177.789993,180,971700,175.727585
"2020-08-20",178.300003,179.630005,177.759995,178.339996,875200,174.106995
"2020-08-21",179,179.559998,177.139999,179.289993,916700,175.034409
"2020-08-24",178.759995,181.5,177.880005,181.490005,695600,177.182236
"2020-08-25",181.259995,181.559998,179.199997,180.179993,703700,175.903336
"2020-08-26",179.940002,181.770004,179.110001,181.360001,748700,177.055313
"2020-08-27",182,183.940002,181.639999,182.649994,733000,178.314697
"2020-08-28",182.669998,185.75,181.190002,185.369995,775200,180.970123
"2020-08-31",185.460007,185.830002,183.330002,184.479996,733400,180.101257
"2020-09-01",183.899994,186.100006,183.380005,185.940002,973100,181.526611
"2020-09-02",186.979996,189.470001,185.970001,188.009995,1296500,183.547455
"2020-09-03",189.440002,191.360001,187.820007,190.580002,1614700,186.056458
"2020-09-04",191.059998,192.479996,187.550003,191.520004,1043200,186.974167
"2020-09-08",190.100006,190.889999,185.479996,187.759995,983000,183.303406
"2020-09-09",189.509995,191.350006,185.789993,189.929993,1443900,185.421875
"2020-09-10",189.729996,191.110001,188.089996,188.729996,884900,184.250381
"2020-09-11",188.789993,190.289993,186.460007,188.809998,863100,184.328476
"2020-09-14",189.869995,196.470001,189.240005,195.309998,1467600,190.674194
"2020-09-15",196.720001,197.970001,195.25,196.589996,1042000,191.923798
"2020-09-16",197,197.229996,192.830002,193.199997,1030900,188.614273
"2020-09-17",192.320007,194.929993,190.740005,192.210007,765500,187.647797
"2020-09-18",191.169998,193.059998,185.059998,187.809998,1624100,183.352219
"2020-09-21",185.449997,185.5,180.570007,185.059998,1109700,180.66748
"2020-09-22",185.089996,189.300003,185.070007,188.5,611800,184.025833
"2020-09-23",188.240005,190.479996,186.479996,186.570007,899100,182.141663
"2020-09-24",185.470001,185.990005,179.789993,181.869995,1262500,177.553192
"2020-09-25",181.059998,182.240005,180.119995,181.820007,1865200,177.504395
"2020-09-28",184.690002,186.050003,183.880005,185.449997,1578200,181.048203
"2020-09-29",186.759995,190.160004,186.029999,187.520004,991800,183.069122
"2020-09-30",187.970001,190.570007,187.559998,189.509995,1309500,185.011856
"2020-10-01",191,191,183.410004,184.610001,1899400,180.228165
"2020-10-02",184.360001,189.300003,183.300003,185.600006,1328700,181.194656
"2020-10-05",185.399994,186.050003,182.820007,183.600006,961400,179.242142
"2020-10-06",183.5,184.869995,180.309998,180.580002,850600,176.293823
"2020-10-07",182.020004,183.979996,181.119995,181.479996,848600,177.17244
"2020-10-08",181.580002,185.229996,180.699997,185.149994,1095500,180.755341
"2020-10-09",186.240005,187.440002,184.839996,186.649994,865900,182.219742
"2020-10-12",187.259995,189.559998,186.350006,187.009995,642100,182.571213
"2020-10-13",185.889999,188.160004,185.490005,187.529999,665800,183.078873
"2020-10-14",184.259995,186.380005,183.050003,183.110001,698200,178.763779
"2020-10-15",180.490005,182.869995,180.490005,181.550003,790900,177.240814
"2020-10-16",182.300003,184.149994,181.25,181.479996,827400,177.17244
"2020-10-19",182,183.529999,179.300003,180.639999,967800,176.352402
"2020-10-20",182.5,183.460007,180.300003,180.330002,617800,176.049759
"2020-10-21",180,181.5,179.190002,179.639999,619300,175.376144
"2020-10-22",179.070007,179.929993,177.699997,178.399994,1035200,174.165558
"2020-10-23",180,180.490005,176.949997,179.460007,1108300,175.200409
"2020-10-26",178.220001,178.339996,173.820007,174.970001,1294500,170.816986
"2020-10-27",174.539993,177.300003,172.130005,172.160004,843700,168.073669
"2020-10-28",169.600006,169.75,164.899994,165.009995,1828500,161.093384
"2020-10-29",164.720001,167.100006,163.679993,165.850006,1192500,161.913452
"2020-10-30",164.789993,165.240005,160.630005,165.229996,1549200,161.308167
"2020-11-02",168.550003,176.960007,166.860001,176.389999,1699600,172.203293
"2020-11-03",180.009995,185.740005,180.009995,184.839996,1684300,180.452698
"2020-11-04",185.360001,186.369995,180.740005,180.850006,1130400,176.557434
"2020-11-05",183.080002,184.720001,182.429993,183.479996,979900,179.870941
"2020-11-06",183.089996,186.970001,182.139999,185.779999,886000,182.125687
"2020-11-09",195.160004,206.860001,193.490005,200.75,2394000,196.801239
"2020-11-10",202.889999,203.649994,198.440002,200.559998,1968400,196.614975
"2020-11-11",202.449997,202.589996,194.080002,194.529999,1741000,190.703598
"2020-11-12",193.5,197.509995,192.199997,194.899994,863000,191.066315
"2020-11-13",196.029999,202.490005,195.5,202.009995,919900,198.036438
"2020-11-16",205.949997,207.899994,203.330002,206.100006,937600,202.046005
"2020-11-17",204,205.929993,201.199997,205.050003,944900,201.016663
"2020-11-18",205.089996,207.649994,203.100006,203.75,807300,199.742233
"2020-11-19",202.380005,204.339996,201.350006,204.210007,759100,200.193192
"2020-11-20",203.470001,204.270004,200.130005,200.570007,569700,196.624771
"2020-11-23",201.080002,203.419998,200.360001,201.580002,656200,197.614914
"2020-11-24",203.350006,208.660004,202.839996,207.800003,1015700,203.71257
"2020-11-25",207.199997,207.380005,204.050003,204.699997,1144100,200.673538
"2020-11-27",204.649994,205.559998,203.419998,204.809998,534000,200.781372
"2020-11-30",203.529999,205.940002,202.539993,205.839996,1104400,201.791092
"2020-12-01",208.350006,210.5,205,205.740005,1040000,201.693085
"2020-12-02",205,206.210007,202.699997,204.990005,749100,200.95784
"2020-12-03",205.910004,211.639999,205,209.779999,1335700,205.653595
"2020-12-04",210.110001,213.789993,209.669998,213.789993,1231600,209.584732
"2020-12-07",214.020004,214.110001,211.509995,212.039993,993800,207.869141
"2020-12-08",212.440002,214.639999,211.649994,213.009995,762500,208.820084
"2020-12-09",212.25,212.600006,208.559998,209.380005,806900,205.261475
"2020-12-10",208.130005,210.190002,206.770004,207.289993,1054900,203.212585
"2020-12-11",206,207.600006,204.460007,205.289993,1312600,201.251923
"2020-12-14",207.539993,208.860001,206.050003,207,1377900,202.928284
"2020-12-15",207.839996,214.820007,207.759995,212.25,1814800,208.075012
"2020-12-16",212.520004,216.550003,212.520004,214.809998,866300,210.584671
"2020-12-17",215.380005,218.899994,215.380005,217.800003,1040200,213.515869
"2020-12-18",218.669998,219.559998,214.770004,218.679993,1736800,214.37854
"2020-12-21",213.830002,215.610001,212.759995,214.460007,851400,210.241577
"2020-12-22",215.070007,215.479996,212,212.949997,880900,208.761246
"2020-12-23",214.259995,216.5,212.889999,215.479996,614100,211.24147
"2020-12-24",214.490005,216.100006,213.860001,215.809998,266900,211.565002
"2020-12-28",217.429993,219.779999,215.75,218.639999,751200,214.33934
"2020-12-29",219.940002,220,217.080002,217.440002,685600,213.162949
"2020-12-30",217.460007,219.779999,217.009995,218.210007,429500,213.917816
"2020-12-31",217.669998,219.339996,217.270004,219.050003,696300,214.741287
"2021-01-04",220,220.270004,212.779999,216.740005,1202600,212.47673
"2021-01-05",216.330002,217.800003,215.630005,216.889999,1530200,212.623764
"2021-01-06",219.229996,226.320007,219,223.720001,1861700,219.319427
"2021-01-07",233,240.759995,227.309998,228.869995,2537100,224.368103
"2021-01-08",230.139999,232.470001,225.259995,230.210007,1595400,225.681747
"2021-01-11",228.639999,230.970001,225.25,226.880005,1099700,222.417267
"2021-01-12",227,231,226.009995,228.089996,1679100,223.603455
"2021-01-13",227,228.630005,224.149994,224.570007,1542000,220.15271
"2021-01-14",224.5,226.539993,222.649994,223.899994,1109900,219.495865
"2021-01-15",222.990005,222.990005,219.630005,219.990005,1068900,215.662766
"2021-01-19",221.259995,224.470001,219.169998,222.910004,1204800,218.525345
"2021-01-20",224,228.580002,223.899994,227.509995,1124600,223.034882
"2021-01-21",226.979996,228.899994,225.839996,228.690002,944000,224.191666
"2021-01-22",226.350006,228.679993,225.75,226.910004,757300,222.446671
"2021-01-25",225.529999,227,220.100006,222.169998,1568100,217.799896
"2021-01-26",222.850006,223.25,219.460007,219.850006,986200,215.525528
"2021-01-27",216.440002,217.869995,211.899994,213.320007,1815500,209.123978
"2021-01-28",213.830002,218.460007,210.759995,216.850006,1398200,212.584549
"2021-01-29",215.830002,216.529999,210.789993,210.929993,1143600,206.780991
"2021-02-01",213.160004,216.350006,211.229996,215.059998,1260400,210.829727
"2021-02-02",217.970001,219.779999,216.139999,217.729996,1203200,213.44725
"2021-02-03",218.850006,220.289993,215.229996,216.300003,1347400,212.04538
"2021-02-04",217.009995,223.630005,216.139999,223.509995,1449300,219.113541
"2021-02-05",225.100006,228.070007,224.539993,227.929993,1002400,223.446609
"2021-02-08",226.550003,228.660004,223.690002,228.630005,814200,224.872772
"2021-02-09",234,235.580002,231.789993,233.800003,1396800,229.957809
"2021-02-10",238.020004,241.490005,236.210007,240.339996,2061100,236.390335
"2021-02-11",240.220001,241.419998,233.110001,236.389999,1570100,232.505249
"2021-02-12",236.509995,242.119995,235.460007,241.270004,1301300,237.305054
"2021-02-16",242.199997,242.619995,230.190002,232,1982400,228.187393
"2021-02-17",230.940002,230.940002,225.550003,228.460007,1163000,224.705566
"2021-02-18",226.509995,229.570007,225.089996,226.179993,968200,222.463013
"2021-02-19",225.910004,228.169998,223,223.210007,1175100,219.541855
"2021-02-22",221.330002,224.860001,221.320007,222.490005,749900,218.833679
"2021-02-23",222.759995,224.460007,220.199997,222.380005,728700,218.725494
"2021-02-24",221.470001,224.490005,220.279999,223.929993,647000,220.25
"2021-02-25",222.740005,224.25,217.389999,217.929993,908900,214.348602
"2021-02-26",218.639999,219.539993,214.059998,214.139999,1365600,210.62088
"2021-03-01",217.039993,219.970001,216.759995,217.75,892400,214.17157
"2021-03-02",217.690002,219.600006,217.649994,218.149994,967900,214.564987
"2021-03-03",217.369995,219.029999,216.029999,216.059998,704500,212.509354
"2021-03-04",215.460007,217.289993,208.589996,211.149994,1285600,207.680038
"2021-03-05",212.940002,217.740005,208.720001,217.009995,942200,213.443726
"2021-03-08",218.970001,222.910004,217.679993,220.630005,1041700,217.004257
"2021-03-09",222.369995,229.449997,221.779999,227.100006,1553200,223.367905
"2021-03-10",227.899994,229.929993,225.720001,227.059998,1007600,223.328568
"2021-03-11",227.070007,229.770004,226.279999,228.610001,845800,224.853088
"2021-03-12",229.940002,231.699997,228.350006,229.389999,697800,225.62027
"2021-03-15",229.910004,231.289993,228.149994,229.860001,581000,226.082565
"2021-03-16",230.380005,232.910004,230.050003,230.630005,661400,226.83992
"2021-03-17",232.490005,234.820007,230.25,233.009995,807800,229.180801
"2021-03-18",232.910004,236.679993,230.990005,231.070007,1026700,227.27269
"2021-03-19",232.330002,236.539993,231.279999,234.699997,1434400,230.843018
"2021-03-22",233.490005,234.25,230.279999,230.720001,729000,226.928421
"2021-03-23",229.580002,230.949997,227.800003,229.080002,855000,225.315384
"2021-03-24",228.339996,230.800003,228.110001,229.679993,773400,225.905502
"2021-03-25",229.399994,231.850006,225.690002,231.160004,644600,227.361191
"2021-03-26",232.789993,235.410004,229.740005,235.309998,840200,231.443008
"2021-03-29",233.679993,236.940002,232.690002,235.979996,762600,232.101959
"2021-03-30",236.110001,236.440002,232.300003,233.949997,785400,230.105347
"2021-03-31",231.949997,232.990005,227.759995,228,1265700,224.253128
"2021-04-01",228.029999,230.160004,226.460007,229.619995,1201100,225.846481
"2021-04-05",231.419998,233,229.929993,230.279999,941400,226.495651
"2021-04-06",231.25,236.889999,230.970001,236.300003,1166700,232.416718
"2021-04-07",236.229996,236.410004,233.690002,234.940002,1348300,231.079071
"2021-04-08",224.539993,226.770004,220.979996,224.210007,4390500,220.525406
"2021-04-09",224.720001,225.320007,218.619995,224.149994,2993200,220.4664
"2021-04-12",224.720001,227.369995,223.809998,226.309998,1167300,222.590881
"2021-04-13",225.550003,228.710007,224.910004,226.570007,965900,222.846634
"2021-04-14",226.119995,229.190002,226.119995,228.820007,911900,225.059631
"2021-04-15",230,234.949997,229.009995,234.600006,1305200,230.744675
"2021-04-16",235.710007,239.779999,234.490005,238.860001,1289700,234.934647
"2021-04-19",239.529999,240.020004,236.570007,237.600006,778000,233.695374
"2021-04-20",237.419998,240.399994,236.300003,238.309998,947800,234.393692
"2021-04-21",238.720001,243.440002,238.720001,241.130005,735900,237.167343
"2021-04-22",240.339996,240.899994,237.190002,238.330002,819800,234.413376
"2021-04-23",241.630005,242.910004,239.589996,240.580002,647400,236.626389
"2021-04-26",240,241.020004,237.979996,238.509995,650000,234.590393
"2021-04-27",239.509995,239.630005,237.580002,238.350006,697400,234.433044
"2021-04-28",238.610001,239.119995,237.190002,237.899994,691600,233.990433
"2021-04-29",238.509995,242.470001,237.550003,241.600006,801300,237.629639
"2021-04-30",240.679993,240.990005,238.570007,240.320007,851200,236.370682
"2021-05-03",240.25,244.75,240,243.020004,972800,239.784592
"2021-05-04",242.289993,242.669998,239.5,240,860900,236.804794
"2021-05-05",240.410004,242.360001,239.449997,239.699997,648300,236.508789
"2021-05-06",240.720001,241.690002,237.729996,241.619995,735700,238.403229
"2021-05-07",240.619995,242.5,239.869995,240.919998,632200,237.712555
"2021-05-10",241.979996,242.020004,239.119995,239.190002,963000,236.005585
"2021-05-11",237.240005,238.190002,233.389999,234.039993,1492800,230.924133
"2021-05-12",231.949997,234.009995,229.570007,229.75,1648900,226.691254
"2021-05-13",229.240005,232.899994,228.679993,231,1837600,227.924637
"2021-05-14",232.270004,235.490005,231.809998,234.440002,2563900,231.318832
"2021-05-17",234.550003,237.880005,234.350006,235.869995,1934100,232.729782
"2021-05-18",236.960007,236.960007,234.100006,234.110001,996200,230.99321
"2021-05-19",232.259995,233.149994,230.529999,232.380005,1135400,229.28627
"2021-05-20",232.800003,237,232.550003,236.100006,1058000,232.956741
"2021-05-21",237.009995,238.929993,236.550003,237.279999,654000,234.121002
"2021-05-24",238.789993,239,236.199997,236.479996,814600,233.33165
"2021-05-25",240,240.039993,237.779999,237.940002,1069000,234.772232
"2021-05-26",237.940002,238.690002,236.630005,237.190002,1076700,234.032196
"2021-05-27",238.240005,240,236.949997,236.990005,822300,233.834885
"2021-05-28",237.470001,240.800003,237.270004,239.720001,803200,236.528519
"2021-06-01",242.399994,242.470001,236.789993,237.350006,1247000,234.190094
"2021-06-02",238.039993,240.020004,237.070007,239.309998,718900,236.123993
"2021-06-03",237.259995,239.149994,236.259995,238.649994,866000,235.472763
"2021-06-04",240.320007,240.600006,238.559998,239.25,430200,236.064789
"2021-06-07",238.369995,239.110001,236.889999,239.080002,806400,235.897049
"2021-06-08",240,240.100006,237.440002,238.369995,728000,235.196503
"2021-06-09",237.660004,238.539993,236.649994,236.669998,573500,233.519135
"2021-06-10",237.050003,238.169998,236.5,237.169998,541200,234.012482
"2021-06-11",237.990005,238.199997,236.570007,237.889999,464400,234.722885
"2021-06-14",237.179993,237.350006,235.600006,236.369995,715700,233.223129
"2021-06-15",237.440002,237.789993,235.5,236.080002,515500,232.936981
"2021-06-16",235.690002,236.160004,232.710007,233.970001,703000,230.855087
"2021-06-17",233.509995,233.509995,229.490005,229.740005,1129900,226.681396
"2021-06-18",226,227.179993,220.949997,221.25,1973200,218.304428
"2021-06-21",221.949997,226.410004,220.970001,225.940002,1185400,222.931976
"2021-06-22",226.029999,226.729996,224.589996,224.699997,905200,221.708496
"2021-06-23",223.589996,225.309998,222,224.25,1080200,221.264481
"2021-06-24",225.279999,227.75,224.990005,226,1012900,222.991196
"2021-06-25",225.940002,228.949997,225.770004,228.600006,888100,225.55658
"2021-06-28",229.380005,230.320007,228.440002,229.389999,951500,226.336044
"2021-06-29",230.600006,233,230.309998,230.979996,1298000,227.904877
"2021-06-30",235.5,238.639999,233.820007,233.889999,2162200,230.776154
"2021-07-01",234.020004,236.830002,231.820007,232.029999,1146200,228.940903
"2021-07-02",231.789993,234.179993,231.309998,231.419998,930600,228.339035
"2021-07-06",230.119995,230.399994,227.130005,229.460007,1008700,226.405136
"2021-07-07",229,229.529999,226.229996,227.080002,1079200,224.056808
"2021-07-08",225,228.589996,224.330002,227.009995,867000,223.987747
"2021-07-09",228.5,229.789993,226.600006,227.690002,827200,224.658691
"2021-07-12",226.339996,226.929993,225.389999,226.460007,673900,223.445068
"2021-07-13",227,228.729996,225.240005,225.449997,844800,222.448502
"2021-07-14",225.919998,226.759995,224.559998,225.779999,580600,222.774124
"2021-07-15",225.210007,225.330002,223.160004,224.960007,631800,221.965027
"2021-07-16",226.600006,226.610001,223.570007,224.009995,563800,221.027664
"2021-07-19",220.949997,222.979996,219.770004,222.020004,1087900,219.064178
"2021-07-20",222.550003,226.770004,222.259995,225.169998,913500,222.172241
"2021-07-21",226.259995,228.160004,225.270004,225.850006,636900,222.843185
"2021-07-22",226,226,222.509995,223.839996,583900,220.85994
"2021-07-23",222.899994,225.339996,222,224.580002,843000,221.590088
"2021-07-26",224.309998,225.740005,222.800003,224.820007,913900,221.826904
"2021-07-27",224.479996,226.5,222.720001,226.360001,1176200,223.34639
"2021-07-28",225.600006,227.179993,225.600006,226.419998,731500,223.405594
"2021-07-29",227.740005,227.899994,224.25,224.570007,938300,221.580246
"2021-07-30",224.320007,225.960007,223.229996,224.339996,744900,221.353302
"2021-08-02",224.910004,225.300003,222.220001,222.789993,765400,219.823914
"2021-08-03",222.800003,223.580002,220.320007,221.339996,1077100,218.393234
"2021-08-04",220.589996,221.330002,219.059998,219.389999,1167800,216.469193
"2021-08-05",220.610001,222.020004,218.830002,219.509995,1087700,216.587585
"2021-08-06",219.479996,220.990005,217.710007,218.800003,1392800,215.887054
"2021-08-09",218.179993,219.889999,217.009995,217.190002,936800,215.045456
"2021-08-10",217.479996,219.539993,217.240005,218.059998,1292000,215.906845
"2021-08-11",217.470001,218.270004,212.75,213.399994,2648900,211.292847
"2021-08-12",213.850006,215.169998,211.020004,211.940002,1579300,209.847275
"2021-08-13",213.020004,214.690002,212,213.639999,1111000,211.530487
"2021-08-16",213,214.960007,212.960007,214.050003,1021600,211.936447
"2021-08-17",213.449997,215,212.929993,213.309998,1423600,211.203751
"2021-08-18",212.619995,216.229996,212.339996,214.429993,1150800,212.312683
"2021-08-19",212.339996,215.279999,211.729996,213.880005,896500,211.768127
"2021-08-20",213.559998,215.210007,213.119995,213.830002,960800,211.718628
"2021-08-23",214.820007,217.059998,214.009995,216.009995,999200,213.87709
"2021-08-24",216.440002,218.029999,215.270004,216.830002,1334900,214.689011
"2021-08-25",216.690002,216.690002,212.699997,214.979996,1177700,212.857254
"2021-08-26",214.669998,214.830002,212.449997,214.350006,712400,212.23349
"2021-08-27",213.649994,214.300003,212.259995,212.419998,1402600,210.32254
"2021-08-30",212.199997,212.929993,211.360001,211.789993,754800,209.698761
"2021-08-31",211.300003,212.240005,210.570007,211.139999,1762500,209.055191
"2021-09-01",212.869995,215.649994,210.679993,214.910004,1154900,212.787949
"2021-09-02",215.380005,215.830002,211.789993,212.460007,1190000,210.362167
"2021-09-03",211.899994,212.639999,210.960007,211.830002,699600,209.738358
"2021-09-07",210.910004,211.199997,207.350006,209.279999,1223600,207.213547
"2021-09-08",209.279999,217.539993,209.100006,216.970001,1583000,214.827637
"2021-09-09",215.050003,216.440002,214.130005,216.009995,1204400,213.87709
"2021-09-10",217.490005,217.490005,213.910004,213.910004,661400,211.797836
"2021-09-13",215.429993,216.080002,213.600006,214.899994,911100,212.778046
