"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2020-07-01",22.299999,22.67,21.4,21.610001,5988200,20.424143
"2020-07-02",22.35,22.825001,21.799999,21.860001,7211900,20.660419
"2020-07-06",22.48,22.870001,22.309999,22.799999,4960300,21.548836
"2020-07-07",22.58,22.67,21.76,21.790001,4684200,20.594263
"2020-07-08",21.76,22.34,21.620001,22.32,5180700,21.095181
"2020-07-09",22.27,22.290001,21.040001,21.34,5288400,20.168953
"2020-07-10",21.389999,22.58,21.280001,22.559999,4884400,21.322004
"2020-07-13",22.93,23.209999,22.27,22.690001,7377100,21.444874
"2020-07-14",22.57,22.955,22.15,22.450001,6947000,21.218044
"2020-07-15",22.75,23.77,22.74,23.639999,7054800,22.342741
"2020-07-16",23.42,24.129999,23.25,23.75,4541300,22.446705
"2020-07-17",23.700001,23.83,23.01,23.209999,6367600,21.936338
"2020-07-20",23.15,23.275,22.370001,22.379999,6842200,21.151884
"2020-07-21",22.049999,23.209999,21.67,22.639999,8415300,21.397617
"2020-07-22",22.24,23.15,22.139999,22.92,4752100,21.662256
"2020-07-23",22.700001,23.5,22.65,23.389999,7382600,22.106462
"2020-07-24",23.5,23.84,23.18,23.559999,7298600,22.26713
"2020-07-27",23.4,23.809999,22.879999,23.74,5636800,22.437254
"2020-07-28",23.51,23.799999,23.01,23.08,4834700,21.813471
"2020-07-29",23.08,23.809999,22.969999,23.780001,4075700,22.475061
"2020-07-30",23.209999,23.315001,22.719999,23.17,4594400,21.898535
"2020-07-31",23,23,21.895,22.129999,6283000,21.116102
"2020-08-03",22.299999,22.99,22.040001,22.719999,6037300,21.67907
"2020-08-04",22.68,22.98,22.549999,22.65,4207900,21.61228
"2020-08-05",22.93,23.389999,22.690001,23.33,5640300,22.261124
"2020-08-06",23.07,23.34,22.889999,23.09,4311400,22.03212
"2020-08-07",22.860001,23.690001,22.549999,23.690001,5086500,22.60463
"2020-08-10",23.73,25,23.709999,24.59,7728200,23.463396
"2020-08-11",25.549999,26.125,25.030001,25.1,5512300,23.950029
"2020-08-12",25.65,25.709999,24.07,24.74,5416000,23.606522
"2020-08-13",24.4,24.77,24.18,24.700001,4459900,23.568357
"2020-08-14",24.4,25.24,24.174999,24.93,3860100,23.787817
"2020-08-17",24.799999,24.879999,24.219999,24.35,4962500,23.234392
"2020-08-18",24.440001,24.549999,23.885,23.98,4975100,22.881346
"2020-08-19",24.129999,24.530001,23.9,24.110001,4647000,23.00539
"2020-08-20",23.709999,24.120001,23.66,23.940001,4431700,22.843176
"2020-08-21",23.9,24.275,23.82,23.91,2264100,22.814552
"2020-08-24",24.1,25.26,23.93,25.25,5358000,24.093161
"2020-08-25",25.59,25.719999,24.709999,24.9,3955500,23.759193
"2020-08-26",24.780001,25.01,24.334,24.450001,3012500,23.329811
"2020-08-27",24.530001,25.745001,24.495001,25.58,5587800,24.408037
"2020-08-28",25.75,25.93,25.43,25.780001,3140900,24.598875
"2020-08-31",25.77,25.77,24.809999,24.809999,5755800,23.673313
"2020-09-01",24.65,25.190001,24.389999,24.860001,3633700,23.721025
"2020-09-02",24.870001,25.01,24.51,24.82,6939300,23.682856
"2020-09-03",25.059999,25.879999,24.6,25.120001,7629400,23.969114
"2020-09-04",25.65,26.49,25.379999,26.17,7218000,24.971006
"2020-09-08",25.610001,26.1,25.309999,25.530001,5358900,24.360332
"2020-09-09",25.799999,25.855,25.141001,25.6,3077700,24.427122
"2020-09-10",25.790001,26.59,25.315001,25.4,5687200,24.236284
"2020-09-11",25.49,25.85,25.27,25.790001,3330300,24.608419
"2020-09-14",26.01,27.379999,26.01,26.959999,5575800,25.724812
"2020-09-15",27.059999,27.139999,26.469999,26.49,4964100,25.276346
"2020-09-16",26.65,27.915001,26.135,27.59,7267400,26.325949
"2020-09-17",27.08,27.73,26.889999,27.639999,4944200,26.373657
"2020-09-18",27.450001,27.764999,27.062,27.23,5310000,25.982441
"2020-09-21",26.1,26.49,25.665001,25.9,6442600,24.713377
"2020-09-22",25.91,26.27,25.120001,25.610001,5322100,24.436663
"2020-09-23",25.73,26.280001,24.969999,25.1,5876600,23.950029
"2020-09-24",24.879999,25.455,24.200001,24.77,4978500,23.635147
"2020-09-25",24.57,25.27,24.52,25.139999,3443600,23.988195
"2020-09-28",25.85,26.26,25.65,25.790001,3322000,24.608419
"2020-09-29",25.84,25.969999,25.275,25.549999,3377400,24.379412
"2020-09-30",25.68,26.615,25.549999,26.17,6467700,24.971006
"2020-10-01",26.450001,26.700001,26.112,26.65,5059800,25.429014
"2020-10-02",26.129999,27.6,25.879999,27.459999,3597400,26.201904
"2020-10-05",27.879999,28.48,27.83,28.379999,4232100,27.079752
"2020-10-06",28.85,29.030001,27.17,27.5,5768200,26.240074
"2020-10-07",27.950001,28.709999,27.889999,28.299999,3930900,27.00342
"2020-10-08",28.57,29.195,28.389999,29.15,3265700,27.814476
"2020-10-09",29.24,29.49,28.66,28.84,6596000,27.518681
"2020-10-12",29.18,29.18,28.750999,28.870001,4034800,27.547306
"2020-10-13",28.610001,28.9,28.304001,28.540001,3181600,27.232426
"2020-10-14",28.67,29.045,28.530001,28.67,2827100,27.356466
"2020-10-15",28.309999,29.139999,28.120001,29.1,2565300,27.766768
"2020-10-16",29.309999,29.865,29.209999,29.379999,3656600,28.033939
"2020-10-19",29.610001,29.985001,29.035,29.08,5454900,27.747683
"2020-10-20",28.059999,28.41,27.43,27.610001,11557000,26.345032
"2020-10-21",27.52,27.65,26.805,26.860001,6723500,25.629393
"2020-10-22",27.25,28.059999,27.02,27.959999,5012700,26.678997
"2020-10-23",28.23,28.43,27.16,27.75,7351400,26.478619
"2020-10-26",27.27,27.290001,26.370001,26.889999,5266700,25.658018
"2020-10-27",26.889999,26.997,26.219999,26.23,3668900,25.028259
"2020-10-28",25.389999,25.825001,24.875,25.17,6082600,24.016823
"2020-10-29",25.08,25.605,24.76,25.459999,4320800,24.293535
"2020-10-30",25.01,25.35,24.469999,25.02,4695300,24.081785
"2020-11-02",25.51,26.174999,25.35,25.959999,3552600,24.986534
"2020-11-03",26.74,26.950001,26.415001,26.66,3985200,25.660288
"2020-11-04",25.940001,27.309999,25.179001,26.52,6709700,25.525537
"2020-11-05",26.860001,27.66,26.83,27.48,4233300,26.449539
"2020-11-06",27.530001,27.764999,26.65,26.799999,3108400,25.795034
"2020-11-09",29.99,31,29.75,29.85,11257300,28.730667
"2020-11-10",29.870001,30.360001,29.57,29.610001,5692200,28.499666
"2020-11-11",29.74,29.805,28.549999,29.4,5649200,28.297543
"2020-11-12",28.92,29.825001,28.700001,29.110001,4225200,28.018417
"2020-11-13",29.51,30.24,29.34,30.02,4021600,28.894295
"2020-11-16",31,31.52,30.58,31.110001,6004500,29.94342
"2020-11-17",30.549999,30.76,29.555,30.57,3914600,29.42367
"2020-11-18",30.620001,31.360001,30.08,30.08,4522800,28.952044
"2020-11-19",29.799999,30.17,29.48,30.049999,3129000,28.923168
"2020-11-20",29.780001,29.870001,29.32,29.450001,4045900,28.345667
"2020-11-23",30.08,30.9,29.84,30.629999,3395700,29.481419
"2020-11-24",31.5,31.99,31.16,31.969999,5505400,30.77117
"2020-11-25",31.6,31.6,30.995001,31.379999,3173300,30.203293
"2020-11-27",31.200001,31.315001,30.860001,31.09,1351100,29.924171
"2020-11-30",31.6,31.91,30.434999,30.469999,6726500,29.327417
"2020-12-01",31.25,32.040001,31.09,31.469999,4774700,30.289919
"2020-12-02",31.4,32.465,31.030001,32.330002,4440800,31.117672
"2020-12-03",32.189999,32.73,32.049999,32.349998,3168700,31.136923
"2020-12-04",32.759998,33.040001,32.18,32.970001,4127200,31.733675
"2020-12-07",32.830002,32.950001,32.330002,32.57,4580600,31.348673
"2020-12-08",32.07,32.52,31.872999,32.389999,3837000,31.175425
"2020-12-09",32.549999,32.849998,32.049999,32.349998,4979700,31.136923
"2020-12-10",32.299999,33.105,31.889999,32.98,4741100,31.743298
"2020-12-11",32.610001,32.700001,32.007999,32.27,4805200,31.059921
"2020-12-14",32.75,32.779999,31.639999,31.91,3039000,30.713419
"2020-12-15",32.349998,32.759998,31.700001,32.73,4375000,31.502672
"2020-12-16",32.919998,33.099998,32.285,32.959999,3083900,31.724043
"2020-12-17",33.09,33.330002,32.810001,33.299999,3047000,32.051296
"2020-12-18",33.209999,33.25,32.169998,32.349998,8973900,31.136923
"2020-12-21",32.700001,33.884998,32.310001,33.380001,6644700,32.128296
"2020-12-22",33.509998,33.935001,33.240002,33.259998,3663400,32.012794
"2020-12-23",33.599998,34.400002,33.535,34.130001,2976300,32.850174
"2020-12-24",34.200001,34.200001,33.610001,33.959999,844400,32.68655
"2020-12-28",34.169998,34.52,33.950001,33.950001,1903000,32.676926
"2020-12-29",34.07,34.209999,33.450001,33.93,2217000,32.657673
"2020-12-30",34,34.650002,33.93,34.290001,2617500,33.004177
"2020-12-31",34.209999,34.779999,34.099998,34.709999,2331600,33.408428
"2021-01-04",35,35.040001,34.07,34.139999,6207600,32.859802
"2021-01-05",34.25,34.98,34.195,34.77,5154200,33.466179
"2021-01-06",35.540001,37.349998,35.16,36.880001,10200000,35.497055
"2021-01-07",37.290001,37.43,36.389999,36.709999,8355600,35.333427
