"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"2020-07-01",34.529999,35.560001,34.009998,35.060001,2926200,34.043396
"2020-07-02",35.720001,36.139999,35.16,35.34,1441200,34.315277
"2020-07-06",36,36.290001,35.150002,35.66,1564500,34.625999
"2020-07-07",35.16,35.349998,34.650002,34.66,2008800,33.654995
"2020-07-08",34.799999,35.119999,34.400002,34.740002,2131200,33.732677
"2020-07-09",34.52,34.630001,33.18,33.25,2151200,32.285881
"2020-07-10",33.360001,34.700001,33.220001,34.66,1506700,33.654995
"2020-07-13",34.619999,34.740002,33.669998,34.32,2087000,33.324856
"2020-07-14",34.060001,35.220001,33.709999,35.080002,1805600,34.06282
"2020-07-15",35.830002,36.580002,35.580002,35.77,2148700,34.732811
"2020-07-16",35.669998,36.450001,35.48,36.07,1213200,35.024113
"2020-07-17",36.009998,36.400002,35.669998,36.080002,1492100,35.033821
"2020-07-20",35.919998,35.919998,34.790001,35,1856900,33.985142
"2020-07-21",35.310001,36.240002,35.310001,35.849998,1816000,34.81049
"2020-07-22",35.599998,35.990002,35.27,35.799999,1422900,34.761944
"2020-07-23",35.740002,36.77,35.669998,36.549999,1922600,35.490196
"2020-07-24",36.400002,36.75,36.240002,36.490002,1574500,35.431931
"2020-07-27",36.330002,36.490002,35.799999,36.150002,1613800,35.101795
"2020-07-28",36,36.84,36,36.32,2112900,35.266865
"2020-07-29",36.509998,36.93,36.02,36.73,2572800,35.664974
"2020-07-30",38.419998,39.02,37.130001,37.439999,4293000,36.354385
"2020-07-31",37.529999,38.310001,36.98,37.52,4405800,36.432068
"2020-08-03",37.540001,37.560001,36.68,36.810001,1759200,35.742657
"2020-08-04",36.779999,37.240002,36.599998,36.75,1562900,35.684395
"2020-08-05",37.080002,37.279999,36.330002,36.529999,1630200,35.470772
"2020-08-06",36.169998,36.759998,36.110001,36.57,1580200,35.509613
"2020-08-07",36.259998,37.32,36.259998,37.27,1428200,36.189316
"2020-08-10",37.419998,37.950001,37.400002,37.900002,1744500,36.801052
"2020-08-11",38.720001,39.240002,38.110001,38.209999,1841600,37.102058
"2020-08-12",38.73,39.09,38.16,38.43,1703100,37.315681
"2020-08-13",38.130001,38.419998,37.599998,37.810001,1071200,36.713657
"2020-08-14",37.459999,38.07,37.360001,37.68,900400,36.587429
"2020-08-17",37.639999,38.080002,37.259998,37.740002,1625500,36.645687
"2020-08-18",37.810001,38.009998,37.389999,37.759998,1051000,36.665104
"2020-08-19",37.880001,38.299999,37.650002,37.849998,1140300,36.752499
"2020-08-20",37.5,37.73,37.130001,37.16,987500,36.082504
"2020-08-21",36.970001,37.02,36.220001,36.799999,1812800,35.732944
"2020-08-24",36.98,38.040001,36.68,38.02,1050200,36.917564
"2020-08-25",38.25,38.419998,37.610001,37.619999,929100,36.529163
"2020-08-26",37.619999,37.990002,37.220001,37.5,856700,36.412647
"2020-08-27",37.540001,38.279999,37.439999,37.57,868100,36.480614
"2020-08-28",37.77,37.990002,37.43,37.889999,1274100,36.791336
"2020-08-31",37.689999,37.93,37.48,37.639999,1905400,36.548588
"2020-09-01",37.450001,37.470001,36.689999,37.009998,1865800,35.936852
"2020-09-02",37.169998,38.029999,37.040001,37.919998,1582900,36.820465
"2020-09-03",38.299999,38.709999,37.619999,38,2338900,36.898151
"2020-09-04",38.209999,38.59,37.59,38.32,1639600,37.20887
"2020-09-08",38.23,38.450001,37.529999,37.759998,1820700,36.665104
"2020-09-09",38,38.400002,37.490002,37.52,2424900,36.432068
"2020-09-10",37.77,37.77,35.459999,35.599998,3361400,34.567741
"2020-09-11",35.599998,35.630001,34.59,35.09,2807000,34.072525
"2020-09-14",35.330002,35.509998,34.900002,35.009998,1690200,33.994846
"2020-09-15",34.75,34.939999,33.919998,34.290001,3739000,33.295727
"2020-09-16",34.689999,35.25,34.5,34.560001,2471700,33.557896
"2020-09-17",34.470001,35.099998,33.959999,35.060001,2122300,34.043396
"2020-09-18",34.990002,35.240002,34.09,34.310001,4989300,33.315144
"2020-09-21",33.869999,33.98,33.080002,33.59,3717000,32.616016
"2020-09-22",33.529999,33.970001,33.509998,33.73,2191500,32.751965
"2020-09-23",33.869999,34.169998,33.080002,33.080002,2822100,32.120811
"2020-09-24",32.970001,33.279999,32.110001,33.049999,3589200,32.091682
"2020-09-25",32.869999,33.200001,32.189999,32.650002,2355100,31.703279
"2020-09-28",33.25,33.66,32.849998,33.580002,1834800,32.606316
"2020-09-29",34.75,35.25,33.529999,33.529999,3774700,32.557762
"2020-09-30",33.650002,33.869999,33.16,33.560001,2426900,32.586895
"2020-10-01",33.5,33.610001,32.630001,32.779999,3057500,31.829506
"2020-10-02",32.490002,34.25,32.349998,34.040001,2840400,33.052971
"2020-10-05",34.25,34.98,33.82,34.950001,2623900,33.936588
"2020-10-06",35.330002,35.970001,34.880001,34.919998,2290400,33.907455
"2020-10-07",35.630001,36.540001,35.509998,35.68,2948800,34.64542
"2020-10-08",35.810001,36.91,35.580002,36.799999,2278800,35.732944
"2020-10-09",36.799999,37.060001,36.009998,36.110001,1649100,35.062954
"2020-10-12",36.009998,36.240002,35.150002,35.650002,5442300,34.616291
"2020-10-13",35.5,35.669998,35.25,35.34,1904400,34.315277
"2020-10-14",35.200001,35.599998,35.16,35.400002,1468800,34.373543
"2020-10-15",35.009998,35.619999,34.639999,35.57,1897200,34.538609
"2020-10-16",35.5,35.84,35.23,35.400002,1547600,34.373543
"2020-10-19",35.459999,35.669998,34.549999,34.720001,1475800,33.713257
"2020-10-20",35.060001,35.259998,34.389999,34.700001,1434200,33.69384
"2020-10-21",34.41,34.970001,34.110001,34.59,1863900,33.587025
"2020-10-22",34.580002,35.380001,34.240002,35.299999,1481700,34.27644
"2020-10-23",35.959999,36.200001,35.349998,35.68,1246300,34.64542
"2020-10-26",35.459999,35.459999,34.419998,34.880001,1528100,33.868618
"2020-10-27",34.529999,34.740002,33.759998,33.810001,1961700,32.829643
"2020-10-28",33.23,33.5,32.619999,32.91,3257500,31.955738
"2020-10-29",33.150002,34.470001,32.540001,33.380001,5140000,32.412109
"2020-10-30",33.41,35.299999,33.41,35.259998,5588200,34.237598
"2020-11-02",35.5,37.560001,35.009998,37.549999,4932300,36.461201
"2020-11-03",37.98,38.990002,37.810001,38.68,4030000,37.55843
"2020-11-04",38.060001,38.110001,36.52,37.290001,5643400,36.208736
"2020-11-05",38.169998,38.639999,37.57,38.25,2899000,37.1409
"2020-11-06",38.299999,38.66,38.080002,38.32,2122600,37.20887
"2020-11-09",41.200001,42.490002,40.41,41.16,4294900,39.966522
"2020-11-10",41.540001,43.130001,40.84,42.799999,3365900,41.55896
