"","TECH.Open","TECH.High","TECH.Low","TECH.Close","TECH.Volume","TECH.Adjusted"
"2020-07-01",263.600006,268,260.820007,266.01001,193700,264.178528
"2020-07-02",266.170013,272.890015,264.899994,269.179993,131800,267.326691
"2020-07-06",273.109985,275.25,268.149994,269.850006,210000,267.992126
"2020-07-07",267.929993,272.529999,266.73999,266.75,124000,264.913422
"2020-07-08",268.299988,275.679993,268.299988,274.01001,136300,272.123474
"2020-07-09",274.450012,279.049988,270.549988,277.369995,162800,275.460297
"2020-07-10",278.200012,278.529999,271.540009,272.399994,135900,270.524536
"2020-07-13",275.23999,277.25,262.230011,263.130005,198600,261.31839
"2020-07-14",263.549988,267.170013,257.329987,266.670013,225000,264.834045
"2020-07-15",267.190002,274.369995,266.549988,274.299988,179000,272.411438
"2020-07-16",274.290009,275.660004,270.149994,272.670013,155200,270.792694
"2020-07-17",273.399994,281.079987,273.399994,279.76001,196000,277.833893
"2020-07-20",282.100006,286.679993,279.390015,282.959991,141400,281.011841
"2020-07-21",284.709991,285.100006,276.119995,276.959991,160400,275.053131
"2020-07-22",278.769989,281.089996,274.019989,275.929993,154800,274.030212
"2020-07-23",277.589996,280.209991,271.98999,273.420013,95400,271.537476
"2020-07-24",271.779999,271.859985,267.570007,270.070007,72000,268.210602
"2020-07-27",272.059998,277.630005,269.470001,276.799988,140300,274.894226
"2020-07-28",277.640015,278.76001,270.5,270.679993,80100,268.816345
"2020-07-29",271.649994,277.529999,271.649994,274.350006,92600,272.46109
"2020-07-30",272.410004,278.040009,272.399994,276.869995,108100,274.963715
"2020-07-31",277.619995,283.559998,271.549988,275.160004,252300,273.265472
"2020-08-03",278.450012,284,276.859985,278.869995,252100,276.950012
"2020-08-04",284.51001,284.51001,259.950012,276.890015,442600,274.983643
"2020-08-05",278.98999,278.98999,266.779999,267.869995,190900,266.025757
"2020-08-06",270.470001,271.209991,262.339996,266.549988,122000,264.714783
"2020-08-07",265.73999,270.049988,262.660004,265.76001,99400,263.930267
"2020-08-10",265.029999,265.839996,257.25,257.899994,111200,256.124359
"2020-08-11",258.76001,264.149994,257.5,261.820007,182200,260.017365
"2020-08-12",263.160004,265.299988,261.529999,263.420013,103400,261.606354
"2020-08-13",263.149994,267.839996,262,266.290009,111400,264.456635
"2020-08-14",265.519989,265.73999,258.730011,261.029999,99600,259.232819
"2020-08-17",261.790009,268.709991,261.119995,262.709991,114300,261.221466
"2020-08-18",262.519989,264.149994,261.549988,262.429993,67300,260.943054
"2020-08-19",262.529999,263.890015,259.209991,260.049988,90700,258.576538
"2020-08-20",259.23999,260.230011,257.649994,258.440002,105200,256.975677
"2020-08-21",258.940002,259,255.210007,257.820007,157300,256.359192
"2020-08-24",259.410004,259.410004,249.779999,250.330002,131600,248.911621
"2020-08-25",250.949997,253.729996,250.050003,250.919998,163000,249.498276
"2020-08-26",250.710007,253.580002,248.699997,252.770004,217800,251.337814
"2020-08-27",253.789993,254.050003,247.210007,253.039993,149300,251.606262
"2020-08-28",253.380005,254.570007,249.419998,253.039993,132500,251.606262
"2020-08-31",253.039993,257.220001,252.800003,255.460007,133800,254.012543
"2020-09-01",257.809998,259.519989,253.100006,257.440002,230400,255.981339
"2020-09-02",258.160004,262.25,255.149994,261.570007,146100,260.087921
"2020-09-03",258.859985,259.600006,247.449997,250.660004,258400,249.239761
"2020-09-04",251.330002,254.660004,243,246.220001,152400,244.824905
"2020-09-08",242.800003,249.360001,241.710007,245.539993,276800,244.148758
"2020-09-09",248.729996,254.660004,247.520004,250.029999,152900,248.613312
"2020-09-10",249.899994,253.039993,246.089996,246.320007,100800,244.924347
"2020-09-11",247.990005,248.630005,243.490005,243.75,97900,242.368896
"2020-09-14",246.320007,250.369995,244.059998,247.339996,106300,245.938568
"2020-09-15",249.899994,251.309998,244.559998,245.610001,139700,244.218353
"2020-09-16",246.570007,247.029999,244.179993,244.600006,93000,243.214081
"2020-09-17",242.100006,247.039993,240.279999,245.229996,195100,243.840515
"2020-09-18",247.229996,247.5,240.929993,243.899994,386800,242.518036
"2020-09-21",240.699997,241.990005,235.75,237.699997,155500,236.35318
"2020-09-22",237.869995,243.259995,235.639999,243.240005,169000,241.861786
"2020-09-23",243.869995,248.210007,240.440002,242.990005,191700,241.613205
"2020-09-24",241.990005,243.600006,228.669998,232.220001,310300,230.904236
"2020-09-25",232.960007,242.25,230.350006,241.740005,313100,240.370285
"2020-09-28",244,247.229996,242.029999,243.740005,106100,242.358978
"2020-09-29",244.089996,249.589996,242.899994,246.759995,168900,245.361847
"2020-09-30",249.25,249.580002,245.399994,247.729996,235600,246.326355
"2020-10-01",247.589996,251.990005,246.710007,248.710007,202200,247.300797
"2020-10-02",246,248.770004,245.830002,246.899994,152800,245.501038
"2020-10-05",247.869995,252.470001,247.869995,252.169998,213800,250.74118
"2020-10-06",253,258.619995,252.130005,256.190002,161700,254.738419
"2020-10-07",257.440002,264.890015,256.059998,263.940002,175800,262.44455
"2020-10-08",263.630005,264.720001,260.179993,261.899994,152500,260.416077
"2020-10-09",264,265.570007,261.040009,265.079987,141300,263.578064
"2020-10-12",267.529999,269.450012,264.160004,268.540009,74100,267.018494
"2020-10-13",268.470001,271.279999,266.5,269.579987,150600,268.052521
"2020-10-14",270.329987,272.640015,266.570007,268.869995,108000,267.346588
"2020-10-15",266.540009,267.809998,264.470001,265.559998,153700,264.055359
"2020-10-16",267.070007,270.660004,264.869995,265.670013,133800,264.164734
"2020-10-19",266.630005,269.290009,263.589996,264.579987,156600,263.080902
"2020-10-20",265.339996,267.640015,263.73999,264.48999,108900,262.991364
"2020-10-21",265.26001,268.570007,261.5,261.799988,142400,260.31662
"2020-10-22",261.179993,269.980011,261.179993,269.660004,170800,268.132111
"2020-10-23",270.980011,270.98999,266.609985,268.459991,126600,266.938904
"2020-10-26",266.040009,267.720001,262.279999,264.549988,130400,263.051086
"2020-10-27",265.559998,268.73999,264.929993,266.200012,134300,264.691711
"2020-10-28",263.26001,263.26001,257.339996,257.649994,131000,256.190155
"2020-10-29",257.679993,257.679993,252.009995,255.690002,175700,254.241257
"2020-10-30",254.419998,257.850006,250.240005,252.410004,166900,250.979843
"2020-11-02",255.210007,261.640015,254.059998,260,134800,258.526825
"2020-11-03",262.380005,268.339996,262.380005,266.339996,108800,264.830902
"2020-11-04",272.339996,277.100006,264.049988,267.160004,218300,265.646301
"2020-11-05",280,306.130005,277.5,304.600006,508400,302.874115
"2020-11-06",295.119995,306,294.399994,302.470001,235000,300.756195
"2020-11-09",310,316.869995,303.470001,304.200012,228700,302.476379
"2020-11-10",300.179993,307.959991,292.26001,300.279999,190900,298.578613
"2020-11-11",303.049988,308.320007,303.049988,306.450012,164600,304.713684
"2020-11-12",305.339996,306.5,301.089996,303.529999,131700,301.810211
"2020-11-13",305.980011,307.190002,302.089996,302.850006,88400,301.451874
