"","TEL.Open","TEL.High","TEL.Low","TEL.Close","TEL.Volume","TEL.Adjusted"
"2020-07-01",81.830002,81.949997,79.669998,80.059998,1469600,77.596336
"2020-07-02",81.400002,82.300003,80.599998,80.879997,1164100,78.39109
"2020-07-06",82.620003,83.339996,82.010002,82.5,927100,79.961235
"2020-07-07",81.660004,82.129997,80.760002,80.830002,1377400,78.342636
"2020-07-08",81.330002,81.599998,79.339996,80.089996,1514700,77.625397
"2020-07-09",80,80.160004,78.160004,79.059998,1599200,76.627098
"2020-07-10",78.699997,79.760002,78.489998,78.769997,2293900,76.346016
"2020-07-13",79.919998,81.169998,79.589996,79.790001,1760500,77.334641
"2020-07-14",79,81.559998,78.360001,81.470001,1796600,78.962944
"2020-07-15",83.269997,85.610001,83.120003,85.489998,2044000,82.859222
"2020-07-16",84.610001,85.470001,84.160004,84.720001,1632700,82.112923
"2020-07-17",84.879997,86.089996,84.300003,85.580002,2065800,82.946465
"2020-07-20",84.980003,85.389999,83.800003,85.199997,1316200,82.57814
"2020-07-21",87.650002,88.029999,85.900002,86.139999,1384100,83.489227
"2020-07-22",86.870003,87.550003,86.419998,86.779999,1032900,84.109528
"2020-07-23",86.480003,88.330002,86.220001,88.309998,1849100,85.592453
"2020-07-24",87.720001,87.940002,86.760002,87.269997,2176000,84.584457
"2020-07-27",87.839996,90.129997,86.959999,89.940002,1496500,87.172287
"2020-07-28",88.949997,89.349998,86.870003,86.910004,2363800,84.235542
"2020-07-29",84.949997,90.989998,84.160004,89.889999,2335200,87.123833
"2020-07-30",89.510002,89.910004,87.919998,89.199997,2214200,86.455048
"2020-07-31",88.760002,89.169998,87.459999,89.07,1777500,86.329063
"2020-08-03",89.410004,90.150002,88.940002,89.790001,1206600,87.026909
"2020-08-04",89.699997,91.07,89.389999,91.07,1878300,88.267525
"2020-08-05",91.629997,92.519997,91.459999,92.239998,1373200,89.40152
"2020-08-06",91.459999,92.169998,91.370003,91.709999,1113500,88.887833
"2020-08-07",91.120003,92.43,91.120003,92.419998,1032200,89.575966
"2020-08-10",92.550003,94.389999,92.529999,94.25,1168600,91.349655
"2020-08-11",95.860001,96.949997,94.790001,95.040001,2124900,92.115334
