"","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"2020-07-01",84.699997,84.790001,82.809998,82.910004,1422400,82.325668
"2020-07-02",84,85.720001,83.669998,84.580002,1609700,83.983887
"2020-07-06",86.919998,89.580002,86.199997,88.129997,1793600,87.508873
"2020-07-07",87.779999,88.879997,86.300003,86.339996,1994800,85.731483
"2020-07-08",87.459999,88.449997,86.620003,87.75,1724300,87.131546
"2020-07-09",88.279999,89.269997,87.129997,88.459999,1440700,87.83654
"2020-07-10",88.5,88.849998,85.879997,87.379997,2076700,86.764153
"2020-07-13",88.449997,90.699997,86.809998,86.849998,2280500,86.237885
"2020-07-14",83.519997,86.639999,82.910004,86.610001,2584600,85.999596
"2020-07-15",87.169998,87.169998,84.690002,86.529999,1590700,85.920151
"2020-07-16",85.160004,86.529999,84.870003,86.099998,1096600,85.493187
"2020-07-17",86.269997,86.629997,85.610001,86.419998,1031700,85.810928
"2020-07-20",86.949997,89.860001,86.419998,89.739998,1575300,89.107521
"2020-07-21",89.739998,90.379997,88.410004,89.720001,3341400,89.087662
"2020-07-22",89.239998,90.230003,86.489998,89.489998,3475300,88.859291
"2020-07-23",89.769997,90.650002,84.379997,86.099998,2763800,85.493187
"2020-07-24",84.18,84.970001,82.739998,83.529999,2253100,82.941292
"2020-07-27",84.989998,88.900002,84.360001,88.32,3006300,87.69754
"2020-07-28",87.339996,88.050003,86.239998,87,2203300,86.386833
"2020-07-29",87.75,89.82,87.629997,88.769997,2317700,88.144363
"2020-07-30",87.709999,88.75,86.230003,88.610001,1451100,87.985489
"2020-07-31",88.470001,89.029999,86.18,88.959999,2330700,88.333015
"2020-08-03",89.459999,91.309998,89.459999,90.260002,1746900,89.623856
"2020-08-04",90.25,90.389999,88.480003,89.529999,1126400,88.899002
"2020-08-05",89.760002,90.870003,89.349998,90.650002,3476500,90.011124
"2020-08-06",91,92.239998,89.529999,90.860001,1675000,90.219627
"2020-08-07",90.300003,90.970001,85.639999,87.57,2315100,86.952812
"2020-08-10",87.75,88.43,86.080002,87.099998,1418400,86.48613
"2020-08-11",86.849998,88,86.050003,86.269997,1525300,85.661987
"2020-08-12",87.269997,89.93,86.360001,89.650002,1310000,89.018166
"2020-08-13",90,90.870003,88.900002,89.980003,996800,89.345825
"2020-08-14",90.269997,93.440002,89.650002,90.059998,1314600,89.425278
"2020-08-17",91,92.480003,90.279999,91.980003,929400,91.331726
"2020-08-18",92.480003,92.650002,90.040001,91.230003,1133100,90.587029
"2020-08-19",91.620003,92.279999,90.089996,90.239998,840800,89.603996
"2020-08-20",89,89.230003,88.019997,88.730003,1181400,88.104645
"2020-08-21",88.580002,88.580002,87.519997,88,1258300,87.379784
"2020-08-24",88.970001,89.860001,88.269997,89.089996,829900,88.462105
"2020-08-25",89.510002,90.339996,89.160004,90.309998,1157900,89.673508
"2020-08-26",90.220001,90.360001,89.040001,89.870003,830200,89.23661
"2020-08-27",89.980003,90.290001,84.779999,84.779999,2163000,84.18248
"2020-08-28",85.440002,85.900002,84.360001,85.730003,2035200,85.125786
"2020-08-31",86.080002,86.260002,84.279999,84.970001,1611400,84.371132
"2020-09-01",86,87.110001,84.940002,85.349998,1373600,84.748466
"2020-09-02",86.540001,88.529999,85.620003,88.370003,1642400,87.850128
"2020-09-03",86.690002,87.43,81.540001,81.93,2570600,81.44799
"2020-09-04",79.260002,81.620003,75.459999,78.599998,4216300,78.137581
"2020-09-08",76.150002,78.160004,75.199997,75.529999,4308000,75.085648
"2020-09-09",77.5,78.18,76.349998,76.870003,2957400,76.41777
"2020-09-10",77.959999,78.230003,74.949997,75.440002,3245600,74.996178
"2020-09-11",76,76.599998,74.080002,74.919998,1653300,74.479233
"2020-09-14",76.489998,77.050003,75.43,76.82,1921000,76.368057
"2020-09-15",77.459999,77.839996,76.269997,77.199997,1447500,76.745819
"2020-09-16",77.519997,78.419998,76.099998,76.330002,1868700,75.880936
"2020-09-17",75,77.709999,74.199997,77.639999,1739700,77.183235
"2020-09-18",78.220001,78.68,75.43,76.370003,30212400,75.920708
"2020-09-21",74.970001,77,74.5,76.919998,1981900,76.467476
"2020-09-22",77.559998,77.559998,75.199997,76.559998,1784900,76.109581
"2020-09-23",76.860001,78.07,75.129997,75.410004,2092600,74.966347
"2020-09-24",74.709999,77.599998,74.709999,76.300003,2206500,75.851128
"2020-09-25",76.339996,78.099998,75.410004,77.720001,1740600,77.262764
"2020-09-28",78.660004,79.529999,77.57,79.199997,1831800,78.734062
"2020-09-29",79.519997,80.669998,79.489998,79.860001,1168500,79.390175
"2020-09-30",79.330002,80.400002,78.809998,79.459999,1804000,78.992523
"2020-10-01",80.839996,81.650002,80.370003,81.300003,1200800,80.821709
"2020-10-02",78.75,79.889999,78.309998,78.620003,1033500,78.157478
"2020-10-05",79.5,81.309998,79.480003,81.230003,1310400,80.752121
"2020-10-06",81.269997,83.139999,80.57,81.110001,1169000,80.63282
"2020-10-07",82.349998,83.32,81.839996,82.290001,1242900,81.805878
"2020-10-08",82.599998,83.379997,82.169998,82.480003,1137300,81.994766
"2020-10-09",85.360001,86.839996,84.610001,86.099998,1766600,85.593468
"2020-10-12",87.260002,87.529999,85.790001,86.629997,2069800,86.120346
"2020-10-13",87,88.639999,86.129997,87.629997,1142600,87.114464
"2020-10-14",87.559998,88.849998,86.779999,86.93,967100,86.418579
"2020-10-15",84.860001,87.610001,84.279999,87.290001,1096100,86.776466
"2020-10-16",88.190002,88.330002,86.370003,86.589996,1032300,86.080582
"2020-10-19",87.720001,88.800003,86.050003,86.669998,1468800,86.16011
"2020-10-20",87.68,88.879997,87.519997,87.940002,2818000,87.422638
"2020-10-21",88,93.169998,88,92.07,3533800,91.528343
"2020-10-22",92.75,92.75,89.400002,90.940002,2175600,90.404999
"2020-10-23",91.220001,92.459999,91.010002,92,1166400,91.458755
"2020-10-26",90.580002,91.620003,88.309998,89.589996,1257600,89.062935
"2020-10-27",89.830002,89.830002,86.860001,87.459999,1474900,86.945473
"2020-10-28",85.739998,86.870003,85,85.540001,1185900,85.036758
"2020-10-29",85.529999,89.339996,85.080002,88.540001,1615700,88.019112
"2020-10-30",86.809998,88.150002,86.089996,87.849998,1581500,87.333168
"2020-11-02",88.5,90.510002,88.25,89.699997,1842300,89.172287
"2020-11-03",90.669998,91.709999,89.300003,89.830002,1082400,89.301529
"2020-11-04",92.440002,96.43,90.940002,95.849998,2561400,95.286102
"2020-11-05",97.379997,100.349998,97.040001,99.32,1918000,98.735695
"2020-11-06",98.830002,100.739998,98,100.260002,1506600,99.670158
"2020-11-09",104.940002,105.620003,101.279999,101.529999,2213900,100.932686
"2020-11-10",102,102.07,97.480003,98.150002,1975800,97.572578
"2020-11-11",99.639999,101.669998,99.480003,101.18,1683400,100.584747
"2020-11-12",102.129997,102.129997,99.809998,100.480003,1274500,99.88887
"2020-11-13",102.199997,103.199997,101,102.290001,1062500,101.688217
"2020-11-16",102.919998,107.239998,102.669998,107.18,1763900,106.549446
"2020-11-17",106.720001,106.720001,104.879997,105.910004,1258400,105.286926
"2020-11-18",105.980003,106.440002,104.760002,104.82,1186100,104.203339
"2020-11-19",104.809998,106.629997,104.510002,106.470001,1048100,105.843636
"2020-11-20",106.730003,107.93,106.120003,106.330002,1376300,105.704453
"2020-11-23",106.349998,108.650002,106.349998,108.32,1192200,107.682755
"2020-11-24",109.480003,109.5,107.169998,108.989998,1664600,108.448929
"2020-11-25",109.5,110.029999,108.199997,108.339996,1373100,107.802139
"2020-11-27",109.629997,110.830002,109.07,109.400002,849200,108.856888
"2020-11-30",109.940002,110.639999,108.040001,110.339996,1560400,109.792221
"2020-12-01",111.260002,115.940002,111.199997,115.120003,2175000,114.548485
"2020-12-02",114.5,114.949997,112.849998,113.959999,1386100,113.394249
"2020-12-03",115.010002,117.220001,113.580002,113.739998,1700200,113.175331
"2020-12-04",114.830002,116.279999,114,116.029999,1167700,115.453972
"2020-12-07",116.550003,117.32,114.769997,117.160004,1341500,116.578369
"2020-12-08",116.910004,118.959999,116.540001,118.669998,1113700,118.080872
"2020-12-09",118.059998,118.220001,113.150002,114.019997,1555100,113.453949
"2020-12-10",114.010002,116.139999,112.279999,115.68,1619700,115.105713
"2020-12-11",114.43,116.129997,112.949997,115.370003,1171300,114.797249
"2020-12-14",116.620003,118.209999,115.830002,117.18,1279400,116.598267
"2020-12-15",117.989998,120.760002,117.5,120.440002,1536200,119.842079
"2020-12-16",119.449997,120.839996,118.589996,119.769997,1671800,119.1754
"2020-12-17",121,122.370003,118.959999,119.349998,1611400,118.757484
"2020-12-18",119.339996,121.089996,118.830002,120.589996,2703600,119.991333
"2020-12-21",117.830002,120.160004,117.669998,119.730003,1319300,119.135605
"2020-12-22",119.730003,120.129997,118.150002,118.57,1662100,117.981361
"2020-12-23",119.07,119.290001,117.199997,117.260002,928400,116.677872
"2020-12-24",117.690002,118.900002,116.830002,118.879997,421400,118.289825
"2020-12-28",120.080002,120.220001,117.43,117.730003,735300,117.145538
"2020-12-29",118.919998,119.07,116.400002,117.199997,957200,116.618156
"2020-12-30",118.25,120.720001,118.010002,120.290001,793000,119.692818
"2020-12-31",120.120003,120.709999,118.370003,119.889999,699700,119.294815
"2021-01-04",121.879997,123.449997,118.099998,119.190002,1391400,118.598289
"2021-01-05",118.550003,121.519997,118.379997,121.489998,1083200,120.886871
"2021-01-06",120.690002,124.849998,120.209999,122.410004,1662500,121.802307
"2021-01-07",124.370003,130.740005,124.260002,129.910004,2117800,129.265076
"2021-01-08",132.860001,133.479996,130.440002,132.149994,1340800,131.493958
"2021-01-11",131.990005,136.449997,130.520004,135.699997,2108600,135.026321
"2021-01-12",136.380005,139.529999,136.050003,137.089996,1478900,136.409409
"2021-01-13",136.559998,137.339996,135.350006,136.020004,1452800,135.344742
"2021-01-14",138.210007,139.550003,136.679993,138.389999,1563000,137.702957
"2021-01-15",138,138.580002,134.770004,137.300003,1733900,136.618362
"2021-01-19",139.229996,141.570007,139.029999,140.630005,1875000,139.931854
"2021-01-20",143.279999,143.399994,137.889999,138.610001,1955900,137.921875
"2021-01-21",140.779999,141.410004,138.75,140.240005,1301600,139.543793
"2021-01-22",139.350006,140.410004,137.330002,137.949997,1357100,137.265152
"2021-01-25",140.479996,141.789993,137.669998,140.110001,1364200,139.414429
"2021-01-26",140.699997,141.050003,138.070007,138.100006,1249800,137.414429
"2021-01-27",135.399994,135.509995,129.399994,130.110001,2360400,129.464081
"2021-01-28",123.709999,124,119.610001,119.940002,4093700,119.344566
"2021-01-29",119.720001,119.720001,113.040001,113.480003,4974800,112.916634
"2021-02-01",116.5,117.919998,114,117.550003,3083000,116.966423
"2021-02-02",121.5,121.790001,118.610001,121.610001,4276000,121.006271
"2021-02-03",123.470001,124.010002,120.010002,120.57,2495600,119.971443
"2021-02-04",122.18,125.620003,120.949997,125.519997,1882000,124.896851
"2021-02-05",127.230003,128.149994,124.809998,126.120003,1936200,125.493889
"2021-02-08",127.970001,129.639999,126.5,129.089996,1594000,128.449142
"2021-02-09",128.229996,129.660004,126.709999,128.270004,2134100,127.633217
"2021-02-10",129.570007,131.479996,127.279999,128.710007,1816200,128.071014
"2021-02-11",129.089996,135.399994,129.089996,135.039993,1834600,134.369583
"2021-02-12",135.389999,143.779999,135.039993,142.410004,2391500,141.703018
"2021-02-16",145.789993,147.899994,142.779999,143.639999,2341500,142.92691
