"","TFX.Open","TFX.High","TFX.Low","TFX.Close","TFX.Volume","TFX.Adjusted"
"2020-07-01",363.970001,375,363.970001,368.929993,287000,366.075195
"2020-07-02",372.049988,373.720001,367.5,368.149994,191500,365.3013
"2020-07-06",373.940002,374.980011,367.630005,368.149994,219300,365.3013
"2020-07-07",364.869995,367.940002,360.01001,360.690002,188500,357.898956
"2020-07-08",360.890015,363.579987,357.959991,360.26001,169500,357.472351
"2020-07-09",358.570007,360.589996,352.149994,356.959991,200900,354.197815
"2020-07-10",357.850006,358.980011,351.640015,354.779999,117300,352.034698
"2020-07-13",358.089996,362.529999,349.350006,350.23999,247300,347.529846
"2020-07-14",349.290009,363.029999,349.290009,362.350006,166300,359.546143
"2020-07-15",365.579987,377.670013,365.579987,374.410004,145000,371.512878
"2020-07-16",373.51001,374.640015,366.100006,369.940002,100900,367.077454
"2020-07-17",372.519989,383.98999,371.649994,381.880005,162900,378.924988
"2020-07-20",381.859985,385.76001,380.429993,384.799988,133100,381.822388
"2020-07-21",385,387.880005,382.390015,385.380005,127400,382.397888
"2020-07-22",385.690002,390.980011,383.109985,389.410004,157900,386.396759
"2020-07-23",390.549988,395.420013,387.170013,388.839996,111200,385.831146
"2020-07-24",387.869995,389.25,382.309998,387.660004,142600,384.660309
"2020-07-27",386.350006,387.579987,383.049988,385,182700,382.020874
"2020-07-28",386.519989,387.920013,382.119995,384.670013,221700,381.693481
"2020-07-29",387.369995,405.070007,387.369995,400.98999,250600,397.887146
"2020-07-30",392.950012,393,365.850006,385.170013,307800,382.189575
"2020-07-31",383.290009,384.329987,368,373.100006,245600,370.212982
"2020-08-03",373.769989,376.329987,370.700012,373.649994,180200,370.758698
"2020-08-04",373.380005,375.25,364.440002,368.26001,254800,365.410461
"2020-08-05",368.890015,377.170013,367.359985,374.25,276800,371.354095
"2020-08-06",374.25,374.529999,364.660004,369.570007,134700,366.710297
"2020-08-07",370.619995,376.619995,369.549988,373.5,136900,370.609894
"2020-08-10",372.429993,378.519989,371.410004,376.399994,192900,373.487396
"2020-08-11",378.5,383.5,374.679993,375.26001,152400,372.356262
"2020-08-12",378.769989,380.51001,375.429993,376.01001,209000,373.100464
"2020-08-13",374.75,383.890015,374.75,382.100006,115800,379.486481
"2020-08-14",380.450012,380.839996,376.51001,378.470001,102600,375.881287
"2020-08-17",378.660004,380.589996,374.529999,374.730011,164000,372.166901
"2020-08-18",376.850006,376.850006,371.929993,373.98999,128600,371.431915
"2020-08-19",376.690002,376.690002,371.480011,371.799988,110800,369.256897
"2020-08-20",369.609985,374.029999,367.920013,370.75,162400,368.21405
"2020-08-21",371.079987,371.769989,367.01001,371.630005,154000,369.088104
"2020-08-24",372.720001,373.73999,365.290009,370.850006,161600,368.313385
"2020-08-25",373.73999,378.790009,369.410004,377.480011,247900,374.898071
"2020-08-26",375.980011,377.420013,368,375.929993,131800,373.358643
"2020-08-27",376.290009,385.140015,374.670013,380.279999,169400,377.678864
"2020-08-28",380.01001,386.049988,376.350006,385.019989,150600,382.386505
"2020-08-31",383.019989,395.170013,383.019989,392.950012,221300,390.262268
"2020-09-01",391.309998,399.179993,390.450012,398.350006,213300,395.625336
"2020-09-02",399.26001,409.269989,395.890015,408.179993,223700,405.388092
"2020-09-03",405.799988,407.329987,390.899994,396.579987,251100,393.867371
"2020-09-04",399.76001,400.119995,384.350006,389.390015,144000,386.726624
"2020-09-08",385,389.769989,381.549988,381.940002,235800,379.327576
"2020-09-09",387.269989,395.059998,384.75,389.470001,139900,386.80603
"2020-09-10",390.290009,391.130005,377.350006,378.070007,212100,375.48407
"2020-09-11",379.660004,380.399994,367.880005,370.570007,268700,368.035339
"2020-09-14",375.290009,376.790009,371.440002,371.880005,281000,369.336365
"2020-09-15",374.649994,377.850006,369.149994,369.829987,293300,367.300354
"2020-09-16",372.670013,372.670013,353.149994,357.899994,406700,355.451996
"2020-09-17",355.769989,355.769989,344.73999,346.579987,377300,344.209412
"2020-09-18",345.600006,350.5,337.019989,337.959991,458500,335.648376
"2020-09-21",331.470001,331.470001,321.880005,326.700012,365700,324.465363
"2020-09-22",326.690002,332.890015,320.329987,331.829987,607300,329.560242
"2020-09-23",333.920013,339.480011,329.630005,330.769989,256900,328.507538
"2020-09-24",326.970001,331.570007,324.890015,329.519989,319100,327.266113
"2020-09-25",326.149994,337.920013,326.089996,335.809998,171000,333.513123
"2020-09-28",341.929993,345.950012,340.160004,341.890015,161400,339.551483
"2020-09-29",343.299988,345.630005,335.329987,335.540009,188100,333.244904
"2020-09-30",336.619995,344.540009,336.619995,340.420013,167800,338.091553
"2020-10-01",343.76001,347.940002,334.809998,337.23999,231400,334.933319
"2020-10-02",334.609985,337.869995,330.420013,335.899994,172900,333.602448
"2020-10-05",340.170013,342.339996,337.570007,339.299988,136200,336.979187
"2020-10-06",339.029999,342.73999,335.640015,336.369995,181000,334.069244
"2020-10-07",337.220001,350.459991,337.220001,348.029999,274200,345.649445
"2020-10-08",350,355.230011,348.790009,354.339996,198700,351.916351
"2020-10-09",358.429993,365.829987,354.970001,363.51001,219300,361.023651
"2020-10-12",367.399994,370.899994,360.309998,367.619995,152600,365.105469
"2020-10-13",364.970001,367.549988,361.140015,362.549988,163900,360.070129
"2020-10-14",365.970001,372.619995,362.079987,364.5,170000,362.006836
"2020-10-15",358.350006,362.730011,356.859985,361.799988,134500,359.325256
"2020-10-16",363.570007,369.25,361.76001,365.390015,201000,362.890808
"2020-10-19",367.570007,370.929993,359.369995,361.630005,315000,359.156464
"2020-10-20",363.190002,369.149994,361.299988,361.799988,217500,359.325256
"2020-10-21",361.779999,362.359985,358,359.059998,165200,356.604034
"2020-10-22",359.070007,369.359985,357.410004,368.220001,179700,365.701385
"2020-10-23",371.98999,371.98999,365.609985,366.23999,171700,363.734955
"2020-10-26",361.380005,363.059998,354.630005,357.359985,174800,354.91568
"2020-10-27",357,357.049988,350.75,351.459991,229000,349.05603
"2020-10-28",341.130005,346.329987,334.820007,335.029999,284200,332.738403
"2020-10-29",339.119995,342.410004,321.670013,326.649994,543400,324.415741
"2020-10-30",322,326.130005,312.329987,318.230011,425100,316.053314
"2020-11-02",326.380005,334.089996,312.690002,319.970001,343100,317.781433
"2020-11-03",326.359985,336.209991,325.059998,332.190002,238700,329.917786
"2020-11-04",336.570007,340.769989,328.5,328.75,375900,326.501404
"2020-11-05",335.75,346.019989,334.109985,337.269989,253300,334.963104
"2020-11-06",338.070007,340,334.179993,335.940002,185500,333.642181
"2020-11-09",357.929993,380.630005,357.910004,363.959991,523700,361.47052
"2020-11-10",361.929993,369.170013,350.769989,368.450012,324700,365.92984
"2020-11-11",370.700012,371.48999,360.019989,362.970001,224400,360.487305
"2020-11-12",358.459991,362.769989,353.899994,356.73999,105700,354.632111
"2020-11-13",358.040009,365.609985,356.329987,364.399994,142200,362.246826
"2020-11-16",366.809998,375.26001,361.209991,375.220001,269200,373.002869
"2020-11-17",374.320007,379.279999,371.25,375.5,381200,373.28125
"2020-11-18",375.179993,378.420013,369.75,370.170013,294400,367.982758
"2020-11-19",368.540009,372.549988,363.160004,372.269989,254700,370.070313
"2020-11-20",372.73999,374.519989,367.179993,370.609985,226000,368.420105
"2020-11-23",372.76001,376.019989,367.029999,373.140015,362900,370.935242
"2020-11-24",375.130005,384.709991,371.970001,381.619995,294600,379.365112
"2020-11-25",379.720001,381.519989,372.920013,373.660004,211700,371.452148
"2020-11-27",374.109985,374.410004,368.390015,371.049988,103700,368.857544
"2020-11-30",371.950012,384.700012,368.98999,382.75,518600,380.488373
"2020-12-01",384.869995,386.329987,378.450012,380.470001,295300,378.221863
"2020-12-02",379.140015,384.049988,376.880005,380.380005,260700,378.132385
"2020-12-03",379.130005,387.429993,376.450012,377.98999,191200,375.756561
"2020-12-04",375.940002,387.410004,375.940002,386.970001,173600,384.683502
"2020-12-07",386.529999,387.309998,380.720001,382.859985,141100,380.597778
"2020-12-08",379.910004,386.350006,379.910004,382.959991,139100,380.697144
"2020-12-09",383.649994,384.899994,379.079987,381.369995,204100,379.116577
"2020-12-10",380.369995,388.720001,380.369995,383.350006,218100,381.0849
"2020-12-11",381.369995,384.549988,378,383.420013,241900,381.15448
"2020-12-14",386.690002,394.940002,380.660004,380.670013,209300,378.420715
"2020-12-15",385.579987,393.73999,382.339996,392.679993,240900,390.359741
"2020-12-16",392,399.720001,390.779999,397.329987,245500,394.982239
"2020-12-17",398.359985,404.76001,395.690002,402.899994,196300,400.519318
"2020-12-18",403.019989,411.220001,399.200012,408.899994,434900,406.483917
"2020-12-21",402.480011,402.480011,391.380005,399.019989,192100,396.662292
"2020-12-22",399.109985,402.76001,396.429993,396.839996,151500,394.495148
"2020-12-23",399.660004,402.51001,397.049988,397.290009,113700,394.942505
"2020-12-24",399.320007,406.809998,396.179993,405.059998,87500,402.666626
"2020-12-28",407.420013,410.290009,404.890015,406.559998,91400,404.157684
"2020-12-29",407.869995,410.480011,405.100006,406.040009,105500,403.640778
"2020-12-30",406.26001,408.720001,404.649994,407.559998,107100,405.151855
"2020-12-31",407.23999,412.98999,403.529999,411.570007,107400,409.138123
"2021-01-04",411.100006,412.420013,397.76001,403.130005,228000,400.748047
"2021-01-05",400.790009,404.73999,399.429993,400.429993,251800,398.063904
"2021-01-06",402.549988,407.339996,401,405.029999,321900,402.636749
"2021-01-07",405.609985,407.579987,400.75,403.779999,304300,401.394165
"2021-01-08",405.660004,414.720001,405.140015,413.380005,183400,410.937439
"2021-01-11",408.559998,410.609985,401.079987,403.859985,185800,401.473663
"2021-01-12",404.679993,407.130005,395.890015,397.059998,287100,394.713837
"2021-01-13",395,399.869995,392.429993,397.75,282900,395.39975
