"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume","TGT.Adjusted"
"2020-07-01",119.910004,120.360001,118.830002,118.959999,2836400,115.313553
"2020-07-02",119.980003,120.589996,118.889999,119.120003,2216100,115.468651
"2020-07-06",120.010002,120.25,117.980003,119.239998,3766400,115.584969
"2020-07-07",118.300003,119.550003,117.809998,118.059998,3908300,114.441132
"2020-07-08",118.150002,118.5,116.730003,117.699997,2845100,114.092178
"2020-07-09",117.459999,119.309998,117.129997,117.900002,2861000,114.286041
"2020-07-10",117.82,118.980003,117.059998,118.860001,2033500,115.216629
"2020-07-13",119.379997,121.760002,118.379997,118.730003,3469700,115.090622
"2020-07-14",118.739998,120.169998,117.419998,120.080002,2578200,116.399231
"2020-07-15",121.309998,122.720001,120.010002,121.669998,3533900,117.940475
"2020-07-16",121.260002,122.989998,121.139999,121.949997,3109900,118.211891
"2020-07-17",122.639999,123.209999,121.449997,121.669998,2715500,117.940475
"2020-07-20",121.540001,121.870003,119.040001,119.82,3825900,116.147194
"2020-07-21",120.349998,120.989998,120.019997,120.199997,3195400,116.515549
"2020-07-22",120.300003,123.18,120,123.139999,3876600,119.365433
"2020-07-23",123.449997,123.599998,121.940002,122.349998,3267500,118.599648
"2020-07-24",122.540001,125.529999,122.059998,123.709999,3832900,119.917946
"2020-07-27",124.25,124.489998,122.160004,122.690002,2423400,118.92923
"2020-07-28",122.610001,124.459999,122.120003,123.290001,2337000,119.510818
"2020-07-29",123.470001,124.480003,122.900002,123.68,2095800,119.888878
"2020-07-30",122.330002,125.419998,121.82,124.580002,3606300,120.761292
"2020-07-31",124.279999,125.93,123.790001,125.879997,3267100,122.021431
"2020-08-03",126.5,128.240005,126.25,127.839996,3319200,123.921356
"2020-08-04",127.93,130.770004,127.580002,130.449997,3924500,126.451355
"2020-08-05",130.75,131.929993,128.660004,129.369995,3688800,125.404457
"2020-08-06",129.5,129.929993,128.130005,129.009995,1979900,125.055504
"2020-08-07",129.240005,131.880005,129,131.75,2303100,127.711494
"2020-08-10",132.070007,134.110001,131.25,132.940002,3002900,128.865036
"2020-08-11",133.710007,134.589996,131.350006,131.720001,3915900,127.682449
"2020-08-12",135.110001,135.110001,132.770004,134.600006,4860900,130.474167
"2020-08-13",133.990005,134.940002,133.610001,134.809998,2324800,130.677704
"2020-08-14",135.919998,137,135.220001,136.529999,3180900,132.345001
"2020-08-17",137.979996,138.690002,137.399994,138.240005,4632300,134.002594
"2020-08-18",137.009995,137.970001,134.669998,136.899994,5756800,133.359619
"2020-08-19",148.5,154.690002,146.539993,154.220001,40211800,150.231735
