"","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
"2020-07-01",363.76001,363.76001,357,359.769989,1600200,358.288086
"2020-07-02",362.049988,369.820007,362,365.890015,1127800,364.382904
"2020-07-06",370.26001,386.570007,370.01001,382.269989,1859200,380.695435
"2020-07-07",381.130005,385.73999,379.679993,380.25,1368300,378.683716
"2020-07-08",384.540009,395,382.529999,386.630005,1456800,385.037476
"2020-07-09",385.570007,391.380005,383.549988,387.670013,920200,386.073181
"2020-07-10",388.769989,391.579987,381.73999,382.570007,983600,380.994171
"2020-07-13",384.660004,390.410004,378.470001,378.929993,1052800,377.369171
"2020-07-14",378.929993,388.339996,375.140015,387.459991,869200,385.864075
"2020-07-15",392.700012,394.23999,387.850006,392.700012,1137200,391.082428
"2020-07-16",392.929993,393.51001,387.929993,392.420013,1002600,390.803619
"2020-07-17",393.820007,398.5,390.709991,395.399994,1206700,393.771362
"2020-07-20",397.899994,405.209991,397.190002,402.970001,1511200,401.31012
"2020-07-21",405.429993,409.690002,402.089996,403.089996,1486900,401.429657
"2020-07-22",409.839996,420.98999,406.5,410.76001,2283900,409.068085
"2020-07-23",418.140015,419.940002,409.109985,410.480011,1522300,408.789215
"2020-07-24",403.369995,407.290009,399.160004,406.380005,1323400,404.706116
"2020-07-27",404.399994,416.519989,404.350006,413.440002,1312700,411.73703
"2020-07-28",411.619995,414.920013,406.619995,407.359985,1107000,405.682007
"2020-07-29",410.5,414,408.200012,409.26001,1099300,407.574249
"2020-07-30",405.309998,412.700012,404.440002,410.559998,1142800,408.868896
"2020-07-31",409.019989,414.369995,407.579987,413.950012,1217900,412.244965
"2020-08-03",418.25,423.700012,417.200012,419.089996,1049400,417.36377
"2020-08-04",418.929993,418.929993,412.769989,415.720001,911300,414.007629
"2020-08-05",416.910004,420.320007,415.859985,419.899994,906100,418.17038
"2020-08-06",419.01001,420.209991,409.01001,415.730011,1229900,414.017639
"2020-08-07",414,416.859985,411.529999,414.329987,1006700,412.623383
"2020-08-10",414.109985,415.209991,408.269989,410.160004,1206100,408.470551
"2020-08-11",409.369995,410.160004,401.220001,407.23999,1337700,405.562561
"2020-08-12",408.899994,418.040009,407.23999,416.170013,1060500,414.455811
"2020-08-13",412.019989,417.649994,412.019989,416.600006,1080500,414.884064
"2020-08-14",414.709991,416.470001,410.73999,413.76001,898100,412.055725
"2020-08-17",416,419.73999,414.600006,416.799988,1225800,415.083191
"2020-08-18",417.709991,419.910004,416.329987,417.299988,1037300,415.581116
"2020-08-19",419.269989,423.399994,415.820007,420.619995,1230100,418.887451
"2020-08-20",419.829987,423.089996,418.579987,422.109985,928700,420.371338
"2020-08-21",422.890015,429.920013,421.019989,428.570007,1301300,426.804749
"2020-08-24",429.549988,432.380005,416.450012,419.76001,1201100,418.031036
"2020-08-25",420.160004,423.450012,418.309998,422.290009,963600,420.550629
"2020-08-26",421.429993,427.640015,420.649994,425.649994,945900,423.896729
"2020-08-27",409.299988,423.820007,402.670013,420.529999,2092000,418.797852
"2020-08-28",420,424.730011,415.170013,424.480011,1325000,422.731598
"2020-08-31",425.48999,433.450012,424.920013,428.980011,1557600,427.213043
"2020-09-01",432.149994,435.75,430.549988,433.730011,1489700,431.943481
"2020-09-02",434.5,441.959991,430.119995,441.059998,1221600,439.243286
"2020-09-03",438.109985,438.929993,414.48999,419.670013,1882700,417.941406
"2020-09-04",419.630005,419.970001,401.070007,409.980011,2189300,408.291321
"2020-09-08",407.98999,408.809998,401.23999,405.299988,1515200,403.630585
"2020-09-09",410.579987,422.470001,409.890015,418.320007,1665900,416.596954
"2020-09-10",423.720001,429.339996,417.910004,419.730011,1540600,418.00116
