"","TPR.Open","TPR.High","TPR.Low","TPR.Close","TPR.Volume","TPR.Adjusted"
"2020-07-01",13.27,13.94,12.92,12.97,5882500,12.636641
"2020-07-02",13.23,13.62,12.92,13.01,5687900,12.675613
"2020-07-06",13.39,13.5,12.89,13.18,7057900,12.841243
"2020-07-07",13,13.16,12.63,12.65,6148100,12.324865
"2020-07-08",13.02,13.03,12.58,13,4710100,12.66587
"2020-07-09",12.82,12.9,12.24,12.34,4011800,12.022833
"2020-07-10",12.26,12.64,12.16,12.62,3901000,12.295636
"2020-07-13",12.7,13.25,12.44,12.9,4235400,12.568439
"2020-07-14",12.86,13.23,12.55,12.97,3245300,12.636641
"2020-07-15",13.52,14.06,13.39,14.02,6024500,13.659654
"2020-07-16",13.83,14.26,13.61,14.04,3145900,13.679139
"2020-07-17",14.08,14.15,13.63,13.66,2950500,13.308906
"2020-07-20",13.51,13.62,12.94,13.12,3904600,12.782785
"2020-07-21",13.21,13.9,13.07,13.65,8954300,13.299162
"2020-07-22",13.5,13.84,13.3,13.7,6732400,13.347878
"2020-07-23",13.68,14.07,13.48,13.87,8521300,13.513508
"2020-07-24",13.81,13.9,13.42,13.47,5701400,13.123789
"2020-07-27",14.34,14.35,13.4,13.65,9237900,13.299162
"2020-07-28",13.59,13.93,13.48,13.51,4954000,13.162762
"2020-07-29",13.64,14.39,13.58,13.87,5013800,13.513508
"2020-07-30",13.58,13.66,13.05,13.3,3650700,12.958158
"2020-07-31",13.29,13.44,13.05,13.36,4210100,13.016617
"2020-08-03",13.38,13.49,12.97,13.34,3528700,12.997131
"2020-08-04",13.23,13.46,13.15,13.28,2965100,12.938673
"2020-08-05",13.67,14.48,13.62,13.74,8402700,13.386849
"2020-08-06",13.71,14.22,13.54,14.03,5734700,13.669395
"2020-08-07",14.08,14.53,13.8,14.51,5324000,14.137059
"2020-08-10",14.77,15.48,14.75,15.43,7308200,15.033413
"2020-08-11",15.82,16.030001,15.48,15.53,7407700,15.130843
"2020-08-12",15.7,15.82,15.01,15.6,6203800,15.199044
"2020-08-13",16.120001,16.120001,15.04,15.43,7275900,15.033413
"2020-08-14",15.55,16.07,15.26,15.93,9453700,15.520562
"2020-08-17",15.91,15.95,15.6,15.83,5944800,15.423131
"2020-08-18",15.63,15.76,15.1,15.33,4410700,14.935983
"2020-08-19",15.18,15.62,15.02,15.08,4930800,14.692409
"2020-08-20",14.89,15.06,14.36,14.36,4407500,13.990913
"2020-08-21",14.54,14.75,14.41,14.54,5557000,14.166288
"2020-08-24",14.66,15.38,14.66,15.33,6315300,14.935983
"2020-08-25",15.54,15.66,14.94,14.94,4589100,14.556006
"2020-08-26",14.96,15.11,14.77,14.85,4043500,14.468321
"2020-08-27",14.98,15.29,14.88,14.89,6034100,14.507292
"2020-08-28",15,15.03,14.59,14.88,5969500,14.497548
"2020-08-31",14.83,14.89,14.51,14.73,5365000,14.351404
"2020-09-01",14.54,14.79,14.31,14.75,3704800,14.370891
"2020-09-02",14.92,15,14.54,14.73,5499600,14.351404
"2020-09-03",14.79,15.27,14.62,14.71,5228100,14.331919
"2020-09-04",14.94,14.95,14.14,14.56,5284600,14.185774
"2020-09-08",14.41,15.18,14.28,15,5786300,14.614464
"2020-09-09",14.86,14.94,14.33,14.58,3872800,14.205259
"2020-09-10",14.71,15.95,14.71,15.8,9977000,15.393903
"2020-09-11",15.91,16.51,15.71,16.15,10565400,15.734906
"2020-09-14",16.34,17.790001,16.219999,17.52,13348500,17.069695
"2020-09-15",17.59,17.59,16.709999,16.84,7037100,16.407171
"2020-09-16",17.780001,18.6,17.709999,18.1,10388300,17.634789
"2020-09-17",17.860001,18,17.27,17.6,6578600,17.14764
"2020-09-18",17.559999,17.719999,17.030001,17.360001,11194000,16.913807
"2020-09-21",17.299999,17.299999,16.42,16.51,7483600,16.085653
"2020-09-22",16.52,16.74,16.24,16.620001,4204300,16.192829
"2020-09-23",16.790001,17.559999,16.58,16.59,4920500,16.163599
"2020-09-24",16.370001,16.67,15.91,16.34,5275900,15.920024
"2020-09-25",16.059999,16.48,15.88,16.360001,4514900,15.939509
"2020-09-28",16.690001,16.950001,16.49,16.58,5708400,16.153856
"2020-09-29",16.51,16.52,15.48,15.5,5850800,15.101613
"2020-09-30",15.55,15.91,15.45,15.63,5256900,15.228272
"2020-10-01",15.71,16.190001,15.65,15.9,5045700,15.491331
"2020-10-02",15.23,16.290001,15.23,16.15,4409800,15.734906
"2020-10-05",16.389999,16.98,16.389999,16.969999,6300500,16.533831
"2020-10-06",17.309999,17.82,16.82,16.83,7422500,16.397429
"2020-10-07",17.27,18.02,17.27,17.870001,5206200,17.4107
"2020-10-08",18.17,18.75,18,18.67,6438600,18.190136
"2020-10-09",18.969999,19.280001,18.620001,18.82,5253800,18.336281
"2020-10-12",18.9,19.290001,18.799999,19.200001,5046900,18.706514
"2020-10-13",19.08,19.219999,18.719999,18.92,5277300,18.433712
"2020-10-14",19,19.190001,18.799999,19,2954200,18.511654
"2020-10-15",18.84,19.6,18.629999,19.540001,4130000,19.037777
"2020-10-16",19.540001,19.74,19.34,19.530001,4461300,19.028034
"2020-10-19",19.6,20.690001,19.549999,20.059999,6292700,19.544411
"2020-10-20",20.26,20.84,20.26,20.48,5642900,19.953615
"2020-10-21",20.48,20.74,20.07,20.48,6496000,19.953615
"2020-10-22",20.6,21.91,20.559999,21.85,6917100,21.288404
"2020-10-23",22.15,22.280001,21.190001,21.43,6410400,20.879198
"2020-10-26",21.25,21.4,20.639999,21.27,6090700,20.723312
"2020-10-27",21.280001,22.059999,21.200001,21.42,5594800,20.869455
"2020-10-28",20.75,21.5,20.73,21.309999,8333100,20.762281
"2020-10-29",23.83,23.85,21.639999,22.73,14134000,22.145786
"2020-10-30",22.719999,22.84,21.969999,22.23,10682300,21.658638
"2020-11-02",22.57,24.18,22.469999,23.629999,8939400,23.022654
"2020-11-03",23.83,24.139999,23.360001,24.059999,6529000,23.441601
"2020-11-04",23.74,24.459999,23.26,23.84,5372700,23.227255
"2020-11-05",24.5,25.17,24.450001,24.709999,6047700,24.074894
"2020-11-06",24.51,24.92,24.120001,24.32,4304800,23.69492
"2020-11-09",26.65,27.99,24.719999,24.93,7691300,24.28924
"2020-11-10",25.049999,26.030001,24.82,26,5772100,25.331739
"2020-11-11",26.950001,26.950001,25.33,25.34,4768000,24.688702
"2020-11-12",25.07,25.799999,24.879999,25.280001,4883000,24.630243
"2020-11-13",25.74,26.48,25.700001,26.34,3189600,25.663
"2020-11-16",27.540001,27.610001,26.860001,27.290001,6107800,26.588583
"2020-11-17",26.99,28.459999,26.780001,28.459999,4414600,27.72851
"2020-11-18",28.51,28.790001,27.959999,27.98,3705900,27.260847
"2020-11-19",27.75,28.459999,27.620001,28.4,3454400,27.670053
"2020-11-20",28.290001,28.76,28.219999,28.459999,3861200,27.72851
"2020-11-23",29.110001,29.299999,28.42,28.870001,4852800,28.127974
"2020-11-24",29.790001,30.35,29.299999,30.120001,5438900,29.345844
"2020-11-25",29.57,29.76,29.1,29.690001,3686100,28.926897
"2020-11-27",29.49,29.6,28.809999,29,5925000,28.254631
"2020-11-30",28.65,28.75,27.77,28.32,6126900,27.592108
"2020-12-01",28.84,28.959999,28.1,28.360001,4641100,27.631083
"2020-12-02",27.860001,28.67,27.799999,28.48,4832300,27.747997
"2020-12-03",28.700001,29.75,28.68,29.27,4627500,28.517691
"2020-12-04",29.370001,29.620001,28.889999,29.35,4775200,28.595638
"2020-12-07",29.030001,29.75,28.809999,29.74,3760300,28.975613
"2020-12-08",29.040001,29.75,28.91,29.5,4265300,28.741781
"2020-12-09",29.68,30.24,29.18,29.629999,4186500,28.868439
"2020-12-10",29.32,29.889999,29.040001,29.620001,2652200,28.858696
"2020-12-11",29.57,30.09,29.16,29.33,2949600,28.576149
"2020-12-14",29.719999,30,28.969999,29.030001,4336400,28.283861
"2020-12-15",29.77,29.85,29.139999,29.719999,3118200,28.956125
"2020-12-16",29.98,30.950001,29.360001,29.67,4444700,28.907412
"2020-12-17",29.9,30.07,29.35,29.83,2989800,29.063297
"2020-12-18",29.6,29.719999,28.67,28.860001,6731900,28.118231
"2020-12-21",27.969999,29.610001,27.66,29.370001,4561600,28.615124
"2020-12-22",30.030001,30.450001,29.540001,30.17,5135000,29.39456
"2020-12-23",30.450001,30.639999,29.92,30.52,4800100,29.735565
"2020-12-24",31.01,31.18,30.370001,30.85,1945300,30.057083
"2020-12-28",31.01,31.65,30.809999,30.860001,4318000,30.066826
"2020-12-29",30.799999,31.1,29.799999,30.110001,3449400,29.336102
"2020-12-30",30.620001,31.6,30.43,31.450001,2673100,30.641661
"2020-12-31",31.200001,31.51,30.9,31.08,2633300,30.28117
"2021-01-04",32.040001,33.130001,31.620001,32.709999,10472700,31.869274
"2021-01-05",32.389999,32.959999,32.25,32.52,4557600,31.684158
"2021-01-06",32.919998,35.060001,32.900002,34.32,6618900,33.437893
"2021-01-07",34.91,35.360001,34.200001,34.869999,4926600,33.973755
"2021-01-08",34.990002,35.220001,34.02,34.23,4079600,33.350212
"2021-01-11",33.599998,34.689999,33.040001,34.560001,3983700,33.67173
"2021-01-12",34.59,35.450001,34.490002,35.34,2806700,34.431679
"2021-01-13",35.150002,35.16,33.860001,34.029999,6364300,33.155346
"2021-01-14",34.610001,35,33.900002,34.060001,3942300,33.184582
"2021-01-15",33.93,34.27,33.16,33.619999,4218400,32.755886
"2021-01-19",33.700001,34.330002,33.299999,33.34,3930000,32.483082
"2021-01-20",33.389999,33.919998,33.27,33.689999,3325500,32.824081
"2021-01-21",33.970001,34.32,33.580002,33.75,2312700,32.882542
"2021-01-22",33.639999,34.34,33.32,34.330002,3713600,33.447639
"2021-01-25",34.040001,34.84,33.310001,33.77,3494800,32.902031
"2021-01-26",34.25,34.279999,32.75,32.790001,3378600,31.947218
"2021-01-27",31.940001,31.959999,30.24,30.610001,6423000,29.823252
"2021-01-28",30.860001,32.599998,30.860001,32.369999,4571000,31.538013
"2021-01-29",32.029999,32.310001,31.34,31.620001,3781200,30.807293
"2021-02-01",32.200001,32.470001,31.15,31.85,4172700,31.031382
"2021-02-02",32.25,33.720001,32.209999,33.450001,6155100,32.590256
"2021-02-03",34.099998,35.099998,34.029999,34.599998,7944300,33.710697
"2021-02-04",36.200001,36.57,34.290001,36.18,10519700,35.250088
"2021-02-05",36.740002,37.759998,36.619999,37.549999,6321900,36.584877
"2021-02-08",37.599998,38.720001,37.5,38.349998,5065100,37.364311
"2021-02-09",38.59,38.849998,38.240002,38.349998,5020300,37.364311
"2021-02-10",38.720001,39.419998,38.18,39.16,5725600,38.153496
"2021-02-11",39.02,40.18,38.57,39.119999,5274100,38.114525
"2021-02-12",38.740002,38.959999,38.040001,38.310001,3559400,37.325344
"2021-02-16",38.529999,39.279999,38.32,39.060001,4253100,38.056068
"2021-02-17",38.900002,39,37.740002,38.650002,2993400,37.656605
"2021-02-18",38.34,38.490002,37.68,37.990002,3400100,37.013565
"2021-02-19",38.5,39.59,38.389999,39.459999,4054800,38.445782
"2021-02-22",39.93,41.48,39.73,40.950001,6330600,39.897491
"2021-02-23",40.459999,40.849998,38.869999,40.639999,3839000,39.595451
"2021-02-24",40.75,41.82,40.209999,41.689999,4321700,40.618469
"2021-02-25",41.459999,42.919998,41.450001,42.41,6385200,41.319962
"2021-02-26",42.5,42.919998,41.23,42.139999,4458400,41.056904
"2021-03-01",43.139999,43.25,41.419998,41.5,5871300,40.433353
"2021-03-02",41.5,42.470001,41.09,42.32,3704300,41.232277
"2021-03-03",42.279999,42.84,41.549999,41.57,3344400,40.501553
"2021-03-04",41,41.540001,39.52,40.77,3017600,39.722115
"2021-03-05",41.5,42.060001,40.189999,41.91,3550700,40.832817
"2021-03-08",42.32,44.5,42.02,43.950001,5453100,42.820381
"2021-03-09",43.900002,44.07,42.919998,43.360001,5298500,42.245548
"2021-03-10",43.599998,44.25,42.360001,42.970001,4112000,41.86557
"2021-03-11",43.09,44.119999,42.849998,44.07,3585600,42.937294
"2021-03-12",43.790001,45,43.790001,44.610001,4213600,43.463421
"2021-03-15",44.419998,46.419998,44.369999,46.330002,4538900,45.139206
"2021-03-16",46.080002,46.080002,44.299999,44.810001,3391700,43.658283
"2021-03-17",45.34,45.509998,43.810001,45.09,3044700,43.931084
"2021-03-18",45.150002,46.380001,45.07,45.360001,2874000,44.194138
"2021-03-19",44.66,45.630001,44.139999,44.689999,5210200,43.541359
"2021-03-22",44.939999,44.990002,43.150002,43.66,3803300,42.537834
"2021-03-23",43,43.41,40.880001,41.09,6132200,40.03389
"2021-03-24",41.470001,42.639999,40.599998,40.639999,3669800,39.595451
"2021-03-25",39.57,42,39.57,41.82,3523500,40.745125
"2021-03-26",42.48,42.869999,40.490002,41.799999,2989500,40.725639
"2021-03-29",41.5,41.869999,38.84,39.490002,5429100,38.475018
"2021-03-30",39.5,41.09,39.139999,40.950001,4463600,39.897491
"2021-03-31",40.860001,41.48,40.419998,41.209999,3202900,40.15081
"2021-04-01",41.630001,41.889999,40.459999,41.029999,4292500,39.97543
"2021-04-05",41.630001,42.82,40.91,42.689999,4075900,41.592762
"2021-04-06",42.720001,43.75,42.48,42.860001,4342800,41.758396
"2021-04-07",43.25,43.93,42.73,43.09,2468400,41.982487
"2021-04-08",43.09,43.610001,42.259998,43.369999,2678400,42.255287
"2021-04-09",43.799999,45.110001,43.560001,44.93,3206800,43.775188
"2021-04-12",44.669998,45.73,44.580002,45.52,2865900,44.350033
"2021-04-13",45.369999,45.450001,43.709999,45.060001,3273200,43.901852
"2021-04-14",45.299999,46.139999,45.25,45.419998,2924200,44.252594
"2021-04-15",46.16,47.07,45.380001,46.25,2942600,45.061264
"2021-04-16",46.580002,46.889999,46.040001,46.560001,2874100,45.363304
"2021-04-19",46.16,46.16,44.98,45.23,2518200,44.067486
"2021-04-20",44.830002,45.02,42.990002,43.52,2899600,42.401436
"2021-04-21",43.27,44.98,43.029999,44.93,3677700,43.775188
"2021-04-22",45.189999,45.990002,44.669998,45.16,1977100,43.999283
"2021-04-23",45.619999,46.540001,45.240002,46.360001,2284200,45.168442
"2021-04-26",46.41,47.119999,45.650002,45.98,2610600,44.798203
"2021-04-27",46.240002,47.669998,46.23,47.369999,2653200,46.152477
"2021-04-28",47.049999,48.139999,46.759998,47.5,1966400,46.27914
"2021-04-29",47.75,48.599998,47.419998,47.91,3383000,46.6786
"2021-04-30",47.52,48.240002,47.34,47.849998,4430200,46.62014
"2021-05-03",48.490002,49.419998,48.139999,48.540001,5928800,47.292408
"2021-05-04",48.299999,48.52,47.369999,48,3803100,46.766289
"2021-05-05",48.43,48.860001,47.639999,48.41,3631300,47.165749
"2021-05-06",48,48,45.509998,46.799999,6946900,45.59713
"2021-05-07",46.82,49.669998,46.650002,49.119999,4772000,47.857502
"2021-05-10",49.110001,49.41,46.91,47.02,3500200,45.811474
"2021-05-11",46.049999,46.759998,45.110001,46.509998,4014900,45.314583
"2021-05-12",45.959999,46.799999,44.490002,44.740002,3253600,43.59008
"2021-05-13",44.939999,46.290001,44.610001,45.310001,3004600,44.145428
"2021-05-14",45.529999,46.939999,45.290001,46.82,3293700,45.616619
"2021-05-17",46.77,47.389999,46.099998,47.369999,4063200,46.152477
"2021-05-18",47.860001,48.009998,46.259998,46.310001,3650900,45.11972
"2021-05-19",45.310001,45.560001,44.16,44.59,3275400,43.443932
