"","TRMB.Open","TRMB.High","TRMB.Low","TRMB.Close","TRMB.Volume","TRMB.Adjusted"
"2020-07-01",43.169998,43.5,42.689999,42.75,679100,42.75
"2020-07-02",43.540001,44.150002,42.310001,42.52,989300,42.52
"2020-07-06",43.540001,43.889999,42.990002,43.43,823900,43.43
"2020-07-07",43.029999,43.75,41.98,42.040001,854300,42.040001
"2020-07-08",42.169998,43.290001,41.709999,42.400002,811400,42.400002
"2020-07-09",42.560001,42.709999,41.689999,42.380001,923100,42.380001
"2020-07-10",42.540001,42.759998,42.080002,42.540001,550400,42.540001
"2020-07-13",42.880001,43.200001,41.650002,41.66,926600,41.66
"2020-07-14",41.52,43.07,41.34,42.990002,880400,42.990002
"2020-07-15",43.810001,44.450001,43.43,44.310001,872100,44.310001
"2020-07-16",44.139999,44.139999,43.23,43.509998,451500,43.509998
"2020-07-17",43.720001,44.380001,43.59,43.950001,431800,43.950001
"2020-07-20",43.93,44.450001,43.779999,44.360001,569400,44.360001
"2020-07-21",44.869999,45.450001,44.439999,44.84,1089700,44.84
"2020-07-22",44.669998,45.099998,44.169998,44.439999,865900,44.439999
"2020-07-23",44.43,45.77,44.43,45.310001,1313600,45.310001
"2020-07-24",44.950001,45.040001,43.93,44.029999,790300,44.029999
"2020-07-27",44.029999,45.209999,43.919998,45.060001,588200,45.060001
"2020-07-28",45.07,45.490002,44.689999,44.720001,674500,44.720001
"2020-07-29",44.759998,45.75,44.759998,45.57,713400,45.57
"2020-07-30",44.880001,45.639999,44.5,45.540001,558400,45.540001
"2020-07-31",45.689999,45.790001,44.349998,44.509998,1559500,44.509998
"2020-08-03",45.110001,45.639999,44.860001,45.540001,1075300,45.540001
"2020-08-04",45.459999,45.630001,44.779999,45.130001,842000,45.130001
"2020-08-05",45.82,46.150002,45.279999,45.919998,1918500,45.919998
"2020-08-06",47.419998,50.299999,47.200001,49.049999,2554300,49.049999
"2020-08-07",48.860001,49.389999,48.450001,49.169998,1167700,49.169998
"2020-08-10",49.279999,49.48,48.23,48.41,1035400,48.41
"2020-08-11",48.540001,48.93,47.860001,47.959999,1257200,47.959999
"2020-08-12",48.23,49.59,47.959999,49.509998,1070500,49.509998
"2020-08-13",49.16,50.490002,49.09,50.060001,1200200,50.060001
"2020-08-14",49.759998,50.77,48.720001,50.380001,986200,50.380001
"2020-08-17",50.610001,51.32,50.400002,50.830002,784900,50.830002
"2020-08-18",51,51.959999,50.900002,51.759998,1384000,51.759998
"2020-08-19",51.650002,51.66,50.599998,50.66,1175400,50.66
"2020-08-20",50.110001,50.810001,50,50.639999,681900,50.639999
"2020-08-21",50.34,51.040001,50.27,50.700001,1087800,50.700001
"2020-08-24",51.02,52.23,50.700001,52.189999,1800900,52.189999
"2020-08-25",52.09,52.619999,51.790001,52.57,712900,52.57
"2020-08-26",53.060001,53.73,52.5,52.599998,666600,52.599998
"2020-08-27",52.759998,52.759998,51.549999,52.040001,702300,52.040001
"2020-08-28",52,52.189999,51.599998,52.02,617700,52.02
"2020-08-31",52.380001,52.75,51.939999,52.41,902000,52.41
"2020-09-01",52.669998,53.470001,52.099998,53.41,542300,53.41
"2020-09-02",53.779999,54.509998,52.959999,54.310001,728800,54.310001
"2020-09-03",54.130001,54.130001,50.66,50.900002,1220300,50.900002
"2020-09-04",51.040001,51.529999,49.07,49.959999,914700,49.959999
"2020-09-08",49.02,50.009998,48.509998,49.139999,1007900,49.139999
"2020-09-09",49.98,50.369999,49.48,50.110001,881000,50.110001
"2020-09-10",50.509998,50.779999,49.040001,49.16,783500,49.16
"2020-09-11",49.759998,50.799999,49.32,50.16,726300,50.16
"2020-09-14",50.48,50.84,50.040001,50.43,661200,50.43
"2020-09-15",51.119999,52.209999,50.84,52.080002,631900,52.080002
"2020-09-16",52.549999,52.73,51.240002,51.310001,859300,51.310001
"2020-09-17",50.240002,50.720001,49.650002,49.790001,884700,49.790001
"2020-09-18",50.209999,50.349998,48.830002,49.349998,1981300,49.349998
"2020-09-21",48.290001,48.369999,47.27,47.799999,1016200,47.799999
"2020-09-22",48.259998,48.75,47.959999,48.549999,851900,48.549999
"2020-09-23",49.25,49.25,47.639999,47.639999,760000,47.639999
"2020-09-24",47.360001,47.610001,46.82,47.080002,1594800,47.080002
"2020-09-25",47.009998,47.849998,46.779999,47.849998,2060700,47.849998
"2020-09-28",48.799999,49.189999,48.549999,48.700001,1032900,48.700001
"2020-09-29",48.619999,49.209999,48.220001,48.919998,970400,48.919998
"2020-09-30",49,49.849998,48.490002,48.700001,1144100,48.700001
"2020-10-01",48.759998,49.68,48.630001,48.869999,895100,48.869999
"2020-10-02",47.970001,49.619999,47.509998,49.330002,646200,49.330002
"2020-10-05",49.709999,51.130001,49.689999,50.720001,905300,50.720001
"2020-10-06",50.720001,50.880001,48.880001,48.93,1201800,48.93
"2020-10-07",49.720001,50.669998,49.509998,50.509998,1543500,50.509998
"2020-10-08",50.919998,51.59,50.830002,51.099998,787600,51.099998
"2020-10-09",51.52,52.09,51.27,51.380001,777100,51.380001
"2020-10-12",51.619999,52.610001,51.400002,52.310001,636800,52.310001
"2020-10-13",52,52.639999,51.639999,51.720001,725500,51.720001
"2020-10-14",51.889999,52.349998,50.509998,50.540001,546000,50.540001
"2020-10-15",50.060001,52.59,49.580002,52.290001,1398900,52.290001
"2020-10-16",52.66,53.290001,52.200001,52.34,798100,52.34
"2020-10-19",52.41,53.200001,51.759998,51.970001,734300,51.970001
"2020-10-20",52.509998,52.889999,51.830002,51.919998,569100,51.919998
"2020-10-21",52.220001,52.959999,50.610001,50.740002,970800,50.740002
"2020-10-22",51.009998,51.790001,50.009998,50.939999,1473400,50.939999
"2020-10-23",51.139999,51.310001,49.369999,50.080002,1186300,50.080002
"2020-10-26",49.27,49.669998,48.509998,49.23,764500,49.23
"2020-10-27",49.560001,51.099998,49.23,50.66,1663600,50.66
"2020-10-28",49.490002,49.549999,47.759998,47.880001,662400,47.880001
"2020-10-29",47.740002,48.98,47.240002,48.48,876200,48.48
"2020-10-30",48.380001,49.57,47.189999,48.130001,1299200,48.130001
"2020-11-02",49.130001,50.790001,48.580002,50.740002,1106300,50.740002
"2020-11-03",51.650002,53.18,51.490002,52.68,1829800,52.68
"2020-11-04",52.080002,53.25,50.509998,53.029999,1117700,53.029999
"2020-11-05",54.73,58.25,53.400002,55.830002,1963000,55.830002
"2020-11-06",56.32,56.369999,55.220001,56,951400,56
"2020-11-09",58.669998,60.32,57.240002,57.540001,1598400,57.540001
"2020-11-10",57.66,58.34,56.939999,58.25,850700,58.25
"2020-11-11",58.540001,60,57.080002,57.400002,820000,57.400002
"2020-11-12",56.880001,57.610001,56.259998,56.889999,1564400,56.889999
"2020-11-13",57.639999,58.299999,57.099998,58.110001,1011700,58.110001
"2020-11-16",59,59.02,57.529999,58.59,1078300,58.59
"2020-11-17",57.77,58.150002,57.130001,57.310001,1169200,57.310001
"2020-11-18",57.310001,57.599998,56.330002,56.849998,1424400,56.849998
"2020-11-19",56.52,57.799999,56.009998,57.740002,689400,57.740002
"2020-11-20",57.799999,58.560001,57.41,58.310001,942600,58.310001
"2020-11-23",59,59.509998,58.119999,58.959999,691300,58.959999
"2020-11-24",59.68,61.09,59.240002,60.59,1131700,60.59
"2020-11-25",60.32,60.509998,59.09,59.389999,649900,59.389999
"2020-11-27",59.77,60.490002,59.439999,60.450001,562500,60.450001
"2020-11-30",60.200001,60.259998,59,59.869999,1173200,59.869999
"2020-12-01",60.279999,61.459999,60.009998,60.73,1777200,60.73
"2020-12-02",60.73,61.27,60.119999,60.669998,890900,60.669998
"2020-12-03",60.93,61.990002,60.700001,61.009998,647600,61.009998
"2020-12-04",61.34,63.299999,61.009998,63.02,778800,63.02
"2020-12-07",63.23,63.84,62.41,63.080002,554100,63.080002
"2020-12-08",63.360001,63.900002,62.639999,63.099998,1057400,63.099998
"2020-12-09",63.240002,64.129997,62.740002,63.240002,1155500,63.240002
"2020-12-10",62.91,62.91,61.740002,62.380001,771700,62.380001
"2020-12-11",62.360001,63.259998,61.959999,62.84,725700,62.84
"2020-12-14",63.869999,65.239998,63.470001,64.639999,1116100,64.639999
"2020-12-15",65.349998,65.699997,64.110001,65.300003,783200,65.300003
"2020-12-16",65.93,66.040001,65.029999,65.620003,934200,65.620003
"2020-12-17",65.940002,66.199997,65.419998,65.970001,959400,65.970001
"2020-12-18",66.75,67.029999,65.550003,66.150002,2366500,66.150002
"2020-12-21",65.029999,66.639999,64.370003,66.629997,715700,66.629997
"2020-12-22",66.720001,67.480003,65.739998,66.18,573100,66.18
"2020-12-23",66.459999,67,66.029999,66.580002,383800,66.580002
"2020-12-24",66.879997,66.879997,66.120003,66.650002,148800,66.650002
"2020-12-28",67.589996,67.860001,66.400002,66.43,479100,66.43
"2020-12-29",67.199997,67.93,65.519997,65.769997,473400,65.769997
"2020-12-30",66.230003,67.230003,66.139999,66.330002,586200,66.330002
"2020-12-31",66.510002,67.269997,65.93,66.769997,699200,66.769997
"2021-01-04",67.580002,67.75,65.279999,66.290001,924300,66.290001
"2021-01-05",65.949997,68.150002,65.949997,66.849998,1427200,66.849998
"2021-01-06",69.349998,69.470001,67.510002,68.410004,1703800,68.410004
"2021-01-07",68.769997,71.959999,68.489998,71.839996,1175100,71.839996
"2021-01-08",74,74,71.32,72.32,989800,72.32
"2021-01-11",70.949997,73.150002,70.349998,73.080002,877800,73.080002
"2021-01-12",72.989998,73.900002,71.790001,71.910004,1234400,71.910004
"2021-01-13",71.690002,71.910004,69.720001,70.019997,1462400,70.019997
"2021-01-14",72.559998,72.559998,69.739998,69.870003,2026200,69.870003
"2021-01-15",69.550003,70.209999,68.220001,69.459999,1007100,69.459999
"2021-01-19",68.889999,71.989998,68.870003,69.190002,4082400,69.190002
"2021-01-20",70.260002,71.669998,69.239998,71.419998,53094000,71.419998
"2021-01-21",72.800003,72.800003,69.709999,70.309998,2860600,70.309998
"2021-01-22",69.790001,70.879997,69.120003,70.760002,1511000,70.760002
"2021-01-25",72.410004,72.410004,69.980003,70.860001,1569700,70.860001
"2021-01-26",71.019997,71.220001,69.419998,69.669998,1072800,69.669998
"2021-01-27",68.199997,68.480003,65.650002,66.650002,1500200,66.650002
"2021-01-28",67.900002,68.839996,67.5,67.629997,1895800,67.629997
"2021-01-29",67.519997,67.639999,65.370003,65.910004,2094800,65.910004
"2021-02-01",67.110001,68.010002,66.089996,67.720001,1292700,67.720001
"2021-02-02",72.099998,72.220001,69.879997,70.809998,1710700,70.809998
"2021-02-03",71.68,71.82,70.129997,70.599998,1273900,70.599998
"2021-02-04",71,71.849998,70.5,71.43,1078100,71.43
"2021-02-05",71.650002,72.650002,71.43,72.269997,1263100,72.269997
"2021-02-08",73.169998,74,72.849998,73.989998,1331400,73.989998
"2021-02-09",74.279999,74.790001,73.440002,74.720001,1097400,74.720001
"2021-02-10",75.010002,75.699997,73.769997,73.989998,1211900,73.989998
"2021-02-11",73.790001,74.900002,71.709999,73.040001,1641600,73.040001
"2021-02-12",72.480003,74.050003,72.120003,73.970001,1154600,73.970001
"2021-02-16",74.82,76.5,74.760002,75.169998,1477000,75.169998
"2021-02-17",74.540001,74.769997,71.93,72.480003,1288700,72.480003
"2021-02-18",71.949997,72.809998,71.559998,72.5,1388700,72.5
"2021-02-19",73.25,74.349998,72.800003,72.989998,1270900,72.989998
"2021-02-22",72.690002,73.160004,71.849998,72.519997,1100800,72.519997
"2021-02-23",71.129997,73.870003,69.080002,73.629997,2490400,73.629997
"2021-02-24",73,76.269997,72.720001,76.050003,1590400,76.050003
"2021-02-25",75.68,75.959999,73.150002,73.639999,1552400,73.639999
"2021-02-26",73.809998,74.730003,72.959999,74.139999,1543700,74.139999
"2021-03-01",75.220001,77.629997,74.889999,77.559998,1428300,77.559998
"2021-03-02",76.959999,77.690002,75.529999,75.57,1429800,75.57
"2021-03-03",74.559998,75.489998,73.230003,74.080002,1203800,74.080002
"2021-03-04",73.400002,73.940002,68.75,70.370003,2227200,70.370003
"2021-03-05",71.25,71.480003,66.949997,70.669998,2659600,70.669998
"2021-03-08",71,71.739998,69.419998,69.540001,1880300,69.540001
"2021-03-09",70.809998,71.989998,69.860001,70.370003,1838200,70.370003
"2021-03-10",70.790001,71.980003,70.459999,70.870003,1721700,70.870003
"2021-03-11",72.110001,74.550003,72.110001,74.230003,1125400,74.230003
"2021-03-12",73.050003,74,72.599998,73.870003,779900,73.870003
"2021-03-15",74.650002,75.480003,74.029999,75.480003,979900,75.480003
"2021-03-16",75.82,76.379997,75.120003,75.699997,1274300,75.699997
"2021-03-17",74.970001,76.769997,74.43,76.690002,1100200,76.690002
"2021-03-18",75.339996,76.75,74.599998,74.620003,1520700,74.620003
"2021-03-19",74.410004,75.339996,73.599998,74.68,2810100,74.68
"2021-03-22",74.870003,75.809998,74.110001,75.18,2159600,75.18
"2021-03-23",75,75.209999,70.769997,71.190002,1420700,71.190002
"2021-03-24",71.690002,71.970001,70.739998,70.93,1196900,70.93
"2021-03-25",70.440002,72.68,69.290001,72.290001,1447800,72.290001
"2021-03-26",72.790001,74.739998,72.43,74.699997,998500,74.699997
