"","TROW.Open","TROW.High","TROW.Low","TROW.Close","TROW.Volume","TROW.Adjusted"
"2020-07-01",123.669998,124.150002,121.900002,122.510002,831700,114.106049
"2020-07-02",124.849998,125.68,122.370003,122.730003,1066200,114.310959
"2020-07-06",125.940002,126.589996,124.889999,125.260002,735100,116.667389
"2020-07-07",123.620003,124.910004,122.360001,122.959999,1372600,114.525185
"2020-07-08",123.5,125.099998,123.290001,124.220001,1200700,115.69873
"2020-07-09",124.269997,124.419998,120.650002,122.830002,1057200,114.404091
"2020-07-10",123.25,127.379997,123.190002,127.269997,922300,118.539513
"2020-07-13",128.729996,129.740005,127.660004,128.130005,1498000,119.34053
"2020-07-14",128.75,130.899994,127.839996,130.639999,1139600,121.678329
"2020-07-15",133.830002,133.830002,130.919998,132.059998,898600,123.000931
"2020-07-16",130.929993,133.210007,130.929993,132.070007,986700,123.010262
"2020-07-17",131.990005,134.270004,131.119995,133.770004,984500,124.593628
"2020-07-20",132.800003,134.460007,132.520004,134.220001,853400,125.012772
"2020-07-21",133.850006,136.360001,133.610001,134.949997,1013000,125.69268
"2020-07-22",134.820007,136.369995,134.520004,136.199997,850000,126.856918
"2020-07-23",136.259995,137.259995,133.759995,134.070007,1208300,124.873047
"2020-07-24",135.179993,135.490005,133.25,133.970001,999300,124.7799
"2020-07-27",131.860001,134.929993,131.300003,134.199997,1072000,124.994133
"2020-07-28",134.759995,134.869995,132.860001,133.929993,1011400,124.742653
"2020-07-29",135,138.169998,134.710007,135.820007,1262600,126.503014
"2020-07-30",133.839996,135.169998,132.679993,134.470001,984300,125.245613
"2020-07-31",134.179993,138.320007,133.199997,138.100006,2524000,128.626587
"2020-08-03",138.339996,139.039993,136.889999,137.399994,990300,127.974602
"2020-08-04",137.529999,137.940002,136.399994,137.089996,940400,127.685867
"2020-08-05",136.490005,139.960007,136.490005,138.970001,1006500,129.436935
"2020-08-06",139.050003,139.050003,136.389999,138.160004,1028900,128.68248
"2020-08-07",138.539993,140.449997,137.880005,139.630005,1108800,130.051636
"2020-08-10",139.850006,139.850006,137.949997,138.660004,759100,129.148193
"2020-08-11",139.899994,140.669998,138.399994,138.960007,782400,129.427597
"2020-08-12",140.179993,142.509995,137.669998,138.449997,1116600,128.952591
"2020-08-13",137.210007,138.25,136.759995,137.259995,817400,127.844208
"2020-08-14",136.410004,137.820007,136.080002,136.940002,698100,127.546181
"2020-08-17",137.070007,138.160004,136.699997,137.979996,1136600,128.514832
"2020-08-18",137.770004,138.380005,137.050003,137.240005,541300,127.825592
"2020-08-19",137.330002,138.460007,136.779999,137.139999,665100,127.732452
"2020-08-20",136.389999,137.479996,136.160004,136.300003,607200,126.950073
"2020-08-21",135.410004,136.110001,134.139999,134.820007,763500,125.571587
"2020-08-24",135.960007,136.220001,135.009995,135.929993,629800,126.605438
"2020-08-25",136.190002,136.990005,135.339996,135.75,586100,126.437805
"2020-08-26",135.949997,137.029999,134.759995,136.190002,642700,126.847618
"2020-08-27",135.889999,139.479996,135.460007,138.139999,1119400,128.663849
"2020-08-28",138.5,139.119995,137.169998,139.110001,738600,129.567307
"2020-08-31",138.949997,139.779999,137.240005,139.210007,1332200,129.660461
"2020-09-01",139.179993,139.570007,137.800003,139.179993,765600,129.632523
"2020-09-02",139.270004,141.660004,138.649994,141.139999,754200,131.458054
"2020-09-03",141.320007,141.639999,134.339996,135.080002,976500,125.813751
"2020-09-04",136.720001,137.309998,131.070007,132.270004,1114500,123.196541
