"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"2020-07-01",113.959999,114.790001,112.199997,112.5,930500,107.365143
"2020-07-02",115.040001,116,112.18,112.459999,1040300,107.326973
"2020-07-06",115.260002,116.379997,113.330002,114.57,1329600,109.340652
"2020-07-07",113.589996,113.82,111.980003,112.480003,1222600,107.346054
"2020-07-08",111.919998,113.779999,111.5,113.18,1591200,108.014114
"2020-07-09",113.379997,113.379997,109.089996,110.040001,1506400,105.017418
"2020-07-10",110.239998,114.239998,110.209999,113.839996,1073600,108.643982
"2020-07-13",114.610001,116.419998,112.860001,114.239998,1239700,109.025719
"2020-07-14",114.269997,118.970001,113.370003,118.550003,2289800,113.139
"2020-07-15",121.379997,121.559998,118,119.139999,1487400,113.702072
"2020-07-16",119.029999,122.690002,118.809998,120.5,1367400,114.999985
"2020-07-17",120.830002,120.830002,118.589996,119.160004,1301500,113.721161
"2020-07-20",118.889999,120.400002,118.18,118.769997,1174100,113.348953
"2020-07-21",119.449997,121.699997,119.230003,120.419998,1330200,114.923653
"2020-07-22",119.410004,122.559998,119.029999,122.239998,1317500,116.660568
"2020-07-23",121.68,122.300003,117.5,118.610001,2127200,113.196259
"2020-07-24",119.410004,120.470001,117.550003,118.279999,1542800,112.88131
"2020-07-27",117.589996,117.839996,115.839996,116.629997,1249400,111.306633
"2020-07-28",116.389999,117.230003,114.900002,115.029999,1350300,109.779663
"2020-07-29",114.889999,117.25,114.309998,116.849998,1033600,111.516594
"2020-07-30",114.5,116.699997,113.269997,115.93,1133700,110.638588
"2020-07-31",115.230003,115.779999,112.580002,114.419998,1377600,109.197502
"2020-08-03",114.360001,115.540001,112.730003,114.400002,1266600,109.178429
"2020-08-04",113.459999,114.07,112.300003,113.099998,1451600,107.937752
"2020-08-05",114.360001,115.779999,114.169998,115.080002,958700,109.827377
"2020-08-06",114.360001,115.5,113.339996,113.739998,1632300,108.548546
"2020-08-07",113.099998,117.589996,113.019997,117.360001,2062900,112.003319
"2020-08-10",118,119.379997,116.970001,119.120003,1063600,113.682983
"2020-08-11",121.400002,123.300003,119.620003,119.919998,1609400,114.446465
"2020-08-12",121.559998,121.559998,118.269997,118.860001,1144600,113.434837
"2020-08-13",118.279999,119.510002,117.540001,119.269997,930300,113.826134
"2020-08-14",118.519997,119.93,118.010002,118.599998,625100,113.186707
"2020-08-17",118.089996,118.089996,114.919998,115.910004,938000,110.619499
"2020-08-18",116.220001,116.25,114.75,114.93,768500,109.684219
"2020-08-19",115.260002,116.029999,112.779999,113.199997,1200700,108.03318
"2020-08-20",112,113.440002,111.870003,112.529999,895100,107.393776
"2020-08-21",112.040001,112.919998,111.510002,111.830002,1082600,106.725723
"2020-08-24",112.169998,114.959999,111.519997,114.900002,1361900,109.655602
"2020-08-25",116.269997,116.43,114.75,115.620003,1356500,110.342743
"2020-08-26",114.730003,114.730003,113.419998,113.540001,1200100,108.357658
"2020-08-27",113.690002,118.82,113.669998,117.18,1543900,111.83152
"2020-08-28",118.099998,118.099998,114.730003,115.889999,1725800,110.600403
"2020-08-31",116.68,116.970001,114.849998,116.040001,2297900,110.743568
"2020-09-01",115.160004,115.339996,113.580002,114.690002,969900,109.455177
"2020-09-02",114.529999,117.720001,114.019997,117.480003,1391400,112.117836
"2020-09-03",118.309998,120.879997,114.440002,115.349998,1299400,110.085052
"2020-09-04",117.199997,119,114.879997,116.57,1460700,111.249367
"2020-09-08",116.309998,116.440002,112.660004,113.739998,1686800,108.548546
"2020-09-09",114.209999,115.400002,112.93,113.629997,957600,109.260078
"2020-09-10",113.730003,114.949997,111.769997,111.800003,950200,107.500465
"2020-09-11",112.519997,114.07,111.650002,113.400002,1040100,109.038925
"2020-09-14",114.169998,115.230003,113.760002,114.459999,977300,110.058159
"2020-09-15",114.470001,114.68,112.059998,112.150002,1042000,107.837006
"2020-09-16",112.349998,114.949997,112.110001,113.169998,1048900,108.817764
"2020-09-17",112.410004,113.419998,111.059998,112.599998,1196900,108.269699
"2020-09-18",112,113.190002,111.339996,111.610001,2294700,107.317764
"2020-09-21",109.239998,110.379997,107.199997,109.449997,1884100,105.240829
"2020-09-22",109.110001,111.449997,108.260002,109.25,1385100,105.048531
"2020-09-23",109.230003,110.379997,107.449997,107.489998,2883500,103.356216
"2020-09-24",107.959999,109.43,105.669998,107.82,1746300,103.673508
"2020-09-25",106.559998,108.32,105.959999,108.110001,1714100,103.952362
"2020-09-28",109.730003,111.900002,109.300003,110.220001,1555900,105.981216
"2020-09-29",109.970001,110.25,106.550003,107.440002,1306500,103.308136
"2020-09-30",107.809998,109.129997,107.220001,108.190002,1595800,104.029282
"2020-10-01",108.18,109,106.260002,107.809998,1323600,103.66391
"2020-10-02",106.690002,109.489998,106.459999,108.580002,1220300,104.404297
"2020-10-05",110.550003,112.029999,109.550003,111.910004,1296300,107.606224
"2020-10-06",112.550003,113.309998,110.790001,111.529999,1491800,107.240837
"2020-10-07",112.080002,114.339996,112.080002,113.800003,1388000,109.423531
"2020-10-08",114.849998,116.949997,114.349998,115.620003,734400,111.173553
"2020-10-09",116.440002,116.980003,115.230003,115.830002,903800,111.375473
"2020-10-12",114.349998,116.919998,114.059998,116.540001,1370800,112.058167
"2020-10-13",115.510002,116.169998,112.32,112.889999,1230200,108.548538
"2020-10-14",112.760002,114.459999,112,112.029999,1070100,107.721619
"2020-10-15",110.580002,113.059998,109.620003,112.639999,1238900,108.308159
"2020-10-16",112.790001,114.260002,111.690002,113.32,1641100,108.962006
"2020-10-19",113.510002,114.370003,111.690002,111.839996,1191400,107.538925
"2020-10-20",115.580002,118.449997,114.199997,118.110001,2300800,113.567795
