"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2020-07-01",132.160004,133.460007,130.690002,132.679993,905100,129.27626
"2020-07-02",134.300003,134.899994,131.889999,132.449997,721000,129.052155
"2020-07-06",134.259995,134.5,132.919998,133.759995,588400,130.328552
"2020-07-07",133.179993,135.429993,132.899994,134.229996,823400,130.786499
"2020-07-08",134.149994,135.699997,132.960007,135.610001,734600,132.131104
"2020-07-09",136.5,138.059998,135.160004,137.699997,976500,134.16748
"2020-07-10",137.699997,138.649994,136,138.419998,651400,134.869003
"2020-07-13",139.289993,141,135.199997,135.580002,857800,132.101868
"2020-07-14",135.580002,139.740005,134.570007,139.660004,921100,136.077225
"2020-07-15",141.490005,141.850006,138.360001,139.199997,1411900,135.629013
"2020-07-16",139.089996,142.580002,139.089996,142.149994,1538200,138.503342
"2020-07-17",143.550003,143.690002,140.220001,140.770004,1325600,137.158752
"2020-07-20",142,145.669998,141.139999,144.690002,1374500,140.97818
"2020-07-21",144.119995,144.960007,140.050003,144.020004,1768900,140.325348
"2020-07-22",144.449997,146.389999,144.020004,145.949997,1683600,142.205841
"2020-07-23",152.639999,154.479996,144.259995,146,3307600,142.254578
"2020-07-24",143.360001,146.740005,141.910004,146.529999,1662800,142.770966
"2020-07-27",147.850006,147.929993,142.5,143,1618300,139.331528
"2020-07-28",142.75,144.529999,141.800003,143.070007,1320100,139.39975
"2020-07-29",143.929993,146.5,143.720001,145.460007,1496100,141.728409
"2020-07-30",144.009995,145.059998,142.800003,143.419998,875700,139.740753
"2020-07-31",144.699997,144.699997,140.820007,142.740005,1466000,139.078171
"2020-08-03",143.75,148.210007,143.410004,147.419998,1911300,143.638153
"2020-08-04",146.779999,148.679993,146,148.229996,1094300,144.427353
"2020-08-05",148.419998,148.820007,145.509995,147.229996,1024100,143.453003
"2020-08-06",147.729996,148.759995,146.199997,148.139999,1036300,144.339676
"2020-08-07",147.839996,149.880005,147.639999,148.100006,992300,144.300674
"2020-08-10",148.320007,148.369995,146.210007,147.149994,735300,143.375046
"2020-08-11",148.009995,148.300003,143.800003,145.110001,1175700,141.38739
"2020-08-12",146,149.190002,144.779999,149.080002,1548000,145.255539
"2020-08-13",148.589996,150.080002,147.75,148.710007,980100,144.89505
"2020-08-14",148.210007,150.179993,147.660004,148.600006,759800,144.787857
"2020-08-17",148.940002,153.669998,148.770004,153.580002,1050200,149.640106
"2020-08-18",154.369995,155.25,151.199997,153.020004,891400,149.094482
"2020-08-19",153.009995,154.289993,152.419998,153.919998,982700,149.971405
"2020-08-20",152.880005,154.479996,151.889999,152.330002,1124100,148.422211
"2020-08-21",152.639999,155.179993,152,153.279999,1438500,149.741013
"2020-08-24",154.679993,154.699997,151.899994,153.520004,970400,149.975464
"2020-08-25",153.779999,153.990005,152.039993,153.270004,1579100,149.731232
"2020-08-26",153.169998,154.880005,152.059998,154.630005,1111300,151.05986
"2020-08-27",154.679993,155.559998,149.5,151.020004,1355100,147.533203
"2020-08-28",150.75,151.240005,146.529999,146.910004,1441800,143.518097
"2020-08-31",147,149.179993,145.320007,148.830002,2248200,145.393753
"2020-09-01",148.600006,151.779999,148.289993,149.020004,1408100,145.579361
"2020-09-02",149.389999,150.669998,147.070007,149.600006,1175900,146.145996
"2020-09-03",147.619995,148.440002,143.630005,145.580002,1537700,142.218781
"2020-09-04",145.600006,146.5,140.720001,142.080002,1365100,138.799591
"2020-09-08",139.869995,141.509995,136.009995,136.759995,1594100,133.602432
"2020-09-09",138.559998,142.100006,138.289993,141.580002,1077200,138.311157
"2020-09-10",141.580002,142.770004,137.470001,137.800003,1129100,134.618439
"2020-09-11",138.460007,140.100006,137.119995,137.649994,849900,134.471878
"2020-09-14",138.910004,140.229996,138.130005,138.139999,950100,134.950562
"2020-09-15",138.860001,141.449997,138.690002,140.880005,1050200,137.627304
"2020-09-16",141.339996,141.550003,137.979996,138.25,918400,135.058029
"2020-09-17",136.529999,139.199997,136.009995,138.149994,840700,134.960312
"2020-09-18",138.479996,140.440002,136.570007,138.110001,1535100,134.921265
"2020-09-21",137.5,139.449997,136.570007,137.559998,1079800,134.383957
"2020-09-22",137.919998,141.75,136.850006,141.610001,1063800,138.340454
"2020-09-23",141.679993,143.550003,139.279999,139.929993,1105000,136.699219
"2020-09-24",139.009995,140.589996,138.009995,138.259995,828200,135.067795
"2020-09-25",138.369995,139.570007,136.720001,139.210007,1702800,135.99588
"2020-09-28",140.600006,142.029999,139.429993,142.020004,964900,138.740997
"2020-09-29",141.899994,142.919998,140.820007,140.979996,950600,137.724991
"2020-09-30",141.630005,144.830002,141.080002,143.339996,1551600,140.030533
"2020-10-01",143.710007,144.809998,141.520004,142.050003,1385900,138.770279
"2020-10-02",140.630005,142.339996,140.119995,140.619995,925200,137.373306
