"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"2020-07-01",216.600006,227.065994,216.100006,223.925995,66634500,223.925995
"2020-07-02",244.296005,245.600006,237.119995,241.731995,86250500,241.731995
"2020-07-06",255.337997,275.558014,253.207993,274.31601,102849500,274.31601
"2020-07-07",281.002014,285.899994,267.34201,277.971985,107448500,277.971985
"2020-07-08",281,283.451996,262.268005,273.175995,81556500,273.175995
"2020-07-09",279.39801,281.712006,270.256012,278.855988,58588000,278.855988
"2020-07-10",279.200012,309.783997,275.201996,308.929993,116688000,308.929993
"2020-07-13",331.799988,358.997986,294.221985,299.411987,194927000,299.411987
"2020-07-14",311.200012,318,286.200012,303.359985,117090500,303.359985
"2020-07-15",308.600006,310,291.399994,309.201996,81839000,309.201996
"2020-07-16",295.432007,306.34201,293.200012,300.127991,71504000,300.127991
"2020-07-17",302.690002,307.502014,298,300.167999,46650000,300.167999
"2020-07-20",303.802002,330,297.600006,328.600006,85607000,328.600006
"2020-07-21",327.985992,335,311.600006,313.671997,80536000,313.671997
"2020-07-22",319.799988,325.283997,312.399994,318.466003,70805500,318.466003
"2020-07-23",335.790009,337.799988,296.153992,302.614014,121642500,302.614014
"2020-07-24",283.201996,293,273.308014,283.399994,96983000,283.399994
"2020-07-27",287,309.588013,282.600006,307.920013,80243500,307.920013
"2020-07-28",300.799988,312.940002,294.884003,295.298004,79043500,295.298004
"2020-07-29",300.200012,306.962006,297.399994,299.821991,47134500,299.821991
"2020-07-30",297.600006,302.64801,294.200012,297.497986,38105000,297.497986
"2020-07-31",303,303.410004,284.196014,286.152008,61041000,286.152008
"2020-08-03",289.839996,301.962006,288.876007,297,44046500,297
"2020-08-04",299.002014,305.481995,292.399994,297.399994,42075000,297.399994
"2020-08-05",298.597992,299.967987,293.661987,297.003998,24739000,297.003998
"2020-08-06",298.165985,303.462006,295.451996,297.915985,29961500,297.915985
"2020-08-07",299.90799,299.950012,283.002014,290.541992,44482000,290.541992
"2020-08-10",289.600006,291.5,277.167999,283.713989,37611500,283.713989
"2020-08-11",279.200012,284,273,274.877991,43129000,274.877991
"2020-08-12",294,317,287,310.951996,109147000,310.951996
"2020-08-13",322.200012,330.235992,313.451996,324.200012,102126500,324.200012
"2020-08-14",332.997986,333.76001,325.328003,330.141998,62888000,330.141998
"2020-08-17",335.399994,369.171997,334.56601,367.127991,101211500,367.127991
"2020-08-18",379.798004,384.779999,369.022003,377.417999,82372500,377.417999
"2020-08-19",373,382.200012,368.242004,375.705994,61026500,375.705994
"2020-08-20",372.135986,404.39801,371.411987,400.365997,103059000,400.365997
"2020-08-21",408.951996,419.097992,405.01001,409.996002,107448000,409.996002
"2020-08-24",425.256012,425.799988,385.503998,402.839996,100318000,402.839996
"2020-08-25",394.977997,405.589996,393.600006,404.667999,53294500,404.667999
"2020-08-26",412,433.200012,410.726013,430.634003,71197000,430.634003
"2020-08-27",436.09201,459.119995,428.5,447.75,118465000,447.75
"2020-08-28",459.023987,463.697998,437.303986,442.679993,100406000,442.679993
"2020-08-31",444.609985,500.140015,440.109985,498.320007,118374400,498.320007
"2020-09-01",502.140015,502.48999,470.51001,475.049988,89841100,475.049988
"2020-09-02",478.98999,479.040009,405.119995,447.369995,96176100,447.369995
"2020-09-03",407.230011,431.799988,402,407,87596100,407
"2020-09-04",402.809998,428,372.019989,418.320007,110321900,418.320007
"2020-09-08",356,368.73999,329.880005,330.209991,115465700,330.209991
"2020-09-09",356.600006,369,341.51001,366.279999,79465800,366.279999
"2020-09-10",386.209991,398.98999,360.559998,371.339996,84930600,371.339996
"2020-09-11",381.940002,382.5,360.5,372.720001,60717500,372.720001
"2020-09-14",380.950012,420,373.299988,419.619995,83020600,419.619995
"2020-09-15",436.559998,461.940002,430.700012,449.76001,97298200,449.76001
"2020-09-16",439.869995,457.790009,435.309998,441.76001,72279300,441.76001
"2020-09-17",415.600006,437.790009,408,423.429993,76779200,423.429993
"2020-09-18",447.940002,451,428.799988,442.149994,86406800,442.149994
"2020-09-21",453.130005,455.679993,407.070007,449.390015,109476800,449.390015
"2020-09-22",429.600006,437.76001,417.600006,424.230011,79580800,424.230011
"2020-09-23",405.160004,412.149994,375.880005,380.359985,95074200,380.359985
"2020-09-24",363.799988,399.5,351.299988,387.790009,96561100,387.790009
"2020-09-25",393.470001,408.730011,391.299988,407.339996,67208500,407.339996
"2020-09-28",424.619995,428.079987,415.549988,421.200012,49719600,421.200012
"2020-09-29",416,428.5,411.600006,419.070007,50219300,419.070007
"2020-09-30",421.320007,433.929993,420.470001,429.01001,48145600,429.01001
"2020-10-01",440.76001,448.880005,434.420013,448.160004,50741500,448.160004
"2020-10-02",421.390015,439.130005,415,415.089996,71430000,415.089996
