"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"2020-07-01",59.68,60.549999,58.490002,58.57,2139200,55.883259
"2020-07-02",59.32,60.290001,58.259998,58.450001,2424900,55.768757
"2020-07-06",59.509998,59.77,58.830002,59.450001,1664600,56.722885
"2020-07-07",59.040001,59.639999,57.759998,58.689999,2644500,55.997746
"2020-07-08",58.720001,58.759998,57.450001,57.93,2505200,55.272614
"2020-07-09",57.740002,57.740002,55.279999,55.580002,3927200,53.030418
"2020-07-10",55.689999,58.599998,55.610001,58.52,2522100,55.835552
"2020-07-13",59.130001,59.450001,57.77,58.02,2288200,55.35849
"2020-07-14",57.650002,59.09,57.259998,58.810001,2673000,56.112255
"2020-07-15",59.98,61.34,59.439999,60.52,2077900,57.743813
"2020-07-16",60,61.099998,59.75,60.369999,1467200,57.600685
"2020-07-17",60.48,61.400002,60.279999,60.82,1371900,58.030045
"2020-07-20",60.470001,60.549999,59.889999,60.16,1041700,57.400322
"2020-07-21",60.650002,61.450001,60.439999,60.580002,1459300,57.801052
"2020-07-22",60.419998,60.5,59.630001,60.349998,1462500,57.5816
"2020-07-23",60.349998,61.66,60.310001,60.91,1476800,58.115925
"2020-07-24",60.93,61.529999,60.360001,60.82,1194400,58.030045
"2020-07-27",60.560001,61.060001,59.959999,60.98,1108200,58.182705
"2020-07-28",60.549999,61.32,60.369999,60.740002,1255400,57.953712
"2020-07-29",61.119999,62,60.34,62,1554900,59.155918
"2020-07-30",61.330002,61.639999,60.299999,61.57,1493100,58.745636
"2020-07-31",61.389999,61.790001,60.610001,61.450001,2036100,58.631149
"2020-08-03",62.900002,63.470001,61.34,62.43,5171500,59.566196
"2020-08-04",63.099998,65.129997,62.52,65.120003,5640800,62.132801
"2020-08-05",64.449997,64.830002,62.700001,62.93,4045200,60.043259
"2020-08-06",62.549999,63.209999,62.110001,62.459999,3140500,59.594814
"2020-08-07",62.200001,63.400002,62.080002,62.799999,2653800,59.91922
"2020-08-10",63.34,65.029999,63.119999,64.559998,2644900,61.59848
"2020-08-11",65.330002,66.110001,65.010002,65.209999,2494100,62.218662
"2020-08-12",66.379997,66.519997,65.290001,65.709999,1462900,62.695724
"2020-08-13",65.260002,65.580002,64.589996,64.599998,1871500,61.636646
"2020-08-14",64.300003,64.970001,63.91,63.939999,2907800,61.00692
"2020-08-17",63.799999,64.059998,63.080002,63.68,1528000,60.75885
"2020-08-18",63.689999,64.089996,62.790001,63.669998,1388100,60.749306
"2020-08-19",63.560001,63.959999,63.220001,63.48,1039200,60.568024
"2020-08-20",63.139999,63.549999,62.720001,62.900002,1712400,60.014629
"2020-08-21",62.900002,63.299999,62.610001,62.919998,1586300,60.03371
"2020-08-24",63.049999,63.919998,62.599998,63.549999,2522100,60.634804
"2020-08-25",64.139999,64.139999,62.84,63.540001,1666800,60.625278
"2020-08-26",63.669998,63.84,62.919998,63.450001,1767200,60.539406
"2020-08-27",63.720001,64.790001,63.529999,63.959999,2123600,61.026005
"2020-08-28",64.059998,64.400002,63.150002,63.91,1753400,60.978302
"2020-08-31",63.310001,63.459999,62.540001,62.799999,2048800,60.315601
"2020-09-01",62.869999,62.869999,61.52,62.639999,1730700,60.16193
"2020-09-02",62.16,63.580002,61.650002,63.389999,4824500,60.882259
"2020-09-03",63.93,64.660004,61.209999,61.639999,3187800,59.201485
"2020-09-04",61.880001,62.68,61.400002,62.419998,3191100,59.950634
"2020-09-08",62.360001,62.450001,61.029999,61.57,2825300,59.134254
"2020-09-09",61.82,62.169998,60.529999,61.240002,4607100,58.817314
"2020-09-10",62.060001,64.68,61.810001,63.450001,4495600,60.939888
"2020-09-11",63.610001,64.160004,62.919998,63.720001,5104800,61.199207
"2020-09-14",63.919998,65.440002,63.919998,65.309998,2195700,62.726303
"2020-09-15",65.309998,65.690002,64.800003,65.25,2965800,62.668674
"2020-09-16",65.389999,66.489998,65.089996,65.209999,2847600,62.63026
"2020-09-17",64.809998,64.989998,63.380001,63.75,2916000,61.22802
"2020-09-18",63.66,64.010002,61.82,62.029999,3826600,59.576057
"2020-09-21",61.110001,61.549999,59.41,59.849998,3029900,57.482296
"2020-09-22",59.759998,60.400002,59.029999,59.389999,2841900,57.040501
"2020-09-23",59.889999,60.16,56.889999,57.09,2804200,54.831486
"2020-09-24",56.91,57.5,56.27,56.900002,7799500,54.64901
"2020-09-25",56.560001,59.200001,56.560001,59.18,2640100,56.838806
"2020-09-28",60.049999,60.82,59.59,59.759998,2406100,57.395863
"2020-09-29",59.75,59.970001,58.59,58.959999,1156400,56.62751
"2020-09-30",58.990002,60.09,58.990002,59.48,1563600,57.126938
"2020-10-01",59.41,59.82,58.84,59.220001,1314100,56.877228
"2020-10-02",58.68,60.549999,58.59,59.310001,2321000,56.963669
"2020-10-05",59.990002,60.299999,58.720001,59,3921400,56.665932
"2020-10-06",59.23,59.889999,58.18,58.610001,1999700,56.291351
"2020-10-07",59.099998,59.25,58.150002,58.77,1750200,56.44503
"2020-10-08",59,59.540001,58.689999,58.990002,2093400,56.65633
"2020-10-09",59.209999,59.48,57.919998,57.98,2455600,55.686279
"2020-10-12",58.139999,59.610001,57.189999,58.970001,2019800,56.637115
"2020-10-13",58.889999,59.240002,58.220001,58.959999,1756700,56.62751
"2020-10-14",58.959999,59.849998,58.950001,59.279999,1404300,56.934849
"2020-10-15",58.380001,60.52,58.310001,60.490002,1674800,58.096981
"2020-10-16",60.57,61.330002,59.639999,59.709999,1687300,57.347843
"2020-10-19",59.77,59.91,58.099998,58.310001,1711300,56.003227
"2020-10-20",58.860001,58.869999,57.84,57.860001,1630200,55.571026
"2020-10-21",57.619999,59.810001,57.150002,59.169998,3395100,56.829205
"2020-10-22",58.919998,59.57,58.330002,59.439999,2101900,57.08852
"2020-10-23",59.82,60.189999,59.16,60.049999,1320100,57.674389
"2020-10-26",59.490002,59.490002,57.060001,57.459999,2212600,55.186852
"2020-10-27",57.740002,58.880001,57.650002,57.669998,1843000,55.388538
"2020-10-28",57.060001,57.549999,56.610001,56.759998,1991200,54.514545
"2020-10-29",56.720001,58,56.27,57.240002,2140300,54.975563
"2020-10-30",56.849998,57.25,56.369999,57.23,2488700,54.96595
"2020-11-02",57.849998,58.369999,57.110001,57.630001,1638500,55.350124
"2020-11-03",58.040001,58.349998,56.48,56.490002,2466300,54.25523
"2020-11-04",56.380001,57.5,55.82,56.540001,2727500,54.303246
"2020-11-05",56.990002,58.549999,56.860001,57.709999,1612400,55.42696
"2020-11-06",57.810001,58.470001,56.91,57.330002,1528900,55.061996
"2020-11-09",60.810001,62.07,59.529999,60.349998,3378100,57.962517
"2020-11-10",61.27,61.27,60.349998,60.459999,2034200,58.068165
"2020-11-11",61,61.400002,60.759998,61.110001,2621000,58.692451
"2020-11-12",61.139999,61.689999,60.099998,60.830002,3045800,58.423534
"2020-11-13",61.040001,62.529999,61.040001,62.349998,1838000,59.8834
"2020-11-16",63.849998,65.019997,62.060001,64.739998,4746800,62.178848
"2020-11-17",63.490002,64.610001,62.860001,63.779999,2329100,61.256832
"2020-11-18",63.93,64.800003,63.450001,63.450001,1682900,60.939888
"2020-11-19",62.720001,63,60.84,62.34,3569700,59.873798
"2020-11-20",61.950001,62.240002,60.52,60.740002,2865400,58.337093
"2020-11-23",61,63.450001,60.860001,63.130001,2763500,60.632542
"2020-11-24",64.110001,64.830002,63.419998,64.800003,2949100,62.236477
"2020-11-25",64.82,66.059998,64.25,64.989998,2997700,62.418957
"2020-11-27",65.150002,65.559998,64.5,65,1329300,62.428566
"2020-11-30",64.550003,65.199997,64.050003,65.199997,5085800,63.052315
"2020-12-01",65.480003,67.190002,65.389999,66.760002,3449300,64.560928
"2020-12-02",66.75,67.580002,66.019997,66.099998,3895100,63.922668
"2020-12-03",67.610001,69.169998,66.699997,69.129997,3534600,66.852859
"2020-12-04",69.120003,70.209999,68.510002,70.099998,2808500,67.790909
"2020-12-07",69.629997,69.779999,68,68.699997,2849700,66.437027
"2020-12-08",68.300003,68.830002,68,68.410004,2186300,66.156593
"2020-12-09",68.800003,69.25,68.209999,69.160004,1986200,66.881882
"2020-12-10",68.800003,69.720001,68.800003,69.410004,1638500,67.12365
"2020-12-11",69.160004,69.779999,69.050003,69.290001,1776400,67.007591
"2020-12-14",69.660004,70.480003,69.5,69.779999,3153700,67.481453
"2020-12-15",70.029999,70.139999,68.010002,68.25,2226600,66.001854
"2020-12-16",67.480003,68,65.209999,65.239998,4096300,63.091
"2020-12-17",65.75,65.809998,64.580002,65,3315000,62.858902
"2020-12-18",65,66.290001,64.349998,64.949997,4710000,62.810551
"2020-12-21",64.160004,64.160004,63.150002,63.849998,2145800,61.746784
"2020-12-22",63.849998,63.849998,62.470001,62.48,2602000,60.421917
"2020-12-23",62.970001,64.769997,62.830002,64.550003,2315000,62.423737
"2020-12-24",64.800003,64.949997,64.220001,64.790001,1074300,62.655823
"2020-12-28",64.970001,65.239998,64.059998,64.379997,1594500,62.259323
"2020-12-29",64.599998,64.82,63.130001,63.5,1452900,61.408314
"2020-12-30",63.610001,63.970001,63.5,63.59,1173400,61.495354
"2020-12-31",63.380001,64.629997,62.509998,64.440002,1906700,62.31736
"2021-01-04",64.550003,64.650002,62.66,63.5,2177400,61.408314
"2021-01-05",63.200001,64.110001,62.889999,63.450001,2297100,61.359962
"2021-01-06",63.700001,65.800003,63.689999,65.360001,1942200,63.207043
"2021-01-07",65.459999,65.57,63.84,64.610001,2969400,62.481754
"2021-01-08",65,65.010002,63.509998,64.029999,2672400,61.920853
