"","TTWO.Open","TTWO.High","TTWO.Low","TTWO.Close","TTWO.Volume","TTWO.Adjusted"
"2020-07-01",138.399994,144.559998,137.5,144.110001,2025400,144.110001
"2020-07-02",145.009995,146.089996,143.509995,144.399994,1578700,144.399994
"2020-07-06",145,147.800003,144.339996,145.679993,2321300,145.679993
"2020-07-07",146.050003,149.869995,145.679993,147.270004,1680200,147.270004
"2020-07-08",148.740005,148.75,145.479996,147.820007,1557100,147.820007
"2020-07-09",149,151.320007,148.240005,150.759995,1151600,150.759995
"2020-07-10",150.850006,154.880005,150.229996,153.910004,1313400,153.910004
"2020-07-13",154.460007,155.990005,146.149994,146.820007,1671500,146.820007
"2020-07-14",145.509995,151.279999,144.139999,151.050003,1284200,151.050003
"2020-07-15",150.020004,152.050003,147.949997,151.279999,1499600,151.279999
"2020-07-16",150.520004,151.169998,148.119995,150.309998,786400,150.309998
"2020-07-17",150.679993,151.139999,148.710007,150.580002,1055400,150.580002
"2020-07-20",151.139999,155.210007,150.880005,154.699997,846500,154.699997
"2020-07-21",155.630005,156.320007,152.449997,153.059998,850800,153.059998
"2020-07-22",153.580002,155.479996,153.089996,154.050003,717800,154.050003
"2020-07-23",155.509995,155.880005,151.020004,151.479996,895800,151.479996
"2020-07-24",150.039993,156.679993,148.880005,156.020004,1641900,156.020004
"2020-07-27",157.160004,160.259995,156.669998,159.240005,1144100,159.240005
"2020-07-28",158.110001,158.940002,156.020004,156.410004,732500,156.410004
"2020-07-29",157.559998,159.240005,156.860001,157.820007,686600,157.820007
"2020-07-30",156.720001,160.550003,155.919998,159.559998,954800,159.559998
"2020-07-31",163.919998,164.110001,160.070007,164.020004,1762400,164.020004
"2020-08-03",165.639999,169.190002,164.25,167.690002,3615000,167.690002
"2020-08-04",175.690002,180.610001,172.059998,177.520004,4555500,177.520004
"2020-08-05",175.619995,177.059998,171.339996,176.020004,1646300,176.020004
"2020-08-06",176.309998,177.889999,174.110001,177.339996,1153200,177.339996
"2020-08-07",175.320007,176.550003,171.649994,174.960007,1280300,174.960007
"2020-08-10",175.100006,175.5,171.869995,174.729996,1011700,174.729996
"2020-08-11",173.759995,173.759995,165.339996,167.110001,1829900,167.110001
"2020-08-12",167.020004,170.259995,166.139999,168.110001,1233900,168.110001
"2020-08-13",169.220001,172.479996,169.130005,171.279999,784900,171.279999
"2020-08-14",173.259995,175.520004,172.210007,173.410004,1085800,173.410004
"2020-08-17",175.720001,175.860001,173.809998,175.210007,641800,175.210007
"2020-08-18",175.699997,177.529999,173.520004,176.979996,828000,176.979996
"2020-08-19",175.839996,176.860001,171.550003,172.630005,1416200,172.630005
"2020-08-20",172,175.509995,172,174.429993,1148900,174.429993
"2020-08-21",175.050003,175.050003,171.839996,173.139999,1093200,173.139999
"2020-08-24",173.139999,174.720001,170.559998,172.550003,916200,172.550003
"2020-08-25",171.990005,173.929993,170.720001,173.020004,700600,173.020004
"2020-08-26",173.300003,175.580002,172.699997,175.389999,892900,175.389999
"2020-08-27",175.119995,175.600006,171.169998,172.669998,1591300,172.669998
"2020-08-28",173.130005,174.070007,170.460007,171.059998,858300,171.059998
"2020-08-31",170.679993,172.850006,169.570007,171.190002,918500,171.190002
"2020-09-01",171.779999,174.139999,171.050003,172.5,913400,172.5
"2020-09-02",172.960007,174.160004,170.259995,172.830002,1296200,172.830002
"2020-09-03",171.509995,171.800003,164.520004,166.600006,1512000,166.600006
"2020-09-04",163.960007,165.570007,157.240005,161.710007,1507800,161.710007
"2020-09-08",157.059998,159.630005,153.300003,156.220001,2165600,156.220001
"2020-09-09",159.660004,160.360001,156.119995,158.589996,1457400,158.589996
"2020-09-10",158.5,161.360001,153.610001,154.320007,1137500,154.320007
"2020-09-11",156.809998,156.809998,151.630005,153.529999,1176600,153.529999
"2020-09-14",155.190002,157.649994,154.320007,156.479996,1022000,156.479996
"2020-09-15",157.529999,161.410004,157.320007,160.589996,1071100,160.589996
"2020-09-16",160.860001,162.979996,156.490005,157.070007,1052400,157.070007
"2020-09-17",153.589996,159.470001,153.589996,159.449997,1310400,159.449997
"2020-09-18",161.029999,161.25,157.369995,158.490005,1892400,158.490005
"2020-09-21",157.059998,164.729996,157.009995,164.339996,1508700,164.339996
"2020-09-22",166.25,166.860001,161.360001,166.220001,1053400,166.220001
"2020-09-23",165.580002,166.309998,161.889999,162.309998,996600,162.309998
