"","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2020-07-01",89.5,90.510002,88.209999,88.860001,1391700,86.200287
"2020-07-02",90.57,92.019997,90.040001,90.529999,1526500,87.820282
"2020-07-06",92,93,91.150002,92.540001,1363200,89.770126
"2020-07-07",92.040001,92.730003,91.230003,91.410004,1584100,88.67395
"2020-07-08",92,92.690002,91.120003,92.129997,1359700,89.372398
"2020-07-09",91.900002,92.260002,89.580002,90.290001,1578900,87.587471
"2020-07-10",90.410004,91.690002,89.760002,91.639999,1209200,88.897064
"2020-07-13",92.120003,93.839996,90.75,92.089996,1466700,89.333595
"2020-07-14",92.43,97.550003,91.529999,97.529999,2161400,94.610771
"2020-07-15",99.919998,101.709999,99.730003,100.93,2434000,97.908997
"2020-07-16",100.970001,103.389999,100.029999,101.940002,1553100,98.888771
"2020-07-17",102.059998,102.75,101.379997,102.449997,3455800,99.383492
"2020-07-20",102,103.849998,101.760002,103.379997,1377400,100.285667
"2020-07-21",104.650002,105.739998,103.879997,105.449997,2259800,102.293709
"2020-07-22",105.349998,106.410004,105,106.209999,1524900,103.03096
"2020-07-23",105.75,106.599998,104.989998,105.419998,1381900,102.264603
"2020-07-24",105.480003,105.720001,103.029999,103.760002,1006900,100.654297
"2020-07-27",103.639999,104.900002,102.260002,104.550003,1159600,101.420647
"2020-07-28",103.900002,105.099998,103.440002,103.709999,1361100,100.605782
"2020-07-29",117,117,110.389999,110.470001,2376700,107.163452
"2020-07-30",109,112.209999,108.620003,110.860001,2037800,107.541779
"2020-07-31",110.699997,112.089996,109.110001,111.870003,1273500,108.521545
"2020-08-03",111.690002,112.720001,111.519997,112.190002,1303000,108.831978
"2020-08-04",111.519997,112.330002,110.139999,112.279999,1208000,108.919281
"2020-08-05",113,115.790001,113,115.150002,1283700,111.703377
"2020-08-06",114.580002,115.980003,113.290001,115.489998,1150200,112.033195
"2020-08-07",115.830002,117.120003,115.800003,116.849998,1057500,113.352486
"2020-08-10",116.769997,119.050003,116.720001,118.849998,1278700,115.29261
"2020-08-11",120.25,121.910004,119.260002,119.800003,1411600,116.214188
"2020-08-12",120.300003,122.190002,119.519997,120.199997,1012400,116.602211
"2020-08-13",119.589996,119.980003,118.25,118.370003,1100100,114.826996
"2020-08-14",117.769997,119.440002,117.279999,118.879997,1373900,115.321724
"2020-08-17",118.93,119.510002,117.910004,119.360001,1708300,115.787346
"2020-08-18",119.220001,119.690002,117.970001,118.029999,810300,114.497169
"2020-08-19",118.010002,119.18,117.160004,117.400002,759300,113.886024
"2020-08-20",116.559998,117.440002,115.879997,116.019997,794700,112.547325
"2020-08-21",116.25,117.68,115.75,117.57,986300,114.050934
"2020-08-24",118.43,119.010002,117.709999,118.919998,737600,115.360527
"2020-08-25",119.589996,119.589996,117.559998,118.459999,577800,114.914299
"2020-08-26",119.220001,120.379997,118.470001,120.080002,781600,116.485817
"2020-08-27",120.830002,121.040001,118.910004,118.919998,805300,115.360527
"2020-08-28",119.089996,120.330002,118.389999,120.300003,711800,116.699219
"2020-08-31",119.900002,120.129997,118.279999,118.389999,929600,114.846397
"2020-09-01",117.629997,120.32,117.040001,120.199997,788800,116.602211
"2020-09-02",120.199997,122.93,119.760002,122.389999,786300,118.726669
"2020-09-03",121.980003,122.459999,117.139999,118.129997,908100,115.092583
"2020-09-04",119.25,119.800003,116.080002,117.769997,813400,114.741821
"2020-09-08",116.800003,117.940002,115.360001,116.190002,1173300,113.202454
"2020-09-09",117.110001,119.290001,116.959999,117.07,1117400,114.059822
"2020-09-10",117.910004,118.139999,115.279999,115.610001,816300,112.637375
"2020-09-11",116.010002,118.010002,115.870003,116.989998,727200,113.98188
"2020-09-14",118.150002,119.669998,117.580002,118.989998,894800,115.930458
"2020-09-15",119.900002,121.330002,119.279999,121.220001,1180500,118.103127
"2020-09-16",122,123.779999,120.919998,122.010002,1008600,118.872803
"2020-09-17",120.5,125.080002,119.400002,124.870003,1518900,121.659264
"2020-09-18",124.900002,126,122.730003,122.959999,1827300,119.798378
"2020-09-21",120.889999,120.889999,117.360001,120.080002,1114900,116.992432
"2020-09-22",120.169998,121.800003,119.940002,121.519997,853200,118.395401
"2020-09-23",121.330002,122.389999,118.650002,118.790001,859700,115.735596
"2020-09-24",118.370003,120.589996,117.400002,119,1049000,115.940201
"2020-09-25",117.949997,119.620003,117.129997,118.910004,989500,115.852524
"2020-09-28",120.970001,122.849998,120.190002,121.510002,1354600,118.385674
"2020-09-29",121.760002,122.379997,120.860001,121.220001,571500,118.103127
"2020-09-30",121.760002,123.449997,120.360001,121.25,883900,118.132355
"2020-10-01",123.059998,123.5,121.269997,121.949997,1003600,118.814346
"2020-10-02",120.739998,124.919998,120.080002,123.860001,1183300,120.675247
"2020-10-05",125.459999,128.240005,125,126.93,817500,123.666306
"2020-10-06",127.620003,128.949997,126.209999,126.589996,1154800,123.335045
"2020-10-07",127.989998,129.979996,127.370003,127.940002,766600,124.65033
"2020-10-08",128.839996,129.839996,127.970001,129.800003,1052900,126.462517
"2020-10-09",130,131.520004,128.889999,129.119995,807900,125.799988
"2020-10-12",130.479996,132.139999,129.850006,131.960007,598800,128.566986
"2020-10-13",130.759995,132.259995,128.600006,129.25,881100,125.926643
"2020-10-14",130.259995,130.660004,128.660004,130.199997,913400,126.852219
"2020-10-15",128.729996,131.520004,128.729996,130.639999,754900,127.280891
"2020-10-16",130.990005,132.009995,130.639999,131.210007,686500,127.83625
"2020-10-19",131.220001,132.210007,127.440002,127.5,1310300,124.221642
"2020-10-20",128.589996,130.699997,128,128.729996,869200,125.420013
"2020-10-21",128.419998,130.360001,128.419998,128.869995,1048300,125.556419
"2020-10-22",129.490005,130.800003,128.770004,130.460007,694000,127.105537
"2020-10-23",131.350006,131.600006,128.940002,129.220001,1075700,125.897415
"2020-10-26",126.720001,127.699997,125.169998,126.150002,1191500,122.906349
"2020-10-27",126.580002,126.669998,123.080002,123.68,1829200,120.499863
"2020-10-28",123.300003,130.479996,123.300003,127.839996,1832500,124.552902
"2020-10-29",127.849998,133.869995,127.099998,132.050003,1740500,128.654633
"2020-10-30",132.339996,135.899994,130.330002,132.75,1596200,129.336655
