"","TXT.Open","TXT.High","TXT.Low","TXT.Close","TXT.Volume","TXT.Adjusted"
"2020-07-01",33.049999,33.75,31.85,31.92,1491900,31.832916
"2020-07-02",32.830002,33.700001,32.360001,32.450001,1007100,32.361473
"2020-07-06",33.360001,33.75,32.650002,33.220001,971300,33.129372
"2020-07-07",32.740002,32.900002,31.450001,31.49,1034200,31.404089
"2020-07-08",31.42,31.99,31.129999,31.709999,1085900,31.623487
"2020-07-09",31.370001,31.690001,30.059999,30.129999,1708100,30.047798
"2020-07-10",30.34,31.33,30.15,31.059999,1778500,30.97526
"2020-07-13",31.559999,32.639999,30.9,32.029999,1501700,31.942617
"2020-07-14",31.799999,32.889999,31.540001,32.610001,951900,32.52103
"2020-07-15",33.48,33.91,33.07,33.66,1282400,33.568169
"2020-07-16",33.209999,34.009998,32.599998,33.509998,782300,33.418575
"2020-07-17",33.599998,33.799999,33.049999,33.439999,971400,33.348766
"2020-07-20",33.5,33.5,32.450001,32.990002,1228300,32.899998
"2020-07-21",33.330002,34.470001,33.150002,34.009998,1913100,33.917217
"2020-07-22",33.689999,34.540001,33.349998,34.349998,730000,34.256287
"2020-07-23",34,35,33.919998,34.610001,1010200,34.515575
"2020-07-24",34.73,34.990002,34.279999,34.349998,1251900,34.256287
"2020-07-27",34.18,34.52,33.669998,34.18,737500,34.08675
"2020-07-28",34.09,34.52,33.959999,34.200001,907100,34.106693
"2020-07-29",34.27,34.459999,34.060001,34.27,1043200,34.176506
"2020-07-30",34.470001,37.09,34.299999,35.139999,2209900,35.044132
"2020-07-31",35.709999,35.709999,34.18,34.939999,1805900,34.844673
"2020-08-03",34.970001,36,34,35.900002,1410000,35.802059
"2020-08-04",35.799999,36.299999,35.59,35.91,1223000,35.812031
"2020-08-05",36.400002,36.919998,35.959999,36.5,1298300,36.400421
"2020-08-06",36.41,37.34,36.32,37.029999,1593400,36.92897
"2020-08-07",36.98,37.610001,36.779999,37.580002,990300,37.477478
"2020-08-10",37.68,38.93,37.68,38.860001,1045400,38.753986
"2020-08-11",39.950001,40.349998,38.540001,38.68,1627500,38.574478
